SA4_CODE_2021,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
501,35689,18914,19963,24032,25548,25879,23091,11650,3986,188747
502,18829,11296,10886,11904,13147,14327,14903,9248,3095,107641
503,27405,23439,31226,26204,23348,20445,16415,9364,4406,182267
504,53519,32391,41245,40744,36289,32139,23530,12238,4488,276573
505,111561,68940,79404,84122,77506,65784,51388,27668,10928,577297
506,103171,66450,80825,80385,65525,56276,44457,23222,9154,529466
507,86762,53437,60317,63557,58745,51211,39261,21356,8752,443407
509,23900,13030,13823,15284,18137,21212,18757,9724,3308,137175
510,21036,10097,17080,15963,12321,9031,3443,949,204,90128
511,23139,13225,15956,15584,16262,15931,11367,5542,1749,118758
597,0,42,116,170,109,62,18,0,0,514
599,772,820,1512,1543,1313,1144,758,155,30,8055
