SA4_CODE_2021,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
501,322,794,612,466,479,45,6,2724,49,41,46,38,30,0,5,210,15,28,17,13,9,0,0,86,535,1298,1147,916,1077,94,17,5082,21,52,37,32,19,3,0,160,41,93,43,34,23,6,0,240,62,142,81,57,40,6,0,392,599,1438,1226,975,1123,97,19,5478,780,740,388,260,252,27,12,2458,8,19,4,14,0,0,0,53,1393,2200,1623,1245,1378,123,27,7986
502,228,527,365,209,237,46,22,1632,28,29,11,16,29,9,0,116,7,12,8,10,5,0,0,40,359,830,646,445,541,138,63,3011,27,51,40,25,25,8,5,180,51,92,53,27,26,0,4,259,74,145,89,51,58,12,6,435,433,973,734,501,596,143,68,3447,634,625,307,227,198,32,17,2042,13,16,19,4,7,0,0,64,1083,1615,1060,735,795,180,83,5552
503,126,335,259,192,247,143,79,1381,19,15,13,10,11,9,3,85,3,6,0,7,9,0,3,33,269,707,607,486,698,408,245,3421,0,21,19,15,20,6,9,88,10,35,13,18,28,3,6,108,12,58,31,32,39,10,20,201,276,762,642,515,739,417,265,3623,135,162,135,120,150,92,59,856,6,5,0,0,0,0,7,17,424,933,773,639,892,512,322,4495
504,486,954,616,479,534,152,89,3307,85,60,30,34,31,13,11,264,25,36,35,21,28,12,6,162,955,1888,1400,1110,1415,468,271,7502,39,92,59,33,44,20,11,305,60,143,69,46,48,13,7,392,101,237,129,83,91,33,19,695,1056,2126,1532,1193,1507,501,288,8199,1093,1070,578,384,371,118,50,3670,24,36,24,5,9,6,4,103,2168,3237,2137,1585,1884,622,339,11969
505,939,2004,1371,922,1151,422,229,7043,114,90,67,53,74,31,21,455,53,69,42,28,34,17,8,254,1674,3758,2917,2193,2972,1204,774,15493,53,149,113,76,114,39,28,571,146,261,151,95,101,26,18,807,196,413,264,173,216,60,47,1379,1874,4171,3181,2365,3188,1267,822,16871,1738,1777,970,692,741,236,148,6298,39,64,34,19,24,4,9,192,3645,6012,4186,3085,3949,1508,972,23356
506,759,1553,1078,780,899,320,197,5588,108,106,68,47,57,20,13,419,39,52,34,32,49,11,13,229,1500,3026,2336,1796,2339,889,592,12482,77,153,122,87,103,33,17,592,154,297,147,109,109,15,10,836,227,449,269,189,213,48,33,1431,1725,3478,2605,1988,2554,936,628,13912,1906,1833,1077,703,672,228,157,6573,62,67,43,33,16,5,6,231,3692,5368,3726,2719,3244,1169,785,20715
507,771,1572,1138,824,936,288,146,5676,105,103,58,50,65,20,17,425,43,63,33,23,25,10,7,207,1418,2995,2417,1834,2307,806,469,12247,87,134,87,66,80,22,5,485,122,224,137,81,72,14,12,662,212,356,219,154,151,39,16,1148,1632,3350,2636,1990,2465,846,485,13398,1637,1639,907,646,618,127,99,5682,43,38,35,30,14,3,0,167,3312,5026,3577,2666,3096,977,580,19241
509,191,429,329,206,265,18,5,1440,28,25,30,11,14,0,0,109,14,13,11,12,9,0,0,54,320,728,622,452,576,44,17,2751,15,41,19,23,28,0,0,125,36,63,34,22,20,0,0,176,47,104,58,41,43,3,4,303,367,838,680,492,612,47,19,3059,536,585,301,212,180,17,3,1836,18,26,22,20,9,0,0,96,920,1446,1000,727,801,65,20,4980
510,96,214,108,76,59,4,0,560,21,16,14,13,15,0,0,76,14,20,9,11,3,0,0,65,291,602,401,283,271,22,3,1871,20,29,12,14,11,0,0,83,10,29,15,15,3,0,0,81,31,55,30,32,12,0,0,163,318,665,429,312,283,22,3,2034,541,533,323,193,134,11,0,1742,23,48,28,11,6,0,0,111,889,1245,784,518,429,36,3,3894
511,193,368,252,150,169,8,0,1148,20,28,25,18,18,0,0,112,11,17,15,7,8,0,0,57,357,778,632,426,509,34,12,2742,9,34,36,21,15,0,0,121,25,54,31,21,23,0,0,157,39,92,70,42,38,0,0,275,394,862,702,470,541,37,8,3020,633,574,300,199,148,15,3,1875,30,41,25,18,4,0,0,128,1064,1483,1026,686,701,54,15,5019
