LGA_CODE_2021,Ow_o_Dw_s_S_Hou_HATSIP,Ow_o_Dw_s_SDRTHT_HATSIP,Ow_o_Dw_s_Fl_Ap_HATSIP,Ow_o_Dw_s_Oth_d_Car_HATSIP,Ow_o_Dw_s_Oth_d_Cab_h_HATSIP,Ow_o_Dw_s_Oth_d_IHTSO_HATSIP,Ow_o_Dw_s_Oth_d_HFASO_HATSIP,Ow_o_Dw_s_Oth_d_Tot_HATSIP,Ow_o_Dw_s_Ns_HATSIP,Ow_o_Tot_HATSIP,Ow_wm_Dw_s_S_Hou_HATSIP,Ow_wm_Dw_s_SDRTHT_HATSIP,Ow_wm_Dw_s_Fl_Ap_HATSIP,Ow_wm_Dw_s_Oth_d_Car_HATSIP,Ow_wm_Dw_s_Oth_d_Cab_h_HATSIP,Ow_wm_Dw_s_Oth_d_IHTSO_HATSIP,Ow_wm_Dw_s_Oth_d_HFASO_HATSIP,Ow_wm_Dw_s_Oth_d_Tot_HATSIP,Ow_wm_Dw_s_Ns_HATSIP,Ow_wm_Tot_HATSIP,R_RAg_Dw_s_S_Hou_HATSIP,R_RAg_Dw_s_SDRTHT_HATSIP,R_RAg_Dw_s_Fl_Ap_HATSIP,R_RAg_Dw_s_Oth_d_Car_HATSIP,R_RAg_Dw_s_Oth_d_Cab_h_HATSIP,R_RAg_Dw_s_Oth_d_IHTSO_HATSIP,R_RAg_Dw_s_Oth_d_HFASO_HATSIP,R_RAg_Dw_s_Oth_d_Tot_HATSIP,R_RAg_Dw_s_Ns_HATSIP,R_RAg_Tot_HATSIP,R_STHA_Dw_s_S_Hou_HATSIP,R_STHA_Dw_s_SDRTHT_HATSIP,R_STHA_Dw_s_Fl_Ap_HATSIP,R_STHA_Dw_s_Ot_d_Car_HATSIP,R_STHA_Dw_s_Ot_d_Cab_h_HATSIP,R_STHA_Dw_s_Ot_d_IHTSO_HATSIP,R_STHA_Dw_s_Ot_d_HFASO_HATSIP,R_STHA_Dw_s_Ot_d_Tot_HATSIP,R_STHA_Dw_s_Ns_HATSIP,R_STHA_Tot_HATSIP,R_Pnsh_Dw_s_S_Hou_HATSIP,R_Pnsh_Dw_s_SDRTHT_HATSIP,R_Pnsh_Dw_s_Fl_Ap_HATSIP,R_Pnsh_Dw_s_Ot_d_Car_HATSIP,R_Pnsh_Dw_s_Ot_d_Cab_h_HATSIP,R_Pnsh_Dw_s_Ot_d_IHTSO_HATSIP,R_Pnsh_Dw_s_Ot_d_HFASO_HATSIP,R_Pnsh_Dw_s_Oth_d_Tot_HATSIP,R_Pnsh_Dw_s_Ns_HATSIP,R_Pnsh_Tot_HATSIP,R_CHP_Dw_s_S_Hou_HATSIP,R_CHP_Dw_s_SDRTHT_HATSIP,R_CHP_Dw_s_Fl_Ap_HATSIP,R_CHP_Dw_s_Oth_d_Car_HATSIP,R_CHP_Dw_s_Oth_d_Cab_h_HATSIP,R_CHP_Dw_s_Oth_d_IHTSO_HATSIP,R_CHP_Dw_s_Oth_d_HFASO_HATSIP,R_CHP_Dw_s_Oth_d_Tot_HATSIP,R_CHP_Dw_s_Ns_HATSIP,R_CHP_Tot_HATSIP,R_othLT_Dw_s_S_Hou_HATSIP,R_othLT_Dw_s_SDRTHT_HATSIP,R_othLT_Dw_s_Fl_Ap_HATSIP,R_othLT_Dw_s_O_d_Car_HATSIP,R_othLT_Dw_s_O_d_Cab_h_HATSIP,R_othLT_Dw_s_O_d_IHTSO_HATSIP,R_othLT_Dw_s_O_d_HFASO_HATSIP,R_othLT_Dw_s_O_d_Tot_HATSIP,R_othLT_Dw_s_Ns_HATSIP,R_othLT_Tot_HATSIP,R_LTns_Dw_s_S_Hou_HATSIP,R_LTns_Dw_s_SDRTHT_HATSIP,R_LTns_Dw_s_Fl_Ap_HATSIP,R_LTns_Dw_s_Ot_d_Car_HATSIP,R_LTns_Dw_s_Ot_d_Cab_h_HATSIP,R_LTns_Dw_s_Ot_d_IHTSO_HATSIP,R_LTns_Dw_s_Ot_d_HFASO_HATSIP,R_LTns_Dw_s_Ot_d_Tot_HATSIP,R_LTns_Dw_s_Ns_HATSIP,R_LTns_Tot_HATSIP,R_Tot_Dw_s_S_Hou_HATSIP,R_Tot_Dw_s_SDRTHT_HATSIP,R_Tot_Dw_s_Fl_Ap_HATSIP,R_Tot_Dw_s_Oth_d_Car_HATSIP,R_Tot_Dw_s_Oth_d_Cab_h_HATSIP,R_Tot_Dw_s_Oth_d_IHTSO_HATSIP,R_Tot_Dw_s_Oth_d_HFASO_HATSIP,R_Tot_Dw_s_Oth_d_Tot_HATSIP,R_Tot_Dw_s_Ns_HATSIP,R_Tot_Tot_HATSIP,Oth_TT_Dw_s_S_Hou_HATSIP,Oth_TT_Dw_s_SDRTHT_HATSIP,Oth_TT_Dw_s_Fl_Ap_HATSIP,Oth_TT_Dw_s_Ot_d_Car_HATSIP,Oth_TT_Dw_s_Ot_d_Cab_h_HATSIP,Oth_TT_Dw_s_Ot_d_IHTSO_HATSIP,Oth_TT_Dw_s_Ot_d_HFASO_HATSIP,Oth_TT_Dw_s_Ot_d_Tot_HATSIP,Oth_TT_Dw_s_Ns_HATSIP,Oth_TT_Tot_HATSIP,TT_ns_Dw_s_S_Hou_HATSIP,TT_ns_Dw_s_SDRTHT_HATSIP,TT_ns_Dw_s_Fl_Ap_HATSIP,TT_ns_Dw_s_Oth_d_Car_HATSIP,TT_ns_Dw_s_Oth_d_Cab_h_HATSIP,TT_ns_Dw_s_Oth_d_IHTSO_HATSIP,TT_ns_Dw_s_Oth_d_HFASO_HATSIP,TT_ns_Dw_s_Oth_d_Tot_HATSIP,TT_ns_Dw_s_Ns_HATSIP,TT_ns_Tot_HATSIP,Tot_Dw_s_S_Hou_HATSIP,Tot_Dw_s_SDRTHT_HATSIP,Tot_Dw_s_Fl_Ap_HATSIP,Tot_Dw_s_Oth_d_Car_HATSIP,Tot_Dw_s_Oth_d_Cab_h_HATSIP,Tot_Dw_s_Oth_d_IHTSO_HATSIP,Tot_Dw_s_Oth_d_HFASO_HATSIP,Tot_Dw_s_Oth_d_Tot_HATSIP,Tot_Dw_s_Ns_HATSIP,Tot_Tot_HATSIP,Ow_o_Dw_s_S_Hou_Oth_h,Ow_o_Dw_s_SDRTHT_Oth_h,Ow_o_Dw_s_Fl_Ap_Oth_h,Ow_o_Dw_s_Oth_d_Car_Oth_h,Ow_o_Dw_s_Oth_d_Cab_h_Oth_h,Ow_o_Dw_s_Oth_d_IHTSO_Oth_h,Ow_o_Dw_s_Oth_d_HFASO_Oth_h,Ow_o_Dw_s_Oth_d_Tot_Oth_h,Ow_o_Dw_s_Ns_Oth_h,Ow_o_Tot_Oth_h,Ow_wm_Dw_s_S_Hou_Oth_h,Ow_wm_Dw_s_SDRTHT_Oth_h,Ow_wm_Dw_s_Fl_Ap_Oth_h,Ow_wm_Dw_s_Oth_d_Car_Oth_h,Ow_wm_Dw_s_Oth_d_Cab_h_Oth_h,Ow_wm_Dw_s_Oth_d_IHTSO_Oth_h,Ow_wm_Dw_s_Oth_d_HFASO_Oth_h,Ow_wm_Dw_s_Oth_d_Tot_Oth_h,Ow_wm_Dw_s_Ns_Oth_h,Ow_wm_Tot_Oth_h,R_RAg_Dw_s_S_Hou_Oth_h,R_RAg_Dw_s_SDRTHT_Oth_h,R_RAg_Dw_s_Fl_Ap_Oth_h,R_RAg_Dw_s_Oth_d_Car_Oth_h,R_RAg_Dw_s_Oth_d_Cab_h_Oth_h,R_RAg_Dw_s_Oth_d_IHTSO_Oth_h,R_RAg_Dw_s_Oth_d_HFASO_Oth_h,R_RAg_Dw_s_Oth_d_Tot_Oth_h,R_RAg_Dw_s_Ns_Oth_h,R_RAg_Tot_Oth_h,R_STHA_Dw_s_S_Hou_Oth_h,R_STHA_Dw_s_SDRTHT_Oth_h,R_STHA_Dw_s_Fl_Ap_Oth_h,R_STHA_Dw_s_Ot_d_Car_Oth_h,R_STHA_Dw_s_Ot_d_Cab_h_Oth_h,R_STHA_Dw_s_Ot_d_IHTSO_Oth_h,R_STHA_Dw_s_Ot_d_HFASO_Oth_h,R_STHA_Dw_s_Ot_d_Tot_Oth_h,R_STHA_Dw_s_Ns_Oth_h,R_STHA_Tot_Oth_h,R_Pnsh_Dw_s_S_Hou_Oth_h,R_Pnsh_Dw_s_SDRTHT_Oth_h,R_Pnsh_Dw_s_Fl_Ap_Oth_h,R_Pnsh_Dw_s_Ot_d_Car_Oth_h,R_Pnsh_Dw_s_Ot_d_Cab_h_Oth_h,R_Pnsh_Dw_s_Ot_d_IHTSO_Oth_h,R_Pnsh_Dw_s_Ot_d_HFASO_Oth_h,R_Pnsh_Dw_s_Oth_d_Tot_Oth_h,R_Pnsh_Dw_s_Ns_Oth_h,R_Pnsh_Tot_Oth_h,R_CHP_Dw_s_S_Hou_Oth_h,R_CHP_Dw_s_SDRTHT_Oth_h,R_CHP_Dw_s_Fl_Ap_Oth_h,R_CHP_Dw_s_Oth_d_Car_Oth_h,R_CHP_Dw_s_Oth_d_Cab_h_Oth_h,R_CHP_Dw_s_Oth_d_IHTSO_Oth_h,R_CHP_Dw_s_Oth_d_HFASO_Oth_h,R_CHP_Dw_s_Oth_d_Tot_Oth_h,R_CHP_Dw_s_Ns_Oth_h,R_CHP_Tot_Oth_h,R_othLT_Dw_s_S_Hou_Oth_h,R_othLT_Dw_s_SDRTHT_Oth_h,R_othLT_Dw_s_Fl_Ap_Oth_h,R_othLT_Dw_s_O_d_Car_Oth_h,R_othLT_Dw_s_O_d_Cab_h_Oth_h,R_othLT_Dw_s_O_d_IHTSO_Oth_h,R_othLT_Dw_s_O_d_HFASO_Oth_h,R_othLT_Dw_s_O_d_Tot_Oth_h,R_othLT_Dw_s_Ns_Oth_h,R_othLT_Tot_Oth_h,R_LTns_Dw_s_S_Hou_Oth_h,R_LTns_Dw_s_SDRTHT_Oth_h,R_LTns_Dw_s_Fl_Ap_Oth_h,R_LTns_Dw_s_Ot_d_Car_Oth_h,R_LTns_Dw_s_Ot_d_Cab_h_Oth_h,R_LTns_Dw_s_Ot_d_IHTSO_Oth_h,R_LTns_Dw_s_Ot_d_HFASO_Oth_h,R_LTns_Dw_s_Ot_d_Tot_Oth_h,R_LTns_Dw_s_Ns_Oth_h,R_LTns_Tot_Oth_h
LGA50080,88,0,0,0,0,0,0,0,0,87,186,0,0,0,0,0,0,0,0,191,79,3,0,0,0,0,0,0,0,90,104,16,0,0,0,0,0,0,0,120,36,4,0,0,0,0,0,0,0,44,22,3,0,0,0,0,0,0,0,23,6,0,0,3,0,0,0,3,0,10,3,0,0,0,0,0,0,0,0,3,250,31,0,3,0,0,0,3,0,282,3,0,0,0,0,0,0,0,0,3,27,4,0,0,0,0,0,0,0,31,548,35,0,3,0,0,0,3,0,597,5124,175,12,51,84,0,0,138,7,5459,4477,85,12,5,0,0,0,6,9,4588,1248,228,15,0,0,0,0,3,0,1501,320,150,3,0,0,0,0,0,3,480,948,83,9,0,0,5,0,5,0,1041,75,151,10,0,0,0,0,0,0,238,141,36,6,22,25,0,0,46,4,226,7,16,0,0,0,0,0,0,0,28
LGA50210,98,3,0,0,0,0,0,0,0,100,448,18,0,0,0,0,0,0,0,469,247,48,0,0,0,0,0,0,0,298,86,31,0,0,0,0,0,0,0,123,89,17,0,0,0,0,0,0,0,102,6,9,3,0,0,0,0,0,0,22,20,0,0,3,0,0,0,3,0,29,0,0,0,0,0,0,0,0,0,0,447,104,7,3,0,0,0,5,0,568,3,3,0,0,0,0,0,0,0,6,25,5,4,0,0,0,0,0,0,38,1029,132,10,4,0,0,0,6,7,1182,6316,440,16,41,108,0,5,149,8,6933,16480,528,35,3,7,0,0,10,13,17054,3052,862,47,0,0,0,3,3,8,3967,192,265,32,0,0,0,0,0,0,489,1490,225,17,0,0,0,0,4,6,1736,17,102,24,0,0,0,0,0,0,144,143,52,3,35,15,0,0,45,0,242,23,17,0,0,0,0,0,0,0,41
LGA50250,10,0,0,3,0,0,0,3,0,14,6,0,0,0,0,0,0,0,0,7,5,0,0,0,0,0,0,0,0,12,29,3,0,0,0,0,0,0,0,32,4,0,0,0,0,0,0,0,0,4,33,3,0,0,0,0,0,0,0,42,123,4,0,0,0,0,0,0,0,132,0,0,0,0,0,0,0,0,0,0,199,11,0,0,0,0,0,0,0,217,16,0,0,0,0,0,0,0,0,19,4,0,0,0,0,0,0,0,0,4,239,14,0,3,0,0,0,4,0,261,65,0,0,29,3,0,0,29,4,100,30,0,0,7,0,0,0,4,4,45,44,7,4,0,0,0,0,0,0,60,49,3,0,0,0,0,0,0,3,54,25,0,0,4,0,0,0,4,0,33,15,3,3,0,0,0,0,0,0,15,751,38,7,7,0,0,0,7,9,811,3,0,4,0,0,0,0,0,0,7
LGA50280,19,0,0,0,0,0,0,0,0,19,44,5,0,0,0,0,0,0,0,46,18,0,0,0,0,0,0,0,0,21,11,0,0,0,0,0,0,0,0,10,15,3,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,4,0,46,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,112,10,0,0,0,0,0,4,0,118,1889,53,3,34,0,0,0,37,5,1991,2078,49,9,0,0,0,0,0,5,2140,476,47,3,0,0,0,0,0,3,535,45,31,10,0,0,0,0,0,0,88,556,33,6,0,4,0,0,8,4,613,8,11,0,0,0,0,0,0,0,14,61,0,0,10,16,8,0,31,5,95,3,0,0,0,0,0,0,0,0,10
LGA50350,21,0,0,0,0,0,0,0,0,18,36,6,0,0,0,0,0,0,0,40,32,10,5,0,0,0,0,0,0,41,19,22,0,0,0,0,0,0,0,48,6,4,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,4,73,35,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,133,45,4,0,0,0,0,0,0,176,1605,201,69,0,0,0,0,0,0,1878,2125,311,73,0,0,0,0,0,6,2506,558,201,79,0,0,0,0,0,4,840,98,120,31,0,0,0,0,0,0,254,319,90,21,0,0,0,0,0,0,428,30,32,0,0,0,0,0,0,0,56,11,4,0,0,0,0,0,0,0,19,4,7,0,0,0,0,0,0,0,16
LGA50420,49,10,4,0,0,0,0,0,0,55,93,18,10,0,0,0,0,0,0,121,108,47,24,0,0,0,0,0,0,185,35,30,13,0,0,0,0,0,0,76,44,12,9,0,0,0,0,0,0,68,3,5,6,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,4,199,102,46,0,0,0,0,0,0,350,0,0,0,0,0,0,0,0,0,0,5,10,0,0,0,0,0,0,0,18,347,128,70,0,0,0,0,0,0,544,6974,970,271,0,0,0,0,0,0,8225,7886,1528,571,0,0,0,4,4,4,9987,2459,1450,1227,0,0,0,0,0,7,5143,197,380,128,0,0,0,0,0,0,709,1410,544,350,0,0,0,0,0,4,2317,32,79,18,0,0,0,0,0,0,126,149,77,36,0,0,0,0,0,3,277,11,13,7,0,0,0,0,0,0,35
LGA50490,26,5,0,0,0,0,0,0,0,38,93,14,7,0,0,0,0,0,0,114,100,40,39,0,0,0,0,0,0,180,86,37,0,0,0,0,0,0,0,126,40,4,3,0,0,0,0,0,0,44,10,0,0,0,0,0,0,0,0,13,5,6,0,0,0,0,0,0,0,8,0,0,3,0,0,0,0,0,0,9,246,82,49,0,0,0,0,0,0,370,6,0,0,0,0,0,0,0,0,4,12,8,0,0,0,0,0,0,0,21,384,104,67,0,0,0,0,0,5,549,3052,449,228,4,0,0,3,4,4,3742,3838,807,524,0,0,0,0,0,5,5180,2091,1143,1229,0,0,0,0,0,3,4474,414,425,53,0,0,0,0,0,0,894,832,312,235,0,0,0,0,0,3,1390,55,68,7,0,0,0,0,0,0,132,111,43,20,0,0,0,0,6,4,178,30,8,5,0,0,0,0,0,0,49
LGA50560,8,0,0,0,0,0,0,0,0,8,9,0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,24,356,0,0,0,0,0,0,3,0,358,166,0,0,0,0,5,0,5,0,169,12,0,0,0,0,0,0,0,0,12,6,6,0,0,0,0,0,0,0,8,35,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,3,3,0,4,7,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
LGA50630,5,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,5,9,5,0,0,0,0,0,0,0,9,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,5,0,0,0,0,0,0,0,25,197,0,0,3,0,0,0,3,0,201,198,0,0,0,0,0,0,0,0,198,52,3,0,0,0,0,0,0,0,57,11,3,0,0,0,0,0,0,0,9,39,0,0,0,0,0,0,0,0,43,6,3,0,0,0,0,0,0,0,7,27,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0
LGA50770,3,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,5,17,0,0,0,0,0,0,0,0,17,331,0,0,0,0,0,0,0,0,333,167,0,0,0,0,0,0,0,0,165,23,0,0,0,0,0,0,0,0,23,12,0,0,0,0,0,0,0,0,12,52,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0
LGA50840,11,0,0,0,0,0,0,0,0,11,25,0,0,0,0,0,0,0,0,25,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,48,875,4,0,6,3,0,0,9,3,900,668,0,0,0,0,0,0,4,0,677,126,4,3,0,0,0,0,0,0,137,30,10,0,0,0,0,0,0,0,33,103,0,5,0,0,0,0,0,0,108,8,6,0,0,0,0,0,0,0,13,23,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,5
LGA50910,11,0,0,0,0,0,0,0,0,11,7,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,31,161,0,0,0,0,0,0,0,0,162,56,0,0,0,0,0,0,0,0,56,4,0,0,0,0,0,0,0,0,4,5,3,0,0,0,0,0,0,0,14,27,0,0,0,0,0,0,0,0,24,0,4,0,0,0,0,0,0,0,4,13,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0
