LGA_CODE_2021,Tot_20_24_PD_GD_GCL_M,Tot_20_24_BDL_M,Tot_20_24_ADip_DipL_M,Tot_20_24_Ct_III_IV_M,Tot_20_24_Ct_I_II_M,Tot_20_24_CL_nfd_M,Tot_20_24_LoE_NS_M,Tot_20_24_Tot_M,Tot_25_34_PD_GD_GCL_M,Tot_25_34_BDL_M,Tot_25_34_ADip_DipL_M,Tot_25_34_Ct_III_IV_M,Tot_25_34_Ct_I_II_M,Tot_25_34_CL_nfd_M,Tot_25_34_LoE_NS_M,Tot_25_34_Tot_M,Tot_35_44_PD_GD_GCL_M,Tot_35_44_BDL_M,Tot_35_44_ADip_DipL_M,Tot_35_44_Ct_III_IV_M,Tot_35_44_Ct_I_II_M,Tot_35_44_CL_nfd_M,Tot_35_44_LoE_NS_M,Tot_35_44_Tot_M,Tot_45_54_PD_GD_GCL_M,Tot_45_54_BDL_M,Tot_45_54_ADip_DipL_M,Tot_45_54_Ct_III_IV_M,Tot_45_54_Ct_I_II_M,Tot_45_54_CL_nfd_M,Tot_45_54_LoE_NS_M,Tot_45_54_Tot_M,Tot_55_64_PD_GD_GCL_M,Tot_55_64_BDL_M,Tot_55_64_ADip_DipL_M,Tot_55_64_Ct_III_IV_M,Tot_55_64_Ct_I_II_M,Tot_55_64_CL_nfd_M,Tot_55_64_LoE_NS_M,Tot_55_64_Tot_M,Tot_65ov_PtgdDe_GdDp_GdCt_M,Tot_65ov_BDL_M,Tot_65ov_ADip_DipL_M,Tot_65ov_Ct_III_IV_M,Tot_65ov_Ct_I_II_M,Tot_65ov_CL_nfd_M,Tot_65ov_LoE_NS_M,Tot_65ov_Tot_M,Tot_Tot_PD_GD_GCL_M,Tot_Tot_BDL_M,Tot_Tot_ADip_DipL_M,Tot_Tot_Ct_III_IV_M,Tot_Tot_Ct_I_II_M,Tot_tot_CL_nfd_M,Tot_Tot_LoE_NS_M,Tot_Tot_Tot_M,Ind_15_19_PD_GD_GCL_F,Ind_15_19_BDL_F,Ind_15_19_ADip_DipL_F,Ind_15_19_Ct_III_IV_F,Ind_15_19_Ct_I_II_F,Ind_15_19_CL_nfd_F,Ind_15_19_LoE_NS_F,Ind_15_19_Tot_F,Ind_20_24_PD_GD_GCL_F,Ind_20_24_BDL_F,Ind_20_24_ADip_DipL_F,Ind_20_24_Ct_III_IV_F,Ind_20_24_Ct_I_II_F,Ind_20_24_CL_nfd_F,Ind_20_24_LoE_NS_F,Ind_20_24_Tot_F,Ind_25_34_PD_GD_GCL_F,Ind_25_34_BDL_F,Ind_25_34_ADip_DipL_F,Ind_25_34_Ct_III_IV_F,Ind_25_34_Ct_I_II_F,Ind_25_34_CL_nfd_F,Ind_25_34_LoE_NS_F,Ind_25_34_Tot_F,Ind_35_44_PD_GD_GCL_F,Ind_35_44_BDL_F,Ind_35_44_ADip_DipL_F,Ind_35_44_Ct_III_IV_F,Ind_35_44_Ct_I_II_F,Ind_35_44_CL_nfd_F,Ind_35_44_LoE_NS_F,Ind_35_44_Tot_F,Ind_45_54_PD_GD_GCL_F,Ind_45_54_BDL_F,Ind_45_54_ADip_DipL_F,Ind_45_54_Ct_III_IV_F,Ind_45_54_Ct_I_II_F,Ind_45_54_CL_nfd_F,Ind_45_54_LoE_NS_F,Ind_45_54_Tot_F,Ind_55_64_PD_GD_GCL_F,Ind_55_64_BDL_F,Ind_55_64_ADip_DipL_F,Ind_55_64_Ct_III_IV_F,Ind_55_64_Ct_I_II_F,Ind_55_64_CL_nfd_F,Ind_55_64_LoE_NS_F,Ind_55_64_Tot_F,Ind_65ov_PtgdDe_GdDp_GdCt_F,Ind_65ov_BDL_F,Ind_65ov_ADip_DipL_F,Ind_65ov_Ct_III_IV_F,Ind_65ov_Ct_I_II_F,Ind_65ov_CL_nfd_F,Ind_65ov_LoE_NS_F,Ind_65ov_Tot_F,Ind_Tot_PD_GD_GCL_F,Ind_Tot_BDL_F,Ind_Tot_ADip_DipL_F,Ind_Tot_Ct_III_IV_F,Ind_Tot_Ct_I_II_F,Ind_tot_CL_nfd_F,Ind_Tot_LoE_NS_F,Ind_Tot_Tot_F,NonI_15_19_PD_GD_GCL_F,NonI_15_19_BDL_F,NonI_15_19_ADip_DipL_F,NonI_15_19_Ct_III_IV_F,NonI_15_19_Ct_I_II_F,NonI_15_19_CL_nfd_F,NonI_15_19_LoE_NS_F,NonI_15_19_Tot_F,NonI_20_24_PD_GD_GCL_F,NonI_20_24_BDL_F,NonI_20_24_ADip_DipL_F,NonI_20_24_Ct_III_IV_F,NonI_20_24_Ct_I_II_F,NonI_20_24_CL_nfd_F,NonI_20_24_LoE_NS_F,NonI_20_24_Tot_F,NonI_25_34_PD_GD_GCL_F,NonI_25_34_BDL_F,NonI_25_34_ADip_DipL_F,NonI_25_34_Ct_III_IV_F,NonI_25_34_Ct_I_II_F,NonI_25_34_CL_nfd_F,NonI_25_34_LoE_NS_F,NonI_25_34_Tot_F,NonI_35_44_PD_GD_GCL_F,NonI_35_44_BDL_F,NonI_35_44_ADip_DipL_F,NonI_35_44_Ct_III_IV_F,NonI_35_44_Ct_I_II_F,NonI_35_44_CL_nfd_F,NonI_35_44_LoE_NS_F,NonI_35_44_Tot_F,NonI_45_54_PD_GD_GCL_F,NonI_45_54_BDL_F,NonI_45_54_ADip_DipL_F,NonI_45_54_Ct_III_IV_F,NonI_45_54_Ct_I_II_F,NonI_45_54_CL_nfd_F,NonI_45_54_LoE_NS_F,NonI_45_54_Tot_F,NonI_55_64_PD_GD_GCL_F,NonI_55_64_BDL_F,NonI_55_64_ADip_DipL_F,NonI_55_64_Ct_III_IV_F,NonI_55_64_Ct_I_II_F,NonI_55_64_CL_nfd_F,NonI_55_64_LoE_NS_F,NonI_55_64_Tot_F,NonI_65ov_PtgdDe_GdDp_GdCt_F,NonI_65ov_BDL_F,NonI_65ov_ADip_DipL_F,NonI_65ov_Ct_III_IV_F,NonI_65ov_Ct_I_II_F,NonI_65ov_CL_nfd_F,NonI_65ov_LoE_NS_F,NonI_65ov_Tot_F,NonI_Tot_PD_GD_GCL_F,NonI_Tot_BDL_F,NonI_Tot_ADip_DipL_F,NonI_Tot_Ct_III_IV_F,NonI_Tot_Ct_I_II_F,NonI_tot_CL_nfd_F,NonI_Tot_LoE_NS_F,NonI_Tot_Tot_F,IS_NS_15_19_PD_GD_GCL_F,IS_NS_15_19_BDL_F,IS_NS_15_19_ADip_DipL_F,IS_NS_15_19_Ct_III_IV_F,IS_NS_15_19_Ct_I_II_F,IS_NS_15_19_CL_nfd_F,IS_NS_15_19_LoE_NS_F,IS_NS_15_19_Tot_F,IS_NS_20_24_PD_GD_GCL_F,IS_NS_20_24_BDL_F,IS_NS_20_24_ADip_DipL_F,IS_NS_20_24_Ct_III_IV_F,IS_NS_20_24_Ct_I_II_F,IS_NS_20_24_CL_nfd_F,IS_NS_20_24_LoE_NS_F,IS_NS_20_24_Tot_F
LGA50080,11,28,24,282,58,10,71,472,67,171,121,804,42,19,194,1412,88,227,170,709,34,21,152,1404,113,259,213,734,22,31,181,1557,99,240,262,735,28,43,207,1606,165,330,353,892,16,93,459,2317,530,1257,1144,4258,300,222,1337,9045,0,0,0,3,9,0,10,18,3,0,0,13,3,0,6,22,3,0,5,18,10,4,4,40,0,5,3,17,0,0,0,34,0,8,10,16,0,0,7,55,0,8,12,17,0,0,9,39,0,4,3,7,0,3,13,24,6,23,37,87,24,9,47,228,0,0,9,93,69,15,17,203,16,77,47,197,87,9,20,454,122,383,201,499,62,26,40,1332,161,480,300,440,48,37,58,1523,194,463,355,467,56,93,60,1685,208,400,396,384,51,113,112,1669,171,462,486,273,41,110,509,2042,867,2267,1793,2366,409,391,813,8911,0,0,0,0,0,0,42,42,0,0,0,0,0,0,31,30
LGA50210,18,189,124,590,156,27,211,1321,294,898,636,2062,146,61,553,4661,814,1435,922,1913,70,87,627,5864,360,730,566,1515,47,73,495,3779,207,387,431,1401,16,73,393,2906,179,355,397,1474,22,113,535,3075,1872,3989,3086,9124,593,450,3008,22123,0,0,0,5,0,0,9,11,0,0,5,22,17,3,4,56,3,3,21,55,13,7,13,119,7,9,20,29,0,6,9,75,5,9,20,21,3,0,4,59,0,3,13,10,0,0,10,41,0,0,3,0,0,0,9,23,15,33,80,147,36,14,55,383,4,0,20,215,134,26,40,432,37,283,206,606,136,42,54,1369,655,1793,814,1433,166,91,194,5141,946,2043,1027,1277,118,150,227,5784,419,884,696,880,85,169,149,3288,220,492,584,649,86,133,192,2352,143,429,451,398,60,145,599,2230,2411,5920,3805,5453,788,759,1452,20592,0,0,0,0,0,0,119,122,0,0,0,3,0,0,125,128
LGA50250,0,10,5,56,8,0,59,139,28,57,38,343,10,4,214,687,24,61,49,380,12,11,210,738,11,32,43,217,3,7,169,481,12,20,32,129,0,4,114,312,0,7,8,42,0,0,27,87,77,186,172,1162,40,30,825,2490,0,0,0,0,3,0,9,9,0,0,3,4,3,0,3,16,0,3,0,12,4,4,3,23,0,0,4,13,5,0,0,26,0,0,0,7,0,0,0,13,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,4,0,10,14,43,13,10,16,102,0,0,0,10,0,0,0,14,0,15,3,27,3,0,4,59,33,122,71,115,12,6,8,366,30,93,64,103,9,8,11,319,15,30,44,46,5,7,11,154,14,19,28,33,0,10,7,109,3,13,0,11,0,0,11,34,88,292,215,347,30,35,55,1064,0,0,0,0,0,0,18,18,0,0,0,0,0,0,31,31
LGA50280,0,13,5,66,22,3,31,141,37,141,64,285,9,9,104,654,56,213,113,401,14,21,146,963,73,188,125,368,13,23,182,973,54,155,93,351,8,18,97,774,104,180,165,297,11,30,173,952,329,892,564,1781,94,106,785,4549,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,4,0,4,0,0,0,7,0,4,0,7,0,0,0,14,0,0,5,5,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,3,0,14,0,16,3,0,5,39,0,0,6,19,9,0,6,40,3,11,10,45,8,0,3,86,59,293,103,132,18,21,28,648,155,410,170,237,19,36,48,1070,90,289,172,179,24,39,37,833,92,191,176,146,19,41,39,695,93,204,199,79,21,26,138,762,485,1397,836,832,117,169,295,4130,0,0,0,0,0,0,20,19,0,0,0,0,0,0,22,23
LGA50350,8,51,22,85,18,7,46,237,89,269,97,268,18,0,105,857,136,243,122,283,13,8,91,906,105,176,120,269,11,19,79,762,71,109,90,250,11,15,65,615,46,91,98,331,3,20,127,719,459,943,550,1515,89,70,526,4161,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,3,4,8,4,0,0,19,3,0,0,3,0,0,0,11,0,4,4,0,0,3,0,15,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,5,9,10,7,19,8,3,10,66,0,0,0,27,7,4,3,41,9,73,31,65,28,7,5,213,132,386,110,167,25,10,26,852,208,371,131,175,22,28,19,953,153,241,133,128,15,34,19,717,108,154,135,115,4,44,36,598,57,129,127,91,15,36,117,570,660,1354,665,762,106,152,241,3939,0,0,0,0,0,0,8,13,0,0,0,0,0,0,16,16
LGA50420,47,296,188,334,75,14,154,1119,588,1644,573,1197,66,59,430,4554,717,1521,572,1033,31,61,410,4353,408,900,512,859,44,57,318,3099,312,559,385,924,15,57,287,2541,253,562,509,1236,15,97,508,3182,2328,5490,2765,5666,317,346,2180,19079,0,0,0,4,0,0,0,7,0,0,4,9,0,0,3,27,3,13,0,24,9,0,4,58,5,4,3,14,0,4,3,37,3,8,3,11,0,0,6,37,0,7,7,3,0,0,3,18,0,0,5,0,0,3,0,12,18,36,25,71,12,11,30,192,0,0,14,83,51,12,20,175,50,442,185,284,89,24,46,1115,929,2136,611,704,75,52,138,4644,953,1716,611,557,55,97,147,4136,563,1007,554,517,57,121,124,2941,330,591,499,399,71,130,160,2181,269,566,542,325,59,195,484,2443,3088,6464,3010,2873,452,629,1118,17637,0,0,0,0,0,0,56,56,0,0,0,0,0,0,71,69
LGA50490,22,195,136,280,64,17,168,884,429,1061,478,850,69,42,445,3371,451,740,411,651,35,37,387,2704,201,411,257,609,15,45,291,1827,125,233,233,566,16,40,224,1442,97,207,193,660,9,41,335,1538,1321,2845,1725,3675,272,227,1910,11980,0,0,0,4,0,0,0,9,0,0,6,10,6,0,4,24,0,6,4,36,8,5,11,67,3,11,7,8,0,0,4,40,5,4,10,3,5,0,7,38,0,5,12,9,0,0,8,34,6,4,5,0,0,0,9,23,13,34,39,77,19,13,42,232,0,0,8,57,43,3,14,139,42,263,135,251,63,14,49,817,534,1354,473,476,45,42,132,3057,456,920,375,364,30,53,98,2303,231,441,321,269,29,63,85,1432,116,263,263,204,30,75,95,1044,77,222,211,178,31,75,366,1156,1454,3458,1793,1796,282,328,836,9940,0,0,0,0,0,0,43,43,0,0,0,0,0,0,82,82
LGA50560,0,0,0,3,0,0,3,6,0,5,0,26,7,0,11,49,0,11,3,17,0,0,12,51,5,6,10,26,0,0,18,65,3,4,6,35,0,0,18,77,3,11,21,59,0,6,51,157,7,42,44,169,10,11,133,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,0,0,3,7,0,0,0,4,0,0,0,4,0,4,0,3,0,0,0,5,6,9,6,12,0,0,0,36,3,17,13,14,4,0,7,55,3,20,12,13,3,0,0,53,3,19,11,14,0,5,7,59,3,23,27,15,0,5,26,92,23,86,66,74,8,13,37,311,0,0,0,0,0,0,3,3,0,0,0,0,0,0,6,6
LGA50630,0,0,0,10,3,0,0,15,0,12,3,42,0,0,14,71,0,5,5,31,0,4,7,56,4,8,4,42,0,3,15,80,3,4,4,49,0,0,23,90,4,4,10,30,0,5,22,74,15,35,26,198,9,13,96,392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,13,0,0,0,4,4,0,0,10,0,8,3,0,4,0,0,14,0,15,5,25,0,4,0,58,6,23,12,15,3,0,3,61,0,11,6,16,3,6,12,46,0,7,17,19,0,3,9,52,7,16,15,3,6,4,13,66,23,78,55,81,21,17,36,303,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0
LGA50770,0,0,0,11,0,0,5,15,0,7,0,20,4,0,10,40,0,4,4,32,0,0,8,60,0,9,5,37,0,0,19,75,3,11,15,37,0,0,19,84,3,9,10,37,0,6,32,99,7,45,38,178,8,10,97,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,10,0,0,0,5,3,3,0,8,0,0,0,6,7,0,0,16,0,16,7,20,0,4,0,48,4,43,10,19,0,4,3,77,3,22,15,19,0,3,3,69,4,15,15,16,0,4,3,64,6,13,20,8,0,10,19,84,18,113,67,104,10,21,28,363,0,0,0,0,0,0,3,3,0,0,0,0,0,0,4,4
