LGA_CODE_2021,NsQ_Cer_III_IV_IndSt_nsP,NsQ_Cer_III_IV_TotM,NsQ_Cer_III_IV_TotF,NsQ_Cer_III_IV_TotP,NsQ_Cer_I_II_Ind_M,NsQ_Cer_I_II_Ind_F,NsQ_Cer_I_II_Ind_P,NsQ_Cer_I_II_No_In_M,NsQ_Cer_I_II_No_In_F,NsQ_Cer_I_II_No_In_P,NsQ_Cer_I_II_Ind_s_nsM,NsQ_Cer_I_II_Ind_s_nsF,NsQ_Cer_I_II_Ind_s_nsP,NsQ_Cer_I_II_TotM,NsQ_Cer_I_II_TotF,NsQ_Cer_I_II_TotP,Mig_Sme_add_1_yr_ago_Indig_M,Mig_Sme_add_1_yr_ago_Indig_F,Mig_Sme_add_1_yr_ago_Indig_P,Mig_Sme_add_1_yr_ago_No_Ind_M,Mig_Sme_add_1_yr_ago_No_Ind_F,Mig_Sme_add_1_yr_ago_No_Ind_P,Mig_sa_ad_1_yr_ag_IndSt_nsM,Mig_sa_ad_1_yr_ag_IndSt_nsF,Mig_sa_ad_1_yr_ag_IndSt_nsP,Mig_Sme_add_1_yr_ago_TotM,Mig_Sme_add_1_yr_ago_TotF,Mig_Sme_add_1_yr_ago_TotP,Mig_Diff_add_1_yr_ago_Indig_M,Mig_Diff_add_1_yr_ago_Indig_F,Mig_Diff_add_1_yr_ago_Indig_P,Mig_Diff_ad_1_yr_ago_No_Ind_M,Mig_Diff_ad_1_yr_ago_No_Ind_F,Mig_Diff_ad_1_yr_ago_No_Ind_P,Mig_Dif_ad_1_yr_ag_In_st_nsM,Mig_Dif_ad_1_yr_ag_In_st_nsF,Mig_Dif_ad_1_yr_ag_In_st_nsP,Mig_Diff_add_1_yr_ago_TotM,Mig_Diff_add_1_yr_ago_TotF,Mig_Diff_add_1_yr_ago_TotP,Mig_Sme_add_5_ago_Indig_M,Mig_Sme_add_5_ago_Indig_F,Mig_Sme_add_5_ago_Indig_P,Mig_Sme_ad_5_ago_No_Ind_M,Mig_Sme_ad_5_ago_No_Ind_F,Mig_Sme_ad_5_ago_No_Ind_P,Mig_sa_ad_5_ag_In_st_nsM,Mig_sa_ad_5_ag_In_st_nsF,Mig_sa_ad_5_ag_In_st_nsP,Mig_Sme_add_5_ago_TotM,Mig_Sme_add_5_ago_TotF,Mig_Sme_add_5_ago_TotP,Mig_Diff_add_5_ago_Ind_M,Mig_Diff_add_5_ago_Ind_F,Mig_Diff_add_5_ago_Ind_P,Mig_Diff_ad_5_ag_No_Ind_M,Mig_Diff_ad_5_ag_No_Ind_F,Mig_Diff_ad_5_ag_No_Ind_P,Mi_Dif_ad_5_ag_In_st_nsM,Mi_Dif_ad_5_ag_In_st_nsF,Mi_Dif_ad_5_ag_In_st_nsP,Mig_Diff_add_5_ago_TotM,Mig_Diff_add_5_ago_TotF,Mig_Diff_add_5_ago_TotP
LGA50080,33,4258,2456,6717,16,24,39,285,409,697,0,3,3,300,441,735,536,528,1064,14174,15070,29249,96,104,206,14801,15711,30518,98,89,189,2484,2695,5177,14,16,30,2597,2796,5392,328,315,639,9459,9896,19356,77,82,157,9860,10291,20155,239,238,482,6383,7120,13506,31,34,70,6652,7398,14052
LGA50210,42,9124,5615,14742,20,36,54,571,788,1356,0,4,4,593,828,1416,1082,1118,2197,36616,37633,74258,147,163,307,37842,38914,76758,206,243,446,5269,5568,10831,27,15,40,5499,5822,11317,562,583,1146,23092,23308,46398,105,116,226,23762,24007,47769,560,621,1180,15739,17023,32762,47,43,86,16342,17690,34031
LGA50250,4,1162,392,1554,7,13,19,38,30,68,0,0,0,40,46,91,295,267,564,2187,1560,3747,10,16,24,2495,1839,4335,96,77,175,752,619,1374,3,6,11,856,705,1561,158,142,296,931,539,1469,8,8,10,1094,683,1773,189,181,372,1793,1424,3216,11,14,21,1987,1619,3605
LGA50280,17,1781,853,2634,3,3,7,90,117,207,0,0,0,94,120,214,86,90,179,6067,6184,12249,43,59,103,6199,6338,12532,13,20,34,1299,1316,2615,9,8,22,1323,1346,2668,50,40,93,3781,3811,7591,35,40,70,3859,3892,7754,42,63,101,3164,3328,6490,15,25,38,3223,3409,6629
LGA50350,9,1515,790,2304,4,8,10,87,106,198,0,4,4,89,118,212,160,147,305,6102,6527,12626,23,34,61,6285,6703,12988,35,39,72,903,928,1827,3,0,4,943,974,1909,100,79,183,4087,4426,8518,18,24,47,4207,4536,8743,76,89,162,2495,2653,5150,11,11,19,2573,2753,5325
LGA50420,21,5666,2948,8613,10,12,19,304,452,752,0,0,0,317,461,773,394,407,799,27178,27794,54972,92,84,178,27665,28283,55951,111,125,232,4488,4660,9143,12,4,17,4609,4780,9396,212,201,412,17510,18036,35547,72,67,142,17802,18307,36104,253,279,527,12483,12859,25347,18,21,39,12753,13156,25910
LGA50490,21,3675,1874,5555,22,19,35,248,282,530,0,0,0,272,296,564,434,450,876,15609,15263,30871,68,71,141,16109,15780,31885,87,107,203,3337,3323,6661,6,9,16,3435,3441,6874,226,219,448,9034,8918,17949,42,44,86,9301,9185,18485,241,297,539,8959,8728,17682,22,24,53,9222,9055,18274
LGA50560,3,169,80,247,0,0,0,10,8,15,0,0,0,10,10,17,20,12,30,635,628,1265,4,14,18,660,657,1309,3,6,4,68,74,139,3,0,3,75,73,146,16,15,25,489,467,957,3,12,11,506,489,995,5,6,5,189,208,393,3,10,7,194,215,416
LGA50630,4,198,87,290,0,0,0,9,21,31,0,0,0,9,25,33,26,25,50,603,556,1158,7,9,11,634,585,1222,0,5,7,150,151,299,0,0,0,149,151,303,12,6,15,402,378,786,0,6,8,420,395,808,18,19,33,291,281,573,0,0,0,308,300,608
LGA50770,3,178,110,285,0,0,0,8,10,19,0,0,0,8,10,19,14,13,27,689,688,1378,17,15,25,715,714,1428,4,6,3,76,85,167,0,0,0,77,89,169,6,7,14,532,492,1025,8,7,16,545,507,1055,6,4,14,197,240,440,0,4,10,208,246,454
