LGA_CODE_2021,Neg_nil_inc_Hh_with_Ind_psns,Neg_nil_inc_Other_households,Neg_nil_inc_Tot_hhlds,1_149_Hhd_with_Indig_psns,1_149_Other_households,1_149_Tot_hhlds,150_299_Hhd_with_Indig_psns,150_299_Other_households,150_299_Tot_hhlds,300_399_Hhd_with_Indig_psns,300_399_Other_households,300_399_Tot_hhlds,400_499_Hhd_with_Indig_psns,400_499_Other_households,400_499_Tot_hhlds,500_649_Hhd_with_Indig_psns,500_649_Other_households,500_649_Tot_hhlds,650_799_Hhd_with_Indig_psns,650_799_Other_households,650_799_Tot_hhlds,800_999_Hh_with_Indig_psn,800_999_Other_households,800_999_Tot_hhlds,1000_1249_Hh_with_Indig_psn,1000_1249_Other_households,1000_1249_Tot_hhlds,1250_1499_Hh_with_Indig_psn,1250_1499_Other_households,1250_1499_Tot_hhlds,1500_1749_Hh_with_Indig_psn,1500_1749_Other_households,1500_1749_Tot_hhlds,1750_1999_Hh_with_Indig_psn,1750_1999_Other_households,1750_1999_Tot_hhlds,2000_more_Hh_with_Indig_psn,2000_more_Other_households,2000_more_Tot_hhlds,Part_inc_st_Hh_with_Indig_psn,Partial_inc_stated_Other_hhds,Partial_inc_stated_Tot_hhlds,All_inc_ns_Hh_with_Ind_psns,All_income_ns_Other_household,All_inc_NS_Tot_hhlds,Tot_Household_with_Indig_psns,Tot_Other_households,Tot_Tot_hhlds
LGA50080,10,221,231,3,141,145,43,318,366,62,617,682,65,1663,1728,54,1556,1607,43,1269,1317,58,1555,1618,50,1656,1706,31,1101,1135,31,913,942,28,669,701,35,1234,1269,54,940,990,11,282,292,578,14135,14729
LGA50210,26,441,472,8,174,181,78,630,708,94,1166,1253,110,2568,2679,112,2593,2709,111,2494,2605,114,3366,3482,105,4035,4141,89,3038,3122,57,2560,2621,44,1929,1973,93,3485,3575,111,2435,2550,25,452,480,1177,31366,32551
LGA50250,8,5,14,4,4,7,14,9,22,25,3,30,4,23,31,7,14,23,10,19,27,10,53,62,20,112,130,18,122,144,19,115,135,13,162,176,73,531,602,29,128,154,12,19,22,266,1319,1579
LGA50280,0,79,80,3,49,47,6,123,132,9,208,221,8,481,491,7,520,529,12,529,539,15,632,644,10,711,722,19,502,512,5,362,367,5,304,314,9,554,562,13,621,632,3,82,83,124,5757,5875
LGA50350,0,88,88,3,43,46,19,121,134,12,240,252,20,590,606,11,512,521,14,424,441,18,523,539,20,633,651,6,539,543,18,513,528,6,458,464,20,1024,1043,13,377,388,5,91,94,185,6176,6338
LGA50420,12,505,511,11,197,207,39,560,596,33,1067,1098,38,2502,2540,51,2118,2167,41,1795,1837,43,2416,2460,57,2899,2956,29,2428,2456,33,2121,2150,31,1983,2008,76,4873,4950,46,1682,1731,14,358,370,554,27504,28037
LGA50490,19,311,323,7,124,130,43,405,453,36,653,690,36,1461,1497,44,1205,1254,32,1053,1083,38,1450,1486,57,1899,1955,39,1584,1623,34,1392,1425,34,1122,1154,68,2465,2529,42,1111,1153,19,238,255,548,16473,17010
LGA50560,0,17,14,0,6,6,0,11,18,0,37,37,3,111,110,4,75,78,0,50,50,4,68,71,0,54,51,4,32,34,0,20,20,0,28,28,0,52,49,0,67,67,4,13,16,19,641,649
LGA50630,0,13,13,0,7,7,0,16,17,0,24,27,0,46,46,0,45,49,4,33,32,0,46,45,5,64,65,5,26,33,0,39,39,0,40,40,0,95,101,3,67,70,0,9,9,17,570,593
LGA50770,0,14,14,0,11,11,0,19,19,0,38,39,4,70,79,3,58,59,3,51,54,0,92,92,0,46,50,0,47,47,5,32,30,0,27,27,3,57,60,0,61,63,0,19,19,18,642,663
