LGA_CODE_2021,Ty_LTHC_Arth_Ind_M,Ty_LTHC_Arth_Ind_F,Ty_LTHC_Arth_Ind_P,Ty_LTHC_Arth_NoInd_M,Ty_LTHC_Arth_NoInd_F,Ty_LTHC_Arth_NoInd_P,Ty_LTHC_Arth_In_ns_M,Ty_LTHC_Arth_In_ns_F,Ty_LTHC_Arth_In_ns_P,Ty_LTHC_Arth_Tot_M,Ty_LTHC_Arth_Tot_F,Ty_LTHC_Arth_Tot_P,Ty_LTHC_Asth_Ind_M,Ty_LTHC_Asth_Ind_F,Ty_LTHC_Asth_Ind_P,Ty_LTHC_Asth_NoInd_M,Ty_LTHC_Asth_NoInd_F,Ty_LTHC_Asth_NoInd_P,Ty_LTHC_Asth_In_ns_M,Ty_LTHC_Asth_In_ns_F,Ty_LTHC_Asth_In_ns_P,Ty_LTHC_Asth_Tot_M,Ty_LTHC_Asth_Tot_F,Ty_LTHC_Asth_Tot_P,Ty_LTHC_Canc_Ind_M,Ty_LTHC_Canc_Ind_F,Ty_LTHC_Canc_Ind_P,Ty_LTHC_Canc_NoInd_M,Ty_LTHC_Canc_NoInd_F,Ty_LTHC_Canc_NoInd_P,Ty_LTHC_Canc_In_ns_M,Ty_LTHC_Canc_In_ns_F,Ty_LTHC_Canc_In_ns_P,Ty_LTHC_Canc_Tot_M,Ty_LTHC_Canc_Tot_F,Ty_LTHC_Canc_Tot_P,Ty_LTHC_Dem_Ind_M,Ty_LTHC_Dem_Ind_F,Ty_LTHC_Dem_Ind_P,Ty_LTHC_Dem_NoInd_M,Ty_LTHC_Dem_NoInd_F,Ty_LTHC_Dem_NoInd_P,Ty_LTHC_Dem_In_ns_M,Ty_LTHC_Dem_In_ns_F,Ty_LTHC_Dem_In_ns_P,Ty_LTHC_Dem_Tot_M,Ty_LTHC_Dem_Tot_F,Ty_LTHC_Dem_Tot_P,Ty_LTHC_Diab_Ind_M,Ty_LTHC_Diab_Ind_F,Ty_LTHC_Diab_Ind_P,Ty_LTHC_Diab_NoInd_M,Ty_LTHC_Diab_NoInd_F,Ty_LTHC_Diab_NoInd_P,Ty_LTHC_Diab_In_ns_M,Ty_LTHC_Diab_In_ns_F,Ty_LTHC_Diab_In_ns_P,Ty_LTHC_Diab_Tot_M,Ty_LTHC_Diab_Tot_F,Ty_LTHC_Diab_Tot_P,Ty_LTHC_Heart_Dis_Ind_M,Ty_LTHC_Heart_Dis_Ind_F,Ty_LTHC_Heart_Dis_Ind_P,Ty_LTHC_Heart_Dis_NoInd_M,Ty_LTHC_Heart_Dis_NoInd_F,Ty_LTHC_Heart_Dis_NoInd_P,Ty_LTHC_Heart_Dis_In_ns_M,Ty_LTHC_Heart_Dis_In_ns_F,Ty_LTHC_Heart_Dis_In_ns_P,Ty_LTHC_Heart_Dis_Tot_M,Ty_LTHC_Heart_Dis_Tot_F,Ty_LTHC_Heart_Dis_Tot_P,Ty_LTHC_Kid_Dis_Ind_M,Ty_LTHC_Kid_Dis_Ind_F,Ty_LTHC_Kid_Dis_Ind_P,Ty_LTHC_Kid_Dis_NoInd_M,Ty_LTHC_Kid_Dis_NoInd_F,Ty_LTHC_Kid_Dis_NoInd_P,Ty_LTHC_Kid_Dis_In_ns_M,Ty_LTHC_Kid_Dis_In_ns_F,Ty_LTHC_Kid_Dis_In_ns_P,Ty_LTHC_Kid_Dis_Tot_M,Ty_LTHC_Kid_Dis_Tot_F,Ty_LTHC_Kid_Dis_Tot_P,Ty_LTHC_Lung_Con_Ind_M,Ty_LTHC_Lung_Con_Ind_F,Ty_LTHC_Lung_Con_Ind_P,Ty_LTHC_Lung_Con_NoInd_M,Ty_LTHC_Lung_Con_NoInd_F,Ty_LTHC_Lung_Con_NoInd_P,Ty_LTHC_Lung_Con_In_ns_M,Ty_LTHC_Lung_Con_In_ns_F,Ty_LTHC_Lung_Con_In_ns_P,Ty_LTHC_Lung_Con_Tot_M,Ty_LTHC_Lung_Con_Tot_F,Ty_LTHC_Lung_Con_Tot_P,Ty_LTHC_MHC_Ind_M,Ty_LTHC_MHC_Ind_F,Ty_LTHC_MHC_Ind_P,Ty_LTHC_MHC_NoInd_M,Ty_LTHC_MHC_NoInd_F,Ty_LTHC_MHC_NoInd_P,Ty_LTHC_MHC_In_ns_M,Ty_LTHC_MHC_In_ns_F,Ty_LTHC_MHC_In_ns_P,Ty_LTHC_MHC_Tot_M,Ty_LTHC_MHC_Tot_F,Ty_LTHC_MHC_Tot_P,Ty_LTHC_Stroke_Ind_M,Ty_LTHC_Stroke_Ind_F,Ty_LTHC_Stroke_Ind_P,Ty_LTHC_Stroke_NoInd_M,Ty_LTHC_Stroke_NoInd_F,Ty_LTHC_Stroke_NoInd_P,Ty_LTHC_Stroke_In_ns_M,Ty_LTHC_Stroke_In_ns_F,Ty_LTHC_Stroke_In_ns_P,Ty_LTHC_Stroke_Tot_M,Ty_LTHC_Stroke_Tot_F,Ty_LTHC_Stroke_Tot_P,Ty_LTHC_oth_LTHC_Ind_M,Ty_LTHC_oth_LTHC_Ind_F,Ty_LTHC_oth_LTHC_Ind_P,Ty_LTHC_oth_LTHC_NoInd_M,Ty_LTHC_oth_LTHC_NoInd_F,Ty_LTHC_oth_LTHC_NoInd_P,Ty_LTHC_oth_LTHC_In_ns_M,Ty_LTHC_oth_LTHC_In_ns_F,Ty_LTHC_oth_LTHC_In_ns_P,Ty_LTHC_oth_LTHC_Tot_M,Ty_LTHC_oth_LTHC_Tot_F,Ty_LTHC_oth_LTHC_Tot_P,Ty_LTHC_no_LTHC_Ind_M,Ty_LTHC_no_LTHC_Ind_F,Ty_LTHC_no_LTHC_Ind_P,Ty_LTHC_no_LTHC_NoInd_M,Ty_LTHC_no_LTHC_NoInd_F,Ty_LTHC_no_LTHC_NoInd_P,Ty_LTHC_no_LTHC_In_ns_M,Ty_LTHC_no_LTHC_In_ns_F,Ty_LTHC_no_LTHC_In_ns_P,Ty_LTHC_no_LTHC_Tot_M,Ty_LTHC_no_LTHC_Tot_F,Ty_LTHC_no_LTHC_Tot_P,Ty_LTHC_Ns_Ind_M,Ty_LTHC_Ns_Ind_F,Ty_LTHC_Ns_Ind_P,Ty_LTHC_Ns_NoInd_M,Ty_LTHC_Ns_NoInd_F,Ty_LTHC_Ns_NoInd_P,Ty_LTHC_Ns_In_ns_M,Ty_LTHC_Ns_In_ns_F,Ty_LTHC_Ns_In_ns_P,Ty_LTHC_Ns_Tot_M,Ty_LTHC_Ns_Tot_F,Ty_LTHC_Ns_Tot_P,Tot_p_Ind_M,Tot_p_Ind_F,Tot_p_Ind_P,Tot_p_NoInd_M,Tot_p_NoInd_F,Tot_p_NoInd_P,Tot_p_In_ns_M,Tot_p_In_ns_F,Tot_p_In_ns_P,Tot_p_Tot_M,Tot_p_Tot_F,Tot_p_Tot_P,Co_LTHC_no_SC_Ind_M,Co_LTHC_no_SC_Ind_F,Co_LTHC_no_SC_Ind_P,Co_LTHC_no_SC_NoInd_M,Co_LTHC_no_SC_NoInd_F,Co_LTHC_no_SC_NoInd_P,Co_LTHC_no_SC_In_ns_M,Co_LTHC_no_SC_In_ns_F,Co_LTHC_no_SC_In_ns_P,Co_LTHC_no_SC_Tot_M,Co_LTHC_no_SC_Tot_F,Co_LTHC_no_SC_Tot_P,Co_LTHC_1ms_LTHC_onec_Ind_M,Co_LTHC_1ms_LTHC_onec_Ind_F,Co_LTHC_1ms_LTHC_onec_Ind_P,Co_LTHC_1ms_LTHC_onec_NoInd_M,Co_LTHC_1ms_LTHC_onec_NoInd_F,Co_LTHC_1ms_LTHC_onec_NoInd_P,Co_LTHC_1ms_LTHC_onec_In_ns_M,Co_LTHC_1ms_LTHC_onec_In_ns_F,Co_LTHC_1ms_LTHC_onec_In_ns_P,Co_LTHC_1ms_LTHC_onec_Tot_M,Co_LTHC_1ms_LTHC_onec_Tot_F,Co_LTHC_1ms_LTHC_onec_Tot_P,Co_LTHC_1ms_LTHC_twoc_Ind_M,Co_LTHC_1ms_LTHC_twoc_Ind_F,Co_LTHC_1ms_LTHC_twoc_Ind_P,Co_LTHC_1ms_LTHC_twoc_NoInd_M,Co_LTHC_1ms_LTHC_twoc_NoInd_F,Co_LTHC_1ms_LTHC_twoc_NoInd_P,Co_LTHC_1ms_LTHC_twoc_In_ns_M,Co_LTHC_1ms_LTHC_twoc_In_ns_F
LGA50080,24,49,76,1584,2607,4185,9,26,34,1611,2681,4294,59,85,148,1413,1809,3223,8,11,17,1479,1910,3389,11,10,24,692,703,1396,3,12,9,704,730,1430,0,0,3,157,249,405,0,3,7,162,254,414,35,52,92,1035,926,1959,8,15,22,1083,995,2077,28,27,58,1074,717,1788,11,8,15,1108,751,1860,5,0,6,160,141,301,3,0,6,173,142,313,11,14,28,389,402,798,0,3,5,410,421,834,67,92,157,1522,2409,3931,4,16,22,1591,2516,4106,3,12,8,256,207,466,5,0,8,260,219,479,39,50,94,1371,1822,3197,3,10,10,1412,1884,3296,390,376,771,10019,10023,20040,56,48,102,10465,10443,20913,216,59,278,921,740,1660,901,759,1664,2042,1564,3603,811,667,1476,17231,18189,35424,992,874,1865,19033,19732,38763,415,395,807,10735,10799,21535,61,54,111,11207,11244,22454,125,129,261,3773,4271,8048,22,29,56,3925,4438,8355,37,60,91,1189,1591,2786,3,16
LGA50210,41,88,129,2328,4147,6469,11,41,55,2378,4281,6657,155,221,373,2927,4083,7007,15,30,37,3096,4333,7422,20,23,47,964,1069,2032,8,5,16,996,1099,2100,0,7,3,197,204,403,3,3,8,197,212,416,81,121,208,2345,2053,4392,17,20,36,2439,2193,4632,53,40,93,1726,1178,2903,10,13,25,1790,1228,3018,13,18,30,348,321,672,6,5,11,372,343,712,20,31,52,741,814,1553,9,10,12,767,847,1615,131,212,350,3061,5036,8095,17,24,46,3208,5278,8487,8,13,20,339,317,652,5,9,16,349,335,690,92,112,206,3124,3836,6959,11,22,39,3232,3974,7203,830,812,1641,29036,28028,57065,75,74,148,29942,28914,58856,115,91,205,1663,1575,3238,2215,1807,4021,3994,3467,7467,1366,1417,2785,42882,44187,87071,2352,1973,4327,46604,47583,94184,883,863,1748,30784,29793,60577,82,79,161,31750,30741,62490,266,271,538,7411,8505,15919,37,46,75,7711,8819,16528,71,122,191,2036,2919,4952,13,28
LGA50250,12,15,29,96,81,180,4,0,4,108,99,207,23,31,57,196,166,364,3,0,3,225,196,426,4,5,6,47,36,83,0,0,0,54,38,91,3,0,3,0,5,8,0,0,0,3,9,9,33,42,71,93,43,126,0,0,0,121,83,198,20,16,38,54,18,74,5,5,6,71,39,113,6,0,7,9,3,14,0,0,0,16,5,24,0,5,4,20,11,30,0,0,0,28,15,42,22,22,52,116,173,283,0,8,8,133,202,341,0,0,0,6,4,11,0,0,5,9,8,14,22,30,50,108,104,209,0,0,0,127,131,262,284,236,522,2348,1718,4065,9,6,18,2644,1965,4607,22,15,41,95,66,158,853,465,1323,968,547,1520,411,364,772,3015,2253,5266,869,481,1352,4297,3096,7391,299,244,546,2422,1781,4202,9,6,18,2728,2036,4767,72,73,143,404,317,720,0,3,8,481,393,869,14,21,34,75,68,145,0,5
LGA50280,8,5,12,454,749,1199,7,8,14,465,764,1226,7,12,22,457,528,982,9,7,14,473,547,1022,5,0,5,240,235,473,3,0,6,248,235,483,0,0,0,36,60,95,0,0,0,36,60,94,0,3,5,188,169,358,4,6,6,192,174,367,6,0,3,338,198,539,8,3,8,350,206,551,0,0,0,58,47,103,6,0,5,58,53,105,0,0,0,93,100,194,0,0,5,94,102,197,12,17,26,458,729,1186,3,6,11,469,748,1224,0,0,0,64,55,120,0,0,0,69,56,124,13,10,19,446,561,1010,0,4,3,461,574,1040,74,77,147,5246,5094,10336,36,47,77,5354,5209,10563,9,9,20,288,254,543,681,545,1226,980,813,1789,113,114,231,7541,7674,15213,732,613,1347,8388,8400,16791,75,79,159,5506,5384,10890,39,43,79,5615,5505,11124,18,13,35,1304,1431,2736,8,22,29,1333,1466,2794,3,10,15,324,425,748,0,6
LGA50350,4,14,23,441,881,1325,5,3,5,453,900,1351,26,36,63,561,720,1281,0,4,4,589,763,1351,0,0,0,223,265,486,0,0,0,222,270,491,0,0,0,52,74,119,0,0,0,49,74,126,9,15,26,382,336,723,5,0,6,391,357,751,6,5,14,368,270,645,0,8,9,377,286,659,0,0,6,77,71,150,0,0,0,79,71,151,3,4,5,159,185,344,3,0,8,161,192,357,27,26,56,617,1018,1631,0,4,6,649,1053,1697,0,0,0,77,81,154,0,0,0,77,82,161,12,17,32,574,782,1358,4,4,13,590,811,1394,122,104,226,4516,4331,8847,20,14,33,4651,4451,9103,21,13,35,289,271,563,418,318,733,726,602,1328,205,196,399,7151,7586,14740,443,350,796,7797,8135,15932,128,107,235,4818,4690,9507,20,15,34,4964,4815,9775,51,46,99,1423,1775,3195,11,8,15,1478,1826,3309,4,16,24,426,572,997,0,9
LGA50420,18,29,48,1796,3260,5052,6,15,22,1814,3312,5122,47,86,133,2222,2783,5008,3,11,15,2275,2881,5158,3,5,10,867,995,1868,0,4,9,871,1005,1883,0,5,14,216,372,581,3,0,0,222,378,603,25,34,56,1740,1472,3213,9,4,12,1768,1508,3276,13,23,28,1535,973,2509,4,8,14,1550,1002,2551,0,4,11,308,247,559,0,0,0,317,257,568,5,13,18,534,519,1059,4,4,6,543,537,1083,60,107,171,2358,3675,6035,7,6,12,2430,3792,6218,6,11,15,336,252,587,3,0,7,343,266,604,58,49,112,2330,3167,5497,14,3,11,2401,3221,5621,335,309,647,21552,20498,42049,56,47,105,21944,20854,42795,33,34,68,1083,1061,2144,1437,1142,2579,2556,2230,4788,535,545,1075,32324,33122,65445,1534,1231,2765,34387,34900,69283,366,327,692,22908,22036,44938,61,48,114,23335,22410,45748,93,105,203,5959,6927,12888,24,27,46,6080,7063,13143,28,53,83,1580,2101,3679,10,17
LGA50490,20,45,64,1013,1809,2821,8,20,22,1036,1869,2909,52,97,150,1118,1602,2722,5,8,10,1174,1708,2874,4,11,12,468,509,972,4,5,8,472,520,997,0,3,3,125,169,297,0,0,3,124,174,305,42,62,109,1029,883,1909,11,7,17,1084,948,2034,21,32,53,833,564,1396,3,8,6,858,600,1459,7,12,24,148,136,286,0,0,0,164,146,307,3,21,26,307,352,657,0,3,3,307,375,683,57,94,149,1225,1950,3180,5,7,15,1290,2056,3342,8,6,8,220,187,408,0,0,3,224,200,425,47,48,96,1320,1551,2871,5,10,10,1376,1607,2978,320,314,633,13511,12316,25827,43,48,90,13881,12673,26554,46,23,72,729,734,1459,1320,1047,2368,2097,1810,3903,547,582,1129,19473,19139,38609,1391,1126,2517,21413,20846,42257,339,328,674,14281,13030,27309,51,46,97,14672,13407,28076,111,138,252,3134,3561,6699,18,15,29,3266,3713,6980,33,48,83,885,1164,2051,7,9
LGA50560,4,3,3,93,138,234,0,5,3,102,143,245,5,0,3,79,83,164,0,0,0,85,89,168,0,0,0,28,31,64,0,0,0,27,35,63,0,0,0,7,0,10,0,0,0,7,0,10,9,7,15,59,53,113,3,0,3,64,60,125,0,7,5,62,41,101,0,0,0,60,43,108,0,0,0,13,9,16,0,0,0,13,9,16,0,0,0,31,23,48,0,0,0,31,23,47,5,0,3,63,94,155,0,0,0,66,95,158,0,0,0,6,8,19,0,0,0,6,8,19,6,4,4,70,68,138,0,0,0,77,69,147,7,8,18,392,359,752,4,14,12,404,377,785,3,3,6,19,21,37,96,84,183,123,106,229,27,25,48,724,717,1441,108,100,204,858,834,1694,14,14,20,423,391,813,4,14,12,443,415,856,7,5,16,176,187,361,5,0,8,187,195,381,0,6,7,72,75,150,0,0
LGA50630,0,0,0,60,100,156,0,0,0,60,96,159,3,6,12,58,71,130,0,0,4,64,80,145,0,0,0,28,17,42,0,0,0,28,19,44,0,0,0,4,0,4,0,0,0,4,0,4,3,4,9,38,33,69,0,0,0,41,34,77,4,0,4,34,20,56,0,0,0,38,20,58,0,0,5,5,8,14,0,0,0,3,9,14,0,0,0,15,12,31,0,0,0,15,12,31,0,5,9,54,87,142,0,0,0,58,95,146,0,0,0,11,8,18,0,0,0,9,7,22,0,0,0,49,59,105,0,0,0,46,58,107,27,9,39,496,439,933,0,7,7,521,453,979,0,0,0,21,20,37,80,64,148,100,80,180,31,31,60,769,723,1491,83,73,153,885,822,1705,22,11,40,520,470,994,0,7,7,549,496,1042,6,16,19,169,153,322,0,0,0,175,166,341,0,0,0,38,46,83,0,0
LGA50770,0,0,3,75,128,205,0,0,0,81,129,211,0,4,4,53,58,106,0,0,0,53,58,109,0,0,0,43,28,63,0,0,0,38,29,69,0,0,0,7,3,5,0,0,0,7,7,9,0,0,3,52,30,88,0,0,0,57,38,92,0,0,4,58,25,84,0,0,0,58,29,87,0,0,5,9,9,19,0,0,0,12,6,21,0,0,5,21,17,34,0,0,0,18,16,37,0,6,6,58,93,152,5,0,0,64,99,164,0,0,0,11,7,21,0,0,0,11,10,21,3,4,4,58,53,113,0,0,0,55,59,119,7,13,17,483,494,977,3,8,12,496,512,1006,0,0,0,32,29,62,99,95,190,132,123,249,14,15,29,794,797,1591,104,103,210,917,914,1834,12,13,23,512,516,1022,3,8,12,526,532,1055,0,6,10,167,164,336,6,0,4,173,174,347,0,0,0,56,63,119,0,0
