LGA_CODE_2021,Med_ag_pe_In_pe,Me_ag_ps_N_In_ps,Med_age_psns_Tot,Me_p_in_wk_In_pe,Me_ps_in_wk_No_In_pe,Med_psnl_inc_wk_Tot,Me_hh_in_wk_Hh_In_pe,Me_hh_in_wk_No_Ot_hh,Med_hhd_inc_wk_Tot,Me_mo_re_mt_Hh_In_pe,Me_mo_re_mt_Ot_hh,Med_mort_repay_mth_Tot,Me_re_wk_Hh_Ind_psns,Me_re_wk_No_Oth_hh,Med_rent_wk_Tot,Av_N_p_pe_be_Hh_w_In_p,Av_Nu_ps_pe_be_Ot_hh,Avg_Nu_psns_per_bed_Tot,Av_hh_si_Hh_wi_Ind_psns,Avg_hh_si_Othr_hhd,Avg_household_size_Tot,P_d_n_x_b_Hh_w_In_p,P_d_n_x_b_No_Oth_hh,P_d_n_x_b_Tot
LGA50080,26,45,45,462,718,710,1217,1356,1350,1647,1517,1517,280,300,300,1,0.7,0.7,3.1,2.3,2.4,6.5,1.4,1.6
LGA50210,21,35,35,565,822,815,1531,1782,1774,1733,1755,1750,300,310,305,1,0.8,0.8,3.4,2.7,2.8,8.6,1.9,2.2
LGA50250,28,34,34,1129,1931,1865,2314,3034,2937,1600,1700,1613,51,46,48,1,0.9,0.9,2.9,2.7,2.7,5.3,1.4,2.1
LGA50280,26,42,42,599,786,785,1609,1527,1529,1609,1733,1733,350,350,350,0.9,0.8,0.8,2.9,2.5,2.5,5,2.3,2.4
LGA50350,23,40,40,534,883,872,1597,1742,1738,1958,1800,1801,300,330,330,1,0.7,0.7,3.2,2.3,2.4,10.6,1.6,1.8
LGA50420,25,39,38,642,872,869,1564,1743,1739,1842,1880,1880,320,340,340,0.9,0.8,0.8,2.8,2.3,2.3,7.5,2,2.1
LGA50490,27,36,36,593,892,886,1481,1645,1641,1900,1733,1733,300,350,350,0.9,0.8,0.8,2.7,2.3,2.3,7.6,2.9,3
LGA50560,48,56,55,589,566,567,1249,1053,1053,1180,1160,1160,268,200,200,0.9,0.7,0.7,2.6,2.2,2.2,8,1.7,1.9
LGA50630,29,43,42,575,847,834,1399,1780,1760,2053,1669,1690,285,280,280,1,0.7,0.7,2.9,2.5,2.5,4.2,1,1.2
LGA50770,40,48,47,1041,703,705,1437,1259,1265,1202,1212,1212,225,220,220,0.8,0.7,0.7,2.5,2.3,2.3,0,1.1,1
LGA50840,32,51,51,575,621,621,1292,1217,1218,1150,1417,1408,300,280,280,0.8,0.7,0.7,2.7,2.3,2.3,4.1,1.3,1.3
LGA50910,24,51,50,309,655,614,1125,1305,1284,1300,1257,1300,205,200,200,1,0.7,0.8,3.2,2.3,2.3,10.3,1.3,2.1
LGA50980,25,36,34,444,1266,1078,1266,2355,2091,2184,2167,2167,190,369,300,1.1,0.9,1,3.1,2.5,2.7,14.1,3.6,6.8
LGA51080,19,44,41,410,841,793,1187,1379,1366,563,791,781,190,150,168,1,0.7,0.7,3.8,2.4,2.5,12.8,0.9,2.1
LGA51120,20,48,48,675,827,817,1218,1296,1284,637,748,748,163,150,160,0.9,0.7,0.8,3.1,2.4,2.4,10.5,1.3,1.8
LGA51190,25,43,43,505,734,725,1343,1325,1326,1430,1484,1480,285,300,300,0.9,0.7,0.7,3,2.2,2.2,6.7,1.5,1.7
LGA51260,20,45,45,575,754,751,1460,1459,1459,1831,1752,1755,350,370,366,1,0.7,0.7,3.3,2.4,2.5,6.9,1.1,1.3
LGA51310,26,41,41,1012,1224,1222,2125,2970,2964,3255,3000,3000,410,450,450,0.9,0.8,0.8,2.8,2.7,2.7,4.1,1.1,1.1
LGA51330,22,36,36,489,771,768,1356,1846,1838,1658,1841,1828,338,360,355,0.9,0.8,0.8,3,2.7,2.8,7.8,2.7,2.8
LGA51400,20,39,38,588,838,831,1803,1956,1949,1647,1733,1733,320,350,350,0.9,0.7,0.7,3.4,2.7,2.8,6.3,1.1,1.3
LGA51470,32,47,46,450,739,731,1624,1220,1234,1400,867,867,200,150,150,0.9,0.6,0.7,2.9,2,2,9.1,0,0.5
LGA51540,30,42,40,422,877,793,943,1490,1401,1300,1327,1300,180,230,209,1,0.8,0.9,2.8,2.2,2.3,12,3.7,5.2
LGA51610,27,44,44,599,947,932,2250,2034,2046,2300,2000,2000,200,260,260,1,0.8,0.8,3.5,2.6,2.7,5.7,1.7,2
LGA51680,15,45,44,0,814,798,1958,2047,2044,2167,2100,2100,300,320,320,0.9,0.8,0.8,3.5,2.8,2.8,1.9,1.8,1.8
LGA51710,60,38,38,999,1233,1233,4750,2091,2109,560,1300,1300,63,150,150,1,1,1,2.8,2.5,2.5,0,5.5,5.4
LGA51750,16,44,43,138,1147,1142,2624,2250,2252,2500,3000,3000,400,485,485,0.9,0.8,0.8,2.8,2.3,2.3,3.8,1.2,1.2
LGA51820,22,37,37,643,924,920,1715,2001,1995,1922,1950,1950,350,370,370,0.9,0.7,0.8,3.2,2.6,2.6,8.1,1.4,1.5
LGA51860,0,40,40,0,741,741,0,2519,2519,0,1972,1972,0,231,231,0,1.1,1.1,0,3.8,3.8,0,8.8,8.8
LGA51890,21,45,44,484,595,591,1375,1225,1234,1213,1300,1300,250,250,250,0.9,0.7,0.7,3.1,2.3,2.3,3.7,1.9,2
LGA51960,26,39,38,475,998,929,1160,2006,1893,900,985,975,200,200,200,0.9,0.7,0.8,2.7,2.3,2.3,6.6,1.9,2.5
LGA52030,41,57,57,450,628,619,1292,1016,1030,2059,1197,1200,150,215,210,0.6,0.7,0.7,2.2,2.1,2.1,13.3,0.5,1
LGA52100,42,47,47,450,852,838,687,1426,1399,1733,867,867,160,187,180,0.8,0.7,0.7,2.4,2.3,2.3,0,0.8,0.8
LGA52170,35,44,44,1374,1447,1447,2999,3304,3303,4333,3813,3835,538,535,535,1,0.8,0.8,2.6,2.5,2.5,5.6,1,1
LGA52240,40,46,46,416,773,762,725,1317,1287,667,1083,1083,166,168,168,0.8,0.7,0.7,2.4,2.3,2.3,6.3,1.8,2
LGA52310,48,51,51,449,685,674,899,1266,1236,300,1138,1127,165,200,200,1,0.7,0.7,2.3,2.3,2.3,0,1.1,1.1
LGA52380,50,54,54,1375,1125,1145,1624,634,682,0,725,725,100,108,100,0.8,0.6,0.6,2.2,1.5,1.5,0,0,0
LGA52450,35,37,37,333,741,714,762,1568,1496,0,1200,1200,200,200,200,0.7,0.7,0.7,2.4,2.5,2.5,7.1,1.8,2
LGA52520,29,39,39,560,1054,1015,1792,1816,1812,992,1083,1083,245,228,230,1,0.7,0.7,3.1,2.6,2.6,6.1,1.5,1.9
LGA52590,34,51,51,702,710,710,2062,1287,1305,1600,1534,1560,280,315,310,0.8,0.7,0.7,2.8,2.2,2.2,6,1.3,1.5
LGA52660,19,40,40,588,781,777,1887,1741,1746,1591,1690,1690,343,340,340,0.9,0.7,0.7,3.6,2.5,2.6,5.5,0.7,0.9
LGA52730,19,51,50,463,632,630,1375,1131,1134,1050,1517,1517,290,300,300,1,0.7,0.7,3,2.3,2.3,11.1,1.7,1.9
LGA52800,27,37,32,323,1346,459,841,2001,1325,1733,1600,1629,90,151,100,1.2,0.7,1,3.5,1.9,2.9,23.5,2.3,14.7
LGA52870,24,49,49,507,663,658,1562,1324,1332,1500,1573,1562,300,285,290,1,0.7,0.7,3.4,2.4,2.4,8.2,1.9,2.1
LGA52940,25,46,45,1062,745,758,1625,1161,1197,748,687,687,165,145,150,0.8,0.7,0.7,2.7,2.2,2.3,0,0.4,0.4
LGA53010,37,44,44,350,845,802,575,1307,1260,369,536,515,228,150,150,0.8,0.7,0.7,2.8,2.3,2.3,0,0,0
LGA53080,29,52,50,428,727,654,739,850,827,759,510,600,150,150,150,1,0.6,0.7,2.7,1.7,1.8,10,0.5,1.9
LGA53150,26,44,44,450,1082,1075,1593,2298,2288,2383,2600,2600,440,420,420,1,0.8,0.8,2.6,2.5,2.5,5.3,1,1
LGA53220,26,35,34,311,1931,1734,1529,2819,2506,1192,1032,1083,90,110,105,1.3,0.8,1,4.1,2.5,2.9,25.1,1.8,7.3
LGA53290,21,42,42,485,825,806,1339,1536,1521,1352,1582,1560,250,270,265,1,0.7,0.7,3.1,2.3,2.4,6.4,1.4,1.6
LGA53360,21,37,37,816,971,967,1812,1987,1979,2384,2090,2103,250,335,330,1.2,0.9,0.9,3,2.5,2.5,17.1,4.3,4.7
LGA53430,28,43,42,532,977,969,1406,1895,1887,2167,2167,2167,278,375,370,1,0.8,0.8,2.7,2.2,2.2,9,1.8,1.9
LGA53570,26,50,50,619,671,670,1640,1319,1331,2059,1694,1700,340,260,270,1,0.7,0.7,3.3,2.3,2.4,6,2.4,2.5
LGA53640,33,40,39,405,988,911,1062,1604,1482,867,774,780,195,180,180,0.9,0.7,0.7,3.1,2.5,2.5,9.7,1,1.6
LGA53710,25,49,49,450,758,747,1124,1226,1217,1491,1000,1000,243,188,200,0.8,0.7,0.7,2.9,2.2,2.2,0,0.5,0.5
LGA53780,25,36,36,528,731,727,1447,1662,1656,1733,1733,1733,300,330,330,0.9,0.8,0.8,3.3,2.8,2.8,8,3,3.2
LGA53800,24,42,40,482,810,777,1281,1568,1536,1500,1542,1519,240,270,260,1,0.7,0.7,3.1,2.4,2.4,10.3,1.2,2.1
LGA53920,25,40,29,308,1411,363,869,1916,1098,1300,2084,1600,85,130,90,1.4,0.8,1.3,3.9,1.7,3.3,32.7,3.4,25.1
LGA53990,21,40,40,555,779,773,1756,1789,1788,1733,1733,1733,300,320,320,0.9,0.7,0.7,3.3,2.6,2.7,7.3,1.4,1.6
LGA54060,23,54,53,465,636,626,1149,1169,1168,1250,1566,1537,240,250,250,0.9,0.7,0.7,2.9,2.2,2.2,2.9,1.5,1.6
LGA54130,29,40,40,1083,861,870,1125,1424,1421,904,1004,1004,235,183,186,0.9,0.8,0.8,2.9,2.3,2.4,11.8,1.5,1.9
LGA54170,23,41,41,816,907,906,2299,2163,2165,2027,2080,2080,400,400,400,0.9,0.7,0.7,3.2,2.7,2.7,4.6,0.7,0.7
LGA54200,21,41,40,661,838,835,1903,1865,1866,1950,1907,1907,370,370,370,0.9,0.7,0.7,3.3,2.6,2.6,6,1.3,1.4
LGA54280,25,35,34,597,1245,1207,1757,2356,2324,1517,1600,1600,280,310,300,1,0.8,0.8,3.2,2.5,2.6,9,1.8,2.4
LGA54310,25,33,32,570,1633,1545,2133,3272,3158,1950,2000,2000,200,301,285,1,0.9,0.9,3.2,2.8,2.8,8.1,1.8,2.7
LGA54340,24,41,39,453,737,712,979,1383,1343,1200,1040,1055,190,209,200,1,0.8,0.8,3,2.4,2.5,10,3.2,3.9
LGA54410,44,52,52,356,615,586,769,1110,1078,867,867,867,135,165,160,0.9,0.7,0.7,2.3,2.2,2.2,5.4,1.5,1.8
LGA54480,52,38,39,900,1106,1103,1875,1775,1784,0,230,230,100,105,105,0.5,0.7,0.7,1.7,2.6,2.6,0,0.6,0.6
LGA54550,25,46,45,695,892,882,1300,1462,1446,921,1083,1073,205,200,200,0.9,0.7,0.7,2.9,2.3,2.3,9.5,1,1.5
LGA54620,31,46,46,433,900,860,537,1351,1293,625,953,650,133,150,148,0.9,0.7,0.7,2.6,2.2,2.2,7.1,0.7,1.3
LGA54690,20,52,51,474,762,759,1249,1348,1341,1083,715,748,120,130,129,0.6,0.7,0.7,2.6,2.2,2.2,0,1.3,1.3
LGA54760,33,44,44,675,1015,1007,1187,1850,1820,0,546,546,170,160,169,1.1,0.7,0.8,2.9,2.4,2.5,11.1,0.4,0.7
LGA54830,25,34,33,540,819,812,1484,1727,1716,1582,1733,1724,300,320,315,0.9,0.8,0.8,3.2,2.7,2.7,8.5,2.2,2.5
LGA54900,21,41,41,774,1003,1001,1562,1725,1715,1600,1000,1000,220,180,180,0.8,0.7,0.7,2.7,2.4,2.4,0,0.7,0.6
LGA54970,29,40,37,306,1961,1569,711,1812,966,390,570,413,80,160,80,1,0.7,0.9,3.1,1.8,2.5,17.4,1.1,9.3
LGA55040,27,34,33,409,1599,1508,1291,2052,1951,964,650,683,110,65,93,1.2,0.8,0.9,3.5,2.3,2.5,22.9,1.9,5.1
LGA55110,20,46,45,495,634,631,1405,1268,1273,1670,1733,1733,320,300,300,0.9,0.7,0.7,3.3,2.3,2.4,6.3,1,1.2
LGA55180,20,48,47,559,681,675,1230,1209,1211,1300,1300,1300,255,230,230,1,0.7,0.7,3.1,2.2,2.3,9,1.3,1.6
LGA55250,25,39,34,379,1449,1010,1010,1589,1243,912,565,650,100,120,115,1.1,0.7,0.9,3.1,1.8,2.4,16.8,1.4,9
LGA55320,24,42,42,580,912,909,1867,2099,2096,2340,2200,2200,330,400,400,0.9,0.7,0.7,2.9,2.5,2.6,6.2,0.9,1
LGA55390,31,40,39,377,1976,1722,1062,1375,1260,0,397,397,156,70,150,1,0.9,1,3,1.5,2.1,15.4,7,10.1
LGA55460,26,42,41,486,773,755,1147,1399,1380,1192,1057,1078,190,220,210,0.9,0.7,0.7,2.9,2.3,2.3,7.5,0.7,1.2
LGA55530,29,48,47,575,844,806,1125,1520,1468,729,844,729,173,130,150,0.7,0.8,0.7,2.3,2.4,2.4,0,1.5,1.4
LGA55600,24,46,44,435,871,803,1012,1531,1445,786,1066,1000,230,220,225,1,0.7,0.7,2.9,2.2,2.3,13.8,1,2.7
LGA55670,27,44,42,383,820,742,1300,1491,1443,150,542,500,200,185,190,1.1,0.7,0.8,3,2.3,2.3,15.4,3.2,4.7
LGA55740,28,42,42,545,1036,1030,1416,2147,2132,2200,3000,3000,265,300,300,1,0.8,0.8,2.5,2.4,2.4,6.7,1.4,1.4
LGA55810,36,43,42,582,968,863,1281,1187,1204,2063,542,542,176,170,175,0.8,0.8,0.8,2.7,1.9,2.1,9.1,0.9,2.3
LGA55880,56,47,47,474,881,868,1375,1398,1396,567,650,650,170,140,145,0.8,0.7,0.7,2.6,2.3,2.3,0,0,0
LGA55950,30,45,44,387,802,756,1374,1562,1547,758,823,778,120,160,155,1.1,0.7,0.8,3.4,2.3,2.3,20,1,1.9
LGA56090,29,44,44,642,820,817,2031,1904,1907,2075,1950,1950,350,350,350,1,0.7,0.7,3.5,2.6,2.6,6.1,1.2,1.3
LGA56160,27,40,36,449,1125,833,1125,2050,1649,0,1800,1800,134,325,139,1.1,0.7,0.9,2.9,2.5,2.6,20,0,8.6
LGA56230,21,46,45,603,629,629,1516,1361,1368,1733,1753,1750,305,300,300,0.9,0.7,0.7,3.2,2.5,2.5,7.9,1.5,1.7
LGA56300,45,57,56,425,585,581,1125,1092,1094,1450,1400,1400,250,260,254,0.8,0.8,0.8,2.5,2.1,2.1,0,2.3,2.2
LGA56370,18,48,47,575,926,923,1625,1475,1483,1733,661,720,225,150,150,0.8,0.7,0.7,2.9,2.3,2.3,0,0.4,0.4
LGA56460,23,44,43,447,750,734,990,1340,1310,1300,1170,1191,220,240,240,0.9,0.7,0.7,2.9,2.2,2.2,2.7,1.9,1.9
LGA56580,23,43,43,900,1179,1178,2749,3229,3226,4333,3500,3500,500,520,520,0.9,0.8,0.8,3.2,2.8,2.8,0,1,0.9
LGA56620,28,44,30,343,1668,369,990,2069,1228,0,0,0,65,25,65,1.3,0.6,1.2,4,1.4,3.5,33.8,2.7,27.1
LGA56730,22,45,43,470,680,660,1239,1322,1316,1365,1399,1393,232,250,250,1,0.7,0.7,3.4,2.3,2.4,12,2.1,2.8
LGA56790,25,55,53,418,621,607,1187,1100,1110,1600,1300,1300,225,250,250,1.1,0.7,0.7,3.3,2.1,2.2,14.1,1.2,2
LGA56860,20,51,49,450,644,640,874,1097,1087,650,1042,1000,500,80,88,0.8,0.7,0.7,3,2.1,2.1,0,0,0
LGA56930,15,43,42,0,1521,1501,2250,4574,4565,0,4167,4167,420,440,440,0.8,0.7,0.7,2.5,2.7,2.7,0,0.6,0.6
LGA57000,33,44,43,1124,1314,1305,1625,1666,1652,553,790,780,185,150,170,0.7,0.7,0.7,2,2.3,2.3,0,0,0
LGA57080,26,33,33,577,1059,1053,1671,1934,1931,2084,1921,1924,420,400,400,1.1,1,1,1.9,1.8,1.8,5.3,4.4,4.5
LGA57140,32,53,52,420,609,585,739,1042,996,1083,867,867,218,200,200,0.9,0.7,0.7,2.8,2.1,2.2,2.3,1.5,1.6
LGA57210,26,49,48,454,633,626,1395,1174,1181,1326,1274,1278,215,225,225,1,0.7,0.8,3.2,2.3,2.3,6.1,1.7,1.8
LGA57280,25,33,32,632,1655,1532,2080,3073,2865,1600,1500,1517,150,250,225,1,0.9,0.9,3,2.6,2.7,8.5,2.4,3.7
LGA57350,33,55,54,395,656,607,924,1168,1129,1300,779,800,155,123,130,1.1,0.7,0.7,3.2,2.1,2.2,21.7,1,2.6
LGA57420,26,43,42,762,928,926,1708,1651,1655,924,1032,1029,192,250,250,0.9,0.7,0.7,2.6,2.2,2.2,0,1.5,1.4
LGA57490,20,37,36,677,789,786,1793,1722,1724,1733,1733,1733,330,330,330,0.9,0.7,0.7,3.4,2.6,2.6,4.2,1.1,1.2
LGA57630,6,60,60,0,675,675,0,949,949,0,1517,1517,0,70,70,0,0.6,0.6,0,1.5,1.5,0,2.4,2.4
LGA57700,18,34,33,902,909,909,2187,2093,2097,2000,1959,1972,400,375,380,0.9,0.8,0.8,3.6,3,3,2.9,1.4,1.5
LGA57770,41,43,43,494,804,787,962,1221,1187,1083,1387,1387,255,220,220,0.9,0.8,0.8,2.2,2,2.1,1.9,2.9,2.7
LGA57840,22,40,39,514,1017,1010,1608,2010,2004,2167,2200,2200,300,360,360,0.9,0.8,0.8,2.7,2.2,2.2,7.2,1.2,1.3
LGA57910,27,38,38,632,914,912,1425,1791,1786,1950,1967,1967,301,340,340,0.9,0.8,0.8,2.6,2.4,2.4,6.7,2.1,2.2
LGA57980,28,41,40,949,1212,1210,2050,2142,2140,3467,2513,2539,405,400,400,1,0.9,0.9,2.4,2.1,2.1,3.8,2,2
LGA58050,22,35,35,653,845,840,1725,1847,1843,1950,1842,1842,320,340,340,0.9,0.8,0.8,3.3,2.7,2.8,7.9,2.1,2.4
LGA58190,41,46,46,416,770,701,1062,1138,1125,325,758,563,138,162,161,1,0.7,0.8,3,2.4,2.5,18.2,0.8,2.2
LGA58260,21,45,42,560,786,748,1562,1343,1366,775,542,650,110,138,120,1,0.7,0.8,3,2.3,2.3,5,2.1,2.4
LGA58330,25,54,54,586,625,624,1625,1256,1272,1401,1575,1564,300,280,285,0.9,0.7,0.7,3.4,2.2,2.3,3.3,1.6,1.7
LGA58400,18,55,55,483,517,512,474,871,864,589,520,531,100,120,120,1.1,0.6,0.6,2.3,1.9,1.9,0,0.8,0.8
LGA58470,26,41,37,350,1016,484,1125,2150,1300,4333,569,826,69,130,75,1,0.8,0.9,3.2,2.6,2.9,17.2,3.7,10.7
LGA58510,29,36,36,632,993,987,1609,1851,1844,2167,2000,2000,330,350,350,0.9,0.8,0.8,2.5,2.2,2.2,6,2.4,2.5
LGA58540,25,48,48,949,964,963,1906,1619,1653,0,542,537,180,150,150,1.2,0.7,0.7,3,2.3,2.3,8.3,0,0.3
LGA58570,30,36,36,987,1194,1193,2170,2210,2209,2184,2197,2197,378,400,400,1,0.9,0.9,2.2,2.2,2.2,3.4,2.1,2.1
LGA58610,24,50,49,466,698,686,1187,1183,1183,585,910,875,225,180,195,1,0.7,0.7,2.9,2.1,2.2,4.8,1.2,1.3
LGA58680,39,50,49,350,842,824,1875,1674,1687,739,1600,1600,0,200,200,0.8,0.7,0.7,3,2.4,2.4,0,0.6,0.5
LGA58760,19,35,35,557,821,817,1686,1899,1894,1890,1900,1900,333,360,350,0.9,0.8,0.8,3.5,2.8,2.8,7.9,1.9,2
LGA58820,23,49,48,586,622,620,1974,1284,1312,1517,1625,1625,258,260,260,1,0.7,0.7,3.3,2.4,2.4,11.4,1.7,2.1
LGA58890,41,50,50,483,820,804,1125,1335,1325,500,980,915,225,140,143,0.8,0.7,0.7,2.6,2.2,2.2,6.3,1.1,1.4
LGA59030,57,47,48,1124,817,817,1574,1318,1318,0,400,400,0,85,85,0.5,0.7,0.7,1.5,2.2,2.2,0,1.1,1
LGA59100,13,47,47,450,746,742,949,1262,1256,910,824,867,0,139,139,1,0.7,0.7,3.6,2.4,2.4,12.5,1.4,1.7
LGA59170,17,42,41,1093,1010,1015,1625,1755,1739,0,1285,1285,250,200,200,0.7,0.7,0.7,3,2.4,2.4,12.5,1.1,1.4
LGA59250,29,35,35,247,1717,1196,700,1481,1109,0,0,0,113,150,118,1.3,0.7,1,3.4,1.7,2.4,27.8,0,11.4
LGA59310,25,45,44,550,788,767,1343,1259,1269,867,1050,993,196,178,180,1,0.7,0.7,2.9,2.2,2.3,6.3,1.2,1.5
LGA59320,29,45,45,466,748,741,1062,1426,1385,1442,1148,1148,275,150,150,0.9,0.8,0.8,3.5,2.4,2.5,0,0,0
LGA59330,25,55,54,450,594,582,899,927,916,418,758,650,160,150,150,0.8,0.6,0.6,2.3,1.9,1.9,6.7,0.5,1
LGA59340,26,37,33,393,1303,1016,1135,2224,1858,1799,2000,2000,175,300,230,1.2,0.9,1,3.4,2.3,2.7,21.8,3.7,10.1
LGA59350,27,38,34,599,1663,1397,1833,1424,1575,446,0,223,150,25,150,1.3,0.6,0.9,3.9,1.7,2.6,16.7,0,6.8
LGA59360,32,47,47,525,1143,1128,762,1398,1370,0,790,790,140,150,150,0.7,0.6,0.6,2.1,2,2,13.3,0.5,1.1
LGA59370,28,56,56,471,611,604,1218,1123,1127,1517,1400,1404,233,265,260,1,0.7,0.7,3,2.1,2.2,10.3,1.5,1.8
LGA59499,40,40,0,298,481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA59799,37,40,40,1916,2141,2123,0,2250,2250,0,1733,1733,0,0,0,0,0.7,0.7,0,1.7,1.7,0,0,0
