LGA_CODE_2021,Rel_a_SecB_OSB_NRA_No_In_F,Rel_a_SecB_OSB_NRA_No_In_P,Rel_a_SecB_OSB_NRA_In_st_nsM,Rel_a_SecB_OSB_NRA_In_st_nsF,Rel_a_SecB_OSB_NRA_In_st_nsP,Rel_a_SecB_OSB_NRA_TotM,Rel_a_SecB_OSB_NRA_TotF,Rel_a_SecB_OSB_NRA_TotP,Rel_a_Rel_a_ns_Ind_M,Rel_a_Rel_a_ns_Ind_F,Rel_a_Rel_a_ns_Ind_P,Rel_a_Rel_a_ns_No_In_M,Rel_a_Rel_a_ns_No_In_F,Rel_a_Rel_a_ns_No_In_P,Rel_a_Rel_a_ns_In_st_nsM,Rel_a_Rel_a_ns_In_st_nsF,Rel_a_Rel_a_ns_In_st_nsP,Rel_a_Rel_a_ns_TotM,Rel_a_Rel_a_ns_TotF,Rel_a_Rel_a_ns_TotP,APAEI_0_4_Ind_M,APAEI_0_4_Ind_F,APAEI_0_4_Ind_P,APAEI_0_4_No_Ind_M,APAEI_0_4_No_Ind_F,APAEI_0_4_No_Ind_P,APAEI_0_4_In_st_nsM,APAEI_0_4_In_st_nsF,APAEI_0_4_In_st_nsP,APAEI_0_4_TotM,APAEI_0_4_TotF,APAEI_0_4_TotP,APAEI_5_14_Ind_M,APAEI_5_14_Ind_F,APAEI_5_14_Ind_P,APAEI_5_14_No_In_M,APAEI_5_14_No_In_F,APAEI_5_14_No_In_P,APAEI_5_14_In_st_nsM,APAEI_5_14_In_st_nsF,APAEI_5_14_In_st_nsP,APAEI_5_14_TotM,APAEI_5_14_TotF,APAEI_5_14_TotP,APAEI_15_19_Ind_M,APAEI_15_19_Ind_F,APAEI_15_19_Ind_P,APAEI_15_19_No_In_M,APAEI_15_19_No_In_F,APAEI_15_19_No_In_P,APAEI_15_19_i_st_nsM,APAEI_15_19_i_st_nsF,APAEI_15_19_i_st_nsP,APAEI_15_19_TotM,APAEI_15_19_TotF,APAEI_15_19_TotP,APAEI_20_24_Ind_M,APAEI_20_24_Ind_F,APAEI_20_24_Ind_P,APAEI_20_24_No_Ind_M,APAEI_20_24_No_Ind_F,APAEI_20_24_No_Ind_P,APAEI_20_24_In_st_nsM,APAEI_20_24_In_st_nsF,APAEI_20_24_In_st_nsP,APAEI_20_24_TotM,APAEI_20_24_TotF,APAEI_20_24_TotP,APAEI_25ov_Ind_M,APAEI_25ov_Ind_F,APAEI_25ov_Ind_P,APAEI_25ov_No_Ind_M,APAEI_25ov_No_Ind_F,APAEI_25ov_No_Ind_P,APAEI_25ov_In_st_nsM,APAEI_25ov_In_st_nsF,APAEI_25ov_In_st_nsP,APAEI_25ov_TotM,APAEI_25ov_TotF,APAEI_25ov_TotP,HYSC_Y12_e_Ind_M,HYSC_Y12_e_Ind_F,HYSC_Y12_e_Ind_P,HYSC_Y12_e_No_In_M,HYSC_Y12_e_No_In_F,HYSC_Y12_e_No_In_P,HYSC_Y12_e_In_st_nsM,HYSC_Y12_e_In_st_nsF,HYSC_Y12_e_In_st_nsP,HYSC_Y12_e_TotM,HYSC_Y12_e_TotF,HYSC_Y12_e_TotP,HYSC_Y11_e_Ind_M,HYSC_Y11_e_Ind_F,HYSC_Y11_e_Ind_P,HYSC_Y11_e_No_In_M,HYSC_Y11_e_No_In_F,HYSC_Y11_e_No_In_P,HYSC_Y11_e_In_s_nsM,HYSC_Y11_e_In_s_nsF,HYSC_Y11_e_In_s_nsP,HYSC_Y11_e_TotM,HYSC_Y11_e_TotF,HYSC_Y11_e_TotP,HYSC_Y10_e_Ind_M,HYSC_Y10_e_Ind_F,HYSC_Y10_e_Ind_P,HYSC_Y10_e_No_In_M,HYSC_Y10_e_No_In_F,HYSC_Y10_e_No_In_P,HYSC_Y10_e_In_s_nsM,HYSC_Y10_e_In_s_nsF,HYSC_Y10_e_In_s_nsP,HYSC_Y10_e_TotM,HYSC_Y10_e_TotF,HYSC_Y10_e_TotP,HYSC_Y9_e_Ind_M,HYSC_Y9_e_Ind_F,HYSC_Y9_e_Ind_P,HYSC_Y9_e_No_In_M,HYSC_Y9_e_No_In_F,HYSC_Y9_e_No_In_P,HYSC_Y9_e_In_st_nsM,HYSC_Y9_e_In_st_nsF,HYSC_Y9_e_In_st_nsP,HYSC_Y9_e_TotM,HYSC_Y9_e_TotF,HYSC_Y9_e_TotP,HYSC_Y8_bel_Ind_M,HYSC_Y8_bel_Ind_F,HYSC_Y8_bel_Ind_P,HYSC_Y8_bel_No_Ind_M,HYSC_Y8_bel_No_Ind_F,HYSC_Y8_bel_No_Ind_P,HYSC_Y8_be_In_st_nsM,HYSC_Y8_be_In_st_nsF,HYSC_Y8_be_In_st_nsP,HYSC_Y8_bel_TotM,HYSC_Y8_bel_TotF,HYSC_Y8_bel_TotP,HYSC_Dng_to_sc_Ind_M,HYSC_Dng_to_sc_Ind_F,HYSC_Dng_to_sc_Ind_P,HYSC_Dng_to_sc_No_In_M,HYSC_Dng_to_sc_No_In_F,HYSC_Dng_to_sc_No_In_P,HYSC_Dng_sc_In_st_nsM,HYSC_Dng_sc_In_st_nsF,HYSC_Dng_sc_In_st_nsP,HYSC_Dng_to_sc_TotM,HYSC_Dng_to_sc_TotF,HYSC_Dng_to_sc_TotP,Tpe_ur_occ_pvte_dwg_Sh_Indi_M,Tpe_ur_occ_pvte_dwg_Sh_Indi_F,Tpe_ur_occ_pvte_dwg_Sh_Indi_P,Tpe_ur_occ_pte_dw_Sh_No_Ind_M,Tpe_ur_occ_pte_dw_Sh_No_Ind_F,Tpe_ur_occ_pte_dw_Sh_No_Ind_P,T_ur_occ_pte_dw_Sh_In_st_nsM,T_ur_occ_pte_dw_Sh_In_st_nsF,T_ur_occ_pte_dw_Sh_In_st_nsP,Tpe_ur_occ_pvte_dwg_Sh_TotM,Tpe_ur_occ_pvte_dwg_Sh_TotF,Tpe_ur_occ_pvte_dwg_Sh_TotP,T_ur_oc_p_dw_im_h_t_s_o_In_M,T_ur_oc_p_dw_im_h_t_s_o_In_F,T_ur_oc_p_dw_im_h_t_s_o_In_P,T_ur_o_pr_d_I_h_t_s_o_No_In_M,T_ur_o_pr_d_I_h_t_s_o_No_In_F,T_ur_o_pr_d_I_h_t_s_o_No_In_P,T_ur_o_p_d_I_h_t_s_o_i_s_nsM,T_ur_o_p_d_I_h_t_s_o_i_s_nsF,T_ur_o_p_d_I_h_t_s_o_i_s_nsP,T_ur_o_p_d_I_h_t_s_o_TotM,T_ur_o_p_d_I_h_t_s_o_TotF,T_ur_o_p_d_I_h_t_s_o_TotP,Ty_ur_oc_p_dw_Ot_p_dw_In_M,Ty_ur_oc_p_dw_Ot_p_dw_In_F,Ty_ur_oc_p_dw_Ot_p_dw_In_P,Ty_ur_o_pr_d_Ot_pr_d_No_In_M,Ty_ur_o_pr_d_Ot_pr_d_No_In_F,Ty_ur_o_pr_d_Ot_pr_d_No_In_P,Ty_ur_o_p_d_O_p_d_In_st_nsM,Ty_ur_o_p_d_O_p_d_In_st_nsF,Ty_ur_o_p_d_O_p_d_In_st_nsP,Ty_ur_oc_pr_dw_Ot_pr_dw_TotM,Ty_ur_oc_pr_dw_Ot_pr_dw_TotF,Ty_ur_oc_pr_dw_Ot_pr_dw_TotP,ty_ur_occ_pri_dw_Tot_Ind_M,ty_ur_occ_pri_dw_Tot_Ind_F,ty_ur_occ_pri_dw_Tot_Ind_P,ty_ur_occ_pri_dw_Tot_No_Ind_M,ty_ur_occ_pri_dw_Tot_No_Ind_F,ty_ur_occ_pri_dw_Tot_No_Ind_P,ty_ur_oc_pr_dw_Tot_In_st_nsM,ty_ur_oc_pr_dw_Tot_In_st_nsF,ty_ur_oc_pr_dw_Tot_In_st_nsP,ty_ur_occ_pri_dw_Tot_TotM,ty_ur_occ_pri_dw_Tot_TotF,ty_ur_occ_pri_dw_Tot_TotP
LGA50080,9136,18690,38,51,96,10032,9590,19624,182,43,224,780,562,1342,887,756,1644,1845,1364,3207,21,19,33,245,214,463,0,0,0,263,233,497,134,134,267,2168,2070,4239,13,13,26,2318,2217,4528,50,42,90,788,785,1570,3,3,8,845,825,1669,0,6,9,119,150,272,0,0,0,124,155,276,7,21,25,311,734,1051,0,3,4,319,762,1080,134,122,255,6118,7727,13847,36,34,63,6281,7880,14165,61,79,135,1700,1883,3585,12,13,24,1770,1969,3740,278,155,432,4401,3905,8305,27,39,68,4701,4101,8805,44,34,84,912,787,1693,6,9,12,964,827,1792,39,22,59,595,473,1077,3,10,15,643,501,1147,14,4,13,65,67,130,0,0,4,79,73,150,580,583,1165,14623,15653,30275,567,597,1163,15765,16836,32600,0,0,0,5,0,12,0,0,0,5,0,12,37,32,68,836,1036,1872,76,79,154,946,1151,2093,615,614,1237,15468,16692,32158,643,673,1314,16721,17982,34708
LGA50210,17728,36639,66,52,121,19906,18705,38611,60,51,108,1241,1107,2353,2204,1797,3997,3506,2954,6461,56,45,100,1010,911,1918,6,0,6,1067,950,2021,325,358,686,6642,6280,12923,11,8,24,6972,6652,13626,82,74,150,1845,1961,3808,8,0,10,1930,2039,3970,18,23,33,723,876,1600,0,0,0,738,896,1638,28,56,80,1177,2130,3306,8,5,6,1215,2186,3402,256,318,572,17885,20276,38155,39,54,90,18171,20648,38823,124,140,265,3631,3641,7267,21,22,43,3772,3801,7575,268,265,528,7829,7319,15151,40,37,76,8133,7624,15761,91,75,168,1656,1525,3188,13,15,31,1764,1618,3383,43,33,76,792,831,1623,3,13,14,840,878,1716,13,5,14,213,248,459,0,7,6,222,250,477,1155,1196,2352,38631,39867,78498,1430,1433,2864,41213,42495,83705,0,0,0,0,0,0,0,0,0,0,0,0,111,140,249,2443,2938,5382,267,271,534,2823,3353,6171,1266,1333,2603,41076,42804,83881,1691,1700,3396,44035,45847,89881
LGA50250,1266,2988,13,10,16,1965,1478,3447,28,25,54,103,73,177,858,464,1325,989,565,1557,12,4,12,61,61,118,0,0,0,67,68,132,66,79,141,408,349,760,6,4,7,477,431,906,12,15,22,58,42,96,0,0,0,67,56,124,0,4,4,10,12,22,0,0,0,10,17,28,5,13,20,55,115,171,0,0,0,61,128,186,98,109,202,1180,1020,2202,7,6,13,1281,1137,2421,46,37,81,379,201,579,0,0,0,427,240,665,91,61,157,626,319,946,0,5,7,721,383,1106,13,9,27,75,47,122,0,0,0,94,57,148,16,13,29,30,19,54,0,0,0,49,37,78,3,6,13,21,9,30,0,0,0,26,15,38,283,283,561,1623,1528,3155,288,263,549,2196,2072,4265,0,0,3,0,0,0,0,0,0,0,0,3,12,9,25,124,122,243,13,8,23,153,142,295,292,293,585,1752,1643,3396,304,273,576,2349,2212,4557
LGA50280,4830,9918,18,41,57,5183,4946,10127,7,5,11,289,291,579,684,542,1232,984,833,1818,0,6,3,116,121,232,0,4,3,119,121,242,22,23,41,1089,1010,2100,16,9,22,1120,1049,2163,12,4,18,285,252,540,0,4,4,302,263,567,0,0,3,33,41,78,0,0,0,36,42,76,0,8,7,139,375,518,3,0,3,146,384,528,34,40,69,3332,4001,7333,11,28,41,3383,4068,7444,8,12,23,700,631,1328,3,8,9,706,652,1360,20,22,46,1398,1149,2546,15,10,20,1432,1183,2614,10,3,11,235,206,450,0,4,6,251,216,466,0,0,5,140,68,212,0,0,0,144,73,221,0,0,0,6,11,14,0,0,0,9,11,16,98,96,194,6255,6581,12838,450,472,916,6806,7147,13950,0,0,0,6,0,7,3,0,3,9,0,11,3,4,10,324,319,644,52,38,96,378,368,743,99,99,202,6591,6905,13493,501,510,1017,7191,7515,14711
LGA50350,3476,7248,9,3,19,3908,3608,7513,10,8,13,223,180,397,415,315,730,649,503,1147,5,4,10,142,128,268,0,0,0,148,129,275,52,32,80,831,764,1596,3,0,6,880,805,1681,17,15,25,269,265,535,0,0,0,289,278,566,10,4,12,142,148,292,0,0,0,148,150,304,6,6,9,240,394,634,0,4,4,242,401,646,49,57,102,3461,4026,7484,9,7,16,3516,4099,7611,17,15,31,564,515,1080,0,3,9,581,538,1118,45,42,79,1218,1211,2432,9,7,19,1270,1262,2538,15,10,25,264,232,491,0,0,0,274,238,516,3,7,9,183,249,429,4,0,4,189,257,446,0,5,3,36,44,81,0,0,0,37,46,87,149,136,277,5803,6072,11871,238,221,452,6183,6425,12607,0,0,0,0,0,0,0,0,0,0,0,0,49,48,98,984,1209,2193,77,78,158,1109,1333,2449,192,184,371,6786,7278,14066,319,296,612,7295,7755,15055
LGA50420,12886,26860,48,23,68,14349,13213,27562,13,12,28,829,721,1551,1426,1132,2560,2276,1870,4141,10,11,20,611,539,1155,0,0,0,621,547,1173,112,86,191,3345,3063,6413,7,9,14,3464,3157,6620,26,30,60,1246,1238,2479,4,0,6,1278,1274,2551,9,12,21,868,869,1738,0,0,0,879,875,1755,21,29,51,1400,1956,3351,9,4,11,1425,1981,3413,161,178,338,17739,18595,36329,33,37,71,17932,18806,36737,44,56,103,2299,2075,4380,12,7,18,2351,2148,4503,92,100,189,4359,4457,8812,19,18,42,4470,4575,9045,19,28,47,1001,999,2000,9,5,15,1032,1027,2064,27,27,54,895,1188,2088,4,0,4,928,1223,2148,5,5,6,232,336,573,0,4,4,237,341,579,342,350,687,24125,24533,48655,631,532,1164,25092,25418,50508,0,0,0,0,0,0,0,0,0,0,0,0,148,163,310,6685,7185,13871,366,364,733,7200,7712,14914,491,509,999,30810,31720,62529,996,899,1892,32296,33133,65427
LGA50490,6966,15016,24,22,51,8398,7295,15689,37,25,60,662,622,1281,1316,1046,2359,2011,1689,3704,7,15,25,273,260,535,0,0,0,286,273,557,87,98,186,1899,1804,3697,9,8,12,1990,1908,3896,35,35,66,649,623,1277,3,6,11,693,662,1355,14,14,25,571,567,1138,0,0,3,578,578,1163,13,27,40,963,1357,2321,3,4,7,981,1384,2363,144,173,318,10345,10463,20809,30,22,51,10521,10658,21181,65,73,139,1494,1309,2812,7,10,12,1572,1391,2965,104,120,227,2871,2639,5504,13,11,26,2995,2763,5759,33,30,67,635,565,1201,5,14,22,670,611,1283,21,20,45,481,588,1068,0,0,0,502,608,1113,9,6,9,182,176,364,0,0,0,190,185,377,381,408,789,13111,12992,26108,659,597,1253,14154,13998,28150,0,0,0,0,0,0,0,0,0,0,0,0,109,115,221,5230,5202,10431,308,321,632,5644,5641,11288,489,527,1012,18340,18198,36535,969,918,1887,19798,19635,39432
LGA50560,303,660,3,12,17,366,324,689,0,0,8,26,21,46,101,88,184,131,111,238,0,0,0,6,4,10,0,0,0,7,4,11,3,3,4,45,61,104,3,3,12,54,67,119,0,0,0,19,21,41,0,0,0,19,24,41,0,0,0,0,4,4,0,0,0,0,4,4,0,0,0,7,23,32,0,0,0,7,23,32,5,7,8,258,296,556,3,0,4,264,308,567,4,0,0,65,68,136,0,0,0,69,73,139,10,7,14,206,179,383,0,5,3,214,196,406,3,0,6,61,43,106,0,0,4,65,49,112,3,0,5,41,22,66,0,0,0,46,21,64,0,0,0,0,0,0,0,0,0,0,0,0,21,26,43,631,635,1266,83,84,166,735,739,1479,0,0,0,6,0,8,0,0,0,6,0,8,0,0,0,10,14,23,3,0,8,19,17,32,21,26,43,643,649,1296,88,87,171,758,760,1517
LGA50630,365,820,0,3,3,484,383,866,0,0,0,27,26,53,77,61,144,107,87,192,0,5,5,10,16,25,0,0,0,10,16,28,9,3,9,114,102,216,3,0,4,126,108,227,3,0,3,19,24,39,0,0,0,18,24,43,0,0,0,7,8,8,0,0,0,7,3,15,0,0,0,13,18,26,0,0,0,13,18,26,6,10,12,228,261,488,0,0,6,236,269,508,0,10,9,71,84,163,0,0,0,78,95,177,10,5,14,197,159,359,0,0,5,213,169,380,0,0,0,44,34,78,0,0,0,44,39,80,0,0,4,15,10,26,0,0,0,16,13,31,0,0,0,0,4,4,0,0,0,0,4,4,22,23,44,662,653,1316,61,61,123,746,734,1482,0,0,0,0,0,0,0,0,0,0,0,0,3,5,7,13,11,25,4,6,11,23,21,46,23,24,49,675,670,1344,67,64,132,770,755,1524
LGA50770,368,775,5,3,10,418,389,804,0,0,0,32,19,45,93,93,186,127,111,239,0,0,0,5,8,17,0,3,5,12,15,21,0,5,5,107,100,207,0,0,6,109,103,214,0,0,0,18,23,46,0,0,0,18,26,47,0,0,0,5,7,7,0,0,0,5,7,7,0,0,0,7,20,23,0,0,0,7,20,26,0,10,8,288,330,624,0,0,4,298,338,638,0,0,5,68,68,132,0,0,3,75,71,141,5,0,4,197,176,369,0,0,8,201,176,385,0,0,0,46,38,89,0,0,4,54,41,94,0,0,0,22,18,39,0,0,4,23,20,46,0,0,0,4,0,3,0,0,0,4,0,3,14,15,33,709,723,1431,94,95,187,816,835,1646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,13,0,0,0,13,6,14,14,15,33,718,726,1448,100,95,189,828,842,1665
