LGA_CODE_2021,No_bed_ne_sp_Hw_ATSIP,No_bed_ne_sp_Oth_h,No_bed_ne_sp_Tot,One_m_bn_One_ebn_Hw_ATSIP,One_m_bn_One_ebn_Oth_h,One_m_bn_One_ebn_Tot,One_m_bn_Two_ebn_Hw_ATSIP,One_m_bn_Two_ebn_Oth_h,One_m_bn_Two_ebn_Tot,One_m_bn_Thr_ebn_Hw_ATSIP,One_m_bn_Thr_ebn_Oth_h,One_m_bn_Thr_ebn_Tot,One_m_bn_Fou_m_ebn_Hw_ATSIP,One_m_bn_Fou_m_ebn_Oth_h,One_m_bn_Fou_m_ebn_Tot,One_m_bn_Tot_Hw_ATSIP,One_m_bn_Tot_Oth_h,One_m_bn_Tot_Tot,One_m_bs_One_bs_Hw_ATSIP,One_m_bs_One_bs_Oth_h,One_m_bs_One_bs_Tot,One_m_bs_Two_bs_Hw_ATSIP,One_m_bs_Two_bs_Oth_h,One_m_bs_Two_bs_Tot,One_m_bs_Thr_bs_Hw_ATSIP,One_m_bs_Thr_bs_Oth_h,One_m_bs_Thr_bs_Tot,One_m_bs_Fou_m_bs_Hw_ATSIP,One_m_bs_Fou_m_bs_Oth_h,One_m_bs_Fou_m_bs_Tot,One_m_bs_Tot_Hw_ATSIP,One_m_bs_Tot_Oth_h,One_m_bs_Tot_Tot,Tot_Hw_ATSIP,Tot_Oth_h,Tot_Tot
LGA50080,145,1713,1863,31,171,199,4,25,30,3,4,10,0,0,0,38,200,239,182,3817,3999,136,5189,5321,54,2331,2382,0,268,274,372,11605,11976,597,14133,14733
LGA50210,253,3324,3578,76,508,580,16,72,91,4,18,23,5,5,9,101,603,703,361,8757,9119,271,11826,12098,93,4898,4994,10,506,517,735,25987,26728,1182,31370,32549
LGA50250,59,212,272,10,15,21,5,3,6,0,6,0,0,0,0,15,24,27,80,462,544,61,456,518,26,65,88,0,14,15,167,997,1165,261,1317,1581
LGA50280,23,706,725,8,112,113,0,16,21,0,4,4,0,3,3,8,135,141,33,1647,1679,35,1915,1949,14,854,869,0,116,115,82,4532,4612,118,5767,5885
LGA50350,42,773,815,13,85,99,4,6,13,0,3,3,0,0,0,17,94,115,62,2003,2063,34,2277,2312,8,688,693,0,82,81,104,5050,5149,176,6164,6350
LGA50420,138,4085,4223,30,453,487,7,78,84,0,12,12,0,5,3,37,548,586,180,9082,9263,103,9136,9236,34,3190,3223,0,337,336,317,21745,22058,544,27509,28055
LGA50490,152,3213,3367,34,414,444,8,44,53,0,9,12,0,3,7,42,470,516,177,5324,5495,119,5136,5256,20,1449,1462,3,118,122,319,12027,12335,549,16465,17018
LGA50560,5,71,77,0,7,9,0,4,4,0,0,0,0,0,0,0,11,13,9,169,173,10,258,271,0,78,80,0,3,3,19,508,527,24,650,676
LGA50630,5,53,59,0,5,5,0,0,0,0,0,0,0,0,0,0,5,5,8,131,144,10,217,228,0,109,109,0,12,12,18,469,493,25,579,599
LGA50770,7,56,62,0,9,9,0,0,0,0,0,0,0,0,0,0,9,9,6,192,198,8,229,235,0,104,104,0,21,21,14,546,558,17,654,677
LGA50840,3,212,218,0,18,25,0,6,6,0,0,0,0,0,0,0,24,31,13,525,544,17,776,787,0,327,331,0,41,41,30,1669,1703,48,1995,2039
LGA50910,6,36,43,0,5,6,0,0,0,0,0,0,0,0,0,0,5,6,6,76,80,10,117,119,0,41,47,0,7,7,16,241,253,31,306,332
LGA50980,486,677,1162,141,100,245,49,14,67,19,13,29,9,3,12,218,130,353,432,1055,1490,233,1001,1230,59,416,469,3,52,57,727,2524,3246,1582,3591,5172
LGA51080,7,24,32,3,4,7,0,0,0,0,0,0,0,0,0,3,4,7,9,80,88,5,137,141,0,54,54,0,11,11,14,282,294,39,337,377
LGA51120,6,32,35,0,3,8,0,0,0,0,0,0,0,0,0,0,3,8,7,89,92,6,103,108,5,42,47,0,9,9,18,243,256,20,315,332
LGA51190,144,1427,1575,30,150,182,7,29,35,0,6,9,0,0,0,37,185,226,162,3588,3744,121,4870,4985,50,1923,1968,6,142,149,339,10523,10846,570,12784,13356
LGA51260,76,1214,1289,19,130,143,6,23,29,4,4,6,0,7,7,29,164,185,107,3680,3785,91,5323,5412,34,3236,3265,7,260,265,239,12499,12727,362,14623,14988
LGA51310,10,1653,1669,0,105,108,0,6,6,0,0,0,0,0,0,0,111,114,31,3276,3308,16,3139,3151,7,1386,1393,0,307,306,54,8108,8158,73,10304,10378
LGA51330,134,4504,4639,35,707,739,5,142,149,4,27,33,0,7,8,44,883,929,173,9534,9708,150,10647,10795,33,5063,5091,6,732,741,362,25976,26335,589,32861,33444
LGA51400,42,496,540,12,50,65,4,13,18,0,0,0,0,0,0,16,63,83,60,1480,1544,66,2077,2142,27,1416,1436,0,117,119,153,5090,5241,220,6001,6221
LGA51470,0,18,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,44,51,5,96,101,0,31,31,0,3,3,8,174,186,13,209,219
LGA51540,87,291,379,27,41,65,9,9,17,0,0,3,3,4,9,39,54,94,79,367,448,80,457,543,9,142,158,0,32,34,168,998,1183,328,1442,1771
LGA51610,0,69,72,3,9,8,0,0,0,0,0,0,0,0,0,3,9,8,9,101,108,13,152,166,3,84,83,3,18,21,28,355,378,35,473,506
LGA51680,7,142,153,0,27,26,0,4,4,0,7,7,0,0,0,0,38,37,17,437,454,11,593,606,10,489,496,0,71,75,38,1590,1631,51,1873,1926
