LGA_CODE_2021,Arthritis_Age_0_14,Arthritis_Age_15_24,Arthritis_Age_25_34,Arthritis_Age_35_44,Arthritis_Age_45_54,Arthritis_Age_55_64,Arthritis_Age_65_over,Arthritis_Age_Tot,Asthma_Age_0_14,Asthma_Age_15_24,Asthma_Age_25_34,Asthma_Age_35_44,Asthma_Age_45_54,Asthma_Age_55_64,Asthma_Age_65_over,Asthma_Age_Tot,Cancer_inc_rem_Age_0_14,Cancer_inc_rem_Age_15_24,Cancer_inc_rem_Age_25_34,Cancer_inc_rem_Age_35_44,Cancer_inc_rem_Age_45_54,Cancer_inc_rem_Age_55_64,Cancer_inc_rem_Age_65_over,Cancer_inc_rem_Age_Tot,Dem_inc_Alz_Age_0_14,Dem_inc_Alz_Age_15_24,Dem_inc_Alz_Age_25_34,Dem_inc_Alz_Age_35_44,Dem_inc_Alz_Age_45_54,Dem_inc_Alz_Age_55_64,Dem_inc_Alz_Age_65_over,Dem_inc_Alz_Age_Tot,Dia_exc_ges_dia_Age_0_14,Dia_exc_ges_dia_Age_15_24,Dia_exc_ges_dia_Age_25_34,Dia_exc_ges_dia_Age_35_44,Dia_exc_ges_dia_Age_45_54,Dia_exc_ges_dia_Age_55_64,Dia_exc_ges_dia_Age_65_over,Dia_exc_ges_dia_Age_Tot,HD_inc_Ha_ang_Age_0_14,HD_inc_Ha_ang_Age_15_24,HD_inc_Ha_ang_Age_25_34,HD_inc_Ha_ang_Age_35_44,HD_inc_Ha_ang_Age_45_54,HD_inc_Ha_ang_Age_55_64,HD_inc_Ha_ang_Age_65_over,HD_inc_Ha_ang_Age_Tot,Kid_dis_Age_0_14,Kid_dis_Age_15_24,Kid_dis_Age_25_34,Kid_dis_Age_35_44,Kid_dis_Age_45_54,Kid_dis_Age_55_64,Kid_dis_Age_65_over,Kid_dis_Age_Tot,LC_inc_COPD_emph_Age_0_14,LC_inc_COPD_emph_Age_15_24,LC_inc_COPD_emph_Age_25_34,LC_inc_COPD_emph_Age_35_44,LC_inc_COPD_emph_Age_45_54,LC_inc_COPD_emph_Age_55_64,LC_inc_COPD_emph_Age_65_over,LC_inc_COPD_emph_Age_Tot,MHC_inc_dep_anx_Age_0_14,MHC_inc_dep_anx_Age_15_24,MHC_inc_dep_anx_Age_25_34,MHC_inc_dep_anx_Age_35_44,MHC_inc_dep_anx_Age_45_54,MHC_inc_dep_anx_Age_55_64,MHC_inc_dep_anx_Age_65_over,MHC_inc_dep_anx_Age_Tot,Stroke_Age_0_14,Stroke_Age_15_24,Stroke_Age_25_34,Stroke_Age_35_44,Stroke_Age_45_54,Stroke_Age_55_64,Stroke_Age_65_over,Stroke_Age_Tot,A_oth_LTHC_Age_0_14,A_oth_LTHC_Age_15_24,A_oth_LTHC_Age_25_34,A_oth_LTHC_Age_35_44,A_oth_LTHC_Age_45_54,A_oth_LTHC_Age_55_64,A_oth_LTHC_Age_65_over,A_oth_LTHC_Age_Tot,No_LTHC_Age_0_14,No_LTHC_Age_15_24,No_LTHC_Age_25_34,No_LTHC_Age_35_44,No_LTHC_Age_45_54,No_LTHC_Age_55_64,No_LTHC_Age_65_over,No_LTHC_Age_Tot,Not_st_Age_0_14,Not_st_Age_15_24,Not_st_Age_25_34,Not_st_Age_35_44,Not_st_Age_45_54,Not_st_Age_55_64,Not_st_Age_65_over,Not_st_Age_Tot,Tot_per_Age_0_14,Tot_per_Age_15_24,Tot_per_Age_25_34,Tot_per_Age_35_44,Tot_per_Age_45_54,Tot_per_Age_55_64,Tot_per_Age_65_over,Tot_per_Age_Tot
LGA50080,0,0,4,4,18,21,25,76,28,29,23,17,22,19,12,148,0,0,0,0,7,9,4,24,0,0,0,0,0,0,3,3,0,4,3,11,21,27,28,92,0,0,0,3,3,19,26,58,0,0,0,0,0,0,4,6,0,0,0,0,3,12,3,28,13,39,33,27,33,12,9,157,0,0,0,0,0,3,6,8,18,13,0,10,14,12,12,94,328,164,96,65,62,37,16,771,51,38,81,58,27,14,4,278,433,262,231,166,163,129,86,1476
LGA50210,0,5,11,12,30,39,33,129,116,66,79,30,37,28,24,373,4,0,8,4,8,16,15,47,0,0,0,0,0,0,3,3,0,6,19,27,51,62,50,208,6,0,4,6,22,29,30,93,5,0,3,0,7,10,8,30,6,0,0,0,5,16,16,52,51,85,75,52,37,36,14,350,0,0,0,3,0,8,6,20,60,34,31,28,24,25,10,206,797,298,252,141,85,52,25,1641,88,47,30,24,18,8,7,205,1081,486,446,267,217,174,112,2785
LGA50250,0,0,0,3,6,11,10,29,15,7,11,10,5,7,0,57,0,0,0,0,4,4,0,6,0,0,0,0,0,0,4,3,0,0,3,10,12,24,13,71,0,0,0,9,9,11,7,38,0,0,0,0,5,0,0,7,0,0,0,0,0,0,0,4,5,6,9,10,9,10,4,52,0,0,0,0,0,0,0,0,11,0,6,6,9,4,7,50,194,82,85,75,53,14,12,522,9,6,6,10,4,5,0,41,234,105,119,123,94,63,35,772
LGA50280,0,0,0,0,0,3,8,12,4,8,0,4,3,0,4,22,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,10,6,0,26,0,0,0,0,0,0,0,0,0,6,0,5,3,6,0,19,63,23,14,21,14,4,6,147,4,5,4,0,4,0,0,20,73,42,23,38,24,13,14,231
LGA50350,0,0,0,0,0,3,8,23,8,20,16,4,9,7,11,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,3,6,26,0,0,0,0,0,3,9,14,0,0,0,0,0,0,0,6,0,0,0,0,0,0,4,5,3,12,6,10,9,6,3,56,0,0,0,0,0,0,0,0,9,3,0,3,6,3,0,32,104,46,29,23,20,4,3,226,16,6,3,4,0,0,0,35,138,85,55,32,40,24,21,399
LGA50420,0,0,3,4,6,17,18,48,19,26,26,23,15,16,5,133,0,0,0,0,0,4,0,10,0,0,0,0,0,0,11,14,0,0,8,14,9,13,20,56,0,0,0,4,0,17,7,28,0,0,0,0,0,7,0,11,0,0,0,3,0,9,5,18,16,33,39,27,17,20,7,171,0,0,0,0,0,5,7,15,22,11,18,15,18,16,15,112,252,149,103,52,48,29,9,647,14,20,9,8,0,3,3,68,313,221,183,117,102,86,59,1075
LGA50490,3,6,11,4,10,22,20,64,21,28,20,30,21,19,19,150,0,0,0,0,4,3,5,12,0,0,0,0,0,0,3,3,4,0,10,9,24,34,28,109,0,0,4,0,14,17,17,53,0,0,0,0,7,3,7,24,0,0,4,0,5,7,6,26,3,34,36,19,29,11,8,149,0,0,0,0,0,4,4,8,18,16,16,14,16,11,5,96,230,139,114,56,47,24,19,633,26,16,8,4,8,7,6,72,302,219,190,119,121,100,74,1129
LGA50560,0,0,0,0,0,4,6,3,0,0,0,4,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,15,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,9,0,0,3,6,0,0,18,6,0,0,0,0,0,0,6,8,6,4,6,6,8,8,48
LGA50630,0,0,0,0,0,0,0,0,0,5,6,0,0,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,9,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,3,3,5,5,0,39,0,0,0,0,0,0,0,0,13,6,18,10,6,8,0,60
LGA50770,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,4,0,0,3,0,3,0,17,0,0,0,0,0,0,0,0,6,0,3,8,6,7,3,29
