LGA_CODE_2021,Psn_15_y_over_Indig_M,Psn_15_y_over_Indig_F,Psn_15_y_over_Indig_P,Psn_15_y_over_NonInd_M,Psn_15_y_over_NonInd_F,Psn_15_y_over_NonInd_P,Psn_15_y_over_Ind_s_nsM,Psn_15_y_over_Ind_s_nsF,Psn_15_y_over_Ind_s_nsP,Psn_15_y_over_TotM,Psn_15_y_over_TotF,Psn_15_y_over_TotP,In_LF_Emp_Indig_M,In_LF_Emp_Indig_F,In_LF_Emp_Indig_P,In_LF_Emp_NonInd_M,In_LF_Emp_NonInd_F,In_LF_Emp_NonInd_P,In_LF_Emp_IndSt_nsM,In_LF_Emp_IndSt_nsF,In_LF_Emp_IndSt_nsP,In_LF_Employd_TotM,In_LF_Employd_TotF,In_LF_Employd_TotP,In_LF_unemp_Ind_M,In_LF_unemp_Ind_F,In_LF_unemp_Ind_P,In_LF_unemp_No_Ind_M,In_LF_unemp_No_Ind_F,In_LF_unemp_No_Ind_P,In_LF_un_IndSt_nsM,In_LF_un_IndSt_nsF,In_LF_un_IndSt_nsP,In_LF_Unemp_TotM,In_LF_Unemp_TotF,In_LF_Unemp_TotP,In_LF_To_LF_Ind_M,In_LF_To_LF_Ind_F,In_LF_To_LF_Ind_P,In_LF_To_la_fo_No_In_M,In_LF_To_la_fo_No_In_F,In_LF_To_la_fo_No_In_P,In_LF_To_l_fo_In_st_nsM,In_LF_To_l_fo_In_st_nsF,In_LF_To_l_fo_In_st_nsP,In_LF_To_LF_TotM,In_LF_To_LF_TotF,In_LF_To_LF_TotP,N_the_LF_Indig_M,N_the_LF_Indig_F,N_the_LF_Indig_P,N_the_LF_No_Indig_M,N_the_LF_No_Indig_F,N_the_LF_No_Indig_P,N_the_LF_Indig_st_nsM,N_the_LF_Indig_st_nsF,N_the_LF_Indig_st_nsP,N_the_LF_TotM,N_the_LF_TotF,N_the_LF_TotP,LF_st_ns_Indig_M,LF_st_ns_Indig_F,LF_st_ns_Indig_P,LF_st_ns_NonInd_M,LF_st_ns_NonInd_F,LF_st_ns_NonInd_P,LF_st_ns_Indig_st_nsM,LF_st_ns_Indig_st_nsF,LF_st_ns_Indig_st_nsP,LF_st_ns_TotM,LF_st_ns_TotF,LF_st_ns_TotP,Pcent_Unemploy_Indig_M,Pcent_Unemploy_Indig_F,Pcent_Unemploy_Indig_P,Pcent_Unemploy_NonInd_M,Pcent_Unemploy_NonInd_F,Pcent_Unemploy_NonInd_P,Pcent_Unem_IndSt_nsM,Pcent_Unemp_IndSt_nsF,Pcent_Unemp_IndSt_nsP,Pcent_Unemploy_TotM,Pcent_Unemploy_TotF,Pcent_Unemploy_TotP,Pcent_LF_part_Indig_M,Pcent_LF_part_Indig_F,Pcent_LF_part_Indig_P,Pcent_LF_part_No_Indig_M,Pcent_LF_part_No_Indig_F,Pcent_LF_part_No_Indig_P,Pcent_LF_part_IndSt_nsM,Pcent_LF_part_IndSt_nsF,Pcent_LF_part_IndSt_nsP,Pcent_LF_part_TotM,Pcent_LF_part_TotF,Pcent_LF_part_TotP,Pcent_Emp_to_pop_Ind_M,Pcent_Emp_to_pop_Ind_F,Pcent_Emp_to_pop_Ind_P,Pcent_Emp_t_pop_NonInd_M,Pcent_Emp_t_pop_NonInd_F,Pcent_Emp_t_pop_NonInd_P,Pcent_Emp_t_pop_IndSt_nsM,Pcent_Emp_t_pop_IndSt_nsF,Pcent_Emp_t_pop_IndSt_nsP,Pcent_Emp_to_pop_TotM,Pcent_Emp_to_pop_TotF,Pcent_Emp_to_pop_TotP,IndSec_Gov_Ind_M,IndSec_Gov_Ind_F,IndSec_Gov_Ind_P,IndSec_Gov_No_Ind_M,IndSec_Gov_No_Ind_F,IndSec_Gov_No_Ind_P,IndSec_Gov_IndSt_nsM,IndSec_Gov_IndSt_nsF,IndSec_Gov_IndSt_nsP,IndSec_Gov_TotM,IndSec_Gov_TotF,IndSec_Gov_TotP,IndSec_Priv_Ind_M,IndSec_Priv_Ind_F,IndSec_Priv_Ind_P,IndSec_Priv_NonInd_M,IndSec_Priv_NonInd_F,IndSec_Priv_NonInd_P,IndSec_Priv_IndSt_nsM,IndSec_Priv_IndSt_nsF,IndSec_Priv_IndSt_nsP,IndSec_Priv_TotM,IndSec_Priv_TotF,IndSec_Priv_TotP,Self_employed_Ind_M,Self_employed_Ind_F,Self_employed_Ind_P,Self_employed_NonInd_M,Self_employed_NonInd_F,Self_employed_NonInd_P,Self_employed_Ind_status_nsM,Self_employed_Ind_status_nsF,Self_employed_Ind_status_nsP,Self_employed_TotM,Self_employed_TotF,Self_employed_TotP,HnsQ_PgDL_Ind_M,HnsQ_PgDL_Ind_F,HnsQ_PgDL_Ind_P,HnsQ_PgDL_No_Ind_M,HnsQ_PgDL_No_Ind_F,HnsQ_PgDL_No_Ind_P,HnsQ_PgDL_IndSt_nsM,HnsQ_PgDL_IndSt_nsF,HnsQ_PgDL_IndSt_nsP,HnsQ_PgDL_TotM,HnsQ_PgDL_TotF,HnsQ_PgDL_TotP,HnsQ_GD_GCL_Ind_M,HnsQ_GD_GCL_Ind_F,HnsQ_GD_GCL_Ind_P,HnsQ_GD_GCL_No_In_M,HnsQ_GD_GCL_No_In_F,HnsQ_GD_GCL_No_In_P,HnsQ_GD_GCL_In_st_nsM,HnsQ_GD_GCL_In_st_nsF,HnsQ_GD_GCL_In_st_nsP,HnsQ_GD_GCL_TotM,HnsQ_GD_GCL_TotF,HnsQ_GD_GCL_TotP,HnsQ_BDL_Ind_M,HnsQ_BDL_Ind_F,HnsQ_BDL_Ind_P,HnsQ_BDL_No_Ind_M,HnsQ_BDL_No_Ind_F,HnsQ_BDL_No_Ind_P,HnsQ_BDL_IndSt_nsM,HnsQ_BDL_IndSt_nsF,HnsQ_BDL_IndSt_nsP,HnsQ_BDL_TotM,HnsQ_BDL_TotF,HnsQ_BDL_TotP,HnsQ_AD_DL_Ind_M,HnsQ_AD_DL_Ind_F,HnsQ_AD_DL_Ind_P,HnsQ_AD_DL_No_In_M,HnsQ_AD_DL_No_In_F,HnsQ_AD_DL_No_In_P,HnsQ_AD_DL_In_st_nsM,HnsQ_AD_DL_In_st_nsF,HnsQ_AD_DL_In_st_nsP,HnsQ_AD_DL_TotM,HnsQ_AD_DL_TotF,HnsQ_AD_DL_TotP,HnsQ_Cer_III_IV_Ind_M,HnsQ_Cer_III_IV_Ind_F,HnsQ_Cer_III_IV_Ind_P,HnsQ_Cer_III_IV_No_Ind_M,HnsQ_Cer_III_IV_No_Ind_F,HnsQ_Cer_III_IV_No_Ind_P,HnsQ_Cer_III_IV_IndSt_nsM,HnsQ_Cer_III_IV_IndSt_nsF
LGA55530,9,8,14,145,116,264,36,22,56,190,142,331,8,8,6,101,71,173,0,0,0,105,75,184,0,0,0,4,4,3,0,0,0,4,6,6,8,8,10,101,78,178,0,0,0,108,81,190,0,0,4,41,38,78,0,0,3,47,42,82,0,0,0,0,0,4,30,19,51,32,25,56,0,14.3,9.1,1.9,3.9,2.8,0,0,0,1.9,4.8,3.1,57.1,87.5,73.3,70.5,66.7,68.8,2.9,0,1.8,57.8,57.6,57.7,57.1,75,66.7,69.2,64,66.9,2.9,0,1.8,56.7,54.9,55.9,0,0,4,13,15,28,0,0,0,14,14,30,5,5,7,88,57,145,0,0,0,96,66,156,0,0,0,7,0,5,0,0,0,7,0,5,0,0,0,4,0,4,0,0,0,4,0,4,0,0,0,0,6,6,0,0,0,0,6,6,0,0,0,8,23,35,0,0,0,8,23,35,0,6,6,3,5,6,0,0,0,3,9,10,0,0,0,31,16,53,0,0
LGA55600,90,104,196,736,716,1445,108,99,207,938,917,1851,32,35,63,545,460,1008,3,5,7,581,497,1078,19,11,26,12,14,27,0,0,0,33,19,53,45,46,88,559,476,1034,9,5,15,608,524,1131,46,51,96,166,230,397,5,5,7,216,291,504,3,6,10,7,10,17,101,90,191,110,106,217,34.1,22.2,28.1,2.5,2.7,2.6,25,0,18.2,5.1,4.4,4.8,47.8,43.3,45.4,76.1,66.3,71.3,7.1,3.1,5.3,65.1,57,61.1,31.5,33.7,32.7,74.2,64.5,69.4,5.4,3.1,4.3,61.8,54.5,58.2,9,16,19,55,112,165,0,0,4,65,125,190,25,23,40,479,348,831,9,3,5,509,372,880,0,0,3,61,22,81,0,0,0,61,22,80,0,0,0,6,14,24,0,0,0,6,14,24,0,0,0,3,14,22,0,0,0,3,14,22,0,0,0,50,116,161,0,0,0,50,116,161,0,6,5,30,51,81,0,0,0,28,54,82,9,8,20,204,99,302,3,3
LGA55670,30,29,57,187,181,364,36,53,87,253,260,506,9,6,13,128,109,232,0,0,0,131,115,249,6,0,11,6,0,6,0,0,0,10,0,13,13,9,24,126,111,239,0,0,0,141,118,260,11,22,33,54,69,118,0,0,6,66,90,151,4,3,4,4,5,9,38,43,83,44,52,92,46.7,25,39.1,2.3,0.9,1.7,0,0,0,7,2.5,5,50,28.6,39.7,69.2,61.1,65.2,0,0,0,56.7,45.7,51.2,26.7,21.4,24.1,67.6,60.6,64.1,0,0,0,52.8,44.6,48.6,4,3,6,26,51,73,0,0,0,28,52,82,5,6,12,100,61,160,0,0,0,104,62,167,0,0,0,12,3,18,0,0,0,12,3,18,0,0,0,0,5,5,0,0,0,0,5,5,0,0,0,3,11,12,0,0,0,3,12,14,0,0,0,8,20,35,0,0,0,8,24,37,0,0,0,8,18,20,0,0,0,8,18,20,7,0,7,51,30,83,0,0
LGA55740,29,38,72,3392,3800,7192,194,165,360,3623,4006,7622,17,15,33,2269,2178,4449,0,5,10,2284,2202,4486,3,4,6,103,101,208,0,0,0,103,107,212,17,16,33,2376,2285,4660,0,5,10,2392,2310,4700,15,19,34,980,1456,2440,8,3,18,1005,1487,2492,0,0,0,32,61,91,188,149,338,228,208,433,11.1,18.8,14.7,4.3,4.5,4.4,0,0,0,4.4,4.6,4.5,54.5,43.2,48.6,70,60.1,64.8,0.5,3.7,1.9,66.1,57.7,61.7,48.5,35.1,41.4,67,57.4,61.9,0.5,3.7,1.9,63.2,55,58.9,6,0,4,253,403,656,0,4,4,253,406,660,16,13,22,2003,1774,3769,0,5,4,2013,1785,3798,0,0,0,138,141,278,0,0,0,138,141,275,0,0,0,521,486,1006,0,0,0,518,489,1010,0,0,6,113,207,321,0,0,0,113,212,321,6,4,12,1087,1196,2281,7,8,9,1098,1204,2299,0,0,3,290,366,654,0,0,0,297,370,658,5,0,5,341,202,545,0,0
LGA55810,19,20,47,133,108,241,141,106,245,297,233,531,13,9,23,90,65,151,0,0,0,100,76,179,0,0,0,5,3,7,0,0,0,4,3,8,9,9,21,94,67,161,0,0,0,103,79,187,16,9,21,42,36,75,0,0,0,54,50,100,0,0,0,4,0,0,141,102,239,143,104,247,10,0,4.5,5.3,6,5.6,0,0,0,5.7,5,5.4,43.5,57.1,50,69.3,62.6,66.4,0,1,0.4,35.2,34.3,34.8,39.1,57.1,47.7,65.7,58.9,62.7,0,1,0.4,33.2,32.6,33,0,0,3,8,21,35,0,0,0,16,24,38,7,8,12,80,42,118,0,0,0,83,49,131,0,0,0,9,5,9,0,0,0,9,5,9,0,0,0,0,4,12,0,0,0,0,4,12,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,11,16,28,0,0,0,11,19,24,0,4,4,9,9,17,0,0,0,9,11,23,6,0,5,49,15,59,0,0
LGA55880,10,9,15,175,156,333,19,19,38,206,175,385,4,3,6,133,107,238,0,0,0,133,108,249,0,0,0,5,0,11,0,0,0,5,0,11,4,3,6,138,112,250,0,0,0,141,114,259,4,0,5,35,43,83,0,0,0,46,44,87,0,0,0,0,0,0,19,19,38,18,14,36,0,0,0,4.3,3.6,4,0,0,0,4.2,3.5,3.9,50,40,46.2,77.5,71.2,74.6,0,0,0,69.6,63.8,66.9,50,40,46.2,74.2,68.6,71.6,0,0,0,66.7,61.6,64.3,0,0,0,8,28,35,0,0,0,8,28,35,4,3,6,122,80,206,0,0,0,129,83,208,0,0,0,17,15,26,0,0,0,17,15,26,0,0,0,6,0,4,0,0,0,6,0,4,0,0,0,0,8,7,0,0,0,0,8,7,0,0,0,6,23,30,0,0,0,6,23,30,0,0,0,9,8,16,0,0,0,9,15,18,0,3,5,36,26,61,0,0
LGA55950,9,14,28,205,186,389,23,19,47,241,215,459,3,0,6,158,108,269,0,0,0,166,108,270,0,0,0,0,3,3,0,0,0,0,3,4,3,0,8,158,112,274,0,0,0,168,108,273,8,15,20,35,68,104,0,0,6,43,84,129,0,0,0,8,10,14,23,21,38,33,26,51,25,0,20,0,1.8,0.7,0,0,0,0.6,1.8,1.1,33.3,8.3,20.8,79,59.2,69.7,0,0,0,68.9,50.9,60.4,25,8.3,16.7,79,58.2,69.2,0,0,0,68.5,50,59.7,0,0,0,17,26,41,0,0,0,15,26,46,3,0,0,144,78,222,0,0,0,144,77,226,0,0,0,23,12,36,0,0,0,23,12,36,0,0,0,4,0,3,0,0,0,4,0,3,0,0,0,4,6,11,0,0,0,4,6,11,0,0,0,10,24,37,0,0,0,10,25,39,0,0,0,8,17,22,0,0,0,8,17,22,0,0,3,54,19,77,0,0
LGA56090,888,275,1163,15247,14847,30095,794,577,1366,16925,15701,32630,178,151,326,9334,8735,18065,46,25,74,9550,8914,18464,25,14,48,421,372,798,0,0,3,457,388,845,202,168,372,9755,9107,18861,45,27,73,10006,9300,19307,679,100,781,5346,5575,10920,24,38,58,6049,5713,11763,4,8,14,148,169,314,724,511,1232,874,686,1563,13.3,10.7,12.1,4.3,4.1,4.2,4.4,3.4,4.1,4.5,4.2,4.4,22.9,60.4,31.8,64,61.3,62.7,5.7,5,5.4,59.1,59.2,59.2,19.8,54,28,61.2,58.8,60,5.4,4.9,5.2,56.4,56.8,56.6,22,52,77,1039,1833,2872,5,6,11,1063,1892,2954,150,100,246,8194,6814,15010,34,20,57,8375,6929,15307,0,0,8,776,584,1364,0,3,5,779,589,1370,0,5,6,535,597,1129,0,0,0,539,605,1143,0,3,5,275,528,804,0,0,0,273,533,804,15,27,38,1685,2577,4267,9,8,14,1706,2615,4324,18,38,53,1306,1781,3091,7,5,9,1328,1822,3156,84,46,131,4451,2082,6539,22,6
LGA56160,17,9,28,18,21,41,3,0,8,40,36,72,8,3,5,18,13,29,0,0,0,29,16,40,0,0,0,0,0,0,0,0,0,0,0,0,8,3,5,18,20,34,0,0,0,29,20,43,9,3,16,0,7,7,0,0,0,9,13,23,0,0,5,0,0,0,3,0,8,3,4,6,0,0,0,0,6.3,2.9,0,0,0,0,5.6,2.3,38.9,20,32.1,100,72.7,85,0,0,0,64.1,52.9,58.9,38.9,20,32.1,100,68.2,82.5,0,0,0,64.1,50,57.5,4,3,4,7,4,9,0,0,0,10,6,12,0,0,0,11,14,25,0,0,0,18,14,28,0,0,0,3,5,9,0,0,0,3,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,3,3,3,0,0,0,3,3,3,0,0,0,5,0,6,0,0,0,9,0,6,3,3,4,3,0,8,0,0
LGA56230,163,165,330,6559,6886,13447,568,440,1014,7298,7497,14791,94,81,172,3757,3401,7159,25,18,39,3874,3494,7368,15,11,27,232,222,458,0,0,0,255,240,491,110,87,200,3997,3621,7613,25,16,43,4124,3736,7858,54,66,121,2449,3133,5585,25,34,54,2524,3235,5761,0,7,6,119,131,249,522,393,918,642,534,1175,13.9,13.3,13.6,5.9,6.2,6.1,0,11.1,4.8,6.1,6.4,6.2,65.1,55.2,60.2,60.9,52.6,56.6,4.2,4.1,4.1,56.6,49.8,53.1,56,47.9,52,57.3,49.3,53.2,4.2,3.6,3.9,53.1,46.6,49.8,8,9,18,238,478,713,0,0,4,246,487,734,84,65,148,3476,2886,6364,25,16,40,3583,2965,6550,3,0,0,226,187,418,0,0,0,229,191,416,0,0,0,70,87,157,0,0,0,70,89,155,0,3,3,38,117,157,0,0,0,38,124,154,0,6,8,289,586,874,0,3,5,294,596,886,7,12,20,404,655,1062,3,8,11,418,675,1096,46,17,61,2209,1204,3413,14,6
LGA56300,18,17,32,582,563,1149,87,69,155,687,644,1330,11,9,17,315,286,603,0,0,0,328,293,617,0,0,0,12,9,31,0,0,0,12,9,31,11,9,17,332,301,628,0,0,0,342,307,650,6,12,16,251,249,501,0,4,3,263,264,524,0,0,0,0,10,15,80,67,148,86,77,164,0,0,0,4.8,4.3,4.6,0,0,0,4.7,4.2,4.5,58.8,40,50,56.3,53.6,55,1.2,0,0.6,49.6,47.4,48.5,58.8,40,50,53.6,51.2,52.4,1.2,0,0.6,47.2,45.4,46.4,0,0,0,43,53,92,0,0,0,39,51,97,11,3,11,273,232,503,0,0,0,282,237,520,3,0,3,60,31,93,0,0,0,59,31,89,0,0,0,14,19,30,0,0,0,14,21,27,0,0,0,6,29,33,0,0,0,6,29,33,0,0,3,46,72,119,0,0,0,51,74,123,0,5,3,46,76,116,0,0,0,47,80,127,7,0,6,170,62,234,0,0
LGA56370,6,6,10,272,252,520,64,40,102,338,298,641,4,5,7,196,154,350,0,0,0,200,161,362,0,0,0,8,4,14,0,0,0,8,4,14,4,5,7,202,159,359,0,0,0,208,162,370,3,0,3,63,92,155,0,0,0,66,95,163,0,0,0,0,3,8,62,34,99,62,41,103,0,0,0,2.9,2.6,2.8,0,0,0,2.9,2.5,2.7,57.1,83.3,69.2,75.8,61.4,68.8,0,2.5,1,61.5,54,58,57.1,83.3,69.2,73.6,59.8,66.9,0,2.5,1,59.8,52.7,56.4,0,0,0,16,45,55,0,0,0,16,44,60,4,0,7,181,109,291,0,0,0,185,117,298,0,0,0,26,0,29,0,0,0,26,0,29,0,0,0,0,3,8,0,0,0,0,3,8,0,0,0,0,4,4,0,0,0,0,4,4,0,0,0,9,46,55,0,0,0,9,46,55,0,0,0,10,22,34,0,0,0,10,22,34,0,0,3,45,19,66,0,0
LGA56460,81,94,174,1670,1739,3410,192,174,361,1941,2013,3953,33,29,63,1051,992,2042,9,3,13,1090,1023,2119,6,12,17,56,45,97,0,0,0,64,52,117,44,39,81,1105,1034,2141,8,3,12,1154,1082,2235,34,56,87,530,650,1177,13,13,26,577,713,1289,6,3,10,38,60,95,175,150,328,215,215,433,17.1,27.5,22.2,5,4.2,4.6,12.5,0,7.1,5.5,5,5.2,51.2,41.2,45.8,66.2,59.4,62.7,4.1,3.5,3.8,59.4,53.8,56.6,42.5,29.9,35.6,62.9,57,59.9,3.6,3.5,3.6,56.2,51.1,53.6,3,4,11,147,289,431,0,0,0,145,302,446,29,21,48,896,688,1587,6,9,12,926,718,1644,0,0,3,87,42,132,0,0,0,86,44,131,0,0,0,23,29,51,0,0,0,23,29,51,0,0,0,18,38,61,0,0,0,18,38,61,5,5,4,141,247,390,0,0,0,146,246,395,6,0,4,93,182,277,0,0,0,92,185,277,15,14,26,442,251,687,10,0
LGA56580,19,29,56,8389,8922,17310,284,283,566,8697,9234,17937,15,20,35,5704,5088,10796,15,9,26,5737,5114,10851,0,5,4,226,190,413,0,0,0,226,193,420,18,20,44,5927,5280,11212,16,9,25,5960,5313,11276,4,12,14,2423,3593,6015,19,18,38,2441,3621,6061,0,0,0,43,45,86,252,255,507,288,306,598,5.6,13.6,10,3.8,3.6,3.7,11.8,0,7.7,3.8,3.7,3.7,81.8,68.8,74.1,70.6,59.2,64.7,6,3.1,4.6,68.6,57.5,62.9,77.3,59.4,66.7,68,57,62.3,5.3,3.1,4.2,66,55.4,60.5,8,5,11,829,1081,1908,0,4,4,831,1087,1916,16,15,30,4842,3967,8808,15,4,24,4869,3987,8861,0,0,0,329,366,690,0,0,0,328,366,691,6,0,4,1724,1324,3043,0,0,3,1730,1324,3051,0,0,0,287,531,825,0,0,0,287,536,826,7,9,16,2994,3170,6160,20,6,28,3019,3186,6200,0,3,3,535,857,1384,3,0,4,536,856,1393,4,4,7,511,293,810,3,0
LGA56620,405,468,876,63,60,123,40,34,74,504,561,1065,45,72,116,53,55,110,0,0,0,99,122,221,48,28,77,0,4,4,0,0,0,48,35,80,90,103,190,53,56,108,0,0,0,142,155,301,300,344,643,7,0,7,0,0,0,302,344,644,18,21,40,0,0,3,40,35,71,61,57,117,50,29.7,39.3,0,5.4,2.7,0,0,0,31.3,21,25.9,22.2,21.6,21.9,90,94.9,92.4,0,0,0,28.5,28,28.3,11.1,15.2,13.3,90,89.8,89.9,0,0,0,19.6,22.1,20.9,25,17,39,28,14,41,0,0,0,50,31,77,21,55,75,28,34,65,0,0,0,49,93,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,0,0,5,7,0,0,0,0,9,9,0,0,0,0,9,9,0,0,0,26,22,50,0,0,0,27,22,50,0,0,4,3,8,10,0,0,0,5,7,12,10,12,20,16,3,18,0,0
LGA56730,211,243,452,4027,3974,8005,447,394,843,4685,4609,9299,74,77,153,2239,2167,4406,17,9,29,2326,2252,4577,12,21,35,142,107,251,0,0,3,161,129,288,94,96,186,2384,2270,4653,19,14,28,2490,2383,4867,112,138,255,1588,1643,3226,16,22,41,1718,1803,3519,7,5,14,60,58,125,412,356,772,483,426,912,16.7,23.7,20.3,6,4.6,5.4,5.6,8.3,6.7,6.4,5.4,5.9,42.5,40.2,41.3,59.1,57.2,58.1,4,3,3.6,53.1,51.7,52.4,35.4,30.7,32.9,55.5,54.5,55,3.8,2.8,3.3,49.7,48.9,49.3,13,19,28,288,515,800,0,0,0,299,529,829,52,55,108,1923,1636,3553,14,9,21,1992,1695,3686,0,0,0,170,108,279,5,0,3,174,105,278,0,0,0,60,78,145,0,0,0,61,81,142,0,0,0,39,78,118,0,0,0,39,79,121,5,6,9,204,387,587,3,0,3,207,393,600,5,10,16,191,375,561,0,0,5,198,380,578,27,28,52,1111,567,1678,9,0
LGA56790,57,54,121,1184,1075,2270,195,164,366,1448,1301,2744,16,23,39,684,572,1254,5,3,15,711,598,1306,12,0,14,29,21,45,0,0,0,37,18,55,29,20,49,718,587,1301,5,3,15,750,612,1359,35,32,67,454,478,935,8,9,15,491,520,1016,0,0,6,14,14,29,185,151,337,208,160,365,30.8,9.5,21.3,4.3,3.1,3.8,0,0,0,5.2,3.3,4.3,42.6,37.5,40.2,60.3,54.5,57.5,3,4.3,3.6,51.7,47.4,49.7,29.5,33.9,31.6,57.7,52.8,55.3,3,4.3,3.6,49,45.8,47.5,0,4,4,59,109,164,0,0,0,59,119,174,17,14,30,612,456,1067,3,3,13,633,468,1109,0,0,0,84,43,132,0,0,0,88,43,130,0,0,0,8,26,33,0,0,0,8,26,33,0,0,0,4,24,25,0,0,0,4,24,25,0,0,0,66,112,178,0,4,4,66,116,187,0,3,3,62,103,158,0,0,0,62,105,168,17,8,21,364,140,509,0,0
LGA56860,5,9,11,86,72,160,25,25,48,112,102,217,0,0,0,49,49,101,0,0,0,55,44,98,0,0,0,3,4,5,0,0,0,3,0,6,0,0,0,54,45,105,0,3,5,56,48,110,0,0,0,30,27,52,0,0,0,31,25,59,5,0,7,0,0,4,19,21,43,27,23,53,0,0,0,5.4,6.3,5.8,0,50,33.3,5.3,7.8,6.5,0,20,11.1,65.9,64.9,65.4,3.8,8.7,6.1,49.6,50,49.8,0,20,11.1,62.4,60.8,61.6,3.8,4.3,4.1,47,46.1,46.5,0,0,0,10,16,21,0,0,0,10,16,21,0,0,0,39,30,73,0,0,0,41,31,76,0,0,0,5,4,7,0,0,0,5,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,0,0,0,0,7,8,0,0,0,4,10,11,0,0,0,3,7,13,0,0,0,16,9,30,0,0
LGA56930,0,12,17,554,710,1262,20,24,48,582,748,1326,0,0,0,396,328,727,4,0,4,404,330,737,0,4,4,14,28,37,0,0,0,14,34,38,0,4,5,407,356,769,4,0,4,414,365,779,0,10,10,146,354,499,0,0,0,143,359,504,0,0,0,0,0,7,20,22,42,21,26,45,0,80,66.7,2.5,7.3,4.7,0,0,0,2.4,8.3,5.2,50,35.7,37.5,73.8,50.1,60.5,13,4.2,8.5,71.3,48.4,58.4,50,7.1,12.5,72,46.5,57.6,13,4.2,8.5,69.6,44.4,55.3,0,0,0,27,35,68,0,0,0,29,36,68,0,0,0,371,292,660,0,0,0,367,293,662,0,0,0,18,22,47,0,0,0,18,22,47,0,0,0,84,72,158,0,0,0,87,72,160,0,0,0,4,25,29,0,0,0,4,25,29,0,0,0,214,226,439,0,0,0,214,225,439,0,0,0,41,59,101,0,0,0,44,59,101,0,0,0,31,18,50,0,0
LGA57000,6,9,15,222,140,362,114,46,164,347,197,541,3,12,13,192,105,292,0,0,0,197,114,308,0,0,0,0,0,0,0,0,0,0,0,0,3,12,13,194,103,293,0,0,0,197,116,310,0,0,6,25,33,55,0,0,5,30,36,58,0,0,0,3,4,10,117,45,162,121,51,170,0,0,0,0.5,1,0.7,0,0,0,0.5,0.9,0.6,83.3,90,87.5,86.8,75,82.2,0.9,0,0.6,57.4,57.6,57.5,83.3,90,87.5,86.4,74.3,81.7,0.9,0,0.6,57.1,57.1,57.1,0,0,3,14,27,42,0,0,0,12,29,43,3,5,12,174,77,252,0,0,0,182,80,266,0,0,0,6,6,12,0,0,0,6,6,12,0,0,0,9,3,13,0,0,0,9,3,13,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,16,18,31,0,0,0,16,18,31,0,0,0,12,16,28,0,0,0,12,16,28,6,3,8,58,19,74,0,0
LGA57080,163,164,326,12337,11361,23693,1470,979,2445,13968,12503,26472,84,88,174,8940,7563,16503,14,10,26,9046,7655,16702,17,9,33,584,472,1060,0,0,0,605,486,1091,102,100,202,9526,8036,17561,13,10,24,9645,8146,17791,50,60,112,2688,3249,5936,7,14,23,2753,3319,6072,8,6,12,123,83,199,1440,951,2392,1568,1041,2604,18.9,13,16,6.1,5.9,6,6.3,0,3.8,6.3,6,6.1,64.2,61.3,62.8,77.2,70.7,74.1,1.1,1,1.1,69.1,65.1,67.2,52.1,53.4,52.7,72.5,66.6,69.6,1,1,1,64.7,61.3,63.1,10,25,33,1080,1231,2305,0,0,4,1087,1252,2343,74,61,137,7773,6262,14038,13,5,19,7858,6330,14191,0,4,5,390,283,671,0,0,0,394,286,679,4,11,11,2044,1775,3822,0,3,3,2046,1791,3834,3,0,6,306,392,701,0,0,0,308,392,703,17,15,32,3961,3835,7797,0,0,3,3981,3853,7836,12,6,19,1141,1212,2353,0,8,13,1154,1226,2384,30,36,64,1350,709,2060,8,3
LGA57140,34,36,68,382,361,745,27,30,55,443,432,866,7,9,17,205,164,366,4,5,7,210,180,391,4,0,7,12,8,21,0,0,0,22,15,31,8,16,27,219,168,392,0,5,7,234,189,425,18,23,39,160,184,347,0,0,3,180,205,390,0,0,0,4,8,9,24,24,45,21,31,56,36.4,26.7,30.8,7.3,4.7,6.1,25,0,12.5,8.9,6.3,7.7,36.7,40.5,38.8,57.1,47.5,52.5,15.4,13.8,14.5,53.3,44.6,49,23.3,29.7,26.9,53,45.3,49.3,11.5,13.8,12.7,48.5,41.8,45.2,6,0,7,21,25,43,0,0,0,18,28,49,8,4,10,184,136,324,3,0,3,190,148,337,0,0,0,18,11,28,0,0,0,18,11,28,0,0,0,7,4,6,0,0,0,7,4,6,0,0,0,0,11,8,0,0,0,0,11,13,0,0,0,17,41,56,0,0,0,15,41,64,0,0,0,21,36,60,0,3,3,21,40,64,3,7,13,96,45,144,0,0
