LGA_CODE_2021,NonI_35_44_PD_GD_GCL_P,NonI_35_44_BDL_P,NonI_35_44_ADip_DipL_P,NonI_35_44_Ct_III_IV_P,NonI_35_44_Ct_I_II_P,NonI_35_44_CL_nfd_P,NonI_35_44_LoE_NS_P,NonI_35_44_Tot_P,NonI_45_54_PD_GD_GCL_P,NonI_45_54_BDL_P,NonI_45_54_ADip_DipL_P,NonI_45_54_Ct_III_IV_P,NonI_45_54_Ct_I_II_P,NonI_45_54_CL_nfd_P,NonI_45_54_LoE_NS_P,NonI_45_54_Tot_P,NonI_55_64_PD_GD_GCL_P,NonI_55_64_BDL_P,NonI_55_64_ADip_DipL_P,NonI_55_64_Ct_III_IV_P,NonI_55_64_Ct_I_II_P,NonI_55_64_CL_nfd_P,NonI_55_64_LoE_NS_P,NonI_55_64_Tot_P,NonI_65ov_PtgdDe_GdDp_GdCt_P,NonI_65ov_BDL_P,NonI_65ov_ADip_DipL_P,NonI_65ov_Ct_III_IV_P,NonI_65ov_Ct_I_II_P,NonI_65ov_CL_nfd_P,NonI_65ov_LoE_NS_P,NonI_65ov_Tot_P,NonI_Tot_PD_GD_GCL_P,NonI_Tot_BDL_P,NonI_Tot_ADip_DipL_P,NonI_Tot_Ct_III_IV_P,NonI_Tot_Ct_I_II_P,NonI_tot_CL_nfd_P,NonI_Tot_LoE_NS_P,NonI_Tot_Tot_P,IS_NS_15_19_PD_GD_GCL_P,IS_NS_15_19_BDL_P,IS_NS_15_19_ADip_DipL_P,IS_NS_15_19_Ct_III_IV_P,IS_NS_15_19_Ct_I_II_P,IS_NS_15_19_CL_nfd_P,IS_NS_15_19_LoE_NS_P,IS_NS_15_19_Tot_P,IS_NS_20_24_PD_GD_GCL_P,IS_NS_20_24_BDL_P,IS_NS_20_24_ADip_DipL_P,IS_NS_20_24_Ct_III_IV_P,IS_NS_20_24_Ct_I_II_P,IS_NS_20_24_CL_nfd_P,IS_NS_20_24_LoE_NS_P,IS_NS_20_24_Tot_P,IS_NS_25_34_PD_GD_GCL_P,IS_NS_25_34_BDL_P,IS_NS_25_34_ADip_DipL_P,IS_NS_25_34_Ct_III_IV_P,IS_NS_25_34_Ct_I_II_P,IS_NS_25_34_CL_nfd_P,IS_NS_25_34_LoE_NS_P,IS_NS_25_34_Tot_P,IS_NS_35_44_PD_GD_GCL_P,IS_NS_35_44_BDL_P,IS_NS_35_44_ADip_DipL_P,IS_NS_35_44_Ct_III_IV_P,IS_NS_35_44_Ct_I_II_P,IS_NS_35_44_CL_nfd_P,IS_NS_35_44_LoE_NS_P,IS_NS_35_44_Tot_P,IS_NS_45_54_PD_GD_GCL_P,IS_NS_45_54_BDL_P,IS_NS_45_54_ADip_DipL_P,IS_NS_45_54_Ct_III_IV_P,IS_NS_45_54_Ct_I_II_P,IS_NS_45_54_CL_nfd_P,IS_NS_45_54_LoE_NS_P,IS_NS_45_54_Tot_P,IS_NS_55_64_PD_GD_GCL_P,IS_NS_55_64_BDL_P,IS_NS_55_64_ADip_DipL_P,IS_NS_55_64_Ct_III_IV_P,IS_NS_55_64_Ct_I_II_P,IS_NS_55_64_CL_nfd_P,IS_NS_55_64_LoE_NS_P,IS_NS_55_64_Tot_P,IS_NS_65ov_PtgdDe_GdDp_GdCt_P,IS_NS_65ov_BDL_P,IS_NS_65ov_ADip_DipL_P,IS_NS_65ov_Ct_III_IV_P,IS_NS_65ov_Ct_I_II_P,IS_NS_65ov_CL_nfd_P,IS_NS_65ov_LoE_NS_P,IS_NS_65ov_Tot_P,IS_NS_Tot_PD_GD_GCL_P,IS_NS_Tot_BDL_P,IS_NS_Tot_ADip_DipL_P,IS_NS_Tot_Ct_III_IV_P,IS_NS_Tot_Ct_I_II_P,IS_NS_tot_CL_nfd_P,IS_NS_Tot_LoE_NS_P,IS_NS_Tot_Tot_P,Tot_15_19_PD_GD_GCL_P,Tot_15_19_BDL_P,Tot_15_19_ADip_DipL_P,Tot_15_19_Ct_III_IV_P,Tot_15_19_Ct_I_II_P,Tot_15_19_CL_nfd_P,Tot_15_19_LoE_NS_P,Tot_15_19_Tot_P,Tot_20_24_PD_GD_GCL_P,Tot_20_24_BDL_P,Tot_20_24_ADip_DipL_P,Tot_20_24_Ct_III_IV_P,Tot_20_24_Ct_I_II_P,Tot_20_24_CL_nfd_P,Tot_20_24_LoE_NS_P,Tot_20_24_Tot_P,Tot_25_34_PD_GD_GCL_P,Tot_25_34_BDL_P,Tot_25_34_ADip_DipL_P,Tot_25_34_Ct_III_IV_P,Tot_25_34_Ct_I_II_P,Tot_25_34_CL_nfd_P,Tot_25_34_LoE_NS_P,Tot_25_34_Tot_P,Tot_35_44_PD_GD_GCL_P,Tot_35_44_BDL_P,Tot_35_44_ADip_DipL_P,Tot_35_44_Ct_III_IV_P,Tot_35_44_Ct_I_II_P,Tot_35_44_CL_nfd_P,Tot_35_44_LoE_NS_P,Tot_35_44_Tot_P,Tot_45_54_PD_GD_GCL_P,Tot_45_54_BDL_P,Tot_45_54_ADip_DipL_P,Tot_45_54_Ct_III_IV_P,Tot_45_54_Ct_I_II_P,Tot_45_54_CL_nfd_P,Tot_45_54_LoE_NS_P,Tot_45_54_Tot_P,Tot_55_64_PD_GD_GCL_P,Tot_55_64_BDL_P,Tot_55_64_ADip_DipL_P,Tot_55_64_Ct_III_IV_P,Tot_55_64_Ct_I_II_P,Tot_55_64_CL_nfd_P,Tot_55_64_LoE_NS_P,Tot_55_64_Tot_P,Tot_65ov_PtgdDe_GdDp_GdCt_P,Tot_65ov_BDL_P,Tot_65ov_ADip_DipL_P,Tot_65ov_Ct_III_IV_P,Tot_65ov_Ct_I_II_P,Tot_65ov_CL_nfd_P,Tot_65ov_LoE_NS_P,Tot_65ov_Tot_P,Tot_Tot_PD_GD_GCL_P,Tot_Tot_BDL_P,Tot_Tot_ADip_DipL_P,Tot_Tot_Ct_III_IV_P,Tot_Tot_Ct_I_II_P,Tot_tot_CL_nfd_P,Tot_Tot_LoE_NS_P,Tot_Tot_Tot_P
LGA50080,251,703,468,1127,82,58,90,2776,297,724,554,1183,76,122,119,3076,306,640,650,1108,78,153,173,3101,336,787,838,1158,55,198,777,4149,1396,3511,2910,6497,697,605,1328,16944,0,0,0,0,0,0,89,90,0,0,0,0,0,0,68,74,0,0,0,0,0,0,224,225,0,0,0,0,0,0,198,198,3,8,6,3,0,0,229,246,0,0,8,7,0,0,245,261,0,4,3,14,0,3,377,404,0,14,13,33,3,0,1436,1505,0,0,15,197,171,15,142,535,21,105,76,489,152,20,118,986,186,555,324,1323,119,46,327,2882,249,709,474,1165,86,56,302,3049,301,740,577,1227,79,123,361,3406,304,647,671,1139,75,154,441,3428,336,803,842,1182,57,203,1167,4591,1410,3556,2979,6717,735,625,2853,18875
LGA50210,1748,3470,1938,3150,184,233,446,11179,779,1612,1248,2366,132,237,316,6695,428,875,1016,2015,101,206,328,4961,317,781,845,1858,82,259,956,5099,4276,9887,6859,14357,1356,1200,2626,40558,0,0,0,3,0,0,238,242,0,0,0,3,0,0,262,270,0,3,4,3,0,0,696,710,5,5,4,0,0,0,694,707,3,0,3,7,0,4,536,554,0,0,0,12,0,0,405,419,0,6,8,13,0,0,360,381,8,13,17,42,4,4,3199,3289,5,0,33,395,269,35,356,1087,54,467,339,1222,317,75,401,2871,948,2703,1479,3549,326,162,1084,10249,1762,3492,1964,3224,190,247,1163,12028,782,1625,1280,2417,138,240,860,7348,434,881,1032,2050,107,204,752,5457,319,790,860,1884,85,260,1328,5518,4303,9949,6994,14742,1416,1227,5936,44561
LGA50250,48,157,107,453,19,19,28,829,22,63,79,252,13,15,28,473,19,43,54,161,6,7,15,305,6,18,6,44,0,0,11,87,158,477,372,1425,68,56,126,2686,0,0,0,0,0,0,46,46,0,0,0,0,0,0,88,88,0,0,0,4,0,0,301,308,0,0,0,0,0,0,286,286,0,0,0,0,0,0,203,204,0,0,0,0,0,0,150,149,0,0,0,0,0,0,38,38,0,0,0,4,0,0,1108,1117,0,0,0,13,10,0,62,86,0,29,14,91,16,5,101,256,58,180,106,473,27,11,331,1189,46,155,118,492,20,19,321,1170,28,71,84,267,9,11,236,715,22,47,61,171,7,8,167,479,6,17,9,50,0,3,49,141,168,495,391,1554,91,66,1268,4031
LGA50280,209,624,279,626,34,56,76,1899,159,482,300,542,42,59,68,1643,145,344,265,485,28,61,66,1395,199,389,356,359,25,62,222,1615,813,2289,1386,2576,207,274,519,8058,0,0,0,0,0,0,52,51,0,0,0,0,0,0,40,44,0,0,0,0,0,0,143,150,0,0,3,0,0,0,210,216,0,0,0,3,0,0,246,249,0,3,0,6,0,0,124,139,0,0,5,6,0,0,160,169,0,13,6,17,0,0,981,1014,0,0,6,40,30,5,72,154,3,28,15,116,29,11,49,251,101,439,166,426,22,25,193,1369,209,631,278,645,34,56,287,2143,158,477,301,543,42,62,317,1902,147,350,271,496,28,61,194,1538,199,394,360,376,25,62,385,1797,812,2315,1402,2634,214,272,1506,9161
LGA50350,341,618,257,456,32,37,39,1776,258,412,250,393,18,46,39,1416,181,263,226,361,13,57,58,1159,100,220,221,421,16,59,184,1220,1114,2288,1211,2248,198,221,409,7683,0,0,0,0,0,0,25,26,0,0,0,0,0,0,41,41,0,0,0,0,0,0,126,132,0,0,0,0,0,0,110,116,0,0,0,4,0,0,109,119,0,0,0,4,0,0,83,89,0,0,0,6,0,0,122,128,3,3,0,9,4,0,627,648,0,0,0,48,26,3,30,117,20,121,55,155,44,12,68,475,214,654,214,447,42,13,193,1772,347,615,257,460,35,37,155,1910,258,419,253,402,18,50,154,1553,183,264,226,370,13,56,144,1259,107,223,222,424,19,59,310,1354,1124,2303,1225,2304,212,230,1044,8444
LGA50420,1666,3231,1178,1569,86,152,300,8185,971,1905,1066,1370,98,179,245,5820,642,1152,875,1310,82,188,269,4515,527,1129,1043,1548,74,290,769,5379,5409,11913,5740,8438,752,976,2008,35233,0,0,0,0,0,0,105,105,0,0,0,3,0,0,154,162,0,4,4,4,0,0,520,523,5,3,0,0,0,0,447,462,0,0,0,3,0,0,318,324,0,3,5,0,0,4,265,274,0,3,5,6,0,0,475,492,0,15,17,21,0,4,2283,2340,0,0,32,165,115,20,143,473,99,741,376,633,167,35,274,2329,1515,3795,1191,1923,143,117,808,9490,1674,3241,1190,1603,93,156,758,8721,976,1917,1069,1394,100,182,565,6204,639,1160,894,1327,82,191,544,4833,524,1140,1057,1561,74,294,1245,5897,5434,11991,5802,8613,773,994,4336,37944
LGA50490,907,1648,782,995,70,95,227,4727,425,845,575,857,44,102,175,3030,237,491,497,760,47,117,168,2318,177,422,404,826,41,117,574,2563,2772,6282,3499,5371,530,545,1555,20558,0,0,0,0,0,0,96,96,0,0,0,0,0,0,185,185,0,4,0,0,0,0,547,549,0,0,0,6,0,0,430,441,0,0,3,5,0,0,319,328,0,0,0,0,0,0,255,253,0,3,0,8,0,0,230,238,3,3,3,21,0,0,2054,2087,0,3,22,136,101,4,120,394,65,459,276,541,135,30,299,1805,969,2428,960,1358,123,85,831,6749,911,1670,796,1025,70,100,665,5234,432,856,591,882,48,108,504,3414,238,495,501,783,45,118,435,2618,177,430,409,838,45,118,817,2836,2793,6345,3560,5555,564,564,3680,23059
LGA50560,3,28,11,30,4,5,10,93,10,23,23,37,4,0,4,98,6,22,24,48,0,5,14,122,6,33,47,70,0,10,44,216,35,125,110,237,15,20,79,628,0,0,0,0,0,0,8,8,0,0,0,0,0,0,12,12,0,0,0,0,0,0,13,13,0,0,0,0,0,0,21,21,0,0,0,0,0,0,30,30,0,0,0,0,0,0,27,27,0,0,0,0,0,0,49,54,0,0,0,3,0,0,165,168,0,0,0,9,0,0,12,21,0,4,0,7,0,0,13,26,4,18,8,36,7,0,20,96,3,24,11,34,4,5,28,111,10,30,20,41,9,0,33,132,6,28,24,52,0,5,40,153,6,33,47,73,0,10,100,274,35,129,115,247,17,25,242,811
LGA50630,14,30,14,40,5,5,3,110,6,17,13,54,3,5,16,110,4,11,21,63,0,0,17,121,13,21,26,37,6,7,24,133,31,110,85,280,31,26,67,626,0,0,0,0,0,0,8,8,0,0,0,0,0,0,3,3,0,0,0,0,0,0,19,16,0,0,0,0,0,0,16,16,0,0,0,0,0,0,27,27,0,0,0,0,0,0,21,23,0,0,0,0,0,0,23,23,0,0,0,4,0,0,118,120,0,0,0,3,4,0,9,17,0,8,3,8,7,0,3,33,0,25,7,67,9,3,24,137,14,37,16,47,5,5,20,134,6,17,13,56,3,5,40,136,4,15,21,67,0,0,38,148,13,21,26,37,6,7,43,153,31,113,82,290,33,26,183,754
LGA50770,6,47,14,52,0,5,3,134,3,37,23,58,4,7,10,126,7,22,25,55,0,7,12,125,10,20,35,46,0,14,34,159,27,153,103,272,19,31,63,671,0,0,0,0,0,0,4,4,0,0,0,0,0,0,9,9,0,0,0,0,0,0,10,18,0,0,0,4,0,0,23,28,0,0,0,0,0,0,25,25,0,0,0,0,0,0,30,35,0,0,0,0,0,0,36,40,0,0,0,3,0,0,142,148,0,0,0,10,3,3,9,23,0,3,0,22,9,0,9,39,0,27,4,41,4,4,13,98,3,47,19,55,0,5,29,161,3,37,23,55,4,11,32,155,7,26,26,58,0,7,40,159,11,20,35,46,0,17,76,202,32,152,113,285,19,38,204,835
