LGA_CODE_2021,Tot_p_Indig_M,Tot_p_Indig_F,Tot_p_Indig_P,Tot_p_NonInd_M,Tot_p_NonInd_F,Tot_p_NonInd_P,Tot_p_IndigStat_nsM,Tot_p_IndigStat_nsF,Tot_p_IndigStat_nsP,Tot_p_TotM,Tot_p_TotF,Tot_p_TotP,A_0_4_Indig_M,A_0_4_Indig_F,A_0_4_Indig_P,A_0_4_NonInd_M,A_0_4_NonInd_F,A_0_4_NonInd_P,A_0_4_IndigStat_nsM,A_0_4_IndigStat_nsF,A_0_4_IndigStat_nsP,A_0_4_TotM,A_0_4_TotF,A_0_4_TotP,A_5_14_Indig_M,A_5_14_Indig_F,A_5_14_Indig_P,A_5_14_NonInd_M,A_5_14_NonInd_F,A_5_14_NonInd_P,A_5_14_IndigStat_nsM,A_5_14_IndigStat_nsF,A_5_14_IndigStat_nsP,A_5_14_TotM,A_5_14_TotF,A_5_14_TotP,A_15_24_Indig_M,A_15_24_Indig_F,A_15_24_Indig_P,A_15_24_NonInd_M,A_15_24_NonInd_F,A_15_24_NonInd_P,A_15_24_IndigStat_nsM,A_15_24_IndigStat_nsF,A_15_24_IndigStat_nsP,A_15_24_TotM,A_15_24_TotF,A_15_24_TotP,A_25_44_Indig_M,A_25_44_Indig_F,A_25_44_Indig_P,A_25_44_NonInd_M,A_25_44_NonInd_F,A_25_44_NonInd_P,A_25_44_IndigStat_nsM,A_25_44_IndigStat_nsF,A_25_44_IndigStat_nsP,A_25_44_TotM,A_25_44_TotF,A_25_44_TotP,A_45_64_Indig_M,A_45_64_Indig_F,A_45_64_Indig_P,A_45_64_NonInd_M,A_45_64_NonInd_F,A_45_64_NonInd_P,A_45_64_IndigStat_nsM,A_45_64_IndigStat_nsF,A_45_64_IndigStat_nsP,A_45_64_TotM,A_45_64_TotF,A_45_64_TotP,A_65_over_Indig_M,A_65_over_Indig_F,A_65_over_Indig_P,A_65_ovr_NonInd_M,A_65_ovr_NonInd_F,A_65_ovr_NonInd_P,A_65ove_IndigStat_nsM,A_65ove_IndigStat_nsF,A_65ove_IndigStat_nsP,A_65_ovr_TotM,A_65_ovr_TotF,A_65_ovr_TotP,Cntd_CN_home_Indig_M,Cntd_CN_home_Indig_F,Cntd_CN_home_Indig_P,Cntd_CN_hme_NonInd_M,Cntd_CN_hme_NonInd_F,Cntd_CN_hme_NonInd_P,ctd_CN_hme_Indig_st_nsM,ctd_CN_hme_Indig_st_nsF,ctd_CN_hme_Indig_st_nsP,Cntd_CN_home_TotM,Cntd_CN_home_TotF,Cntd_CN_home_TotP,VfSme_SA2_Indig_M,VfSme_SA2_Indig_F,VfSme_SA2_Indig_P,VfSme_SA2_NonInd_M,VfSme_SA2_NonInd_F,VfSme_SA2_NonInd_P,VfSme_SA2_Indi_stat_nsM,VfSme_SA2_Indi_stat_nsF,VfSme_SA2_Indi_stat_nsP,VfSme_SA2_TotM,VfSme_SA2_TotF,VfSme_SA2_TotP,VfDif_SA2_NSW_Indig_M,VfDif_SA2_NSW_Indig_F,VfDif_SA2_NSW_Indig_P,VfDif_SA2_NSW_NonInd_M,VfDif_SA2_NSW_NonInd_F,VfDif_SA2_NSW_NonInd_P,VfDif_SA2_NSW_IndSt_nsM,VfDif_SA2_NSW_IndSt_nsF,VfDif_SA2_NSW_IndSt_nsP,VfDif_SA2_NSW_TotM,VfDif_SA2_NSW_TotF,VfDif_SA2_NSW_TotP,VfDif_SA2_Vic_Indig_M,VfDif_SA2_Vic_Indig_F,VfDif_SA2_Vic_Indig_P,VfDif_SA2_Vic_NonInd_M,VfDif_SA2_Vic_NonInd_F,VfDif_SA2_Vic_NonInd_P,VfDif_SA2_Vic_Ind_sta_nsM,VfDif_SA2_Vic_Ind_sta_nsF,VfDif_SA2_Vic_Ind_sta_nsP,VfDif_SA2_Vic_TotM,VfDif_SA2_Vic_TotF,VfDif_SA2_Vic_TotP,VfDif_SA2_Qld_Indig_M,VfDif_SA2_Qld_Indig_F,VfDif_SA2_Qld_Indig_P,VfDif_SA2_Qld_NonInd_M,VfDif_SA2_Qld_NonInd_F,VfDif_SA2_Qld_NonInd_P,VfDif_SA2_Qld_IndSt_nsM,VfDif_SA2_Qld_IndSt_nsF,VfDif_SA2_Qld_IndSt_nsP,VfDif_SA2_Qld_TotM,VfDif_SA2_Qld_TotF,VfDif_SA2_Qld_TotP,VfDif_SA2_SA_Indig_M,VfDif_SA2_SA_Indig_F,VfDif_SA2_SA_Indig_P,VfDif_SA2_SA_NonInd_M,VfDif_SA2_SA_NonInd_F,VfDif_SA2_SA_NonInd_P,VfDif_SA2_SA_IndSt_nsM,VfDif_SA2_SA_IndSt_nsF,VfDif_SA2_SA_IndSt_nsP,VfDif_SA2_SA_TotM,VfDif_SA2_SA_TotF,VfDif_SA2_SA_TotP,VfDif_SA2_WA_Indig_M,VfDif_SA2_WA_Indig_F,VfDif_SA2_WA_Indig_P,VfDif_SA2_WA_NonInd_M,VfDif_SA2_WA_NonInd_F,VfDif_SA2_WA_NonInd_P,VfDif_SA2_WA_IndSt_nsM,VfDif_SA2_WA_IndSt_nsF,VfDif_SA2_WA_IndSt_nsP,VfDif_SA2_WA_TotM,VfDif_SA2_WA_TotF,VfDif_SA2_WA_TotP,VfDif_SA2_Tas_Indig_M,VfDif_SA2_Tas_Indig_F,VfDif_SA2_Tas_Indig_P,VfDif_SA2_Tas_NonInd_M,VfDif_SA2_Tas_NonInd_F,VfDif_SA2_Tas_NonInd_P,VfDif_SA2_Tas_IndSt_nsM,VfDif_SA2_Tas_IndSt_nsF,VfDif_SA2_Tas_IndSt_nsP,VfDif_SA2_Tas_TotM,VfDif_SA2_Tas_TotF,VfDif_SA2_Tas_TotP,VfDif_SA2_NT_Indig_M,VfDif_SA2_NT_Indig_F,VfDif_SA2_NT_Indig_P,VfDif_SA2_NT_NonInd_M,VfDif_SA2_NT_NonInd_F,VfDif_SA2_NT_NonInd_P,VfDif_SA2_NT_IndSt_nsM,VfDif_SA2_NT_IndSt_nsF,VfDif_SA2_NT_IndSt_nsP,VfDif_SA2_NT_TotM,VfDif_SA2_NT_TotF,VfDif_SA2_NT_TotP,VfDif_SA2_ACT_Indig_M,VfDif_SA2_ACT_Indig_F,VfDif_SA2_ACT_Indig_P,VfDif_SA2_ACT_NonInd_M,VfDif_SA2_ACT_NonInd_F,VfDif_SA2_ACT_NonInd_P,VfDif_SA2_ACT_IndSt_nsM,VfDif_SA2_ACT_IndSt_nsF
LGA52100,7,17,26,471,447,919,26,35,57,503,505,1007,0,0,0,23,29,55,0,0,3,23,37,60,4,0,3,42,53,98,3,3,6,50,60,111,4,0,3,50,23,77,0,3,4,56,28,84,0,4,4,109,102,212,0,4,4,114,109,222,3,9,5,118,113,232,8,8,16,129,128,260,0,0,0,127,123,249,3,13,16,131,139,268,7,19,25,424,415,835,21,27,47,448,453,903,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,27,52,0,3,6,30,26,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA52170,10,18,29,3781,3877,7653,157,130,285,3943,4027,7970,0,0,4,192,149,348,4,8,10,193,157,352,0,4,7,454,416,872,6,9,10,464,424,891,0,4,3,497,489,980,17,7,26,514,499,1014,3,4,5,786,854,1639,60,42,104,849,902,1749,5,6,10,1029,1097,2128,38,38,73,1070,1139,2208,0,0,7,820,862,1681,29,28,55,855,891,1748,10,16,26,3519,3642,7162,87,87,173,3615,3747,7364,0,0,0,4,4,11,0,0,0,4,4,11,0,0,0,13,7,23,3,0,3,14,12,27,0,0,0,4,10,16,0,0,0,4,10,16,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,116,213,3,3,5,100,119,220,0,0,0,0,3,5,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA52240,11,17,25,502,451,960,52,59,112,572,532,1100,0,0,0,34,24,59,0,5,5,37,28,66,0,9,6,59,69,128,8,3,13,76,73,151,0,5,0,34,37,73,7,6,14,45,45,87,4,3,5,92,103,204,6,12,19,108,120,225,0,4,9,163,130,296,17,18,37,184,150,332,3,4,6,115,88,208,14,14,25,126,105,235,11,16,28,454,402,846,47,56,104,511,466,975,0,0,0,0,3,9,0,0,0,0,3,9,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,30,14,42,6,3,11,36,16,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA52310,8,4,14,419,386,808,44,39,79,470,426,902,0,0,0,17,11,31,0,0,0,17,15,29,0,3,4,46,44,93,4,7,16,57,52,111,0,0,0,33,33,64,0,4,6,34,42,72,0,0,0,70,67,136,7,5,18,77,71,151,0,3,4,143,135,281,8,10,18,156,154,306,3,0,3,114,84,203,15,8,22,130,95,222,8,4,14,383,355,742,38,37,75,426,399,828,0,0,0,5,0,8,0,0,0,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,20,0,0,5,14,14,25,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA52380,14,5,14,115,55,174,17,13,29,147,73,215,0,0,0,0,0,0,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,12,3,13,0,4,4,12,5,19,3,0,0,35,8,48,3,0,8,44,11,51,3,0,5,36,15,51,4,0,6,45,19,66,4,0,4,32,21,57,6,4,13,48,28,66,9,0,15,110,47,156,11,13,24,133,69,198,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,8,8,17,0,0,0,13,8,19,0,0,0,10,3,13,0,0,0,10,3,13,0,0,0,12,4,14,0,0,0,12,4,14,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,214,67,282,14,8,21,235,73,308,0,0,0,4,3,5,0,0,0,4,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA52450,22,16,41,610,556,1165,50,43,93,680,618,1302,0,0,0,41,39,79,4,4,7,41,39,84,0,4,9,82,78,162,6,6,10,88,90,179,7,5,16,100,81,183,0,0,6,106,94,201,3,3,5,142,138,273,14,12,26,160,151,309,14,3,16,141,124,261,16,8,18,161,129,299,0,3,6,115,95,209,6,15,22,121,112,236,22,18,39,560,521,1084,28,38,65,615,574,1189,0,0,0,6,0,5,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,8,4,10,65,44,112,4,0,0,73,46,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA52520,38,45,84,570,519,1087,104,101,204,720,660,1379,4,10,11,40,47,85,9,7,19,44,64,108,9,15,24,71,67,140,8,17,28,89,102,192,9,0,9,48,44,95,12,8,13,68,50,118,10,7,13,160,150,309,32,27,58,202,184,386,13,11,22,158,119,278,35,27,58,204,161,360,3,4,8,87,84,174,14,15,30,108,107,215,32,33,69,524,476,1009,99,87,188,664,601,1265,0,0,0,0,0,5,0,0,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,6,0,6,5,4,10,47,38,87,12,5,21,65,55,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA52590,48,49,96,1535,1391,2928,209,132,335,1790,1567,3355,4,0,0,82,66,150,0,4,8,93,76,162,8,4,15,162,111,271,19,3,20,181,123,309,11,5,15,100,85,182,14,8,23,122,100,224,15,17,23,292,311,604,64,37,104,374,359,732,11,17,26,449,433,887,61,33,95,522,478,1003,5,8,12,452,381,833,42,43,82,494,429,928,41,42,82,1338,1247,2579,153,115,261,1525,1399,2922,0,0,0,11,6,22,0,0,0,11,9,17,0,0,0,10,11,16,0,0,0,8,11,19,0,0,0,15,12,25,0,0,5,14,16,30,0,0,0,8,11,18,3,0,7,12,11,18,0,0,0,8,12,19,3,0,5,12,11,22,6,0,9,260,162,424,110,49,162,376,219,598,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,5,5,0,0
LGA52660,206,229,435,6641,6820,13462,439,346,785,7281,7406,14686,24,18,40,455,436,892,11,13,22,485,465,954,72,63,130,956,874,1833,43,34,79,1068,975,2041,38,43,78,719,681,1401,35,22,54,792,740,1526,43,57,101,1703,1782,3485,123,63,184,1869,1899,3772,31,42,77,1614,1754,3371,125,88,212,1772,1884,3652,0,15,13,1190,1290,2483,107,135,241,1300,1439,2737,194,216,407,6177,6517,12698,265,288,554,6640,7021,13656,0,0,0,18,21,41,0,4,5,19,22,40,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,6,6,4,0,4,3,6,8,0,0,0,6,0,5,6,0,6,9,0,8,0,0,0,0,0,0,0,0,0,0,0,0,14,4,16,162,140,303,27,26,51,199,169,371,0,0,0,4,0,4,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA52730,31,47,77,2762,2912,5669,292,271,563,3084,3226,6310,3,3,9,133,132,267,21,9,28,155,148,306,12,10,21,355,331,687,36,37,77,403,383,779,8,3,10,239,217,459,26,24,52,272,248,522,4,9,11,418,542,960,54,56,110,475,601,1080,4,9,13,817,875,1693,88,82,174,913,971,1881,0,6,6,802,801,1605,60,62,121,861,875,1738,28,43,72,2455,2664,5122,226,236,460,2709,2937,5652,0,0,0,11,14,23,0,0,0,11,12,22,0,0,0,9,6,15,5,0,7,12,9,22,0,0,0,9,5,11,0,0,3,5,10,15,0,0,0,3,0,0,0,0,0,4,6,8,0,0,0,6,4,11,0,0,7,7,3,15,9,9,16,269,246,513,30,34,65,300,288,594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA52800,2159,2108,4267,925,863,1789,487,536,1024,3568,3510,7075,208,198,409,41,24,72,32,36,61,282,264,544,397,385,780,73,57,128,80,90,169,551,525,1069,375,367,742,60,94,157,58,78,136,498,535,1036,665,627,1297,302,316,618,130,176,310,1102,1125,2226,409,408,816,292,273,561,132,118,251,841,797,1632,103,126,230,158,102,259,51,42,90,309,270,573,2028,1980,4014,852,793,1651,453,497,955,3333,3279,6612,16,17,37,3,3,9,3,3,10,23,23,50,5,0,5,100,102,204,16,16,38,120,129,246,0,0,0,152,148,303,29,32,70,182,185,372,3,3,3,107,94,200,16,19,32,125,114,242,0,0,0,61,55,115,15,3,16,74,62,134,91,92,187,583,467,1051,173,108,278,850,666,1517,0,0,0,16,13,31,0,0,0,16,13,31,0,0,0,7,14,18,5,0,5,14,8,28,0,0,0,5,8,20,0,0
LGA52870,75,79,153,2753,2859,5612,218,173,391,3039,3112,6155,5,7,11,133,146,280,4,6,10,146,161,308,16,19,36,339,309,649,25,18,33,375,345,718,17,20,33,254,206,465,19,16,37,296,239,537,15,14,28,491,582,1079,50,29,79,555,628,1181,19,22,41,804,896,1695,62,54,115,881,970,1852,0,3,3,726,719,1446,57,52,109,782,778,1563,64,74,139,2533,2679,5215,150,141,289,2751,2894,5650,0,0,0,11,11,20,0,0,0,11,9,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,11,0,0,5,13,7,17,0,0,0,0,0,3,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,8,7,14,121,76,195,21,11,28,141,96,236,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA52940,14,15,34,320,307,622,39,21,56,374,337,715,4,0,7,19,13,36,3,6,6,29,19,46,0,0,5,46,48,88,3,0,8,51,55,103,0,0,0,36,19,58,5,3,7,37,19,60,4,5,7,48,67,117,8,0,11,63,71,139,4,6,6,85,70,155,11,10,19,95,77,178,0,0,0,86,86,168,10,0,12,96,89,181,14,10,30,288,282,574,35,17,49,340,314,650,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,10,32,0,0,4,23,11,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA53010,12,16,28,279,258,540,59,46,106,353,323,681,0,0,0,20,23,46,3,6,6,25,28,48,6,4,9,33,35,68,4,8,16,41,50,91,0,5,5,21,11,31,4,5,8,23,24,39,0,3,7,72,64,142,13,10,25,90,75,168,0,3,8,76,78,153,19,14,36,103,92,195,0,0,3,64,51,112,16,8,25,76,61,137,9,15,29,257,232,489,57,37,100,324,290,615,0,0,0,6,0,3,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,15,4,21,26,8,28,38,14,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA53080,50,44,93,246,196,446,73,65,139,372,305,677,5,3,8,15,0,15,5,8,9,24,9,34,7,4,10,14,9,26,4,5,13,27,23,46,3,8,14,21,16,36,8,0,10,36,23,62,11,13,22,49,45,92,17,20,40,75,77,149,16,7,24,86,76,160,27,24,50,125,115,238,9,4,9,68,50,119,10,8,16,87,59,147,48,37,82,221,179,395,62,55,120,330,276,602,4,5,4,0,0,0,0,0,0,6,5,4,0,0,0,8,11,18,3,6,4,10,14,22,0,0,0,20,17,38,0,0,0,18,17,38,0,0,0,13,11,24,3,0,10,17,9,28,0,0,0,14,3,24,0,0,0,19,3,25,0,3,8,163,56,223,67,28,91,231,88,320,0,0,0,4,0,5,0,0,3,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA53150,35,37,69,3512,3901,7414,172,162,333,3721,4102,7819,4,0,4,185,172,352,4,10,15,188,177,368,3,9,14,461,501,960,16,12,32,480,526,1006,10,6,14,426,451,881,11,7,20,443,464,912,4,11,22,703,829,1533,48,46,98,761,885,1644,7,3,9,1029,1166,2202,41,34,71,1081,1199,2282,0,6,4,706,788,1494,47,53,103,756,844,1600,28,31,65,3331,3750,7083,116,132,250,3473,3916,7393,0,0,0,4,3,10,0,0,0,4,3,10,0,0,0,5,6,12,0,0,0,9,6,10,0,0,0,8,5,15,0,0,0,10,5,17,0,0,0,0,0,4,3,0,3,4,0,4,0,0,0,0,0,5,0,0,0,0,0,5,5,0,10,80,65,145,12,0,17,96,72,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0
LGA53220,916,826,1746,3627,2117,5738,1712,560,2275,6256,3504,9760,92,83,164,190,163,353,16,27,44,296,265,560,181,161,344,287,271,556,56,58,114,519,490,1017,156,151,308,290,229,517,130,73,201,577,448,1026,306,286,584,1656,935,2593,903,264,1165,2864,1485,4348,156,117,273,1085,453,1541,570,127,699,1814,698,2509,31,38,66,116,69,186,38,16,50,180,123,303,871,781,1650,3447,1975,5422,1682,530,2207,5998,3287,9286,10,7,14,19,10,22,9,3,12,27,21,45,3,0,3,109,40,142,57,4,57,160,39,207,0,0,0,119,47,166,53,9,62,178,57,229,5,3,11,226,46,267,142,7,150,376,57,430,0,0,4,86,28,116,45,4,42,133,28,162,198,101,302,4888,1313,6203,3038,588,3624,8131,1997,10128,0,0,0,36,10,44,20,0,20,52,10,61,5,0,6,21,3,25,9,9,19,34,10,47,0,0,0,7,6,16,0,0
LGA53290,313,294,601,5932,5940,11869,746,663,1413,6990,6891,13883,52,29,80,321,342,660,40,33,74,409,400,811,63,54,121,785,771,1557,116,115,229,967,942,1907,70,59,129,641,566,1209,87,64,158,798,693,1488,47,69,118,1337,1420,2763,156,163,317,1552,1646,3196,49,58,111,1692,1620,3314,214,160,368,1950,1840,3792,23,21,47,1146,1218,2362,142,131,269,1315,1371,2682,285,260,542,5400,5502,10900,625,600,1226,6310,6362,12667,3,0,9,17,28,45,5,5,9,27,32,61,3,0,3,22,24,54,10,8,17,37,32,68,0,0,0,19,9,29,0,3,8,17,19,34,0,0,0,16,14,26,6,0,7,23,16,36,0,0,0,12,10,16,0,0,4,15,12,24,55,59,114,395,292,688,97,48,141,552,402,949,0,0,0,0,5,4,0,3,7,5,3,10,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,0,0,0
LGA53360,53,38,90,1397,1313,2709,161,123,291,1613,1476,3085,4,3,9,80,78,163,12,5,20,97,91,188,14,15,24,161,144,306,26,17,46,202,174,372,7,9,16,141,137,282,20,17,29,166,161,323,12,8,21,436,492,926,52,45,91,497,542,1037,16,3,20,392,320,709,43,24,74,444,355,798,4,0,4,182,152,330,16,13,30,199,162,366,51,33,82,1261,1235,2496,125,110,236,1436,1383,2820,0,0,0,5,6,5,0,0,0,5,6,5,0,0,0,73,84,158,0,0,0,73,84,158,0,0,0,112,118,230,0,3,4,111,124,239,0,0,5,43,46,88,3,6,9,43,53,93,0,0,0,50,52,102,0,0,0,51,56,102,11,17,24,1454,1359,2817,60,59,121,1527,1436,2959,0,0,0,27,25,53,0,3,3,27,25,55,0,0,0,5,5,13,0,0,3,8,8,14,0,0,0,4,5,14,4,0
LGA53430,263,282,552,14265,15363,29631,981,767,1742,15510,16419,31930,24,25,54,812,755,1567,38,33,71,878,814,1691,53,55,108,1332,1312,2646,69,58,131,1458,1431,2890,43,56,97,1383,1540,2921,92,94,183,1513,1687,3203,62,78,142,4023,4278,8298,341,247,591,4425,4610,9030,59,54,115,3943,4219,8162,302,182,486,4301,4461,8762,19,22,39,2782,3257,6039,138,146,278,2938,3418,6357,248,270,516,13369,14566,27933,712,637,1347,14330,15468,29795,0,0,0,20,21,42,5,0,3,22,27,42,4,0,4,106,48,153,24,14,37,137,59,192,0,0,0,46,28,73,7,0,7,50,28,81,0,0,0,37,11,46,11,0,11,48,11,62,0,0,0,16,8,19,6,0,6,17,8,20,45,22,72,483,424,906,182,136,319,707,589,1300,0,0,0,4,11,14,0,3,3,4,12,19,0,0,0,0,4,7,0,0,0,3,6,11,0,0,0,3,3,8,0,0
LGA53570,77,66,144,2553,2421,4977,284,174,457,2914,2660,5576,7,10,16,106,100,206,11,9,19,126,118,245,19,13,33,230,248,477,25,19,40,269,277,551,9,7,15,220,191,411,24,12,34,255,214,462,13,13,27,472,554,1027,63,36,95,555,597,1151,17,17,34,775,724,1500,94,53,150,884,796,1679,11,4,14,747,611,1362,67,48,116,821,661,1483,70,58,128,2263,2223,4478,207,148,352,2533,2426,4963,0,0,0,18,4,21,4,4,9,18,6,24,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,5,3,11,0,0,0,6,3,11,0,0,0,4,3,7,0,0,0,4,4,3,0,0,0,0,0,3,0,0,0,0,0,3,5,0,5,126,122,251,12,21,34,144,138,286,0,0,0,15,16,30,3,0,7,15,15,37,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
LGA53640,44,51,93,554,471,1024,52,39,93,650,564,1215,6,0,6,46,41,92,4,3,12,56,51,103,12,7,20,59,57,118,12,9,16,77,72,158,3,7,12,46,33,85,3,3,10,51,44,98,13,17,29,137,139,271,10,14,25,164,162,328,11,9,17,165,138,301,16,3,18,187,147,336,4,8,8,102,63,163,5,6,15,109,74,190,37,44,84,524,443,969,42,38,85,608,525,1133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,32,22,53,3,4,4,36,26,60,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA53710,15,19,37,421,404,823,51,53,100,486,470,955,0,0,0,21,17,38,0,0,5,24,20,46,5,7,10,53,52,105,0,5,4,61,61,120,0,0,0,29,28,60,9,6,11,41,36,76,9,0,6,79,82,164,8,10,17,98,94,187,0,4,4,122,122,240,13,17,36,143,141,281,4,3,7,113,98,214,12,13,28,132,119,248,15,15,35,397,385,781,38,47,83,446,454,901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,13,24,8,0,9,25,15,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA53780,1777,1667,3448,58902,58843,117744,2807,2375,5182,63485,62887,126376,187,187,373,3997,3834,7832,158,153,307,4340,4170,8513,354,341,699,8393,7968,16358,351,351,702,9091,8659,17753,340,280,622,7801,7203,15007,317,309,620,8462,7794,16250,558,483,1044,17382,17367,34748,946,743,1691,18891,18593,37484,255,279,532,13667,13752,27418,726,492,1215,14651,14517,29167,84,94,180,7662,8719,16383,311,332,646,8056,9150,17208,1672,1584,3257,56980,57451,114434,2139,2104,4240,60787,61142,121933,4,13,15,82,80,160,5,0,6,94,90,181,0,0,0,19,23,40,4,0,4,23,19,48,0,0,0,22,29,54,0,0,0,22,29,54,0,0,3,22,12,35,0,0,0,21,17,36,0,3,3,9,4,12,3,0,3,10,5,17,140,76,217,879,876,1751,53,60,112,1073,1010,2085,0,0,0,0,0,3,0,0,0,0,3,6,0,0,0,0,3,6,0,0,0,0,3,6,0,0,0,0,0,5,0,0
LGA53800,1863,1949,3814,15849,16407,32254,1794,1628,3421,19505,19992,39489,190,186,380,891,879,1766,100,114,217,1179,1176,2355,451,425,877,2109,2019,4128,252,249,501,2812,2693,5506,336,332,672,1779,1751,3530,200,180,379,2309,2264,4581,446,460,901,3724,3975,7698,505,442,945,4675,4874,9544,324,395,713,4383,4583,8972,496,362,852,5202,5334,10536,117,156,273,2963,3202,6165,243,284,529,3322,3640,6968,1734,1836,3571,14702,15553,30253,1346,1412,2761,17788,18802,36592,3,7,7,39,33,71,4,0,6,45,42,85,0,0,0,37,39,84,4,0,5,44,49,91,0,0,4,53,50,103,4,4,7,64,51,112,5,0,5,52,45,98,9,3,13,64,48,116,5,0,4,34,32,62,0,6,4,35,32,71,159,155,313,763,763,1523,194,153,349,1113,1069,2187,0,0,0,15,15,33,0,4,6,21,15,36,0,0,0,11,4,17,3,3,4,11,9,17,0,0,0,0,0,0,0,0
