LGA_CODE_2021,ty_ur_Non_pri_dw_Ind_M,ty_ur_Non_pri_dw_Ind_F,ty_ur_Non_pri_dw_Ind_P,ty_ur_Non_pri_dw_NonInd_M,ty_ur_Non_pri_dw_NonInd_F,ty_ur_Non_pri_dw_NonInd_P,ty_ur_Non_pri_dw_IndSt_nsM,ty_ur_Non_pri_dw_IndSt_nsF,ty_ur_Non_pri_dw_IndSt_nsP,tpe_ur_Non_pvte_dwg_TotM,tpe_ur_Non_pvte_dwg_TotF,tpe_ur_Non_pvte_dwg_TotP
LGA50080,138,13,149,425,344,775,50,25,78,620,386,1009
LGA50210,0,3,5,140,212,346,10,20,29,147,235,383
LGA50250,80,36,117,1022,417,1446,512,170,672,1616,620,2238
LGA50280,0,0,0,79,74,157,11,5,22,92,86,179
LGA50350,4,0,0,39,63,105,0,0,4,45,64,107
LGA50420,0,4,6,209,342,547,75,91,164,287,438,722
LGA50490,13,11,22,198,284,482,42,26,68,248,322,571
LGA50560,0,0,0,5,4,12,0,0,0,7,4,10
LGA50630,3,0,5,29,21,53,0,0,0,34,20,57
LGA50770,0,0,0,10,8,24,0,0,0,10,8,24
LGA50840,0,0,0,42,18,59,11,3,15,55,23,74
LGA50910,0,5,5,19,31,44,0,0,0,19,31,47
LGA50980,86,45,131,200,229,423,89,122,212,373,400,768
LGA51080,0,0,0,0,0,0,0,0,0,0,0,0
LGA51120,0,0,0,10,5,12,11,6,13,19,8,30
LGA51190,115,9,124,562,236,798,21,30,55,699,281,980
LGA51260,6,3,8,171,261,431,22,27,43,191,293,488
LGA51310,0,5,7,138,300,435,12,17,25,148,318,464
LGA51330,9,9,20,238,310,552,12,17,25,260,338,603
LGA51400,0,0,3,21,32,52,0,0,0,19,36,56
LGA51470,0,0,0,0,0,0,0,0,0,0,0,3
LGA51540,10,11,20,62,61,122,71,34,111,139,107,252
LGA51610,0,0,0,0,0,0,0,0,0,0,0,0
LGA51680,36,28,64,6,3,15,3,0,3,45,38,82
LGA51710,0,0,0,299,71,370,65,48,112,370,114,482
LGA51750,25,8,34,246,173,420,46,37,80,315,220,532
LGA51820,11,8,23,254,439,691,89,95,184,348,545,896
LGA51860,0,0,0,0,4,5,0,4,5,5,9,13
LGA51890,0,6,8,28,42,66,5,0,3,31,51,81
LGA51960,6,0,6,85,14,94,113,25,138,198,38,237
LGA52030,0,0,0,0,0,0,0,0,0,0,0,0
LGA52100,0,0,0,5,8,16,0,0,0,5,10,17
LGA52170,0,0,0,34,55,85,0,0,4,33,56,90
LGA52240,0,0,0,5,0,4,0,4,3,8,9,9
LGA52310,0,0,0,0,0,0,0,0,0,0,0,0
LGA52380,3,0,3,62,3,69,3,0,4,65,6,78
LGA52450,7,0,6,47,19,71,0,0,0,54,27,77
LGA52520,0,0,0,6,10,16,5,0,3,11,12,22
LGA52590,0,0,4,41,16,60,54,21,71,94,41,131
LGA52660,0,0,0,16,39,59,28,49,82,48,89,139
LGA52730,0,0,0,60,68,129,0,14,12,68,76,144
LGA52800,211,79,289,100,67,175,68,44,112,373,198,575
LGA52870,0,0,0,32,45,78,5,7,11,38,47,86
LGA52940,0,0,0,0,0,0,0,0,0,0,0,0
LGA53010,0,0,0,0,5,9,5,0,7,7,9,14
LGA53080,3,0,6,23,21,48,25,12,34,53,31,83
LGA53150,0,0,0,59,89,149,31,36,68,93,125,214
LGA53220,128,33,164,1848,492,2336,1443,301,1742,3410,832,4245
LGA53290,8,10,9,73,92,168,10,6,14,87,104,192
LGA53360,0,0,4,25,20,47,0,0,0,25,23,50
LGA53430,11,8,17,301,308,612,125,62,187,446,372,814
LGA53570,0,0,0,59,63,126,10,0,13,75,63,138
LGA53640,0,0,0,3,6,13,0,0,0,4,13,14
LGA53710,0,0,0,0,7,8,0,5,4,0,12,13
LGA53780,338,106,449,895,546,1444,23,22,45,1257,673,1930
LGA53800,154,30,185,202,207,412,51,41,96,418,285,702
LGA53920,16,17,34,68,31,97,52,17,70,136,69,201
LGA53990,6,5,11,55,65,121,15,3,19,71,75,143
LGA54060,0,0,0,4,4,8,6,0,6,10,4,19
LGA54130,0,0,0,4,0,8,0,0,3,5,5,12
LGA54170,13,5,16,311,554,867,61,86,146,385,646,1032
LGA54200,16,33,49,227,269,497,20,30,49,261,335,595
LGA54280,174,44,220,361,176,537,165,84,250,702,303,1008
LGA54310,193,27,224,498,104,602,545,101,645,1237,230,1469
LGA54340,0,0,0,16,29,40,4,0,9,20,31,57
LGA54410,3,3,7,20,18,40,0,0,3,21,26,48
LGA54480,0,0,0,0,0,0,0,0,0,0,0,0
LGA54550,0,0,0,11,15,18,0,0,0,11,9,21
LGA54620,0,0,0,23,7,33,3,0,7,30,13,39
LGA54690,0,0,0,0,0,0,0,0,0,0,0,0
LGA54760,0,0,0,4,0,5,0,0,0,4,4,3
LGA54830,503,7,510,783,103,888,0,3,5,1288,115,1406
LGA54900,0,0,0,11,7,16,3,0,3,13,5,18
LGA54970,14,5,17,268,61,328,301,64,369,587,127,713
LGA55040,7,0,7,210,39,246,280,60,345,493,97,597
LGA55110,19,23,44,257,517,774,31,42,72,308,583,889
LGA55180,3,3,9,69,77,144,15,8,20,82,82,171
LGA55250,5,3,11,173,41,210,102,26,131,278,71,347
LGA55320,8,19,28,387,984,1369,119,158,274,517,1162,1675
LGA55390,9,0,9,163,29,185,116,15,132,288,45,327
LGA55460,0,3,3,24,31,61,4,4,6,35,35,72
LGA55530,0,0,0,0,0,4,0,0,0,5,0,0
LGA55600,3,0,5,33,37,62,5,0,9,42,33,76
LGA55670,0,0,3,3,4,3,28,22,48,31,30,59
LGA55740,7,12,16,56,146,197,12,4,14,78,157,231
LGA55810,3,0,4,40,8,50,52,15,65,94,26,123
LGA55880,0,0,0,0,5,5,0,0,0,0,5,5
LGA55950,0,0,0,0,0,0,0,0,0,0,0,0
LGA56090,597,3,600,1314,102,1418,13,16,29,1926,127,2047
LGA56160,0,0,0,0,0,3,0,0,0,0,0,3
LGA56230,0,0,0,27,41,69,0,0,0,27,41,64
LGA56300,0,0,0,7,5,12,0,3,3,8,10,15
LGA56370,0,0,0,3,11,9,10,6,15,9,18,23
LGA56460,3,3,10,89,90,179,12,4,19,105,106,209
LGA56580,3,0,5,153,135,278,60,45,109,211,177,389
LGA56620,10,11,16,0,0,9,10,0,12,26,8,33
LGA56730,3,3,8,372,57,436,26,19,43,407,84,487
LGA56790,0,0,0,16,19,37,16,8,25,35,33,64
LGA56860,0,0,0,0,5,4,0,3,0,3,4,10
LGA56930,0,20,25,0,78,80,0,3,3,3,105,107
LGA57000,0,0,0,81,23,105,74,16,87,161,39,198
LGA57080,60,66,125,1505,1298,2801,445,261,703,2007,1621,3632
LGA57140,0,0,0,3,0,3,0,0,0,3,0,3
LGA57210,4,0,4,78,26,107,0,0,0,87,26,109
LGA57280,19,29,49,160,68,224,237,70,309,418,162,585
LGA57350,0,0,0,3,10,12,3,4,6,3,12,16
LGA57420,0,3,3,73,19,91,31,7,30,97,31,125
LGA57490,26,21,43,431,417,847,366,143,508,818,581,1398
LGA57630,0,0,0,3,0,5,23,0,25,22,3,30
LGA57700,53,0,53,339,39,381,5,4,14,402,46,444
LGA57770,0,0,0,52,44,90,4,0,10,53,41,99
LGA57840,72,29,106,595,580,1177,49,65,112,718,679,1393
LGA57910,35,23,57,1104,1670,2774,133,132,269,1275,1824,3098
LGA57980,3,0,6,101,115,217,65,31,91,169,149,318
LGA58050,44,165,207,513,637,1147,37,29,71,591,831,1421
LGA58190,0,0,0,0,0,0,0,0,0,0,0,0
LGA58260,0,0,0,8,3,5,4,3,6,5,4,11
LGA58330,0,0,0,7,4,14,5,0,5,13,4,20
LGA58400,0,0,0,0,6,6,0,0,0,0,6,6
LGA58470,0,0,0,0,0,0,0,0,0,0,0,0
LGA58510,22,38,59,489,680,1172,61,50,115,574,766,1345
LGA58540,0,0,0,7,0,9,0,0,0,9,0,11
LGA58570,7,9,9,269,373,645,101,70,170,378,444,820
LGA58610,0,0,0,14,16,21,4,0,3,14,13,27
LGA58680,0,0,0,0,0,0,0,0,0,0,0,0
LGA58760,13,14,24,368,703,1069,13,22,37,395,739,1132
LGA58820,0,0,0,39,32,67,18,8,26,60,37,93
LGA58890,0,0,0,0,0,0,0,0,0,0,0,0
LGA59030,0,0,0,4,0,4,0,0,0,4,0,4
LGA59100,0,0,0,3,6,7,3,8,11,6,10,16
LGA59170,0,0,0,4,0,3,0,0,0,4,0,3
LGA59250,0,0,0,100,25,122,97,24,113,191,42,236
LGA59310,0,0,0,12,13,24,0,0,0,12,13,24
LGA59320,0,0,0,0,0,0,0,0,0,0,0,0
LGA59330,0,0,0,0,6,4,0,0,3,0,7,8
LGA59340,30,24,48,173,105,279,80,50,134,290,179,468
LGA59350,4,0,4,62,11,66,101,15,121,160,27,193
LGA59360,4,0,7,143,31,178,105,13,113,250,51,304
LGA59370,0,0,0,17,35,52,0,0,4,19,37,59
LGA59499,0,0,0,0,0,0,0,0,0,0,0,0
LGA59799,0,0,0,0,0,0,0,0,0,0,0,0
