LGA_CODE_2021,Neg_Nil_inc_Hh_with_Ind_psns,Neg_Nil_inc_Other_households,Neg_Nil_income_Tot_hhlds,1_149_Hhd_with_Indig_psns,1_149_Other_households,1_149_Tot_hhlds,150_299_Hhd_with_Indig_psns,150_299_Other_households,150_299_Tot_hhlds,300_399_Hhd_with_Indig_psns,300_399_Other_households,300_399_Tot_hhlds,400_499_Hhd_with_Indig_psns,400_499_Other_households,400_499_Tot_hhlds,500_649_Hhd_with_Indig_psns,500_649_Other_households,500_649_Tot_hhlds,650_799_Hhd_with_Indig_psns,650_799_Other_households,650_799_Tot_hhlds,800_999_Hh_with_Indig_psn,800_999_Other_households,800_999_Tot_hhlds,1000_1249_Hh_with_Indig_psn,1000_1249_Other_households,1000_1249_Tot_hhlds,1250_1499_Hh_with_Indig_psn,1250_1499_Other_households,1250_1499_Tot_hhlds,1500_1749_Hh_with_Indig_psn,1500_1749_Other_households,1500_1749_Tot_hhlds,1750_1999_Hh_with_Indig_psn,1750_1999_Other_households,1750_1999_Tot_hhlds,2000_2499_Hh_with_Indig_psn,2000_2499_Other_households,2000_2499_Tot_hhlds,2500_2999_Hh_with_Indig_psn,2500_2999_Other_households,2500_2999_Tot_hhlds,3000_3499_Hh_with_Indig_psn,3000_3499_Other_households,3000_3499_Tot_hhlds,3500_more_Hh_with_Indig_psn,3500_more_stated_Other_hhds,3500_more_stated_Tot_hhlds,Part_inc_st_Hh_with_Indig_psn,Partial_inc_stated_Other_hhds,Partial_inc_stated_Tot_hhlds,All_inc_ns_Hh_with_Ind_psns,All_income_ns_Other_household,All_inc_NS_Tot_hhlds,Tot_Household_with_Indig_psns,Tot_Other_households,Tot_Tot_hhlds
LGA50080,10,221,231,6,122,127,13,189,205,32,370,405,40,1048,1085,34,841,876,37,1085,1133,46,993,1037,50,1118,1172,48,1079,1121,26,806,838,25,755,781,49,1476,1523,31,926,959,23,692,721,55,1177,1230,54,940,990,11,282,292,597,14133,14733
LGA50210,26,441,472,5,145,147,22,318,344,21,598,624,52,1476,1528,66,1166,1225,78,1621,1702,69,1764,1831,100,2194,2296,79,2316,2390,64,1956,2023,61,1923,1985,141,3864,4003,92,2562,2653,56,2231,2288,118,3906,4026,111,2435,2550,25,452,480,1182,31370,32549
LGA50250,8,5,14,0,4,4,7,5,14,5,5,10,9,13,26,9,4,15,13,16,25,6,15,23,9,29,39,7,35,44,8,27,36,13,67,76,28,243,274,13,96,107,29,176,198,61,426,488,29,128,154,12,19,22,261,1317,1581
LGA50280,0,79,80,3,45,48,3,70,79,3,119,126,6,302,313,5,262,269,0,352,352,6,350,357,4,459,462,8,456,467,11,338,346,12,328,336,8,639,649,12,399,412,4,313,319,10,551,556,13,621,632,3,82,83,118,5767,5885
LGA50350,0,88,88,0,42,42,8,71,81,3,172,178,12,405,416,9,273,279,11,343,354,8,346,355,16,407,420,15,391,402,13,321,330,7,303,309,22,723,739,17,461,473,16,405,421,18,948,967,13,377,388,5,91,94,176,6164,6350
LGA50420,12,505,511,4,173,182,22,339,363,16,655,669,24,1659,1684,25,1126,1142,44,1524,1565,26,1581,1604,32,1819,1848,33,1919,1949,31,1482,1517,33,1494,1530,47,3081,3123,37,1861,1901,28,1891,1921,65,4373,4438,46,1682,1731,14,358,370,544,27509,28055
LGA50490,19,311,323,7,101,105,18,217,238,24,474,503,28,1018,1045,27,600,627,30,795,830,23,968,992,34,1175,1207,41,1268,1308,30,1074,1106,29,922,957,56,2028,2080,35,1086,1118,18,1008,1027,72,2065,2132,42,1111,1153,19,238,255,549,16465,17018
LGA50560,0,17,14,0,7,7,0,11,14,0,19,19,0,72,72,0,38,38,3,58,64,3,54,59,0,53,53,0,51,50,0,25,27,0,26,25,0,47,53,0,31,35,0,17,17,0,46,46,0,67,67,4,13,16,24,650,676
LGA50630,0,13,13,0,7,7,5,13,13,0,10,9,0,35,35,0,24,27,0,30,30,0,32,32,4,33,38,5,27,37,0,19,20,0,36,36,5,66,74,3,28,33,0,38,38,0,84,86,3,67,70,0,9,9,25,579,599
LGA50770,0,14,14,0,13,13,0,16,16,0,23,23,5,45,49,0,30,30,4,43,48,0,62,62,0,38,42,0,54,58,0,30,30,0,35,37,3,63,67,0,32,32,5,23,27,0,57,58,0,61,63,0,19,19,17,654,677
LGA50840,0,42,42,0,27,27,0,20,20,0,46,54,7,191,198,0,113,111,0,176,176,3,139,151,0,149,154,4,130,133,0,95,95,0,98,99,9,186,195,0,114,119,0,108,110,6,147,154,6,167,174,0,40,42,48,1995,2039
LGA50910,0,5,4,0,4,0,0,10,11,0,8,5,3,27,29,0,10,14,5,22,23,0,19,19,0,24,32,3,16,23,0,21,21,7,21,19,0,25,25,0,14,16,0,16,9,0,29,27,0,25,29,3,13,14,31,306,332
LGA50980,17,53,68,21,16,38,59,23,86,116,55,168,86,89,169,74,69,144,92,101,199,86,112,196,100,187,287,95,175,263,70,166,234,60,188,244,141,456,596,82,319,402,67,343,413,151,757,909,181,424,601,92,65,157,1582,3591,5172
LGA51080,0,4,4,0,5,5,4,9,12,0,8,10,0,24,24,6,12,16,0,22,22,4,21,29,4,33,33,0,27,30,3,7,12,0,18,16,0,34,35,0,21,23,4,21,23,0,36,36,6,27,34,13,10,19,39,337,377
LGA51120,0,10,10,0,3,3,0,3,3,0,3,3,0,32,30,0,12,14,0,27,29,0,22,24,5,23,22,0,20,20,0,24,24,0,15,13,3,33,34,0,17,17,0,17,17,0,31,27,0,34,35,5,3,7,20,315,332
LGA51190,13,193,203,4,76,78,23,192,215,12,426,437,30,1020,1053,42,752,787,40,990,1026,39,942,976,51,989,1039,44,931,970,50,703,746,33,729,769,60,1219,1278,24,726,751,22,654,673,45,1182,1224,43,825,870,11,233,241,570,12784,13356
LGA51260,3,209,211,3,93,98,11,182,189,10,307,317,19,893,908,15,750,761,20,1080,1096,22,935,960,37,1132,1166,34,1067,1100,25,741,763,13,716,725,40,1462,1496,20,984,1003,21,772,798,33,1632,1669,45,1396,1436,10,276,282,362,14623,14988
LGA51310,4,136,137,0,56,59,0,84,84,0,145,145,0,304,307,0,308,307,5,333,336,3,391,395,6,473,480,4,506,514,3,359,360,3,374,382,5,813,818,3,509,513,3,604,607,27,4140,4167,10,658,669,0,99,99,73,10304,10378
LGA51330,14,608,620,0,248,250,21,418,432,23,683,710,36,1606,1644,29,1148,1176,37,1622,1659,35,1739,1769,47,2181,2227,40,2238,2277,19,1852,1869,29,1767,1795,51,3759,3808,36,2523,2559,24,2313,2335,74,5345,5424,61,2448,2507,16,348,367,589,32861,33444
LGA51400,3,79,77,0,34,40,0,54,61,0,97,104,9,269,276,8,183,197,13,320,331,7,276,281,14,350,368,17,392,407,14,329,345,17,286,297,22,731,756,16,513,536,9,454,463,33,884,915,27,657,683,4,87,90,220,6001,6221
LGA51470,0,4,4,0,0,0,0,0,0,0,12,12,0,20,25,0,10,10,0,15,17,0,11,11,0,17,17,0,16,19,0,15,12,0,17,19,0,14,14,0,12,12,0,8,8,0,14,14,3,17,27,0,10,10,13,209,219
LGA51540,4,23,28,4,10,14,20,19,43,20,36,65,26,89,117,18,64,84,29,91,119,27,103,124,23,93,116,14,110,126,14,61,70,18,84,96,21,157,177,19,91,112,12,83,95,20,159,173,32,121,149,9,52,64,328,1442,1771
LGA51610,0,10,10,0,3,3,0,5,5,0,3,3,0,23,24,0,15,20,3,20,19,0,25,19,0,27,27,0,28,30,4,19,23,0,22,27,6,53,56,4,46,56,4,38,34,7,68,73,0,61,62,0,8,14,35,473,506
LGA51680,0,30,31,0,9,9,0,20,20,0,22,22,0,78,78,3,45,43,3,95,98,4,113,115,7,105,107,5,107,112,0,80,83,4,86,91,8,189,193,3,149,151,4,151,155,5,333,342,8,238,243,0,34,34,51,1873,1926
LGA51710,0,8,8,0,8,8,0,3,3,0,9,9,0,16,16,0,7,7,0,7,7,0,13,13,0,24,24,0,29,29,0,31,31,0,32,32,0,54,54,0,33,33,0,40,40,5,72,76,0,37,37,0,4,8,4,415,422
LGA51750,0,74,76,0,48,48,0,45,47,0,74,74,0,169,170,0,168,166,0,158,158,0,200,200,0,239,236,0,257,258,0,204,204,0,210,213,0,376,374,0,203,206,0,246,248,11,1394,1400,0,253,254,0,60,61,29,4372,4399
LGA51820,21,611,627,7,231,240,18,462,479,28,807,832,46,1996,2041,44,1337,1378,40,1992,2031,50,2089,2136,69,2543,2610,72,2658,2732,55,2372,2424,48,2304,2347,116,5173,5286,74,3549,3628,48,3331,3379,160,7357,7509,97,3198,3290,23,510,532,1006,42507,43510
LGA51860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,3,3,0,3,3,0,9,9,0,4,4,0,5,5,0,14,14,0,15,15,0,13,13,0,31,31,0,19,19,0,4,4,0,122,122
LGA51890,0,63,63,0,12,13,7,56,62,7,127,139,12,342,353,3,157,162,12,276,287,16,219,232,14,234,246,15,227,244,13,156,166,13,155,166,17,284,299,7,192,201,11,170,181,10,249,260,15,241,251,3,83,87,165,3238,3404
LGA51960,0,19,23,0,7,9,4,13,18,3,31,35,12,70,80,10,28,36,11,52,66,9,41,53,14,43,55,6,44,50,9,41,49,6,40,46,14,136,152,3,55,57,5,74,78,12,169,184,12,90,101,3,32,32,138,984,1126
