LGA_CODE_2021,PreSch_Indig_M,PreSch_Indig_F,PreSch_Indig_P,PreSch_NonInd_M,PreSch_NonInd_F,PreSch_NonInd_P,PreSch_Indig_st_nsM,PreSch_Indig_st_nsF,PreSch_Indig_st_nsP,PreSch_TotM,PreSch_TotF,PreSch_TotP,Prim_Indig_M,Prim_Indig_F,Prim_Indig_P,Prim_NonInd_M,Prim_NonInd_F,Prim_NonInd_P,Prim_Indig_st_nsM,Prim_Indig_st_nsF,Prim_Indig_st_nsP,Prim_TotM,Prim_TotF,Prim_TotP,Sec_Indig_M,Sec_Indig_F,Sec_Indig_P,Sec_NonInd_M,Sec_NonInd_F,Sec_NonInd_P,Sec_Indig_st_nsM,Sec_Indig_st_nsF,Sec_Indig_st_nsP,Sec_TotM,Sec_TotF,Sec_TotP,TVE_TAFE_ptp_FT_15_24_Ind_M,TVE_TAFE_ptp_FT_15_24_Ind_F,TVE_TAFE_ptp_FT_15_24_Ind_P,TVE_TAFE_ptp_FT_15_24_NoInd_M,TVE_TAFE_ptp_FT_15_24_NoInd_F,TVE_TAFE_ptp_FT_15_24_NoInd_P,TVE_TAFE_ptp_FT_15_24_In_ns_M,TVE_TAFE_ptp_FT_15_24_In_ns_F,TVE_TAFE_ptp_FT_15_24_In_ns_P,TVE_TAFE_ptp_FT_15_24_Tot_M,TVE_TAFE_ptp_FT_15_24_Tot_F,TVE_TAFE_ptp_FT_15_24_Tot_P,TVE_TAFE_ptp_FT_25_ov_Ind_M,TVE_TAFE_ptp_FT_25_ov_Ind_F,TVE_TAFE_ptp_FT_25_ov_Ind_P,TVE_TAFE_ptp_FT_25_ov_NoInd_M,TVE_TAFE_ptp_FT_25_ov_NoInd_F,TVE_TAFE_ptp_FT_25_ov_NoInd_P,TVE_TAFE_ptp_FT_25_ov_In_ns_M,TVE_TAFE_ptp_FT_25_ov_In_ns_F,TVE_TAFE_ptp_FT_25_ov_In_ns_P,TVE_TAFE_ptp_FT_25_ov_Tot_M,TVE_TAFE_ptp_FT_25_ov_Tot_F,TVE_TAFE_ptp_FT_25_ov_Tot_P,TVE_TAFE_ptp_PT_15_24_Ind_M,TVE_TAFE_ptp_PT_15_24_Ind_F,TVE_TAFE_ptp_PT_15_24_Ind_P,TVE_TAFE_ptp_PT_15_24_NoInd_M,TVE_TAFE_ptp_PT_15_24_NoInd_F,TVE_TAFE_ptp_PT_15_24_NoInd_P,TVE_TAFE_ptp_PT_15_24_In_ns_M,TVE_TAFE_ptp_PT_15_24_In_ns_F,TVE_TAFE_ptp_PT_15_24_In_ns_P,TVE_TAFE_ptp_PT_15_24_Tot_M,TVE_TAFE_ptp_PT_15_24_Tot_F,TVE_TAFE_ptp_PT_15_24_Tot_P,TVE_TAFE_ptp_PT_25_ov_Ind_M,TVE_TAFE_ptp_PT_25_ov_Ind_F,TVE_TAFE_ptp_PT_25_ov_Ind_P,TVE_TAFE_ptp_PT_25_ov_NoInd_M,TVE_TAFE_ptp_PT_25_ov_NoInd_F,TVE_TAFE_ptp_PT_25_ov_NoInd_P,TVE_TAFE_ptp_PT_25_ov_In_ns_M,TVE_TAFE_ptp_PT_25_ov_In_ns_F,TVE_TAFE_ptp_PT_25_ov_In_ns_P,TVE_TAFE_ptp_PT_25_ov_Tot_M,TVE_TAFE_ptp_PT_25_ov_Tot_F,TVE_TAFE_ptp_PT_25_ov_Tot_P,TVE_TAFE_ptp_FT_PT_Ind_M,TVE_TAFE_ptp_FT_PT_Ind_F,TVE_TAFE_ptp_FT_PT_Ind_P,TVE_TAFE_ptp_FT_PT_NoInd_M,TVE_TAFE_ptp_FT_PT_NoInd_F,TVE_TAFE_ptp_FT_PT_NoInd_P,TVE_TAFE_ptp_FT_PT_In_ns_M,TVE_TAFE_ptp_FT_PT_In_ns_F,TVE_TAFE_ptp_FT_PT_In_ns_P,TVE_TAFE_ptp_FT_PT_Tot_M,TVE_TAFE_ptp_FT_PT_Tot_F,TVE_TAFE_ptp_FT_PT_Tot_P,TVE_TAFE_ptp_TVETAFE_Ind_M,TVE_TAFE_ptp_TVETAFE_Ind_F,TVE_TAFE_ptp_TVETAFE_Ind_P,TVE_TAFE_ptp_TVETAFE_NoInd_M,TVE_TAFE_ptp_TVETAFE_NoInd_F,TVE_TAFE_ptp_TVETAFE_NoInd_P,TVE_TAFE_ptp_TVETAFE_In_ns_M,TVE_TAFE_ptp_TVETAFE_In_ns_F,TVE_TAFE_ptp_TVETAFE_In_ns_P,TVE_TAFE_ptp_TVETAFE_Tot_M,TVE_TAFE_ptp_TVETAFE_Tot_F,TVE_TAFE_ptp_TVETAFE_Tot_P,Uni_he_FT_15_24_Ind_M,Uni_he_FT_15_24_Ind_F,Uni_he_FT_15_24_Ind_P,Uni_he_FT_15_24_NoInd_M,Uni_he_FT_15_24_NoInd_F,Uni_he_FT_15_24_NoInd_P,Uni_he_FT_15_24_In_ns_M,Uni_he_FT_15_24_In_ns_F,Uni_he_FT_15_24_In_ns_P,Uni_he_FT_15_24_Tot_M,Uni_he_FT_15_24_Tot_F,Uni_he_FT_15_24_Tot_P,Uni_he_FT_25_ov_Ind_M,Uni_he_FT_25_ov_Ind_F,Uni_he_FT_25_ov_Ind_P,Uni_he_FT_25_ov_NoInd_M,Uni_he_FT_25_ov_NoInd_F,Uni_he_FT_25_ov_NoInd_P,Uni_he_FT_25_ov_In_ns_M,Uni_he_FT_25_ov_In_ns_F,Uni_he_FT_25_ov_In_ns_P,Uni_he_FT_25_ov_Tot_M,Uni_he_FT_25_ov_Tot_F,Uni_he_FT_25_ov_Tot_P,Uni_he_PT_15_24_Ind_M,Uni_he_PT_15_24_Ind_F,Uni_he_PT_15_24_Ind_P,Uni_he_PT_15_24_NoInd_M,Uni_he_PT_15_24_NoInd_F,Uni_he_PT_15_24_NoInd_P,Uni_he_PT_15_24_In_ns_M,Uni_he_PT_15_24_In_ns_F,Uni_he_PT_15_24_In_ns_P,Uni_he_PT_15_24_Tot_M,Uni_he_PT_15_24_Tot_F,Uni_he_PT_15_24_Tot_P,Uni_he_PT_25_ov_Ind_M,Uni_he_PT_25_ov_Ind_F,Uni_he_PT_25_ov_Ind_P,Uni_he_PT_25_ov_NoInd_M,Uni_he_PT_25_ov_NoInd_F,Uni_he_PT_25_ov_NoInd_P,Uni_he_PT_25_ov_In_ns_M,Uni_he_PT_25_ov_In_ns_F,Uni_he_PT_25_ov_In_ns_P,Uni_he_PT_25_ov_Tot_M,Uni_he_PT_25_ov_Tot_F,Uni_he_PT_25_ov_Tot_P,Uni_he_FTPT_ss_ns_Ind_M,Uni_he_FTPT_ss_ns_Ind_F,Uni_he_FTPT_ss_ns_Ind_P,Uni_he_FTPT_ss_ns_NoInd_M,Uni_he_FTPT_ss_ns_NoInd_F,Uni_he_FTPT_ss_ns_NoInd_P,Uni_he_FTPT_ss_ns_In_ns_M,Uni_he_FTPT_ss_ns_In_ns_F,Uni_he_FTPT_ss_ns_In_ns_P,Uni_he_FTPT_ss_ns_Tot_M,Uni_he_FTPT_ss_ns_Tot_F,Uni_he_FTPT_ss_ns_Tot_P,Uni_he_Tot_Uni_he_Ind_M,Uni_he_Tot_Uni_he_Ind_F,Uni_he_Tot_Uni_he_Ind_P,Uni_he_Tot_Uni_he_NoInd_M,Uni_he_Tot_Uni_he_NoInd_F,Uni_he_Tot_Uni_he_NoInd_P,Uni_he_Tot_Uni_he_In_ns_M,Uni_he_Tot_Uni_he_In_ns_F,Uni_he_Tot_Uni_he_In_ns_P,Uni_he_Tot_Uni_he_Tot_M,Uni_he_Tot_Uni_he_Tot_F,Uni_he_Tot_Uni_he_Tot_P,Ter_Tot_Ter_Ind_M,Ter_Tot_Ter_Ind_F,Ter_Tot_Ter_Ind_P,Ter_Tot_Ter_NonInd_M,Ter_Tot_Ter_NonInd_F,Ter_Tot_Ter_NonInd_P,Ter_Tot_Ter_IndSt_ns_M,Ter_Tot_Ter_IndSt_ns_F,Ter_Tot_Ter_IndSt_ns_P,Ter_Tot_Ter_Tot_M,Ter_Tot_Ter_Tot_F,Ter_Tot_Ter_Tot_P,OEI_Ind_M,OEI_Ind_F,OEI_Ind_P,OEI_NonInd_M,OEI_NonInd_F,OEI_NonInd_P,OEI_IndSt_nsM,OEI_IndSt_nsF
LGA50080,24,11,42,285,265,556,0,0,0,313,287,599,89,88,178,1326,1314,2642,9,6,16,1432,1412,2843,68,72,143,1322,1290,2608,5,11,12,1397,1374,2766,7,0,9,73,73,146,0,0,0,79,73,157,0,10,14,33,84,113,0,0,0,31,92,126,3,0,8,166,69,236,0,0,0,174,73,246,0,0,3,114,257,366,0,0,0,121,256,373,0,0,0,3,6,7,0,0,0,3,6,7,15,21,28,392,483,869,0,0,0,410,498,907,3,3,3,47,86,133,0,0,0,52,88,135,0,5,3,33,82,114,0,0,0,38,80,116,0,0,0,20,39,51,0,0,0,20,38,54,0,4,10,84,242,328,0,0,0,87,246,334,0,0,0,0,0,0,0,0,0,0,0,0,3,15,19,184,446,628,0,0,0,188,457,648,18,32,50,576,920,1500,0,3,7,599,957,1555,3,4,13,126,158,280,0,0
LGA50210,43,47,95,1045,901,1945,3,3,6,1090,958,2049,241,253,493,4758,4481,9241,6,7,12,5001,4747,9750,149,152,305,3066,3041,6113,12,3,15,3225,3203,6426,9,11,15,197,198,398,0,0,5,208,209,411,0,7,3,164,270,429,0,0,0,161,277,440,7,10,18,277,209,484,0,0,0,285,216,505,7,17,31,332,558,897,0,0,0,344,576,923,0,0,0,0,8,7,0,0,0,0,8,9,26,39,68,970,1242,2216,4,0,9,1005,1288,2288,3,6,13,556,782,1339,0,0,0,562,791,1354,11,7,25,229,394,627,0,4,3,238,408,651,0,0,0,105,166,266,0,0,0,105,169,272,5,11,19,294,538,828,0,0,6,297,549,851,0,0,0,3,7,5,0,0,0,3,7,5,19,33,53,1185,1889,3072,3,4,8,1207,1924,3134,51,74,123,2156,3140,5294,8,3,16,2213,3218,5429,18,17,38,372,585,962,4,0
LGA50250,11,7,18,58,74,134,0,0,0,76,86,153,54,60,113,332,261,601,6,4,6,395,325,719,24,23,42,113,111,216,0,0,0,135,137,263,0,3,3,3,5,3,0,0,0,3,4,9,0,0,0,6,4,12,0,0,0,6,7,12,0,3,3,10,3,15,0,0,0,9,8,22,3,0,7,23,46,61,0,0,0,20,49,72,0,0,0,0,0,0,0,0,0,0,0,0,3,10,12,40,55,101,0,0,0,45,63,109,0,3,3,0,7,7,0,0,0,0,4,11,0,0,0,3,9,7,0,0,0,3,8,12,0,0,0,0,0,5,0,0,0,0,0,5,0,3,3,23,43,64,0,0,0,23,43,67,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,24,55,83,0,0,0,24,64,92,5,15,22,69,112,176,4,0,4,72,129,200,0,0,0,19,26,36,0,0
LGA50280,6,4,6,132,148,282,0,4,5,138,157,290,13,16,35,770,682,1452,15,8,21,797,711,1509,11,9,19,524,512,1031,4,6,5,533,525,1064,0,0,0,9,14,22,0,0,0,13,14,21,0,0,0,9,29,41,0,0,0,9,29,41,0,0,6,52,17,66,0,0,0,52,21,69,0,4,3,63,146,210,0,0,0,63,149,211,0,0,0,0,3,3,0,0,0,0,3,0,8,0,9,128,208,337,3,0,3,141,210,353,0,0,0,12,27,37,0,0,0,12,27,37,0,0,0,18,41,60,0,0,0,18,41,60,0,0,0,5,12,12,0,0,0,5,12,12,0,4,4,28,102,130,0,0,0,28,104,131,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,56,182,241,0,0,0,56,185,245,8,3,11,194,389,579,3,0,3,201,394,593,0,3,3,45,73,123,0,0
LGA50350,3,3,12,144,130,272,0,0,0,147,135,282,26,19,44,592,535,1128,0,0,0,620,551,1167,30,23,50,414,392,807,3,0,7,445,408,860,4,7,5,28,36,64,0,0,0,27,41,68,0,0,0,26,39,64,0,0,0,26,38,62,5,3,6,43,24,65,0,0,0,45,27,71,0,0,0,51,107,163,0,0,0,58,107,163,0,0,0,0,0,0,0,0,0,0,0,0,8,6,15,149,204,349,0,0,0,158,208,367,4,3,12,96,137,235,0,0,0,106,141,246,0,3,3,47,66,113,0,0,0,47,75,117,0,0,3,31,24,60,0,0,0,35,24,60,0,0,0,84,133,218,0,0,0,84,130,223,0,0,0,0,0,3,0,0,0,0,0,3,3,11,16,269,363,632,0,0,0,271,379,649,14,18,31,415,572,989,0,0,0,432,585,1016,0,3,5,61,72,135,0,0
LGA50420,15,9,20,615,547,1161,0,0,0,622,558,1179,71,48,122,2255,2165,4417,3,4,12,2327,2223,4547,55,55,109,1890,1675,3563,14,4,14,1959,1738,3692,4,0,4,179,133,315,0,0,0,184,133,317,4,3,8,196,277,468,0,0,0,200,279,475,6,0,7,135,79,215,0,0,0,141,81,219,6,6,10,277,401,677,0,0,0,282,409,689,0,0,0,4,4,5,0,0,0,7,4,7,13,8,29,787,899,1679,0,0,0,804,905,1712,6,11,17,725,839,1568,0,0,0,729,855,1578,0,9,12,385,414,800,0,0,0,386,425,815,4,3,6,128,151,275,0,0,0,127,152,278,8,11,15,362,564,928,0,0,3,370,572,947,0,0,0,8,0,8,0,0,0,6,0,15,15,30,48,1602,1977,3583,3,0,5,1618,2007,3631,28,43,73,2398,2882,5275,8,0,3,2430,2920,5351,7,3,11,320,392,715,0,0
LGA50490,13,10,27,309,263,579,0,0,0,330,275,602,52,67,125,1335,1297,2636,4,4,9,1397,1368,2766,63,60,114,962,873,1836,9,8,10,1029,940,1968,4,0,4,134,111,253,0,0,0,139,113,258,0,3,8,141,232,378,0,0,0,145,240,383,0,0,6,87,48,141,0,0,0,95,50,143,4,4,6,189,323,516,0,0,0,198,330,523,0,0,0,7,3,7,0,0,0,7,3,7,8,10,22,564,723,1290,0,0,5,573,741,1315,6,14,13,379,499,878,0,0,0,382,512,897,5,5,12,265,309,574,0,0,0,267,313,586,0,0,4,83,100,177,0,0,0,82,102,185,6,8,13,211,275,481,0,0,0,215,283,497,0,0,0,4,0,7,0,0,0,4,0,7,7,23,36,940,1186,2122,0,4,7,950,1212,2164,18,41,60,1511,1914,3424,3,0,9,1535,1957,3489,5,3,11,237,259,497,4,0
LGA50560,0,0,0,5,5,18,0,0,0,8,5,13,4,3,4,35,41,71,3,3,12,41,50,90,0,0,4,21,35,48,0,0,0,21,35,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,4,3,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,4,8,12,0,0,0,4,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,16,25,0,0,0,6,16,25,0,0,0,0,3,6,0,0,0,0,3,6,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,15,0,0,0,3,8,15,0,0,0,11,25,37,0,0,0,11,25,37,0,0,0,5,11,15,0,0
LGA50630,0,0,0,13,16,29,0,0,0,13,16,29,6,0,4,77,74,156,0,0,0,81,76,166,3,0,6,44,39,88,3,0,3,49,46,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,5,0,0,0,8,6,10,0,0,0,6,8,6,0,0,0,6,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,20,0,0,0,7,17,21,0,0,0,0,4,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,12,0,0,0,7,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,18,0,0,0,4,11,18,0,0,0,16,23,40,0,0,0,16,25,40,5,0,3,3,6,8,0,0
LGA50770,0,0,0,11,15,28,0,3,5,14,14,33,0,0,0,70,68,140,0,0,6,73,69,145,0,3,3,40,56,92,0,0,0,43,54,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,11,14,0,0,0,0,11,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16,17,0,0,0,4,14,21,0,0,0,3,3,5,0,0,0,3,3,5,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,9,0,0,0,3,11,9,0,0,0,12,20,30,0,0,0,12,23,34,0,0,0,3,5,9,0,0
