LGA_CODE_2021,Co_LTHC_1ms_LTHC_twoc_In_ns_P,Co_LTHC_1ms_LTHC_twoc_Tot_M,Co_LTHC_1ms_LTHC_twoc_Tot_F,Co_LTHC_1ms_LTHC_twoc_Tot_P,Co_LTHC_1ms_LTHC_3oMc_Ind_M,Co_LTHC_1ms_LTHC_3oMc_Ind_F,Co_LTHC_1ms_LTHC_3oMc_Ind_P,Co_LTHC_1ms_LTHC_3oMc_NoInd_M,Co_LTHC_1ms_LTHC_3oMc_NoInd_F,Co_LTHC_1ms_LTHC_3oMc_NoInd_P,Co_LTHC_1ms_LTHC_3oMc_In_ns_M,Co_LTHC_1ms_LTHC_3oMc_In_ns_F,Co_LTHC_1ms_LTHC_3oMc_In_ns_P,Co_LTHC_1ms_LTHC_3oMc_Tot_M,Co_LTHC_1ms_LTHC_3oMc_Tot_F,Co_LTHC_1ms_LTHC_3oMc_Tot_P,Co_LTHC_1ms_LTHC_Tot_Ind_M,Co_LTHC_1ms_LTHC_Tot_Ind_F,Co_LTHC_1ms_LTHC_Tot_Ind_P,Co_LTHC_1ms_LTHC_Tot_NoInd_M,Co_LTHC_1ms_LTHC_Tot_NoInd_F,Co_LTHC_1ms_LTHC_Tot_NoInd_P,Co_LTHC_1ms_LTHC_Tot_In_ns_M,Co_LTHC_1ms_LTHC_Tot_In_ns_F,Co_LTHC_1ms_LTHC_Tot_In_ns_P,Co_LTHC_1ms_LTHC_Tot_Tot_M,Co_LTHC_1ms_LTHC_Tot_Tot_F,Co_LTHC_1ms_LTHC_Tot_Tot_P,Co_LTHC_Ns_Ind_M,Co_LTHC_Ns_Ind_F,Co_LTHC_Ns_Ind_P,Co_LTHC_Ns_NoInd_M,Co_LTHC_Ns_NoInd_F,Co_LTHC_Ns_NoInd_P,Co_LTHC_Ns_In_ns_M,Co_LTHC_Ns_In_ns_F,Co_LTHC_Ns_In_ns_P,Co_LTHC_Ns_Tot_M,Co_LTHC_Ns_Tot_F,Co_LTHC_Ns_Tot_P,Tot_p_Ind_M,Tot_p_Ind_F,Tot_p_Ind_P,Tot_p_NoInd_M,Tot_p_NoInd_F,Tot_p_NoInd_P,Tot_p_In_Tot_p_M,Tot_p_In_Tot_p_F,Tot_p_In_Tot_p_P,Tot_p_Tot_M,Tot_p_Tot_F,Tot_p_Tot_P
LGA50080,22,1230,1667,2900,12,26,39,611,784,1398,3,9,15,625,826,1449,178,215,388,5575,6655,12229,30,59,90,5783,6925,12709,216,59,278,921,740,1660,901,759,1664,2042,1564,3603,811,667,1476,17231,18189,35424,992,874,1865,19033,19732,38763
LGA50210,39,2115,3067,5179,33,67,104,992,1401,2389,13,14,23,1032,1486,2518,363,460,829,10438,12823,23256,57,90,142,10858,13369,24229,115,91,205,1663,1575,3238,2215,1807,4021,3994,3467,7467,1366,1417,2785,42882,44187,87071,2352,1973,4327,46604,47583,94184
LGA50250,4,89,90,176,11,9,13,18,18,38,0,0,0,27,32,59,92,95,190,503,405,910,0,6,11,601,516,1113,22,15,41,95,66,158,853,465,1323,968,547,1520,411,364,772,3015,2253,5266,869,481,1352,4297,3096,7391
LGA50280,6,326,442,768,0,0,6,127,173,296,6,6,8,133,184,313,28,21,55,1743,2034,3782,18,30,42,1787,2081,3875,9,9,20,288,254,543,681,545,1226,980,813,1789,113,114,231,7541,7674,15213,732,613,1347,8388,8400,16791
LGA50350,9,431,599,1030,3,7,13,195,278,475,0,5,4,197,298,491,57,73,130,2040,2630,4672,8,19,25,2108,2718,4828,21,13,35,289,271,563,418,318,733,726,602,1328,205,196,399,7151,7586,14740,443,350,796,7797,8135,15932
LGA50420,18,1616,2165,3783,8,33,38,790,1003,1794,0,5,0,798,1032,1828,130,187,319,8329,10028,18359,30,42,73,8496,10261,18756,33,34,68,1083,1061,2144,1437,1142,2579,2556,2230,4788,535,545,1075,32324,33122,65445,1534,1231,2765,34387,34900,69283
LGA50490,10,914,1226,2147,15,38,51,444,649,1095,4,4,7,463,690,1158,157,227,387,4466,5376,9838,21,31,53,4644,5631,10277,46,23,72,729,734,1459,1320,1047,2368,2097,1810,3903,547,582,1129,19473,19139,38609,1391,1126,2517,21413,20846,42257
LGA50560,5,78,79,155,0,0,3,31,39,73,0,0,0,36,42,76,11,10,19,280,304,587,3,5,12,299,317,614,3,3,6,19,21,37,96,84,183,123,106,229,27,25,48,724,717,1441,108,100,204,858,834,1694
LGA50630,0,38,46,87,0,0,5,22,31,50,0,0,0,21,30,57,11,14,21,227,230,460,0,0,4,239,247,482,0,0,0,21,20,37,80,64,148,100,80,180,31,31,60,769,723,1491,83,73,153,885,822,1705
LGA50770,0,56,66,123,3,0,3,30,24,56,0,0,0,33,28,58,4,6,12,255,251,512,6,0,8,266,263,526,0,0,0,32,29,62,99,95,190,132,123,249,14,15,29,794,797,1591,104,103,210,917,914,1834
