LGA_CODE_2021,Indigenous_Aboriginal_M,Indigenous_Aboriginal_F,Indigenous_Aboriginal_P,Indigenous_Torres_Strait_Is_M,Indigenous_Torres_Strait_Is_F,Indigenous_Torres_Strait_Is_P,Indig_Bth_Abor_Torr_Strt_Is_M,Indig_Bth_Abor_Torr_Strt_Is_F,Indig_Bth_Abor_Torr_Strt_Is_P,Indigenous_TotM,Indigenous_TotF,Indigenous_TotP,Non_Indig_M,Non_Indig_F,Non_Indig_P,Indigenous_status_nsM,Indigenous_status_nsF,Indigenous_status_nsP,Tot_M,Tot_F,Tot_P
LGA55810,28,28,58,0,0,0,0,0,0,28,28,58,155,124,279,178,135,315,363,290,653
LGA55880,10,9,19,0,0,0,0,0,0,10,9,19,208,193,404,22,15,40,244,219,459
LGA55950,12,16,24,0,0,0,0,0,0,12,16,24,260,225,492,40,22,64,313,265,579
LGA56090,986,399,1382,17,6,24,38,5,36,1040,405,1442,18382,17760,36138,912,670,1581,20336,18832,39166
LGA56160,29,16,38,0,0,0,0,0,0,29,16,38,24,26,55,3,4,7,49,50,101
LGA56230,242,230,480,4,6,13,5,0,5,248,238,489,8053,8307,16357,672,546,1219,8975,9090,18068
LGA56300,25,16,40,0,0,0,0,0,0,25,16,40,665,643,1309,101,92,192,790,751,1538
LGA56370,11,8,25,0,0,0,0,0,0,11,8,25,334,312,644,74,53,124,415,371,787
LGA56460,120,139,257,0,0,7,0,5,4,125,140,264,1990,2069,4062,241,213,456,2350,2427,4779
LGA56580,35,46,81,0,0,0,0,0,0,35,50,87,10565,10850,21416,318,315,632,10920,11211,22132
LGA56620,549,601,1147,0,0,0,0,0,0,549,601,1147,64,63,130,38,37,77,656,697,1358
LGA56730,344,358,704,0,0,3,5,5,8,352,364,715,4840,4752,9586,545,505,1054,5744,5619,11358
LGA56790,92,89,179,0,0,0,0,0,0,88,94,184,1376,1238,2611,234,192,431,1708,1522,3227
LGA56860,8,9,11,0,0,0,0,0,0,8,9,11,97,84,182,28,28,56,136,120,255
LGA56930,0,27,28,0,0,0,0,0,0,0,25,28,654,853,1512,25,30,58,684,912,1597
LGA57000,5,13,18,0,0,0,0,0,0,5,13,18,251,172,419,134,53,190,390,239,629
LGA57080,171,171,341,7,0,10,3,7,10,180,177,360,13261,12253,25512,1548,1037,2587,14996,13471,28463
LGA57140,47,55,104,0,0,0,0,0,0,47,55,104,456,417,873,31,30,60,534,502,1037
LGA57210,88,92,177,0,0,4,0,0,0,89,93,181,2412,2282,4698,277,240,512,2775,2610,5388
LGA57280,1278,1342,2618,75,54,128,81,84,162,1435,1476,2916,5554,5008,10559,1243,965,2207,8229,7449,15684
LGA57350,34,40,74,0,0,0,0,0,0,34,40,74,303,346,649,118,120,236,459,504,961
LGA57420,39,49,80,0,6,6,0,0,0,39,47,88,958,858,1817,101,80,184,1095,987,2085
LGA57490,1663,1726,3391,42,53,89,62,58,117,1771,1829,3605,61083,63892,124966,4230,2872,7108,67085,68591,135678
LGA57630,0,0,0,0,0,0,0,0,0,0,0,0,40,29,72,24,7,34,70,37,109
LGA57700,442,419,864,13,14,26,18,14,36,472,448,920,14832,15099,29929,766,556,1325,16069,16102,32173
LGA57770,67,38,101,0,0,0,0,0,0,67,38,101,377,398,774,81,79,158,520,507,1031
LGA57840,309,287,596,3,11,13,12,10,25,327,309,636,20035,21001,41033,877,857,1732,21244,22163,43405
LGA57910,1192,1290,2479,36,25,64,26,30,57,1255,1349,2606,103492,110649,214137,5119,4509,9626,109870,116500,226369
LGA57980,57,59,113,4,4,7,0,4,3,62,65,128,7768,8644,16417,389,334,726,8219,9044,17267
LGA58050,2445,2613,5057,69,57,125,55,63,116,2568,2733,5302,69777,71421,141209,3647,2826,6471,75992,76981,152974
LGA58190,10,17,29,0,0,0,0,0,0,10,17,29,170,131,306,27,21,54,217,172,386
LGA58260,21,23,50,0,0,0,0,0,0,25,28,50,232,204,436,43,42,91,296,274,575
LGA58330,73,60,136,0,0,0,0,0,0,73,60,136,2015,1947,3959,283,222,508,2370,2229,4601
LGA58400,9,4,12,0,0,0,0,0,0,9,8,15,128,120,243,18,17,32,151,137,298
LGA58470,50,34,95,0,0,0,0,0,0,54,38,95,34,33,61,7,3,15,95,79,170
LGA58510,321,316,636,11,6,16,8,0,5,338,318,656,16998,17307,34306,1071,852,1921,18416,18477,36889
LGA58540,14,18,32,0,0,0,0,0,0,14,18,31,357,317,673,47,49,98,424,381,802
LGA58570,147,160,304,5,0,7,3,4,5,151,160,318,17107,17375,34483,981,754,1734,18240,18293,36537
LGA58610,24,24,49,0,0,0,0,0,0,24,24,49,764,747,1513,97,103,202,888,869,1761
LGA58680,3,6,11,0,0,0,0,0,0,3,6,11,227,200,428,57,43,97,290,250,535
LGA58760,1797,1950,3743,61,60,121,51,51,103,1910,2060,3971,96412,100920,197334,4485,3324,7809,102807,106304,209111
LGA58820,85,71,159,0,0,0,0,0,0,85,71,159,1878,1927,3800,159,122,280,2114,2120,4234
LGA58890,16,7,21,0,0,0,0,0,4,16,8,27,348,303,644,49,48,102,414,362,773
LGA59030,0,3,4,0,0,0,0,0,0,0,3,4,114,111,222,10,14,22,123,125,248
LGA59100,9,9,20,0,0,0,0,0,0,9,9,20,292,274,562,59,50,105,366,329,690
LGA59170,8,11,17,0,0,0,0,0,0,6,11,18,455,437,893,53,56,110,521,500,1021
LGA59250,63,73,137,0,0,0,0,0,0,63,73,141,162,75,236,117,39,161,345,189,535
LGA59310,41,31,70,0,0,0,3,0,3,42,31,76,594,524,1117,62,43,103,696,601,1297
LGA59320,3,0,6,0,0,0,0,0,0,9,0,7,212,188,395,27,22,47,238,210,448
LGA59330,12,19,29,0,0,0,0,0,0,12,19,29,206,189,397,18,26,43,244,227,470
LGA59340,1156,1300,2457,11,4,17,16,17,39,1186,1325,2515,1910,1860,3773,598,596,1191,3699,3775,7477
LGA59350,34,35,66,0,0,0,0,0,0,34,35,66,86,37,121,116,32,148,242,101,340
LGA59360,12,11,28,0,0,0,0,0,0,16,11,26,565,376,945,154,52,202,731,439,1173
LGA59370,60,76,139,0,6,3,0,0,0,64,75,144,1503,1518,3020,164,131,298,1731,1731,3459
LGA59499,786,677,1464,11,0,11,13,5,19,819,683,1495,3052,2281,5333,778,450,1228,4639,3416,8055
LGA59799,7,3,9,0,0,0,0,0,0,7,3,9,256,32,293,193,19,218,455,58,514
