LGA_CODE_2021,Negative_Nil_income_M,Negative_Nil_income_F,Negative_Nil_income_P,1_149_M,1_149_F,1_149_P,150_299_M,150_299_F,150_299_P,300_399_M,300_399_F,300_399_P,400_499_M,400_499_F,400_499_P,500_649_M,500_649_F,500_649_P,650_799_M,650_799_F,650_799_P,800_999_M,800_999_F,800_999_P,1000_1249_M,1000_1249_F,1000_1249_P,1250_1499_M,1250_1499_F,1250_1499_P,1500_1749_M,1500_1749_F,1500_1749_P,1750_1999_M,1750_1999_F,1750_1999_P,2000_or_more_M,2000_or_more_F,2000_or_more_P,Personal_income_nsM,Personal_income_nsF,Personal_income_nsP,Tot_M,Tot_F,Tot_P
LGA50080,59,45,103,27,27,53,62,52,109,56,62,115,36,48,85,34,40,70,23,38,63,25,37,66,31,28,57,31,14,42,19,11,31,16,6,24,39,11,48,152,21,174,594,451,1038
LGA50210,109,112,217,27,37,65,89,95,179,71,88,158,45,80,121,62,95,155,41,68,107,46,57,98,75,59,132,38,52,95,39,38,80,43,21,67,104,48,150,46,33,79,831,868,1708
LGA50250,26,31,55,5,10,13,23,33,59,13,33,41,8,16,27,4,16,17,3,7,8,9,14,17,13,17,28,17,14,24,16,13,26,17,11,28,121,45,160,17,9,31,288,253,540
LGA50280,10,9,21,5,3,13,4,4,7,9,3,11,7,15,19,4,12,15,0,7,9,7,10,18,10,4,16,6,3,10,3,4,3,6,4,7,7,4,13,0,3,5,78,75,158
LGA50350,15,15,35,0,0,9,17,21,31,9,20,22,6,16,23,10,19,33,9,7,18,13,8,15,7,8,17,4,3,8,3,0,6,7,3,13,17,9,25,0,7,8,125,142,263
LGA50420,37,55,94,9,16,26,29,36,70,27,33,61,15,37,55,25,38,66,13,42,51,24,28,47,33,26,61,29,22,47,21,18,44,14,15,26,59,21,80,13,18,27,362,404,763
LGA50490,52,50,102,13,16,31,29,45,75,35,54,90,20,43,63,18,34,55,16,26,50,19,23,48,29,33,57,19,29,49,26,14,40,15,14,30,68,41,110,19,15,31,390,437,832
LGA50560,0,4,6,0,0,0,0,0,5,0,0,3,0,0,4,0,4,8,0,0,6,4,0,4,0,0,0,3,0,7,0,0,0,3,0,3,0,0,0,5,3,7,23,19,37
LGA50630,3,3,3,0,0,0,0,0,6,4,4,10,0,0,0,6,4,10,0,0,0,0,0,0,5,0,3,0,0,3,0,0,0,3,0,5,7,3,8,0,0,0,24,24,46
LGA50770,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,3,0,0,0,0,0,0,0,5,5,3,0,3,0,0,0,0,0,0,6,0,5,0,0,0,11,14,22
LGA50840,0,3,5,0,0,0,4,0,7,0,4,3,3,7,9,0,0,3,0,3,5,5,0,0,0,5,9,0,0,0,0,0,0,4,0,4,8,0,9,0,0,0,35,22,53
LGA50910,3,7,12,0,3,7,6,6,14,4,6,15,0,0,3,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,3,0,0,0,0,0,0,4,6,8,29,39,64
LGA50980,156,150,309,41,68,107,198,202,402,234,306,545,87,137,228,79,131,210,70,83,153,67,91,163,93,91,181,64,89,152,83,91,172,61,44,98,106,96,202,205,128,333,1543,1717,3259
LGA51080,6,0,8,0,5,3,3,0,0,4,10,12,3,7,10,0,3,5,0,0,0,3,0,4,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,19,19,34,43,49,86
LGA51120,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,11,25
LGA51190,40,52,94,15,25,39,38,56,98,43,45,85,32,72,106,31,54,82,28,38,62,25,38,64,34,30,64,15,15,28,15,15,27,18,11,27,26,26,58,124,22,148,485,501,986
LGA51260,31,17,51,3,18,21,25,30,56,21,23,44,11,17,33,12,34,54,15,14,29,16,26,43,28,14,50,10,6,16,12,6,13,11,9,15,32,4,39,12,7,20,243,239,483
LGA51310,3,12,17,6,0,3,4,0,5,3,4,8,0,3,3,0,0,3,0,4,6,5,0,5,8,3,9,3,4,7,0,0,0,3,4,8,18,5,21,0,0,0,46,44,93
LGA51330,55,68,124,15,14,31,48,33,79,47,61,107,24,50,71,17,44,62,18,32,51,30,27,53,31,35,60,14,13,31,17,16,37,16,10,29,44,27,78,15,12,30,393,448,844
LGA51400,20,25,46,3,6,9,10,16,21,12,15,32,9,18,28,14,16,28,4,15,22,7,14,25,16,9,27,11,11,21,10,3,16,5,5,12,18,4,24,9,3,9,140,171,309
LGA51470,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5,15
LGA51540,22,27,48,7,8,18,50,51,92,48,59,105,33,33,64,18,31,49,6,22,33,10,17,33,10,27,33,11,15,20,7,11,20,4,13,18,14,7,27,26,22,46,272,340,611
LGA51610,5,12,9,4,4,4,0,0,0,0,3,3,0,0,0,0,3,4,0,0,0,5,0,0,0,5,5,0,0,0,3,0,3,0,0,0,5,0,9,3,0,3,23,26,46
LGA51680,30,20,48,0,0,0,0,0,0,0,3,0,4,0,3,3,6,10,0,5,5,0,0,3,0,0,0,4,0,4,0,0,0,4,0,4,3,0,8,0,0,0,51,40,91
LGA51710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,3,8
LGA51750,15,3,22,6,0,6,0,0,3,0,0,3,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,7,7,0,3,4,0,0,0,3,3,9,5,0,5,38,24,63
LGA51820,91,83,174,38,34,72,66,57,126,57,70,128,32,72,106,26,64,93,27,65,88,50,64,107,47,67,108,42,52,96,35,27,63,31,27,56,114,52,169,24,30,56,674,765,1444
LGA51860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA51890,21,16,35,3,0,7,15,10,29,13,16,28,12,5,17,5,19,20,6,7,19,6,9,16,7,4,12,14,3,16,8,4,11,7,0,10,5,3,9,6,4,9,134,107,245
LGA51960,11,15,28,0,4,5,16,19,31,8,7,19,12,20,31,3,11,17,9,10,11,0,10,10,10,11,21,6,7,5,3,3,8,4,0,4,12,6,16,5,6,16,104,123,230
