LGA_CODE_2021,One_f_h_N_pe_UR_One_ATSIF,One_f_h_N_pe_UR_Two_ATSIF,One_f_h_N_pe_UR_Three_ATSIF,One_f_h_N_pe_UR_Four_ATSIF,One_f_h_N_pe_UR_Five_ATSIF,One_f_h_N_pe_UR_Six_m_ATSIF,One_f_h_Tot_ATSIF,Two_f_h_N_pe_UR_One_ATSIF,Two_f_h_N_pe_UR_Two_ATSIF,Two_f_h_N_pe_UR_Three_ATSIF,Two_f_h_N_pe_UR_Four_ATSIF,Two_f_h_N_pe_UR_Five_ATSIF,Two_f_h_N_pe_UR_Six_m_ATSIF,Two_f_h_Tot_ATSIF,Thr_m_f_h_N_pe_UR_One_ATSIF,Thr_m_f_h_N_pe_UR_Two_ATSIF,Thr_m_f_h_N_pe_UR_Three_ATSIF,Thr_m_f_h_N_pe_UR_Four_ATSIF,Thr_m_f_h_N_pe_UR_Five_ATSIF,Thr_m_f_h_N_pe_UR_Six_m_ATSIF,Thr_m_f_h_Tot_ATSIF,Tot_N_pe_UR_One_ATSIF,Tot_N_pe_UR_Two_ATSIF,Tot_N_pe_UR_Three_ATSIF,Tot_N_pe_UR_Four_ATSIF,Tot_N_pe_UR_Five_ATSIF,Tot_N_pe_UR_Six_m_ATSIF,Tot_Tot_ATSIF,One_f_h_N_pe_UR_One_Oth_f,One_f_h_N_pe_UR_Two_Oth_f,One_f_h_N_pe_UR_Three_Oth_f,One_f_h_N_pe_UR_Four_Oth_f,One_f_h_N_pe_UR_Five_Oth_f,One_f_h_N_pe_UR_Six_m_Oth_f,One_f_h_Tot_Oth_f,Two_f_h_N_pe_UR_One_Oth_f,Two_f_h_N_pe_UR_Two_Oth_f,Two_f_h_N_pe_UR_Three_Oth_f,Two_f_h_N_pe_UR_Four_Oth_f,Two_f_h_N_pe_UR_Five_Oth_f,Two_f_h_N_pe_UR_Six_m_Oth_f,Two_f_h_Tot_Oth_f,Thr_m_f_h_N_pe_UR_One_Oth_f,Thr_m_f_h_N_pe_UR_Two_Oth_f,Thr_m_f_h_N_pe_UR_Three_Oth_f,Thr_m_f_h_N_pe_UR_Four_Oth_f,Thr_m_f_h_N_pe_UR_Five_Oth_f,Thr_m_f_h_N_pe_UR_Six_m_Oth_f,Thr_m_f_h_Tot_Oth_f,Tot_N_pe_UR_One_Oth_f,Tot_N_pe_UR_Two_Oth_f,Tot_N_pe_UR_Three_Oth_f,Tot_N_pe_UR_Four_Oth_f,Tot_N_pe_UR_Five_Oth_f,Tot_N_pe_UR_Six_m_Oth_f,Tot_Tot_Oth_f
LGA50840,..,7,10,0,4,0,30,..,..,..,5,0,0,6,..,..,..,..,..,0,0,..,7,10,5,4,5,37,..,837,198,209,96,32,1374,..,..,..,6,8,21,30,..,..,..,..,..,0,0,..,837,198,218,110,53,1411
LGA50910,..,8,5,4,4,5,23,..,..,..,3,0,0,3,..,..,..,..,..,0,0,..,8,5,7,4,5,24,..,112,34,36,13,5,198,..,..,..,0,0,5,9,..,..,..,..,..,0,0,..,112,34,35,11,12,204
LGA50980,..,336,274,259,163,103,1129,..,..,..,36,36,88,151,..,..,..,..,..,41,41,..,336,274,289,196,235,1323,..,1076,467,570,214,62,2390,..,..,..,16,17,38,71,..,..,..,..,..,0,0,..,1076,467,584,233,103,2468
LGA51080,..,7,4,4,6,11,30,..,..,..,0,3,3,7,..,..,..,..,..,0,0,..,7,4,4,3,11,34,..,137,38,35,23,4,239,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,137,38,35,28,4,245
LGA51120,..,0,0,6,0,0,11,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,0,0,6,0,0,13,..,114,26,34,27,8,211,..,..,..,6,0,0,4,..,..,..,..,..,0,0,..,114,26,42,27,8,215
LGA51190,..,147,101,79,39,35,399,..,..,..,10,11,24,42,..,..,..,..,..,5,5,..,147,101,84,47,66,445,..,4269,1525,1343,464,158,7756,..,..,..,98,54,73,228,..,..,..,..,..,4,4,..,4269,1525,1434,516,233,7989
LGA51260,..,79,81,63,30,27,290,..,..,..,5,3,11,16,..,..,..,..,..,0,0,..,79,81,67,33,43,302,..,5390,1929,2036,772,216,10341,..,..,..,88,146,135,377,..,..,..,..,..,23,23,..,5390,1929,2124,920,372,10738
LGA51310,..,16,5,15,4,0,45,..,..,..,0,0,3,3,..,..,..,..,..,0,0,..,16,5,15,4,0,49,..,3123,1383,2056,838,160,7555,..,..,..,46,52,66,163,..,..,..,..,..,0,0,..,3123,1383,2101,888,228,7722
LGA51330,..,130,96,85,42,27,391,..,..,..,12,3,25,41,..,..,..,..,..,4,4,..,130,96,101,44,56,434,..,8802,5464,5952,2220,816,23254,..,..,..,282,390,645,1319,..,..,..,..,..,86,86,..,8802,5464,6239,2607,1551,24660
LGA51400,..,45,49,43,27,15,181,..,..,..,3,0,9,10,..,..,..,..,..,0,0,..,45,49,44,31,21,195,..,2027,977,1088,479,149,4717,..,..,..,41,38,83,157,..,..,..,..,..,7,7,..,2027,977,1123,517,241,4885
LGA51470,..,4,0,0,0,0,11,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,4,0,0,0,0,11,..,75,17,19,8,0,115,..,..,..,3,0,4,5,..,..,..,..,..,0,0,..,75,17,26,7,0,123
LGA51540,..,87,43,40,18,19,215,..,..,..,0,6,15,17,..,..,..,..,..,7,7,..,87,43,46,23,45,243,..,476,155,158,52,24,865,..,..,..,8,6,18,33,..,..,..,..,..,3,3,..,476,155,167,58,37,899
LGA51610,..,9,8,4,9,3,33,..,..,..,4,0,0,4,..,..,..,..,..,0,0,..,9,8,4,9,3,38,..,204,64,75,33,5,382,..,..,..,6,6,3,12,..,..,..,..,..,0,0,..,204,64,79,34,11,392
LGA51680,..,13,15,9,5,4,44,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,13,15,9,4,5,49,..,702,319,271,127,65,1489,..,..,..,39,26,52,123,..,..,..,..,..,9,9,..,702,319,309,159,125,1612
LGA51710,..,6,0,5,0,0,8,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,6,0,5,0,0,8,..,116,62,57,36,12,284,..,..,..,0,0,4,15,..,..,..,..,..,0,0,..,116,62,59,39,13,291
LGA51750,..,7,3,7,0,0,18,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,7,3,7,0,0,18,..,1377,552,576,239,38,2784,..,..,..,11,6,12,29,..,..,..,..,..,3,3,..,1377,552,584,250,53,2813
LGA51820,..,225,197,166,80,69,738,..,..,..,20,10,34,69,..,..,..,..,..,3,3,..,225,197,186,93,111,817,..,12893,7273,7339,2397,674,30573,..,..,..,369,397,545,1312,..,..,..,..,..,68,68,..,12893,7273,7709,2792,1282,31951
LGA51860,..,0,0,0,0,0,0,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,0,0,0,0,0,0,..,34,16,15,12,4,78,..,..,..,5,11,44,62,..,..,..,..,..,13,13,..,34,16,21,23,57,154
LGA51890,..,38,20,28,16,13,118,..,..,..,4,4,5,10,..,..,..,..,..,0,0,..,38,20,29,21,22,128,..,1105,399,369,160,50,2084,..,..,..,35,23,24,78,..,..,..,..,..,0,0,..,1105,399,402,184,72,2162
LGA51960,..,39,30,17,7,4,94,..,..,..,0,0,0,4,..,..,..,..,..,5,5,..,39,30,17,8,8,105,..,321,127,100,46,17,621,..,..,..,7,0,11,20,..,..,..,..,..,0,0,..,321,127,104,47,31,634
LGA52030,..,3,3,0,0,0,10,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,3,3,0,0,0,10,..,182,34,37,6,10,265,..,..,..,0,0,3,3,..,..,..,..,..,0,0,..,182,34,37,6,7,268
LGA52100,..,5,0,4,5,0,11,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,5,0,4,5,0,11,..,148,42,31,34,10,251,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,148,42,31,34,10,257
LGA52170,..,6,0,5,0,0,15,..,..,..,5,0,0,5,..,..,..,..,..,0,0,..,6,0,3,0,0,16,..,979,393,418,213,50,2055,..,..,..,13,10,9,23,..,..,..,..,..,0,0,..,979,393,427,218,62,2083
LGA52240,..,3,0,0,0,0,10,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,3,0,0,0,0,10,..,137,46,50,18,7,261,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,137,46,52,18,7,262
LGA52310,..,4,0,0,0,0,12,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,4,0,0,0,0,12,..,146,35,31,12,11,235,..,..,..,3,0,3,8,..,..,..,..,..,0,0,..,146,35,39,14,12,246
LGA52380,..,0,0,0,0,0,4,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,0,0,0,0,0,4,..,18,0,0,0,0,23,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,18,0,0,0,0,23
LGA52450,..,0,0,0,0,0,9,..,..,..,0,3,0,3,..,..,..,..,..,0,0,..,0,0,0,0,0,8,..,135,49,59,35,20,288,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,135,49,59,35,17,293
LGA52520,..,8,5,0,4,8,19,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,8,5,5,4,8,26,..,130,47,56,31,7,282,..,..,..,3,6,8,16,..,..,..,..,..,0,0,..,130,47,64,36,12,290
LGA52590,..,21,13,8,4,0,39,..,..,..,3,4,0,3,..,..,..,..,..,0,0,..,21,13,12,8,3,40,..,513,113,114,53,13,807,..,..,..,7,6,7,16,..,..,..,..,..,9,9,..,513,113,128,59,22,837
LGA52660,..,38,35,37,22,19,149,..,..,..,7,0,6,14,..,..,..,..,..,0,0,..,38,35,42,22,30,165,..,1810,791,756,328,110,3796,..,..,..,44,29,29,99,..,..,..,..,..,16,16,..,1810,791,796,355,152,3912
LGA52730,..,10,6,13,0,0,30,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,10,6,13,0,0,30,..,892,271,236,109,36,1543,..,..,..,9,15,16,38,..,..,..,..,..,0,0,..,892,271,240,122,56,1578
LGA52800,..,224,157,128,101,98,715,..,..,..,33,54,153,242,..,..,..,..,..,75,75,..,224,157,163,162,328,1031,..,235,61,53,17,4,372,..,..,..,10,0,6,11,..,..,..,..,..,0,0,..,235,61,62,17,13,386
LGA52870,..,16,15,14,9,5,55,..,..,..,5,0,0,8,..,..,..,..,..,0,0,..,16,15,16,9,7,65,..,929,247,255,105,47,1587,..,..,..,13,27,23,67,..,..,..,..,..,0,0,..,929,247,275,133,67,1649
LGA52940,..,4,3,4,0,0,12,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,4,3,4,0,0,12,..,90,25,23,24,5,165,..,..,..,0,0,3,5,..,..,..,..,..,0,0,..,90,25,23,32,5,167
LGA53010,..,0,3,0,0,0,10,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,0,3,0,0,0,10,..,88,19,26,18,0,151,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,88,19,28,18,0,152
LGA53080,..,13,7,9,0,0,29,..,..,..,0,0,0,6,..,..,..,..,..,0,0,..,13,7,10,0,0,28,..,70,16,4,3,4,96,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,70,16,7,3,4,101
LGA53150,..,6,9,3,0,0,24,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,6,9,3,0,0,24,..,891,404,496,169,36,2002,..,..,..,13,10,13,37,..,..,..,..,..,0,0,..,891,404,517,180,55,2044
LGA53220,..,56,49,68,39,40,262,..,..,..,9,18,79,105,..,..,..,..,..,57,57,..,56,49,76,65,178,419,..,334,186,194,81,36,825,..,..,..,3,4,13,17,..,..,..,..,..,0,0,..,334,186,195,90,43,844
LGA53290,..,72,43,31,22,13,191,..,..,..,4,5,4,12,..,..,..,..,..,0,0,..,72,43,37,29,22,205,..,1623,575,578,251,97,3126,..,..,..,33,23,42,96,..,..,..,..,..,3,3,..,1623,575,616,272,138,3229
