LGA_CODE_2021,One_f_h_N_pe_UR_One_ATSIF,One_f_h_N_pe_UR_Two_ATSIF,One_f_h_N_pe_UR_Three_ATSIF,One_f_h_N_pe_UR_Four_ATSIF,One_f_h_N_pe_UR_Five_ATSIF,One_f_h_N_pe_UR_Six_m_ATSIF,One_f_h_Tot_ATSIF,Two_f_h_N_pe_UR_One_ATSIF,Two_f_h_N_pe_UR_Two_ATSIF,Two_f_h_N_pe_UR_Three_ATSIF,Two_f_h_N_pe_UR_Four_ATSIF,Two_f_h_N_pe_UR_Five_ATSIF,Two_f_h_N_pe_UR_Six_m_ATSIF,Two_f_h_Tot_ATSIF,Thr_m_f_h_N_pe_UR_One_ATSIF,Thr_m_f_h_N_pe_UR_Two_ATSIF,Thr_m_f_h_N_pe_UR_Three_ATSIF,Thr_m_f_h_N_pe_UR_Four_ATSIF,Thr_m_f_h_N_pe_UR_Five_ATSIF,Thr_m_f_h_N_pe_UR_Six_m_ATSIF,Thr_m_f_h_Tot_ATSIF,Tot_N_pe_UR_One_ATSIF,Tot_N_pe_UR_Two_ATSIF,Tot_N_pe_UR_Three_ATSIF,Tot_N_pe_UR_Four_ATSIF,Tot_N_pe_UR_Five_ATSIF,Tot_N_pe_UR_Six_m_ATSIF,Tot_Tot_ATSIF,One_f_h_N_pe_UR_One_Oth_f,One_f_h_N_pe_UR_Two_Oth_f,One_f_h_N_pe_UR_Three_Oth_f,One_f_h_N_pe_UR_Four_Oth_f,One_f_h_N_pe_UR_Five_Oth_f,One_f_h_N_pe_UR_Six_m_Oth_f,One_f_h_Tot_Oth_f,Two_f_h_N_pe_UR_One_Oth_f,Two_f_h_N_pe_UR_Two_Oth_f,Two_f_h_N_pe_UR_Three_Oth_f,Two_f_h_N_pe_UR_Four_Oth_f,Two_f_h_N_pe_UR_Five_Oth_f,Two_f_h_N_pe_UR_Six_m_Oth_f,Two_f_h_Tot_Oth_f,Thr_m_f_h_N_pe_UR_One_Oth_f,Thr_m_f_h_N_pe_UR_Two_Oth_f,Thr_m_f_h_N_pe_UR_Three_Oth_f,Thr_m_f_h_N_pe_UR_Four_Oth_f,Thr_m_f_h_N_pe_UR_Five_Oth_f,Thr_m_f_h_N_pe_UR_Six_m_Oth_f,Thr_m_f_h_Tot_Oth_f,Tot_N_pe_UR_One_Oth_f,Tot_N_pe_UR_Two_Oth_f,Tot_N_pe_UR_Three_Oth_f,Tot_N_pe_UR_Four_Oth_f,Tot_N_pe_UR_Five_Oth_f,Tot_N_pe_UR_Six_m_Oth_f,Tot_Tot_Oth_f
LGA54900,..,7,3,0,5,0,9,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,7,3,0,5,0,9,..,158,43,63,34,7,306,..,..,..,0,0,6,6,..,..,..,..,..,0,0,..,158,43,63,34,6,309
LGA54970,..,24,13,7,4,11,60,..,..,..,4,5,4,7,..,..,..,..,..,0,0,..,24,13,14,8,16,71,..,34,8,5,0,0,48,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,34,8,5,0,0,48
LGA55040,..,7,8,4,10,8,35,..,..,..,0,0,3,3,..,..,..,..,..,0,0,..,7,8,4,6,9,41,..,90,27,29,12,5,166,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,90,27,36,12,5,169
LGA55110,..,294,230,185,128,77,920,..,..,..,18,28,40,78,..,..,..,..,..,0,0,..,294,230,202,151,118,1000,..,12571,4442,4051,1545,532,23142,..,..,..,231,259,366,851,..,..,..,..,..,35,35,..,12571,4442,4279,1807,932,24029
LGA55180,..,29,33,29,14,11,105,..,..,..,0,0,0,3,..,..,..,..,..,0,0,..,29,33,29,13,8,110,..,1263,374,341,159,54,2179,..,..,..,11,13,19,47,..,..,..,..,..,0,0,..,1263,374,350,170,74,2233
LGA55250,..,34,28,14,8,14,95,..,..,..,3,0,14,21,..,..,..,..,..,0,0,..,34,28,13,10,20,114,..,36,12,3,4,0,62,..,..,..,4,4,3,3,..,..,..,..,..,0,0,..,36,12,5,3,3,65
LGA55320,..,116,77,81,41,14,324,..,..,..,6,4,18,27,..,..,..,..,..,0,0,..,116,77,88,42,29,353,..,12129,5838,6519,2265,516,27263,..,..,..,240,316,443,995,..,..,..,..,..,29,29,..,12129,5838,6756,2579,987,28284
LGA55390,..,4,0,4,3,0,15,..,..,..,3,0,4,5,..,..,..,..,..,0,0,..,4,0,4,3,9,24,..,14,4,0,0,0,15,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,14,4,0,0,0,15
LGA55460,..,24,17,13,5,3,55,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,24,17,13,5,6,56,..,385,123,110,62,17,694,..,..,..,0,0,3,3,..,..,..,..,..,0,0,..,385,123,110,62,20,701
LGA55530,..,7,0,0,0,0,8,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,7,0,0,0,0,8,..,48,10,17,13,0,92,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,48,10,23,13,0,94
LGA55600,..,25,17,13,7,12,74,..,..,..,7,0,0,11,..,..,..,..,..,0,0,..,25,17,21,10,7,83,..,258,79,92,31,9,459,..,..,..,4,9,0,8,..,..,..,..,..,6,6,..,258,79,88,40,8,475
LGA55670,..,3,6,0,0,0,10,..,..,..,0,0,6,6,..,..,..,..,..,0,0,..,3,6,0,0,6,24,..,68,14,13,11,10,112,..,..,..,0,0,4,5,..,..,..,..,..,0,0,..,68,14,13,11,9,119
LGA55740,..,5,5,3,8,0,23,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,5,5,3,8,0,23,..,977,452,518,221,38,2197,..,..,..,22,20,15,63,..,..,..,..,..,0,0,..,977,452,540,239,58,2259
LGA55810,..,11,4,0,0,0,20,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,11,4,0,0,0,20,..,35,7,7,4,0,55,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,35,7,7,4,0,55
LGA55880,..,5,0,0,0,0,10,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,5,0,0,0,0,10,..,49,16,16,17,0,99,..,..,..,4,0,0,8,..,..,..,..,..,0,0,..,49,16,20,17,6,104
LGA55950,..,0,0,0,0,0,6,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,0,0,0,0,3,12,..,85,15,28,8,3,139,..,..,..,4,0,3,3,..,..,..,..,..,0,0,..,85,15,30,8,9,144
LGA56090,..,102,70,61,44,31,313,..,..,..,7,11,10,32,..,..,..,..,..,0,0,..,102,70,76,58,51,347,..,4707,2095,2016,825,231,9873,..,..,..,144,155,224,524,..,..,..,..,..,21,21,..,4707,2095,2164,978,475,10416
LGA56160,..,0,0,0,3,0,6,..,..,..,0,0,4,4,..,..,..,..,..,0,0,..,0,0,0,3,4,12,..,10,4,0,0,0,14,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,10,4,0,0,3,16
LGA56230,..,73,40,37,27,9,183,..,..,..,10,6,6,18,..,..,..,..,..,0,0,..,73,40,44,29,15,203,..,2403,847,791,338,157,4535,..,..,..,88,62,97,255,..,..,..,..,..,5,5,..,2403,847,884,396,262,4790
LGA56300,..,13,0,3,0,0,18,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,13,0,3,0,0,22,..,248,64,40,17,9,376,..,..,..,4,4,0,5,..,..,..,..,..,0,0,..,248,64,42,18,9,383
LGA56370,..,0,0,3,0,0,6,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,0,0,3,0,0,6,..,103,33,24,13,4,183,..,..,..,0,0,0,3,..,..,..,..,..,0,0,..,103,33,30,14,4,182
LGA56460,..,25,18,20,8,10,76,..,..,..,5,0,0,5,..,..,..,..,..,0,0,..,25,18,21,8,10,75,..,581,200,158,84,23,1045,..,..,..,3,10,12,23,..,..,..,..,..,4,4,..,581,200,162,95,38,1068
LGA56580,..,7,10,8,4,0,31,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,7,10,8,4,0,36,..,2283,1079,1540,694,134,5738,..,..,..,48,45,70,159,..,..,..,..,..,4,4,..,2283,1079,1585,745,209,5905
LGA56620,..,43,47,31,33,21,176,..,..,..,9,21,63,91,..,..,..,..,..,34,34,..,43,47,40,52,120,299,..,18,0,6,0,0,20,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,18,0,6,0,0,20
LGA56730,..,63,48,47,18,27,204,..,..,..,4,0,14,19,..,..,..,..,..,4,4,..,63,48,51,22,50,229,..,1343,458,407,194,86,2488,..,..,..,41,26,40,105,..,..,..,..,..,3,3,..,1343,458,445,218,129,2601
LGA56790,..,9,9,17,8,4,45,..,..,..,0,3,0,3,..,..,..,..,..,8,8,..,9,9,17,10,14,55,..,503,97,78,46,14,741,..,..,..,0,0,7,11,..,..,..,..,..,0,0,..,503,97,78,50,25,752
LGA56860,..,0,0,0,0,0,4,..,..,..,0,0,3,3,..,..,..,..,..,0,0,..,0,0,0,0,3,3,..,34,17,0,4,0,55,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,34,17,0,4,0,55
LGA56930,..,0,0,0,0,0,0,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,0,0,0,0,0,0,..,168,81,74,44,22,394,..,..,..,0,0,10,12,..,..,..,..,..,6,6,..,168,81,82,44,28,410
LGA57000,..,3,0,0,0,0,7,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,3,0,0,0,0,7,..,45,8,11,11,3,87,..,..,..,0,0,0,6,..,..,..,..,..,0,0,..,45,8,15,11,3,89
LGA57080,..,50,15,3,0,0,67,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,50,15,3,0,0,70,..,4050,1094,469,114,24,5747,..,..,..,22,15,13,47,..,..,..,..,..,6,6,..,4050,1094,487,125,39,5794
LGA57140,..,8,9,6,5,3,24,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,8,9,6,5,3,33,..,155,40,31,16,8,248,..,..,..,0,0,3,3,..,..,..,..,..,0,0,..,155,40,31,16,11,248
LGA57210,..,18,17,10,10,4,64,..,..,..,4,0,0,3,..,..,..,..,..,0,0,..,18,17,16,10,3,72,..,755,235,175,78,46,1284,..,..,..,16,17,27,61,..,..,..,..,..,0,0,..,755,235,195,94,71,1352
LGA57280,..,261,180,145,99,80,767,..,..,..,12,9,44,74,..,..,..,..,..,6,6,..,261,180,161,106,129,843,..,1047,576,593,275,102,2595,..,..,..,17,19,27,60,..,..,..,..,..,3,3,..,1047,576,607,296,136,2661
LGA57350,..,10,3,3,0,0,23,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,10,3,3,0,0,23,..,125,19,28,11,5,183,..,..,..,0,0,3,3,..,..,..,..,..,0,0,..,125,19,27,11,9,190
LGA57420,..,23,8,5,3,0,38,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,23,8,5,3,0,36,..,266,73,73,39,13,466,..,..,..,0,0,3,3,..,..,..,..,..,0,0,..,266,73,73,39,15,465
LGA57490,..,336,313,306,185,120,1256,..,..,..,17,34,39,88,..,..,..,..,..,0,0,..,336,313,319,221,159,1345,..,14407,7612,7512,3106,1175,33809,..,..,..,428,433,632,1490,..,..,..,..,..,78,78,..,14407,7612,7944,3533,1882,35375
LGA57630,..,0,0,0,0,0,0,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,0,0,0,0,0,0,..,15,0,0,0,0,19,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,15,0,0,0,0,19
LGA57700,..,83,66,81,48,34,322,..,..,..,0,8,13,25,..,..,..,..,..,0,0,..,83,66,79,61,52,347,..,2949,1712,1901,868,390,7820,..,..,..,132,164,290,591,..,..,..,..,..,35,35,..,2949,1712,2031,1033,715,8445
LGA57770,..,22,3,5,0,3,39,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,22,3,5,0,3,39,..,107,25,28,6,4,173,..,..,..,4,0,3,3,..,..,..,..,..,0,0,..,107,25,30,6,4,176
LGA57840,..,65,29,33,14,8,161,..,..,..,5,0,3,9,..,..,..,..,..,0,0,..,65,29,35,14,12,170,..,5657,2247,2104,646,141,10797,..,..,..,69,71,80,225,..,..,..,..,..,13,13,..,5657,2247,2175,721,229,11029
LGA57910,..,370,211,163,75,32,848,..,..,..,19,15,24,52,..,..,..,..,..,4,4,..,370,211,179,89,60,906,..,26615,12844,12277,3801,1129,56658,..,..,..,539,598,893,2032,..,..,..,..,..,81,81,..,26615,12844,12814,4403,2110,58776
LGA57980,..,25,8,12,7,0,46,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,25,8,12,7,0,45,..,2235,876,875,264,41,4294,..,..,..,22,18,29,59,..,..,..,..,..,5,5,..,2235,876,899,279,80,4364
LGA58050,..,452,420,397,212,157,1630,..,..,..,32,37,102,172,..,..,..,..,..,15,15,..,452,420,428,247,272,1820,..,14507,8887,8751,3415,1531,37084,..,..,..,492,652,1102,2248,..,..,..,..,..,168,168,..,14507,8887,9242,4067,2799,39503
LGA58190,..,3,0,3,0,0,12,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,3,0,3,0,0,12,..,35,17,12,13,6,79,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,35,17,12,13,5,79
LGA58260,..,9,6,0,0,0,15,..,..,..,0,0,3,3,..,..,..,..,..,0,0,..,9,6,0,0,4,22,..,63,17,30,12,0,113,..,..,..,5,6,8,8,..,..,..,..,..,0,0,..,63,17,34,14,8,127
LGA58330,..,12,10,8,11,3,42,..,..,..,0,6,3,8,..,..,..,..,..,0,0,..,12,10,8,13,10,52,..,735,188,138,70,26,1157,..,..,..,3,15,33,52,..,..,..,..,..,0,0,..,735,188,142,85,58,1202
LGA58400,..,0,0,0,0,0,0,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,0,0,0,0,0,0,..,47,15,4,0,3,63,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,47,15,4,0,0,65
LGA58470,..,9,3,5,0,5,17,..,..,..,0,0,5,5,..,..,..,..,..,4,4,..,9,3,5,0,9,25,..,5,0,0,3,0,14,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,5,0,0,3,5,16
LGA58510,..,86,51,26,9,9,190,..,..,..,4,0,7,10,..,..,..,..,..,0,0,..,86,51,29,17,12,199,..,4500,1971,1606,409,112,8599,..,..,..,69,40,80,187,..,..,..,..,..,9,9,..,4500,1971,1673,447,196,8791
LGA58540,..,3,0,0,0,0,6,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,3,0,0,0,0,6,..,108,22,36,16,5,190,..,..,..,5,0,3,7,..,..,..,..,..,0,0,..,108,22,42,16,5,200
LGA58570,..,75,23,14,0,3,111,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,75,23,15,0,6,118,..,4673,1797,1772,448,71,8761,..,..,..,52,42,46,137,..,..,..,..,..,7,7,..,4673,1797,1825,490,123,8901
LGA58610,..,4,4,0,0,3,13,..,..,..,0,0,0,3,..,..,..,..,..,0,0,..,4,4,4,0,6,14,..,257,52,57,28,14,405,..,..,..,6,0,0,7,..,..,..,..,..,0,0,..,257,52,54,30,22,411
LGA58680,..,0,0,0,0,0,7,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,0,0,0,0,0,7,..,80,20,14,10,3,130,..,..,..,0,5,0,5,..,..,..,..,..,0,0,..,80,20,14,13,3,135
LGA58760,..,335,360,315,187,156,1351,..,..,..,33,34,66,131,..,..,..,..,..,10,10,..,335,360,346,220,230,1492,..,19896,12597,13324,5170,2006,53001,..,..,..,815,900,1383,3095,..,..,..,..,..,134,134,..,19896,12597,14133,6074,3527,56225
LGA58820,..,17,11,10,9,4,53,..,..,..,0,0,8,9,..,..,..,..,..,0,0,..,17,11,10,6,14,58,..,565,166,165,85,29,1017,..,..,..,9,7,34,52,..,..,..,..,..,0,0,..,565,166,174,94,64,1071
LGA58890,..,8,0,4,3,0,10,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,8,0,4,3,0,10,..,112,24,32,16,3,190,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,112,24,32,16,3,190
LGA59030,..,0,0,0,0,0,0,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,0,0,0,0,0,0,..,41,7,12,6,0,61,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,41,7,12,6,6,66
LGA59100,..,0,4,0,0,3,3,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,0,4,0,0,3,3,..,91,21,18,16,6,155,..,..,..,0,0,0,8,..,..,..,..,..,0,0,..,91,21,18,22,6,156
LGA59170,..,3,0,0,0,0,8,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,3,0,0,0,0,8,..,132,33,47,26,6,247,..,..,..,11,0,0,8,..,..,..,..,..,0,0,..,132,33,54,24,6,258
LGA59250,..,7,6,0,0,6,25,..,..,..,0,10,0,10,..,..,..,..,..,4,4,..,7,6,0,9,8,36,..,22,0,0,0,0,22,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,22,0,0,0,0,22
LGA59310,..,12,5,4,6,0,23,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,12,5,4,6,4,29,..,173,46,48,26,7,301,..,..,..,4,0,0,7,..,..,..,..,..,0,0,..,173,46,50,26,14,310
LGA59320,..,0,0,0,0,0,0,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,0,0,0,0,0,0,..,53,21,23,11,4,112,..,..,..,0,0,3,3,..,..,..,..,..,0,0,..,53,21,23,11,8,112
LGA59330,..,6,0,4,0,0,12,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,6,0,4,0,0,12,..,56,17,15,6,0,93,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,56,17,15,6,0,93
LGA59340,..,146,126,104,72,70,522,..,..,..,24,16,83,121,..,..,..,..,..,24,24,..,146,126,125,84,185,673,..,442,182,150,73,15,866,..,..,..,8,9,20,40,..,..,..,..,..,3,3,..,442,182,159,84,41,906
LGA59350,..,0,5,3,0,0,14,..,..,..,0,0,0,0,..,..,..,..,..,3,3,..,0,5,3,0,8,18,..,11,3,0,0,0,16,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,11,3,0,0,0,16
LGA59360,..,9,0,0,0,0,8,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,9,0,0,0,0,8,..,125,26,38,8,4,197,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,125,26,38,8,4,203
LGA59370,..,14,13,10,0,7,43,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,14,13,10,3,7,46,..,551,143,98,50,16,858,..,..,..,7,3,20,29,..,..,..,..,..,0,0,..,551,143,106,59,32,879
LGA59499,..,0,0,0,0,0,0,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,0,0,0,0,0,0,..,0,0,0,0,0,0,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,0,0,0,0,0,0
LGA59799,..,0,0,0,0,0,0,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,0,0,0,0,0,0,..,0,0,0,0,0,0,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,0,0,0,0,0,0
