LGA_CODE_2021,IS_NS_25_34_PD_GD_GCL_F,IS_NS_25_34_BDL_F,IS_NS_25_34_ADip_DipL_F,IS_NS_25_34_Ct_III_IV_F,IS_NS_25_34_Ct_I_II_F,IS_NS_25_34_CL_nfd_F,IS_NS_25_34_LoE_NS_F,IS_NS_25_34_Tot_F,IS_NS_35_44_PD_GD_GCL_F,IS_NS_35_44_BDL_F,IS_NS_35_44_ADip_DipL_F,IS_NS_35_44_Ct_III_IV_F,IS_NS_35_44_Ct_I_II_F,IS_NS_35_44_CL_nfd_F,IS_NS_35_44_LoE_NS_F,IS_NS_35_44_Tot_F,IS_NS_45_54_PD_GD_GCL_F,IS_NS_45_54_BDL_F,IS_NS_45_54_ADip_DipL_F,IS_NS_45_54_Ct_III_IV_F,IS_NS_45_54_Ct_I_II_F,IS_NS_45_54_CL_nfd_F,IS_NS_45_54_LoE_NS_F,IS_NS_45_54_Tot_F,IS_NS_55_64_PD_GD_GCL_F,IS_NS_55_64_BDL_F,IS_NS_55_64_ADip_DipL_F,IS_NS_55_64_Ct_III_IV_F,IS_NS_55_64_Ct_I_II_F,IS_NS_55_64_CL_nfd_F,IS_NS_55_64_LoE_NS_F,IS_NS_55_64_Tot_F,IS_NS_65ov_PtgdDe_GdDp_GdCt_F,IS_NS_65ov_BDL_F,IS_NS_65ov_ADip_DipL_F,IS_NS_65ov_Ct_III_IV_F,IS_NS_65ov_Ct_I_II_F,IS_NS_65ov_CL_nfd_F,IS_NS_65ov_LoE_NS_F,IS_NS_65ov_Tot_F,IS_NS_Tot_PD_GD_GCL_F,IS_NS_Tot_BDL_F,IS_NS_Tot_ADip_DipL_F,IS_NS_Tot_Ct_III_IV_F,IS_NS_Tot_Ct_I_II_F,IS_NS_tot_CL_nfd_F,IS_NS_Tot_LoE_NS_F,IS_NS_Tot_Tot_F,Tot_15_19_PD_GD_GCL_F,Tot_15_19_BDL_F,Tot_15_19_ADip_DipL_F,Tot_15_19_Ct_III_IV_F,Tot_15_19_Ct_I_II_F,Tot_15_19_CL_nfd_F,Tot_15_19_LoE_NS_F,Tot_15_19_Tot_F,Tot_20_24_PD_GD_GCL_F,Tot_20_24_BDL_F,Tot_20_24_ADip_DipL_F,Tot_20_24_Ct_III_IV_F,Tot_20_24_Ct_I_II_F,Tot_20_24_CL_nfd_F,Tot_20_24_LoE_NS_F,Tot_20_24_Tot_F,Tot_25_34_PD_GD_GCL_F,Tot_25_34_BDL_F,Tot_25_34_ADip_DipL_F,Tot_25_34_Ct_III_IV_F,Tot_25_34_Ct_I_II_F,Tot_25_34_CL_nfd_F,Tot_25_34_LoE_NS_F,Tot_25_34_Tot_F,Tot_35_44_PD_GD_GCL_F,Tot_35_44_BDL_F,Tot_35_44_ADip_DipL_F,Tot_35_44_Ct_III_IV_F,Tot_35_44_Ct_I_II_F,Tot_35_44_CL_nfd_F,Tot_35_44_LoE_NS_F,Tot_35_44_Tot_F,Tot_45_54_PD_GD_GCL_F,Tot_45_54_BDL_F,Tot_45_54_ADip_DipL_F,Tot_45_54_Ct_III_IV_F,Tot_45_54_Ct_I_II_F,Tot_45_54_CL_nfd_F,Tot_45_54_LoE_NS_F,Tot_45_54_Tot_F,Tot_55_64_PD_GD_GCL_F,Tot_55_64_BDL_F,Tot_55_64_ADip_DipL_F,Tot_55_64_Ct_III_IV_F,Tot_55_64_Ct_I_II_F,Tot_55_64_CL_nfd_F,Tot_55_64_LoE_NS_F,Tot_55_64_Tot_F,Tot_65ov_PtgdDe_GdDp_GdCt_F,Tot_65ov_BDL_F,Tot_65ov_ADip_DipL_F,Tot_65ov_Ct_III_IV_F,Tot_65ov_Ct_I_II_F,Tot_65ov_CL_nfd_F,Tot_65ov_LoE_NS_F,Tot_65ov_Tot_F,Tot_Tot_PD_GD_GCL_F,Tot_Tot_BDL_F,Tot_Tot_ADip_DipL_F,Tot_Tot_Ct_III_IV_F,Tot_Tot_Ct_I_II_F,Tot_tot_CL_nfd_F,Tot_Tot_LoE_NS_F,Tot_Tot_Tot_F,Ind_15_19_PD_GD_GCL_P,Ind_15_19_BDL_P,Ind_15_19_ADip_DipL_P,Ind_15_19_Ct_III_IV_P,Ind_15_19_Ct_I_II_P,Ind_15_19_CL_nfd_P,Ind_15_19_LoE_NS_P,Ind_15_19_Tot_P,Ind_20_24_PD_GD_GCL_P,Ind_20_24_BDL_P,Ind_20_24_ADip_DipL_P,Ind_20_24_Ct_III_IV_P,Ind_20_24_Ct_I_II_P,Ind_20_24_CL_nfd_P,Ind_20_24_LoE_NS_P,Ind_20_24_Tot_P,Ind_25_34_PD_GD_GCL_P,Ind_25_34_BDL_P,Ind_25_34_ADip_DipL_P,Ind_25_34_Ct_III_IV_P,Ind_25_34_Ct_I_II_P,Ind_25_34_CL_nfd_P,Ind_25_34_LoE_NS_P,Ind_25_34_Tot_P,Ind_35_44_PD_GD_GCL_P,Ind_35_44_BDL_P,Ind_35_44_ADip_DipL_P,Ind_35_44_Ct_III_IV_P,Ind_35_44_Ct_I_II_P,Ind_35_44_CL_nfd_P,Ind_35_44_LoE_NS_P,Ind_35_44_Tot_P,Ind_45_54_PD_GD_GCL_P,Ind_45_54_BDL_P,Ind_45_54_ADip_DipL_P,Ind_45_54_Ct_III_IV_P,Ind_45_54_Ct_I_II_P,Ind_45_54_CL_nfd_P,Ind_45_54_LoE_NS_P,Ind_45_54_Tot_P,Ind_55_64_PD_GD_GCL_P,Ind_55_64_BDL_P,Ind_55_64_ADip_DipL_P,Ind_55_64_Ct_III_IV_P,Ind_55_64_Ct_I_II_P,Ind_55_64_CL_nfd_P,Ind_55_64_LoE_NS_P,Ind_55_64_Tot_P,Ind_65ov_PtgdDe_GdDp_GdCt_P,Ind_65ov_BDL_P,Ind_65ov_ADip_DipL_P,Ind_65ov_Ct_III_IV_P,Ind_65ov_Ct_I_II_P,Ind_65ov_CL_nfd_P,Ind_65ov_LoE_NS_P,Ind_65ov_Tot_P,Ind_Tot_PD_GD_GCL_P,Ind_Tot_BDL_P,Ind_Tot_ADip_DipL_P,Ind_Tot_Ct_III_IV_P,Ind_Tot_Ct_I_II_P,Ind_tot_CL_nfd_P,Ind_Tot_LoE_NS_P,Ind_Tot_Tot_P,NonI_15_19_PD_GD_GCL_P,NonI_15_19_BDL_P,NonI_15_19_ADip_DipL_P,NonI_15_19_Ct_III_IV_P,NonI_15_19_Ct_I_II_P,NonI_15_19_CL_nfd_P,NonI_15_19_LoE_NS_P,NonI_15_19_Tot_P,NonI_20_24_PD_GD_GCL_P,NonI_20_24_BDL_P,NonI_20_24_ADip_DipL_P,NonI_20_24_Ct_III_IV_P,NonI_20_24_Ct_I_II_P,NonI_20_24_CL_nfd_P,NonI_20_24_LoE_NS_P,NonI_20_24_Tot_P,NonI_25_34_PD_GD_GCL_P,NonI_25_34_BDL_P,NonI_25_34_ADip_DipL_P,NonI_25_34_Ct_III_IV_P,NonI_25_34_Ct_I_II_P,NonI_25_34_CL_nfd_P,NonI_25_34_LoE_NS_P,NonI_25_34_Tot_P
LGA50080,0,0,0,0,0,0,86,96,0,0,0,0,0,0,81,86,0,4,0,0,0,0,109,113,0,0,0,3,0,0,108,119,0,5,3,4,0,3,189,202,0,10,7,11,3,0,656,687,0,0,9,93,73,16,72,260,17,78,49,210,94,9,49,510,119,383,208,518,69,28,131,1472,161,482,302,460,52,37,144,1638,192,480,365,490,55,93,178,1849,213,406,404,406,50,113,230,1825,170,466,495,283,41,111,704,2274,878,2301,1836,2456,441,403,1520,9830,0,0,0,4,14,0,14,36,3,0,5,23,5,0,7,46,3,4,10,48,15,4,15,93,0,3,6,36,4,0,10,66,0,14,23,38,3,0,17,92,0,4,14,22,0,3,15,66,0,4,0,10,0,3,13,34,8,31,59,190,39,10,90,428,0,0,15,189,159,15,35,415,25,103,73,461,145,20,38,863,186,551,317,1275,102,43,87,2559
LGA50210,0,3,4,0,0,0,324,333,0,3,0,0,0,0,295,299,0,0,4,4,0,4,212,219,0,0,0,3,0,0,154,163,0,0,6,3,0,0,188,204,0,11,12,17,4,0,1419,1462,4,0,20,219,139,26,168,567,34,280,210,632,159,48,182,1549,653,1797,841,1489,180,103,528,5589,949,2060,1044,1308,116,161,533,6163,423,895,718,905,90,167,366,3564,226,492,600,656,88,128,360,2552,141,430,460,406,62,149,791,2447,2433,5961,3899,5615,828,778,2927,22439,0,0,0,14,11,0,17,35,0,0,11,50,18,3,8,99,3,20,34,131,22,14,21,232,6,14,25,67,0,5,20,137,5,12,27,43,0,0,10,98,3,3,19,30,0,0,14,77,4,4,4,13,0,5,8,35,27,54,115,345,54,23,107,718,5,0,33,377,261,35,94,805,51,468,331,1167,293,74,126,2506,948,2684,1441,3421,305,149,360,9302
LGA50250,0,0,0,0,0,0,109,113,0,0,0,0,0,0,94,94,0,0,0,0,0,0,58,64,0,0,0,0,0,0,41,41,0,0,0,0,0,0,14,14,0,0,0,0,0,0,368,371,0,0,0,10,3,0,26,42,0,17,7,35,11,5,39,113,33,122,68,133,17,10,117,504,30,97,65,115,8,8,108,439,19,37,43,53,5,5,74,232,14,20,30,39,4,10,55,164,3,13,5,11,0,4,25,52,91,306,224,392,46,36,443,1538,0,0,0,0,3,0,9,9,0,0,3,15,4,0,4,26,0,8,0,40,6,4,9,60,0,0,9,39,4,0,0,64,4,0,3,14,0,0,9,34,0,0,3,6,0,0,3,22,0,0,0,3,0,0,0,10,7,13,18,125,19,8,34,227,0,0,0,15,11,0,10,29,0,26,8,75,10,3,11,140,57,175,105,434,20,11,25,821
LGA50280,0,0,0,0,0,0,61,62,0,0,0,0,0,0,93,99,0,0,0,0,0,0,94,96,0,3,0,0,0,0,63,62,0,0,0,0,0,0,72,79,0,13,5,3,0,0,426,447,0,0,6,22,13,0,29,65,3,19,10,43,13,0,24,111,59,291,103,135,18,21,87,716,149,418,168,245,19,36,146,1181,90,289,177,180,24,39,132,935,95,192,175,146,19,41,100,762,93,212,199,77,20,26,216,844,488,1419,843,853,120,169,725,4611,0,0,0,0,3,0,0,3,0,0,0,5,7,0,0,3,0,4,0,7,0,0,0,13,0,4,0,18,0,0,5,24,0,3,0,7,0,0,4,15,0,0,0,3,0,0,0,6,0,0,0,5,0,0,5,9,3,10,10,44,7,0,6,84,0,0,6,32,27,5,23,98,3,25,15,107,24,11,11,200,101,431,166,416,22,25,50,1207
LGA50350,0,0,0,0,0,0,48,51,0,0,0,0,0,0,38,43,0,0,0,4,0,0,58,60,0,0,0,0,0,0,41,45,0,0,0,0,0,0,58,62,4,0,0,5,4,0,272,286,0,0,0,27,11,4,15,53,9,73,29,65,28,7,24,238,132,385,113,178,24,5,80,917,206,376,131,181,23,28,66,1005,157,242,137,131,15,33,77,790,107,153,133,118,4,44,80,641,57,129,124,91,14,34,182,638,667,1361,673,790,118,156,518,4287,0,0,0,0,0,0,3,7,0,0,0,6,6,0,6,20,0,7,6,16,4,0,4,33,3,3,0,8,3,0,0,17,0,5,4,4,0,3,0,19,0,0,0,3,0,0,0,12,0,0,0,0,0,0,0,7,11,16,12,48,10,6,12,116,0,0,0,45,26,3,8,89,17,121,52,145,43,12,16,409,214,656,208,423,39,8,58,1612
LGA50420,0,0,0,3,0,0,232,232,0,0,0,0,0,0,192,200,0,0,0,0,0,0,122,124,0,0,0,0,0,4,92,92,0,0,0,0,0,0,257,266,3,10,4,10,0,4,1009,1041,0,0,13,86,51,7,74,239,54,442,187,299,90,25,114,1209,929,2154,615,732,75,59,375,4936,964,1716,613,573,58,101,347,4370,568,1014,558,532,56,121,253,3109,330,605,504,401,71,137,255,2294,268,577,548,334,59,200,740,2717,3113,6511,3040,2948,461,644,2159,18869,0,0,4,7,0,0,0,12,0,8,0,19,7,0,4,48,4,25,5,52,9,7,4,108,5,9,13,32,0,0,11,77,10,12,8,21,4,0,7,58,0,11,6,10,0,0,11,39,0,6,10,4,0,3,3,27,21,69,48,156,19,15,42,374,0,0,29,157,117,17,37,360,100,734,375,608,161,35,106,2118,1511,3767,1178,1872,133,107,285,8858
LGA50490,0,0,0,0,0,0,249,257,0,0,0,5,0,0,182,185,0,0,0,0,0,0,114,123,0,0,0,0,0,0,105,108,0,3,0,0,0,0,108,112,3,0,0,7,0,0,892,907,0,0,8,66,49,3,57,185,42,263,135,263,69,13,133,918,539,1361,484,514,50,47,386,3382,460,934,382,376,30,61,283,2528,228,442,333,274,29,64,215,1591,116,268,272,213,30,75,210,1180,79,230,219,177,31,73,483,1292,1467,3493,1836,1874,296,334,1768,11081,0,0,0,12,6,0,5,23,0,4,7,25,9,0,7,51,6,13,12,64,11,4,14,122,4,22,9,21,0,5,11,68,4,4,13,20,5,4,12,60,0,7,12,20,0,0,16,48,6,5,3,4,0,4,12,34,18,55,56,161,35,14,69,411,0,3,22,126,93,4,27,280,65,458,275,515,125,33,104,1566,962,2414,946,1297,108,80,269,6075
LGA50560,0,0,0,0,0,0,8,8,0,0,0,0,0,0,7,7,0,0,0,0,0,0,11,15,0,0,0,0,0,0,17,21,0,0,0,0,0,0,23,20,0,0,0,0,0,0,75,76,0,0,0,4,0,0,3,10,0,4,0,5,0,0,7,13,6,9,6,13,0,0,8,42,3,17,13,14,4,0,12,62,3,18,12,18,3,0,13,72,3,15,11,14,0,5,23,75,3,23,27,13,0,5,43,114,23,86,66,80,10,16,112,397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,4,0,8,0,0,5,14,0,0,0,9,0,0,4,9,0,4,0,8,0,0,3,8,4,18,8,36,7,0,5,73
LGA50630,0,0,0,0,0,0,6,5,0,0,0,0,0,0,12,8,0,0,0,0,0,0,14,14,0,0,0,0,0,0,6,6,0,0,0,0,0,0,9,9,0,0,0,3,0,0,50,55,0,0,0,4,4,0,4,12,0,8,3,0,4,0,5,19,0,15,5,27,5,4,8,67,6,23,10,15,3,0,11,78,0,11,6,16,3,6,19,58,0,7,17,19,0,3,14,62,7,16,15,3,6,4,26,74,23,77,56,87,25,17,92,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,9,0,0,4,15,0,0,0,3,4,0,0,10,0,8,3,8,7,0,0,27,0,25,7,60,6,3,4,110
LGA50770,0,0,0,0,0,0,9,9,0,0,0,0,0,0,17,19,0,0,0,0,0,0,15,15,0,0,0,0,0,0,9,16,0,0,0,0,0,0,26,26,0,0,0,0,0,0,76,80,0,0,0,8,3,3,6,15,0,0,0,6,7,0,4,20,0,16,4,20,0,4,4,58,5,43,15,21,0,4,19,102,3,22,15,21,0,3,16,83,4,15,15,22,0,4,17,74,10,13,20,8,0,10,39,104,22,113,71,110,10,24,108,453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,16,0,0,0,10,3,3,5,18,0,3,0,22,9,0,0,28,0,27,7,40,4,4,3,81
