LGA_CODE_2021,OEI_IndSt_nsP,OEI_TotM,OEI_TotF,OEI_TotP,T_EI_ns_Ind_M,T_EI_ns_Ind_F,T_EI_ns_Ind_P,T_EI_ns_NonInd_M,T_EI_ns_NonInd_F,T_EI_ns_NonInd_P,T_EI_ns_IndSt_nsM,T_EI_ns_IndSt_nsF,T_EI_ns_IndSt_nsP,T_EI_ns_TotM,T_EI_ns_TotF,T_EI_ns_TotP,Tot_Indig_M,Tot_Indig_F,Tot_Indig_P,Tot_NonInd_M,Tot_NonInd_F,Tot_NonInd_P,Tot_IndigStat_nsM,Tot_IndigStat_nsF,Tot_IndigStat_nsP,Tot_TotM,Tot_TotF,Tot_TotP
LGA53290,0,27,33,60,19,5,23,91,92,180,694,584,1274,798,675,1476,122,106,225,1276,1406,2684,706,593,1299,2100,2105,4205
LGA53360,0,12,8,20,10,0,9,27,24,57,143,106,250,185,132,317,17,16,34,268,284,550,151,111,267,434,415,854
LGA53430,0,113,160,274,15,4,17,183,233,411,906,701,1608,1101,940,2037,104,111,212,3139,3742,6876,918,705,1622,4155,4552,8711
LGA53570,0,11,14,24,3,0,3,52,45,94,223,147,366,276,191,466,27,18,45,413,488,904,237,146,383,678,655,1335
LGA53640,0,4,3,12,0,0,3,8,8,19,49,40,82,54,50,102,10,16,28,100,97,198,49,37,88,155,157,312
LGA53710,0,0,0,0,0,0,6,13,4,14,51,45,92,61,52,109,8,9,13,82,83,169,51,45,92,137,137,273
LGA53780,4,639,768,1406,380,136,513,1438,930,2371,2527,2124,4646,4342,3187,7535,869,666,1534,17172,17462,34628,2577,2165,4742,20621,20292,40907
LGA53800,0,112,157,266,226,107,330,208,161,372,1641,1472,3110,2076,1739,3812,829,721,1548,3598,4040,7637,1664,1498,3162,6098,6256,12350
LGA53920,0,0,0,3,121,110,232,8,5,13,137,115,254,266,234,499,452,405,852,22,31,55,144,122,265,613,559,1175
LGA53990,0,102,96,197,6,11,13,154,131,281,689,490,1184,847,630,1478,169,161,327,3292,3377,6672,703,508,1214,4169,4048,8216
LGA54060,0,8,10,17,0,0,4,27,26,51,194,152,351,226,178,400,22,32,50,279,309,586,199,159,348,496,493,986
LGA54130,0,0,4,4,0,0,3,9,3,16,49,45,96,59,53,115,12,4,12,93,106,197,49,45,96,150,153,311
LGA54170,5,544,757,1303,11,4,20,482,565,1045,2349,1615,3960,2844,2190,5028,267,279,548,20433,20930,41370,2403,1683,4084,23112,22891,45999
LGA54200,5,204,266,470,27,30,59,259,278,541,1096,831,1931,1387,1136,2521,291,296,585,6934,7262,14196,1122,850,1971,8347,8413,16762
LGA54280,0,106,124,237,244,100,351,192,143,336,1397,1077,2473,1831,1322,3157,552,419,972,3124,3153,6271,1407,1086,2492,5077,4652,9731
LGA54310,0,54,82,135,201,54,251,109,72,182,1926,1344,3272,2237,1467,3702,573,405,976,2291,2311,4603,1945,1354,3301,4811,4070,8880
LGA54340,0,8,15,26,10,12,24,51,36,90,176,141,312,234,192,430,55,63,116,361,372,733,179,150,330,593,585,1179
LGA54410,0,3,0,0,0,0,3,3,9,14,59,50,108,66,61,123,10,7,14,69,83,152,62,52,110,141,134,277
LGA54480,0,0,0,0,0,0,0,0,0,4,27,24,49,31,23,52,0,0,0,57,50,106,30,29,51,84,74,156
LGA54550,0,0,0,4,3,5,10,17,19,32,60,58,123,84,81,169,14,21,36,167,187,357,60,60,124,241,265,510
LGA54620,0,0,7,8,0,0,0,13,3,11,44,42,89,56,48,101,11,6,16,53,58,115,44,42,89,112,116,226
LGA54690,0,3,0,3,0,0,0,5,0,4,7,0,5,13,0,11,0,3,9,42,24,66,7,0,5,47,32,80
LGA54760,0,0,0,5,0,0,0,0,0,5,43,33,80,45,39,85,3,5,10,60,85,147,43,33,80,100,126,226
LGA54830,3,211,293,509,508,12,523,922,202,1128,1077,815,1889,2511,1029,3543,806,292,1096,6258,5871,12123,1094,836,1924,8160,6993,15150
LGA54900,0,0,3,3,0,0,0,12,0,12,41,30,76,48,34,80,5,6,9,111,106,215,41,30,76,153,145,298
LGA54970,0,0,0,4,4,4,10,4,4,8,351,104,455,365,112,472,50,36,87,36,17,50,355,104,457,436,158,596
LGA55040,0,7,4,14,0,9,14,12,4,20,346,124,471,359,143,502,29,23,50,106,91,193,346,124,471,474,242,722
LGA55110,5,282,448,731,36,33,69,644,772,1411,2281,1775,4056,2958,2572,5532,515,561,1083,8888,10147,19030,2318,1818,4140,11726,12527,24255
LGA55180,0,18,32,53,0,3,8,48,47,99,310,287,594,365,337,697,56,68,123,787,782,1572,309,293,607,1160,1138,2294
LGA55250,0,3,0,3,17,33,55,4,4,7,155,82,234,179,117,293,72,84,154,25,20,51,153,83,237,244,189,436
LGA55320,0,301,456,750,15,35,50,374,446,821,1497,1254,2749,1885,1732,3622,177,203,378,13365,14090,27458,1528,1283,2807,15065,15576,30643
LGA55390,0,0,0,0,3,0,3,10,0,10,129,19,147,137,19,161,16,13,24,21,0,21,129,19,147,158,36,196
LGA55460,0,4,3,9,8,9,18,16,25,38,172,139,316,197,169,371,29,34,67,278,292,571,175,139,323,484,468,953
LGA55530,0,0,0,0,0,0,0,3,5,6,35,27,61,35,32,67,0,4,7,35,29,65,37,26,59,71,56,128
LGA55600,0,0,6,9,4,8,12,15,12,31,118,114,230,141,138,280,43,54,94,167,197,366,123,116,234,338,363,702
