LGA_CODE_2021,M_Y12_equivalent_Indigenous,M_Y12_equivalent_Non_Indig,M_Y12_equiv_IndigStat_ns,M_Y12_equivalent_Tot,M_Y11_equivalent_Indigenous,M_Y11_equiv_Non_Indig,M_Y11_equiv_IndigStat_ns,M_Y11_equivalent_Tot,M_Y10_equivalent_Indigenous,M_Y10_equiv_Non_Indig,M_Y10_equiv_IndigStat_ns,M_Y10_equivalent_Tot,M_Y9_equivalent_Indigenous,M_Y9_equiv_Non_Indig,M_Y9_equiv_IndigStat_ns,M_Y9_equivalent_Tot,M_Y8_below_Indigenous,M_Y8_below_Non_Indig,M_Y8_below_IndigStat_ns,M_Y8_below_Tot,M_Did_not_go_to_school_Indig,M_Did_not_go_to_sch_Non_Indig,M_Di_no_go_to_sch_IndSt_ns,M_Did_not_go_to_school_Tot,M_Highest_yr_school_ns_Indig,M_Highest_yr_sch_ns_Non_Indig,M_Highe_yr_sch_ns_IndSt_ns,M_Highest_yr_school_ns_Tot,M_Tot_Indigenous,M_Tot_Non_Indigenous,M_Tot_IndigStat_ns,M_Tot_Tot,F_Y12_equivalent_Indigenous,F_Y12_equivalent_Non_Indig,F_Y12_equiv_IndigStat_ns,F_Y12_equivalent_Tot,F_Y11_equivalent_Indigenous,F_Y11_equiv_Non_Indig,F_Y11_equiv_IndigStat_ns,F_Y11_equivalent_Tot,F_Y10_equivalent_Indigenous,F_Y10_equiv_Non_Indig,F_Y10_equiv_IndigStat_ns,F_Y10_equivalent_Tot,F_Y9_equivalent_Indigenous,F_Y9_equiv_Non_Indig,F_Y9_equiv_IndigStat_ns,F_Y9_equivalent_Tot,F_Y8_below_Indigenous,F_Y8_below_Non_Indig,F_Y8_below_IndigStat_ns,F_Y8_below_Tot,F_Did_not_go_to_school_Indig,F_Did_not_go_to_sch_Non_Indig,F_Di_no_go_to_sch_IndSt_ns,F_Did_not_go_to_school_Tot,F_Highest_yr_school_ns_Indig,F_Highest_yr_sch_ns_Non_Indig,F_Highe_yr_sch_ns_IndSt_ns,F_Highest_yr_school_ns_Tot,F_Tot_Indigenous,F_Tot_Non_Indigenous,F_Tot_IndigStat_ns,F_Tot_Tot,P_Y12_equivalent_Indigenous,P_Y12_equivalent_Non_Indig,P_Y12_equiv_IndigStat_ns,P_Y12_equivalent_Tot,P_Y11_equivalent_Indigenous,P_Y11_equiv_Non_Indig,P_Y11_equiv_IndigStat_ns,P_Y11_equivalent_Tot,P_Y10_equivalent_Indigenous,P_Y10_equiv_Non_Indig,P_Y10_equiv_IndigStat_ns,P_Y10_equivalent_Tot,P_Y9_equivalent_Indigenous,P_Y9_equiv_Non_Indig,P_Y9_equiv_IndigStat_ns,P_Y9_equivalent_Tot,P_Y8_below_Indigenous,P_Y8_below_Non_Indig,P_Y8_below_IndigStat_ns,P_Y8_below_Tot,P_Did_not_go_to_school_Indig,P_Did_not_go_to_sch_Non_Indig,P_Di_no_go_to_sch_IndSt_ns,P_Did_not_go_to_school_Tot,P_Highest_yr_school_ns_Indig,P_Highest_yr_sch_ns_Non_Indig,P_Highe_yr_sch_ns_IndSt_ns,P_Highest_yr_school_ns_Tot,P_Tot_Indigenous,P_Tot_Non_Indigenous,P_Tot_IndigStat_ns,P_Tot_Tot
LGA50080,128,6081,36,6240,49,1551,11,1606,260,4223,26,4504,35,728,4,772,37,570,3,615,14,65,0,80,24,315,768,1108,550,13524,851,14931,117,7685,34,7833,67,1674,10,1752,150,3720,38,3907,32,605,9,638,22,451,10,479,4,67,0,73,31,363,637,1036,416,14570,740,15724,249,13766,63,14075,114,3221,25,3363,411,7941,67,8410,64,1333,15,1409,59,1023,15,1092,13,133,4,150,58,677,1413,2148,967,28092,1591,30655
LGA50210,243,17768,39,18054,109,3234,16,3368,243,7401,40,7675,75,1254,13,1342,40,743,3,792,13,213,0,222,39,529,1782,2355,768,31149,1892,33806,316,20149,54,20519,117,3209,22,3350,245,6881,37,7160,55,1146,16,1214,31,792,13,828,5,248,7,250,33,570,1388,1995,804,32992,1531,35330,563,37919,90,38573,231,6447,43,6717,485,14278,76,14839,130,2401,27,2562,72,1536,14,1621,14,459,6,477,75,1099,3168,4345,1568,64140,3422,69134
LGA50250,98,1173,7,1271,44,372,0,414,94,607,0,706,15,61,0,81,16,29,0,50,3,21,0,26,10,43,740,793,280,2307,752,3338,109,1010,6,1127,39,190,0,226,56,307,5,365,5,38,0,45,13,22,0,32,6,9,0,15,13,23,369,406,241,1595,379,2222,202,2186,13,2405,74,558,0,637,150,917,7,1068,24,102,0,124,29,46,0,78,13,30,0,38,28,68,1110,1198,521,3905,1128,5553
LGA50280,34,3306,11,3354,6,633,3,642,18,1317,15,1349,4,181,0,185,0,132,0,136,0,6,0,9,0,129,553,685,68,5709,581,6364,40,3981,26,4045,12,564,8,581,20,1073,10,1103,3,151,5,160,0,66,0,71,0,11,0,11,0,124,422,550,72,5968,470,6512,69,7294,40,7403,17,1197,9,1224,43,2390,20,2450,11,328,4,343,5,201,0,205,0,14,0,16,3,260,973,1238,145,11683,1052,12878
LGA50350,49,3447,9,3500,12,508,0,528,36,1153,9,1205,14,192,0,206,3,175,4,185,0,36,0,37,3,97,350,449,115,5621,373,6109,57,4017,7,4085,17,460,5,482,34,1151,7,1199,10,182,0,197,7,236,0,247,5,44,0,46,4,96,266,369,135,6186,300,6620,102,7461,16,7585,32,969,3,1003,77,2308,19,2402,24,378,0,403,9,421,4,431,3,81,0,87,9,191,617,817,254,11812,670,12733
LGA50420,161,17667,30,17858,38,2034,7,2081,79,4041,21,4143,18,785,11,816,30,865,4,891,5,232,0,237,11,417,1265,1685,338,26044,1336,27713,173,18503,36,18706,55,1803,4,1869,84,4201,18,4306,21,782,3,801,28,1162,0,1192,5,336,4,341,15,467,999,1486,383,27262,1069,28711,332,36166,65,36566,94,3842,15,3950,166,8241,39,8450,35,1571,16,1615,54,2023,4,2083,6,573,4,579,19,887,2266,3175,714,53299,2404,56421
LGA50490,139,10285,27,10458,56,1368,6,1428,100,2717,13,2831,23,514,5,537,22,461,0,481,3,176,0,183,14,378,1156,1549,356,15903,1213,17469,170,10418,23,10615,65,1185,8,1254,106,2492,11,2610,23,477,17,516,18,582,0,599,6,175,0,187,21,404,885,1306,412,15735,937,17088,315,20707,51,21073,118,2548,13,2684,201,5215,26,5438,48,986,17,1055,41,1043,0,1082,11,354,0,368,29,781,2038,2852,773,31639,2150,34560
LGA50560,5,257,3,261,4,63,0,66,10,200,0,211,3,57,0,63,3,41,0,46,0,0,0,0,0,14,91,108,23,635,91,750,7,296,0,303,0,63,0,68,8,180,5,190,0,38,0,39,0,22,0,21,0,0,0,0,3,9,75,85,15,612,83,710,8,550,4,565,0,131,0,130,16,379,3,398,6,94,4,100,5,66,0,64,0,0,0,0,5,25,165,193,38,1243,181,1460
LGA50630,6,228,0,236,3,77,0,78,10,197,0,204,0,39,0,39,0,13,0,18,0,0,0,0,0,21,61,87,22,579,64,667,10,253,0,266,10,80,0,86,8,153,0,156,0,28,0,32,0,11,0,7,0,4,0,4,0,18,51,67,20,551,55,626,12,482,6,504,8,156,0,170,12,347,5,364,0,65,0,71,4,29,0,28,0,4,0,4,0,42,116,158,42,1126,120,1296
LGA50770,0,288,0,292,0,67,0,67,5,187,0,194,0,48,0,49,0,22,0,23,0,4,0,4,0,10,66,76,11,622,82,711,10,330,0,338,0,57,0,57,0,167,0,171,0,37,0,38,0,16,0,16,0,0,0,0,0,13,76,84,12,622,82,717,8,617,4,640,6,117,3,121,4,353,8,367,0,81,4,85,0,39,4,45,0,3,0,3,0,21,142,165,22,1246,163,1425
