LGA_CODE_2021,VfDif_SA2_ACT_IndSt_nsP,VfDif_SA2_ACT_TotM,VfDif_SA2_ACT_TotF,VfDif_SA2_ACT_TotP,VfDif_SA2_OT_Indig_M,VfDif_SA2_OT_Indig_F,VfDif_SA2_OT_Indig_P,VfDif_SA2_OT_NonInd_M,VfDif_SA2_OT_NonInd_F,VfDif_SA2_OT_NonInd_P,VfDif_SA2_OT_IndSt_nsM,VfDif_SA2_OT_IndSt_nsF,VfDif_SA2_OT_IndSt_nsP,VfDif_SA2_OT_TotM,VfDif_SA2_OT_TotF,VfDif_SA2_OT_TotP,VfDif_SA2_T_DSA2_Indig_M,VfDif_SA2_T_DSA2_Indig_F,VfDif_SA2_T_DSA2_Indig_P,VfDif_SA2_T_DSA2_NonInd_M,VfDif_SA2_T_DSA2_NonInd_F,VfDif_SA2_T_DSA2_NonInd_P,VfDif_SA2_T_DSA2_IndSt_nsM,VfDif_SA2_T_DSA2_IndSt_nsF,VfDif_SA2_T_DSA2_IndSt_nsP,VfDif_SA2_T_DSA2_TotM,VfDif_SA2_T_DSA2_TotF,VfDif_SA2_T_DSA2_TotP,Vis_Tot_vis_Indig_M,Vis_Tot_vis_Indig_F,Vis_Tot_vis_Indig_P,Vis_Tot_vis_NonInd_M,Vis_Tot_vis_NonInd_F,Vis_Tot_vis_NonInd_P,Vis_Tot_vis_IndigStat_nsM,Vis_Tot_vis_IndigStat_nsF,Vis_Tot_vis_IndigStat_nsP,Vis_Tot_visitors_TotM,Vis_Tot_visitors_TotF,Vis_Tot_visitors_TotP,LuaH_Eng_onl_Indig_M,LuaH_Eng_onl_Indig_F,LuaH_Eng_onl_Indig_P,LuaH_Eng_onl_NonInd_M,LuaH_Eng_onl_NonInd_F,LuaH_Eng_onl_NonInd_P,LuaH_Eng_on_Ind_sta_nsM,LuaH_Eng_on_Ind_sta_nsF,LuaH_Eng_on_Ind_sta_nsP,LuaH_Eng_only_TotM,LuaH_Eng_only_TotF,LuaH_Eng_only_TotP,LuaH_Aus_Ind_Lang_Ind_M,LuaH_Aus_Ind_Lang_Ind_F,LuaH_Aus_Ind_Lang_Ind_P,LuaH_Aus_Ind_Lang_No_Ind_M,LuaH_Aus_Ind_Lang_No_Ind_F,LuaH_Aus_Ind_Lang_No_Ind_P,Luah_Aus_Ind_Lang_IndSt_nsM,Luah_Aus_Ind_Lang_IndSt_nsF,Luah_Aus_Ind_Lang_IndSt_nsP,Luah_Austn_Indig_Lang_TotM,Luah_Austn_Indig_Lang_TotF,Luah_Austn_Indig_Lang_TotP,LuaH_Oth_Lang_Ind_M,LuaH_Oth_Lang_Ind_F,LuaH_Oth_Lang_Ind_P,LuaH_Oth_Lang_No_Ind_M,LuaH_Oth_Lang_No_Ind_F,LuaH_Oth_Lang_No_Ind_P,Luah_Oth_Lang_IndSt_nsM,Luah_Oth_Lang_IndSt_nsF,Luah_Oth_Lang_IndSt_nsP,Luah_Oth_Lang_TotM,Luah_Oth_Lang_TotF,Luah_Oth_Lang_TotP,UAIndL_SE_Nw_Na_In_M,UAIndL_SE_Nw_Na_In_F,UAIndL_SE_Nw_Na_In_P,UAIndL_SE_Nw_Na_No_In_M,UAIndL_SE_Nw_Na_No_In_F,UAIndL_SE_Nw_Na_No_In_P,UAIndL_SE_Nw_Na_In_st_nsM,UAIndL_SE_Nw_Na_In_st_nsF,UAIndL_SE_Nw_Na_In_st_nsP,UAIndL_SE_Nw_Na_TotM,UAIndL_SE_Nw_Na_TotF,UAIndL_SE_Nw_Na_TotP,UAIndL_SE_Vw_wel_In_M,UAIndL_SE_Vw_wel_In_F,UAIndL_SE_Vw_wel_In_P,UAIndL_SE_Vw_we_No_In_M,UAIndL_SE_Vw_we_No_In_F,UAIndL_SE_Vw_we_No_In_P,UAIndL_SE_Vw_we_I_st_nsM,UAIndL_SE_Vw_we_I_st_nsF,UAIndL_SE_Vw_we_I_st_nsP,UAIndL_SE_Vw_we_TotM,UAIndL_SE_Vw_we_TotF,UAIndL_SE_Vw_we_TotP,Rel_a_Bud_Ind_M,Rel_a_Bud_Ind_F,Rel_a_Bud_Ind_P,Rel_a_Bud_No_In_M,Rel_a_Bud_No_In_F,Rel_a_Bud_No_In_P,Rel_a_Bud_In_st_nsM,Rel_a_Bud_In_st_nsF,Rel_a_Bud_In_st_nsP,Rel_a_Bud_TotM,Rel_a_Bud_TotF,Rel_a_Bud_TotP,Rel_a_Chri_Ind_M,Rel_a_Chri_Ind_F,Rel_a_Chri_Ind_P,Rel_a_Chri_No_In_M,Rel_a_Chri_No_In_F,Rel_a_Chri_No_In_P,Rel_a_Chri_In_st_nsM,Rel_a_Chri_In_st_nsF,Rel_a_Chri_In_st_nsP,Rel_a_Chri_TotM,Rel_a_Chri_TotF,Rel_a_Chri_TotP,Rel_a_Hind_Ind_M,Rel_a_Hind_Ind_F,Rel_a_Hind_Ind_P,Rel_a_Hind_No_In_M,Rel_a_Hind_No_In_F,Rel_a_Hind_No_In_P,Rel_a_Hind_In_st_nsM,Rel_a_Hind_In_st_nsF,Rel_a_Hind_In_st_nsP,Rel_a_Hind_TotM,Rel_a_Hind_TotF,Rel_a_Hind_TotP,Rel_a_Isl_Ind_M,Rel_a_Isl_Ind_F,Rel_a_Isl_Ind_P,Rel_a_Isl_No_In_M,Rel_a_Isl_No_In_F,Rel_a_Isl_No_In_P,Rel_a_Isl_In_st_nsM,Rel_a_Isl_In_st_nsF,Rel_a_Isl_In_st_nsP,Rel_a_Isl_TotM,Rel_a_Isl_TotF,Rel_a_Isl_TotP,Rel_a_Jud_Ind_M,Rel_a_Jud_Ind_F,Rel_a_Jud_Ind_P,Rel_a_Jud_No_In_M,Rel_a_Jud_No_In_F,Rel_a_Jud_No_In_P,Rel_a_Jud_In_st_nsM,Rel_a_Jud_In_st_nsF,Rel_a_Jud_In_st_nsP,Rel_a_Jud_TotM,Rel_a_Jud_TotF,Rel_a_Jud_TotP,Rel_a_Oth_Rel_Ind_M,Rel_a_Oth_Rel_Ind_F,Rel_a_Oth_Rel_Ind_P,Rel_a_Oth_Rel_No_In_M,Rel_a_Oth_Rel_No_In_F,Rel_a_Oth_Rel_No_In_P,Rel_a_Oth_Rel_In_st_nsM,Rel_a_Oth_Rel_In_st_nsF,Rel_a_Oth_Rel_In_st_nsP,Rel_a_Oth_Rel_TotM,Rel_a_Oth_Rel_TotF,Rel_a_Oth_Rel_TotP,Rel_a_Oth_Rel_ORG_Ind_M,Rel_a_Oth_Rel_ORG_Ind_F,Rel_a_Oth_Rel_ORG_Ind_P,Rel_a_Oth_Rel_ORG_No_In_M,Rel_a_Oth_Rel_ORG_No_In_F,Rel_a_Oth_Rel_ORG_No_In_P,Rel_a_Oth_Rel_ORG_In_st_nsM,Rel_a_Oth_Rel_ORG_In_st_nsF,Rel_a_Oth_Rel_ORG_In_st_nsP,Rel_a_Oth_Rel_ORG_TotM,Rel_a_Oth_Rel_ORG_TotF,Rel_a_Oth_Rel_ORG_TotP,Rel_a_Oth_Rel_Tor_Ind_M,Rel_a_Oth_Rel_Tor_Ind_F,Rel_a_Oth_Rel_Tor_Ind_P,Rel_a_Oth_Rel_Tor_No_In_M,Rel_a_Oth_Rel_Tor_No_In_F,Rel_a_Oth_Rel_Torud_No_In_P,Rel_a_Oth_Rel_Tor_In_st_nsM,Rel_a_Oth_Rel_Tor_In_st_nsF,Rel_a_Oth_Rel_Tor_In_st_nsP,Rel_a_Oth_Rel_Tor_TotM,Rel_a_Oth_Rel_Tor_TotF,Rel_a_Oth_Rel_Tor_TotP,Rel_a_SecB_OSB_NRA_Ind_M,Rel_a_SecB_OSB_NRA_Ind_F,Rel_a_SecB_OSB_NRA_Ind_P,Rel_a_SecB_OSB_NRA_No_In_M
LGA50080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,40,88,919,865,1784,184,110,298,1148,1019,2161,47,40,84,967,918,1891,185,116,299,1197,1073,2272,619,615,1234,15823,16761,32589,101,122,219,16542,17495,34040,14,16,31,4,0,4,0,0,0,12,16,28,3,0,9,1082,1253,2338,3,4,7,1094,1260,2355,0,0,0,0,0,0,0,0,0,0,0,0,14,16,31,4,0,4,0,0,0,12,16,28,0,0,0,102,196,295,3,0,3,109,196,300,184,224,400,6592,8053,14646,60,64,124,6831,8340,15174,0,0,0,67,50,121,0,0,0,67,50,121,0,0,0,53,50,95,0,0,0,53,50,95,0,0,0,12,10,22,0,0,0,12,8,19,0,0,0,0,0,0,0,0,0,6,0,6,6,3,7,80,127,209,0,0,0,84,136,216,7,3,11,77,127,209,0,0,0,84,136,218,440,399,838,9552
LGA50210,0,0,6,4,0,0,0,0,3,3,0,0,0,0,3,3,63,53,115,734,733,1469,82,91,174,879,878,1758,67,55,121,779,788,1573,93,97,195,941,944,1892,1230,1267,2491,31852,32288,64144,137,146,281,33219,33701,66921,62,65,129,0,3,8,0,0,0,64,70,138,10,9,27,10581,11416,22000,23,33,55,10616,11462,22077,0,0,0,0,0,0,0,0,0,0,0,0,61,61,126,0,3,8,0,0,0,61,70,132,6,0,7,905,1209,2121,5,5,8,913,1219,2132,363,426,796,16968,19359,36332,78,105,188,17415,19898,37306,0,0,0,2187,2143,4323,0,6,10,2185,2146,4334,6,6,7,1350,1355,2700,0,3,3,1355,1359,2713,0,0,0,16,16,37,0,0,0,16,16,37,5,3,12,0,0,0,0,0,0,5,0,10,0,9,7,1296,1267,2564,4,3,3,1301,1279,2581,7,10,17,1296,1271,2566,4,3,3,1304,1280,2587,924,926,1853,18913
LGA50250,0,9,0,8,0,0,0,0,0,0,0,0,0,0,0,0,167,91,258,4053,1471,5519,2225,567,2790,6443,2125,8567,167,92,254,4059,1473,5534,2230,567,2797,6447,2130,8578,305,263,568,2647,1926,4571,17,20,28,2961,2205,5167,75,78,163,0,0,0,0,0,0,75,85,161,7,3,10,327,305,632,0,0,5,333,307,646,8,0,13,0,0,0,0,0,0,8,0,13,70,79,151,0,0,0,0,0,0,70,77,153,3,0,4,32,57,95,0,0,0,39,57,99,96,87,185,1088,806,1900,3,0,9,1194,896,2088,0,0,0,16,15,31,0,0,0,16,15,31,6,0,6,34,26,55,0,0,0,33,26,56,0,0,0,0,4,3,0,0,0,0,4,3,47,51,89,0,0,0,0,0,0,47,51,89,0,0,0,9,6,14,0,0,0,9,12,18,47,50,92,9,6,14,0,0,0,50,58,106,233,201,434,1722
LGA50280,0,5,3,3,0,0,0,3,0,5,0,0,0,3,0,5,10,13,27,567,598,1164,100,103,205,679,714,1392,10,16,30,600,624,1223,100,108,209,710,745,1458,104,100,210,6880,6962,13839,43,66,110,7027,7130,14155,0,3,3,0,0,0,0,0,0,0,3,3,3,0,3,593,647,1238,8,4,11,598,648,1249,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,3,0,3,5,93,115,208,0,6,3,100,118,221,32,36,61,1992,2367,4357,24,29,55,2042,2427,4469,0,0,0,13,17,33,0,0,0,13,21,37,0,0,0,21,16,35,0,0,3,21,20,38,0,0,0,9,7,15,0,0,0,9,7,9,0,6,4,0,0,0,0,0,0,0,6,4,0,0,0,34,36,68,0,0,0,34,36,68,0,6,4,34,36,68,0,0,0,30,41,70,73,76,150,5086
LGA50350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,8,139,145,286,14,0,16,163,153,314,8,4,12,153,156,310,14,0,16,175,164,340,184,172,362,6118,6319,12436,25,33,56,6327,6529,12856,8,10,14,0,0,5,0,0,0,6,11,23,6,3,8,970,1214,2182,0,0,5,977,1225,2201,0,0,0,0,0,0,0,0,0,0,0,0,8,10,14,0,0,5,0,0,0,6,11,23,0,0,0,105,191,296,0,0,0,107,196,303,67,65,132,2827,3483,6308,11,28,42,2900,3580,6483,0,0,0,95,101,193,0,0,0,95,98,199,0,0,0,92,76,170,0,0,0,92,76,170,0,0,0,11,9,14,0,0,0,11,9,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,69,109,0,0,0,44,67,110,0,3,3,44,69,109,0,0,0,44,72,111,128,118,251,3765
LGA50420,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,35,88,712,641,1356,60,42,100,830,728,1553,54,36,93,755,690,1442,60,43,106,870,772,1642,488,484,971,23184,22969,46153,85,61,145,23747,23517,47267,14,31,46,0,0,0,0,0,0,14,31,45,9,15,26,8876,9851,18728,17,29,45,8906,9891,18795,0,0,0,0,0,0,0,0,0,0,0,0,14,33,47,0,0,0,0,0,0,14,27,43,0,0,4,1152,1535,2687,0,0,3,1151,1542,2700,175,216,396,13660,15499,29159,45,59,108,13882,15780,29660,0,0,0,924,785,1713,3,0,8,924,792,1718,0,3,7,1152,1030,2183,7,7,8,1161,1038,2196,0,0,0,244,272,512,0,6,6,244,269,513,0,0,0,0,0,0,0,0,0,0,0,3,6,0,9,391,384,780,0,0,4,396,389,782,6,3,12,391,384,780,4,0,4,400,392,789,332,300,635,13970
LGA50490,0,0,0,0,0,0,0,0,3,4,0,0,0,0,3,0,50,52,110,739,510,1248,216,89,307,1009,655,1660,55,59,113,771,530,1303,223,89,316,1047,679,1723,476,512,984,12820,12197,25018,67,60,127,13361,12771,26130,27,37,65,0,6,4,0,0,0,30,39,63,12,8,23,6370,6599,12975,13,22,37,6399,6632,13032,3,0,3,0,0,0,0,0,0,3,0,3,26,38,57,0,6,4,0,0,0,25,36,63,3,3,3,732,931,1667,0,0,0,733,938,1674,182,243,425,7236,8255,15493,44,47,90,7460,8547,16005,4,0,4,709,556,1269,0,3,3,714,560,1277,3,4,6,1780,1556,3332,6,6,15,1790,1564,3358,0,4,4,11,9,18,0,0,0,11,10,24,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,291,234,530,6,7,8,299,238,542,4,0,6,291,234,530,6,7,8,299,238,542,321,305,623,8051
LGA50560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,28,25,47,8,7,14,32,30,64,3,5,5,34,24,56,8,7,14,42,35,75,27,25,49,700,673,1375,8,12,18,729,714,1442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,32,52,0,0,0,19,38,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,15,14,31,343,372,719,4,4,3,360,392,749,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,9,0,0,0,4,5,9,0,0,0,4,5,9,0,0,0,4,5,9,9,7,12,354
LGA50630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,5,23,327,63,393,3,0,5,350,69,416,16,5,23,333,65,400,3,0,5,350,76,423,30,27,58,726,680,1409,7,5,16,767,716,1475,3,6,3,0,0,0,0,0,0,3,6,3,0,0,0,31,43,76,0,0,0,31,43,76,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,0,0,0,0,0,0,3,6,3,0,0,0,5,13,11,0,0,0,5,13,11,5,9,16,275,316,597,3,5,10,289,327,619,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5,0,0,0,3,3,7,0,0,0,4,3,5,0,0,0,3,3,7,21,23,42,460
LGA50770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,40,33,79,0,3,3,45,40,89,0,0,3,45,36,86,0,3,3,50,42,92,14,15,29,775,761,1538,16,13,30,803,792,1598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,27,40,0,0,0,12,27,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,4,3,5,5,5,359,399,757,4,4,10,362,406,772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,8,3,6,5,3,9,13,0,0,0,3,6,8,3,6,5,3,9,13,11,16,24,402
