LGA_CODE_2021,R_Tot_Dw_s_S_Hou_Oth_h,R_Tot_Dw_s_SDRTHT_Oth_h,R_Tot_Dw_s_Fl_Ap_Oth_h,R_Tot_Dw_s_Oth_d_Car_Oth_h,R_Tot_Dw_s_Oth_d_Cab_h_Oth_h,R_Tot_Dw_s_Oth_d_IHTSO_Oth_h,R_Tot_Dw_s_Oth_d_HFASO_Oth_h,R_Tot_Dw_s_Oth_d_Tot_Oth_h,R_Tot_Dw_s_Ns_Oth_h,R_Tot_Tot_Oth_h,Oth_TT_Dw_s_S_Hou_Oth_h,Oth_TT_Dw_s_SDRTHT_Oth_h,Oth_TT_Dw_s_Fl_Ap_Oth_h,Oth_TT_Dw_s_Ot_d_Car_Oth_h,Oth_TT_Dw_s_Ot_d_Cab_h_Oth_h,Oth_TT_Dw_s_Ot_d_IHTSO_Oth_h,Oth_TT_Dw_s_Ot_d_HFASO_Oth_h,Oth_TT_Dw_s_Ot_d_Tot_Oth_h,Oth_TT_Dw_s_Ns_Oth_h,Oth_TT_Tot_Oth_h,TT_ns_Dw_s_S_Hou_Oth_h,TT_ns_Dw_s_SDRTHT_Oth_h,TT_ns_Dw_s_Fl_Ap_Oth_h,TT_ns_Dw_s_Oth_d_Car_Oth_h,TT_ns_Dw_s_Oth_d_Cab_h_Oth_h,TT_ns_Dw_s_Oth_d_IHTSO_Oth_h,TT_ns_Dw_s_Oth_d_HFASO_Oth_h,TT_ns_Dw_s_Oth_d_Tot_Oth_h,TT_ns_Dw_s_Ns_Oth_h,TT_ns_Tot_Oth_h,Tot_Dw_s_S_Hou_Oth_h,Tot_Dw_s_SDRTHT_Oth_h,Tot_Dw_s_Fl_Ap_Oth_h,Tot_Dw_s_Oth_d_Car_Oth_h,Tot_Dw_s_Oth_d_Cab_h_Oth_h,Tot_Dw_s_Oth_d_IHTSO_Oth_h,Tot_Dw_s_Oth_d_HFASO_Oth_h,Tot_Dw_s_Oth_d_Tot_Oth_h,Tot_Dw_s_Ns_Oth_h,Tot_Tot_Oth_h,Ow_o_Dw_s_S_Hou_Tot_h,Ow_o_Dw_s_SDRTHT_Tot_h,Ow_o_Dw_s_Fl_Ap_Tot_h,Ow_o_Dw_s_Oth_d_Car_Tot_h,Ow_o_Dw_s_Oth_d_Cab_h_Tot_h,Ow_o_Dw_s_Oth_d_IHTSO_Tot_h,Ow_o_Dw_s_Oth_d_HFASO_Tot_h,Ow_o_Dw_s_Oth_d_Tot_Tot_h,Ow_o_Dw_s_Ns_Tot_h,Ow_o_Tot_Tot_h,Ow_wm_Dw_s_S_Hou_Tot_h,Ow_wm_Dw_s_SDRTHT_Tot_h,Ow_wm_Dw_s_Fl_Ap_Tot_h,Ow_wm_Dw_s_Oth_d_Car_Tot_h,Ow_wm_Dw_s_Oth_d_Cab_h_Tot_h,Ow_wm_Dw_s_Oth_d_IHTSO_Tot_h,Ow_wm_Dw_s_Oth_d_HFASO_Tot_h,Ow_wm_Dw_s_Oth_d_Tot_Tot_h,Ow_wm_Dw_s_Ns_Tot_h,Ow_wm_Tot_Tot_h,R_RAg_Dw_s_S_Hou_Tot_h,R_RAg_Dw_s_SDRTHT_Tot_h,R_RAg_Dw_s_Fl_Ap_Tot_h,R_RAg_Dw_s_Oth_d_Car_Tot_h,R_RAg_Dw_s_Oth_d_Cab_h_Tot_h,R_RAg_Dw_s_Oth_d_IHTSO_Tot_h,R_RAg_Dw_s_Oth_d_HFASO_Tot_h,R_RAg_Dw_s_Oth_d_Tot_Tot_h,R_RAg_Dw_s_Ns_Tot_h,R_RAg_Tot_Tot_h,R_STHA_Dw_s_S_Hou_Tot_h,R_STHA_Dw_s_SDRTHT_Tot_h,R_STHA_Dw_s_Fl_Ap_Tot_h,R_STHA_Dw_s_Ot_d_Car_Tot_h,R_STHA_Dw_s_Ot_d_Cab_h_Tot_h,R_STHA_Dw_s_Ot_d_IHTSO_Tot_h,R_STHA_Dw_s_Ot_d_HFASO_Tot_h,R_STHA_Dw_s_Ot_d_Tot_Tot_h,R_STHA_Dw_s_Ns_Tot_h,R_STHA_Tot_Tot_h,R_Pnsh_Dw_s_S_Hou_Tot_h,R_Pnsh_Dw_s_SDRTHT_Tot_h,R_Pnsh_Dw_s_Fl_Ap_Tot_h,R_Pnsh_Dw_s_Ot_d_Car_Tot_h,R_Pnsh_Dw_s_Ot_d_Cab_h_Tot_h,R_Pnsh_Dw_s_Ot_d_IHTSO_Tot_h,R_Pnsh_Dw_s_Ot_d_HFASO_Tot_h,R_Pnsh_Dw_s_Oth_d_Tot_Tot_h,R_Pnsh_Dw_s_Ns_Tot_h,R_Pnsh_Tot_Tot_h,R_CHP_Dw_s_S_Hou_Tot_h,R_CHP_Dw_s_SDRTHT_Tot_h,R_CHP_Dw_s_Fl_Ap_Tot_h,R_CHP_Dw_s_Oth_d_Car_Tot_h,R_CHP_Dw_s_Oth_d_Cab_h_Tot_h,R_CHP_Dw_s_Oth_d_IHTSO_Tot_h,R_CHP_Dw_s_Oth_d_HFASO_Tot_h,R_CHP_Dw_s_Oth_d_Tot_Tot_h,R_CHP_Dw_s_Ns_Tot_h,R_CHP_Tot_Tot_h,R_othLT_Dw_s_S_Hou_Tot_h,R_othLT_Dw_s_SDRTHT_Tot_h,R_othLT_Dw_s_Fl_Ap_Tot_h,R_othLT_Dw_s_O_d_Car_Tot_h,R_othLT_Dw_s_O_d_Cab_h_Tot_h,R_othLT_Dw_s_O_d_IHTSO_Tot_h,R_othLT_Dw_s_O_d_HFASO_Tot_h,R_othLT_Dw_s_O_d_Tot_Tot_h,R_othLT_Dw_s_Ns_Tot_h,R_othLT_Tot_Tot_h,R_LTns_Dw_s_S_Hou_Tot_h,R_LTns_Dw_s_SDRTHT_Tot_h,R_LTns_Dw_s_Fl_Ap_Tot_h,R_LTns_Dw_s_Ot_d_Car_Tot_h,R_LTns_Dw_s_Ot_d_Cab_h_Tot_h,R_LTns_Dw_s_Ot_d_IHTSO_Tot_h,R_LTns_Dw_s_Ot_d_HFASO_Tot_h,R_LTns_Dw_s_Ot_d_Tot_Tot_h,R_LTns_Dw_s_Ns_Tot_h,R_LTns_Tot_Tot_h,R_Tot_Dw_s_S_Hou_Tot_h,R_Tot_Dw_s_SDRTHT_Tot_h,R_Tot_Dw_s_Fl_Ap_Tot_h,R_Tot_Dw_s_Oth_d_Car_Tot_h,R_Tot_Dw_s_Oth_d_Cab_h_Tot_h,R_Tot_Dw_s_Oth_d_IHTSO_Tot_h,R_Tot_Dw_s_Oth_d_HFASO_Tot_h,R_Tot_Dw_s_Oth_d_Tot_Tot_h,R_Tot_Dw_s_Ns_Tot_h,R_Tot_Tot_Tot_h,Oth_TT_Dw_s_S_Hou_Tot_h,Oth_TT_Dw_s_SDRTHT_Tot_h,Oth_TT_Dw_s_Fl_Ap_Tot_h,Oth_TT_Dw_s_Ot_d_Car_Tot_h,Oth_TT_Dw_s_Ot_d_Cab_h_Tot_h,Oth_TT_Dw_s_Ot_d_IHTSO_Tot_h,Oth_TT_Dw_s_Ot_d_HFASO_Tot_h,Oth_TT_Dw_s_Ot_d_Tot_Tot_h,Oth_TT_Dw_s_Ns_Tot_h,Oth_TT_Tot_Tot_h,TT_ns_Dw_s_S_Hou_Tot_h,TT_ns_Dw_s_SDRTHT_Tot_h,TT_ns_Dw_s_Fl_Ap_Tot_h,TT_ns_Dw_s_Oth_d_Car_Tot_h,TT_ns_Dw_s_Oth_d_Cab_h_Tot_h,TT_ns_Dw_s_Oth_d_IHTSO_Tot_h,TT_ns_Dw_s_Oth_d_HFASO_Tot_h,TT_ns_Dw_s_Oth_d_Tot_Tot_h,TT_ns_Dw_s_Ns_Tot_h,TT_ns_Tot_Tot_h,Tot_Dw_s_S_Hou_Tot_h,Tot_Dw_s_SDRTHT_Tot_h,Tot_Dw_s_Fl_Ap_Tot_h,Tot_Dw_s_Oth_d_Car_Tot_h,Tot_Dw_s_Oth_d_Cab_h_Tot_h,Tot_Dw_s_Oth_d_IHTSO_Tot_h,Tot_Dw_s_Oth_d_HFASO_Tot_h,Tot_Dw_s_Oth_d_Tot_Tot_h,Tot_Dw_s_Ns_Tot_h,Tot_Tot_Tot_h
LGA50080,2743,662,39,23,27,5,0,54,10,3515,265,94,4,3,0,0,0,7,0,380,156,39,0,7,4,0,0,9,0,202,12769,1055,65,89,118,6,3,215,34,14133,5212,177,12,51,84,0,0,138,7,5545,4667,89,12,0,0,0,0,6,9,4780,1331,238,15,0,0,0,0,3,0,1582,422,168,7,0,0,0,0,0,3,596,988,84,9,0,0,5,0,5,0,1089,94,155,10,0,0,0,0,0,0,263,144,36,6,26,25,0,0,51,4,235,11,16,0,0,0,0,0,0,0,28,2999,690,42,29,27,5,0,58,10,3798,267,94,4,3,0,0,0,7,0,383,181,43,0,7,4,0,0,9,0,230,13322,1090,67,90,118,6,3,219,34,14733
LGA50210,4915,1520,128,35,11,0,6,54,10,6618,211,125,24,0,8,0,0,8,4,369,312,59,8,5,6,0,4,11,4,395,28235,2669,214,81,130,0,12,227,29,31370,6407,443,16,41,108,0,7,151,8,7031,16928,542,35,3,7,0,0,10,13,17523,3294,910,54,0,0,0,3,0,8,4264,281,297,32,0,0,0,0,0,0,611,1577,238,17,0,0,0,0,4,6,1842,25,116,25,0,0,0,0,0,0,166,161,55,3,36,15,0,0,50,0,266,23,17,0,0,0,0,0,0,0,41,5367,1628,134,38,11,0,6,55,11,7189,218,129,24,0,8,0,0,8,4,381,344,70,12,3,6,0,4,9,4,436,29258,2807,219,81,130,0,13,231,31,32549
LGA50250,883,50,24,10,0,0,0,12,14,988,135,9,9,5,0,0,0,5,4,166,14,0,0,6,0,0,0,6,8,27,1133,68,31,53,0,0,0,59,30,1317,82,0,0,33,3,0,0,30,3,117,36,3,0,7,0,0,0,4,4,50,52,7,14,3,0,0,0,3,0,79,75,9,0,0,0,0,0,0,3,88,28,0,0,4,0,0,0,4,0,36,48,8,3,0,0,0,0,0,0,54,876,34,7,7,0,0,0,7,11,940,6,0,4,0,0,0,0,0,0,8,1086,60,24,13,0,0,0,12,17,1201,150,17,9,5,0,0,0,3,8,187,19,0,0,6,0,0,0,6,8,27,1370,81,35,57,0,0,0,64,33,1581
LGA50280,1151,131,23,10,24,8,0,40,12,1355,113,30,9,0,3,0,0,4,4,164,94,11,3,0,7,0,0,7,6,116,5328,277,41,41,33,10,3,90,38,5767,1907,53,3,34,0,0,0,37,5,2012,2122,47,9,0,0,0,0,0,5,2186,497,47,3,0,0,0,0,0,4,552,56,37,10,0,0,0,0,0,0,99,573,36,6,0,4,0,0,9,4,632,8,11,0,0,0,0,0,0,0,14,64,0,0,10,16,8,0,27,5,93,4,0,0,0,0,0,0,0,0,9,1199,135,23,9,24,8,0,40,12,1405,117,30,9,0,3,0,0,4,4,166,94,9,3,0,7,0,0,7,6,118,5441,278,41,45,33,10,3,92,34,5885
LGA50350,1021,458,130,0,0,0,5,5,4,1622,59,35,9,0,0,0,0,0,0,97,50,21,0,0,0,0,0,0,0,65,4855,1016,284,0,0,0,5,5,7,6164,1624,201,69,0,0,0,0,0,0,1894,2161,312,75,0,0,0,0,0,6,2554,588,209,80,0,0,0,0,0,4,885,124,149,30,0,0,0,0,0,0,296,323,94,21,0,0,0,0,0,0,444,35,31,0,0,0,0,0,0,0,65,19,4,0,0,0,0,0,0,0,24,6,7,0,0,0,0,0,0,0,18,1094,494,138,0,0,0,5,5,4,1730,59,35,9,0,0,0,0,0,0,97,52,20,0,0,0,0,0,0,0,73,4987,1061,283,0,0,0,5,5,7,6350
LGA50420,4269,2546,1775,0,0,0,0,0,11,8593,197,135,31,0,0,0,0,0,0,363,209,95,33,0,0,0,0,0,6,336,19521,5275,2682,0,0,0,9,9,30,27509,7015,980,276,0,0,0,0,0,0,8280,7974,1546,578,0,0,0,4,4,4,10106,2568,1498,1254,0,0,0,0,0,7,5322,227,407,143,0,0,0,0,0,0,780,1455,561,363,0,0,0,0,0,4,2382,35,80,19,0,0,0,0,0,0,135,158,77,36,0,0,0,0,0,3,282,11,19,7,0,0,0,0,0,0,40,4465,2645,1819,0,0,0,0,0,11,8945,198,136,31,0,0,0,0,0,0,366,210,99,36,0,0,0,0,0,6,353,19872,5399,2750,0,0,0,9,9,27,28055
LGA50490,3533,2004,1553,0,0,0,4,5,11,7111,131,35,19,0,0,0,0,0,0,185,131,48,56,6,0,0,0,6,5,250,10686,3344,2380,10,3,0,9,23,28,16465,3083,457,234,4,0,0,3,4,4,3774,3934,821,537,0,0,0,0,0,5,5291,2196,1185,1267,0,0,0,0,0,6,4649,498,461,61,0,0,0,0,0,0,1010,872,314,243,0,0,0,0,0,3,1437,62,67,7,0,0,0,0,0,0,149,122,46,20,0,0,0,0,6,4,189,31,11,5,0,0,0,0,0,0,49,3779,2086,1603,0,0,0,4,5,15,7486,136,34,19,0,0,0,0,0,0,195,139,61,61,6,0,0,0,6,5,273,11064,3450,2444,10,3,0,9,23,30,17018
LGA50560,56,6,0,0,0,0,8,8,0,72,32,0,0,0,0,0,0,0,0,35,11,0,0,0,0,0,0,0,0,10,624,11,0,0,0,4,6,12,4,650,361,0,0,0,0,0,0,3,0,367,173,0,0,0,0,5,0,5,0,181,19,0,0,0,0,0,0,0,0,19,7,6,0,0,0,0,0,0,0,10,34,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,3,3,0,4,7,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,66,6,0,0,0,0,8,8,0,81,37,0,0,0,0,0,0,0,0,37,11,0,0,0,0,0,0,0,0,10,647,11,0,0,0,4,6,12,4,676
LGA50630,141,9,0,0,0,0,0,0,0,153,14,5,0,0,0,0,0,0,0,17,10,6,0,0,0,0,0,0,0,13,556,13,0,5,0,0,0,5,0,579,200,0,0,3,0,0,0,3,0,203,195,0,0,0,0,0,0,0,0,195,62,7,0,0,0,0,0,0,0,67,12,0,0,0,0,0,0,0,0,17,44,0,0,0,0,0,0,0,0,45,4,3,0,0,0,0,0,0,0,5,32,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,151,16,0,0,0,0,0,0,0,166,14,5,0,0,0,0,0,0,0,17,10,6,0,0,0,0,0,0,0,13,577,18,0,5,0,0,0,5,0,599
LGA50770,106,0,0,0,0,0,0,0,0,108,38,0,0,0,0,0,0,0,0,41,9,0,0,0,0,0,0,0,0,9,645,4,0,3,0,0,0,3,0,654,328,0,0,0,0,0,0,0,0,340,170,0,0,0,0,0,0,0,0,170,23,0,0,0,0,0,0,0,0,23,12,0,0,0,0,0,0,0,0,12,55,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,117,37,0,0,0,0,0,0,0,0,42,10,0,0,0,0,0,0,0,0,10,667,4,0,3,0,0,0,3,0,677
LGA50840,294,16,11,0,0,0,0,0,0,325,45,26,0,0,0,0,0,0,0,68,20,4,0,0,0,0,0,0,0,21,1907,55,11,15,0,0,0,16,7,1995,891,4,0,6,3,0,0,9,3,910,691,0,0,0,0,0,0,4,0,697,130,3,3,0,0,0,0,0,0,140,31,10,0,0,0,0,0,0,0,41,111,0,5,0,0,0,0,0,0,110,8,6,0,0,0,0,0,0,0,13,23,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,5,307,19,7,0,0,0,0,0,0,337,45,26,0,0,0,0,0,0,0,68,25,4,0,0,0,0,0,0,0,26,1954,58,7,15,0,0,0,16,7,2039
LGA50910,48,11,0,0,0,0,0,0,0,55,28,0,0,0,0,0,0,0,0,28,3,0,0,0,0,0,0,0,0,6,296,7,0,0,0,0,0,0,0,306,167,0,0,0,0,0,0,0,0,171,63,0,0,0,0,0,0,0,0,63,3,0,0,0,0,0,0,0,0,3,11,3,0,0,0,0,0,0,0,16,28,0,0,0,0,0,0,0,0,27,0,4,0,0,0,0,0,0,0,5,13,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,54,8,0,0,0,0,0,0,0,66,28,0,0,0,0,0,0,0,0,28,3,0,0,0,0,0,0,0,0,7,323,10,0,0,0,0,0,0,0,332
