LGA_CODE_2021,Ofh_Cfnc_Np_UR_One_HATSIP,Ofh_Cfnc_Np_UR_Two_HATSIP,Ofh_Cfnc_Np_UR_Three_HATSIP,Ofh_Cfnc_Np_UR_Four_HATSIP,Ofh_Cfnc_Np_UR_Five_HATSIP,Ofh_Cfnc_Np_UR_Six_m_HATSIP,Ofh_Cfnc_Tot_HATSIP,Ofh_Cfc_Np_UR_One_HATSIP,Ofh_Cfc_Np_UR_Two_HATSIP,Ofh_Cfc_Np_UR_Three_HATSIP,Ofh_Cfc_Np_UR_Four_HATSIP,Ofh_Cfc_Np_UR_Five_HATSIP,Ofh_Cfc_Np_UR_Six_m_HATSIP,Ofh_Cfc_Tot_HATSIP,Ofh_Opf_Np_UR_One_HATSIP,Ofh_Opf_Np_UR_Two_HATSIP,Ofh_Opf_Np_UR_Three_HATSIP,Ofh_Opf_Np_UR_Four_HATSIP,Ofh_Opf_Np_UR_Five_HATSIP,Ofh_Opf_Np_UR_Six_m_HATSIP,Ofh_Opf_Tot_HATSIP,Ofh_Oth_f_Np_UR_One_HATSIP,Ofh_Oth_f_Np_UR_Two_HATSIP,Ofh_Oth_f_Np_UR_Three_HATSIP,Ofh_Oth_f_Np_UR_Four_HATSIP,Ofh_Oth_f_Np_UR_Five_HATSIP,Ofh_Oth_f_Np_UR_Six_m_HATSIP,Ofh_Oth_f_Tot_HATSIP,Ofh_Tot_Np_UR_One_HATSIP,Ofh_Tot_Np_UR_Two_HATSIP,Ofh_Tot_Np_UR_Three_HATSIP,Ofh_Tot_Np_UR_Four_HATSIP,Ofh_Tot_Np_UR_Five_HATSIP,Ofh_Tot_Np_UR_Six_m_HATSIP,Ofh_Tot_Tot_HATSIP,Mul_fh_Np_UR_One_HATSIP,Mul_fh_Np_UR_Two_HATSIP,Mul_fh_Np_UR_Three_HATSIP,Mul_fh_Np_UR_Four_HATSIP,Mul_fh_Np_UR_Five_HATSIP,Mul_fh_Np_UR_Six_m_HATSIP,Mul_fh_Tot_HATSIP,Tot_fh_Np_UR_One_HATSIP,Tot_fh_Np_UR_Two_HATSIP,Tot_fh_Np_UR_Three_HATSIP,Tot_fh_Np_UR_Four_HATSIP,Tot_fh_Np_UR_Five_HATSIP,Tot_fh_Np_UR_Six_m_HATSIP,Tot_fh_Tot_HATSIP,Lone_ph_Np_UR_One_HATSIP,Lone_ph_Np_UR_Two_HATSIP,Lone_ph_Np_UR_Three_HATSIP,Lone_ph_Np_UR_Four_HATSIP,Lone_ph_Np_UR_Five_HATSIP,Lone_ph_Np_UR_Six_m_HATSIP,Lone_ph_Tot_HATSIP,Group_h_Np_UR_One_HATSIP,Group_h_Np_UR_Two_HATSIP,Group_h_Np_UR_Three_HATSIP,Group_h_Np_UR_Four_HATSIP,Group_h_Np_UR_Five_HATSIP,Group_h_Np_UR_Six_m_HATSIP,Group_h_Tot_HATSIP,Tot_Np_UR_One_HATSIP,Tot_Np_UR_Two_HATSIP,Tot_Np_UR_Three_HATSIP,Tot_Np_UR_Four_HATSIP,Tot_Np_UR_Five_HATSIP,Tot_Np_UR_Six_m_HATSIP,Tot_Tot_HATSIP,Ofh_Cfnc_Np_UR_One_Oth_h,Ofh_Cfnc_Np_UR_Two_Oth_h,Ofh_Cfnc_Np_UR_Three_Oth_h,Ofh_Cfnc_Np_UR_Four_Oth_h,Ofh_Cfnc_Np_UR_Five_Oth_h,Ofh_Cfnc_Np_UR_Six_m_Oth_h,Ofh_Cfnc_Tot_Oth_h,Ofh_Cfc_Np_UR_One_Oth_h,Ofh_Cfc_Np_UR_Two_Oth_h,Ofh_Cfc_Np_UR_Three_Oth_h,Ofh_Cfc_Np_UR_Four_Oth_h,Ofh_Cfc_Np_UR_Five_Oth_h,Ofh_Cfc_Np_UR_Six_m_Oth_h,Ofh_Cfc_Tot_Oth_h,Ofh_Opf_Np_UR_One_Oth_h,Ofh_Opf_Np_UR_Two_Oth_h,Ofh_Opf_Np_UR_Three_Oth_h,Ofh_Opf_Np_UR_Four_Oth_h,Ofh_Opf_Np_UR_Five_Oth_h,Ofh_Opf_Np_UR_Six_m_Oth_h,Ofh_Opf_Tot_Oth_h,Ofh_Oth_f_Np_UR_One_Oth_h,Ofh_Oth_f_Np_UR_Two_Oth_h,Ofh_Oth_f_Np_UR_Three_Oth_h,Ofh_Oth_f_Np_UR_Four_Oth_h,Ofh_Oth_f_Np_UR_Five_Oth_h,Ofh_Oth_f_Np_UR_Six_m_Oth_h,Ofh_Oth_f_Tot_Oth_h,Ofh_Tot_Np_UR_One_Oth_h,Ofh_Tot_Np_UR_Two_Oth_h,Ofh_Tot_Np_UR_Three_Oth_h,Ofh_Tot_Np_UR_Four_Oth_h,Ofh_Tot_Np_UR_Five_Oth_h,Ofh_Tot_Np_UR_Six_m_Oth_h,Ofh_Tot_Tot_Oth_h,Mul_fh_Np_UR_One_Oth_h,Mul_fh_Np_UR_Two_Oth_h,Mul_fh_Np_UR_Three_Oth_h,Mul_fh_Np_UR_Four_Oth_h,Mul_fh_Np_UR_Five_Oth_h,Mul_fh_Np_UR_Six_m_Oth_h,Mul_fh_Tot_Oth_h,Tot_fh_Np_UR_One_Oth_h,Tot_fh_Np_UR_Two_Oth_h,Tot_fh_Np_UR_Three_Oth_h,Tot_fh_Np_UR_Four_Oth_h,Tot_fh_Np_UR_Five_Oth_h,Tot_fh_Np_UR_Six_m_Oth_h,Tot_fh_Tot_Oth_h,Lone_ph_Np_UR_One_Oth_h,Lone_ph_Np_UR_Two_Oth_h,Lone_ph_Np_UR_Three_Oth_h,Lone_ph_Np_UR_Four_Oth_h,Lone_ph_Np_UR_Five_Oth_h,Lone_ph_Np_UR_Six_m_Oth_h,Lone_ph_Tot_Oth_h,Group_h_Np_UR_One_Oth_h,Group_h_Np_UR_Two_Oth_h,Group_h_Np_UR_Three_Oth_h,Group_h_Np_UR_Four_Oth_h,Group_h_Np_UR_Five_Oth_h,Group_h_Np_UR_Six_m_Oth_h,Group_h_Tot_Oth_h,Tot_Np_UR_One_Oth_h,Tot_Np_UR_Two_Oth_h,Tot_Np_UR_Three_Oth_h,Tot_Np_UR_Four_Oth_h,Tot_Np_UR_Five_Oth_h,Tot_Np_UR_Six_m_Oth_h,Tot_Tot_Oth_h
LGA50080,..,96,9,0,0,0,103,..,..,49,60,42,24,178,..,45,54,26,20,11,158,..,7,0,0,0,0,14,..,145,117,86,62,41,455,..,..,..,0,0,13,23,..,145,117,90,68,52,474,101,..,..,..,..,..,101,..,13,6,0,0,0,19,101,161,124,94,68,52,597,..,4358,136,23,4,0,4512,..,..,1152,1443,624,254,3471,..,631,456,161,56,20,1330,..,91,22,0,0,0,108,..,5072,1767,1634,682,281,9427,..,..,..,46,35,76,157,..,5072,1767,1678,718,350,9583,4218,..,..,..,..,..,4218,..,265,52,13,4,0,330,4218,5337,1812,1692,721,350,14133
LGA50210,..,144,33,3,0,0,180,..,..,93,130,81,69,377,..,84,84,77,41,37,325,..,17,13,0,0,0,29,..,244,225,208,127,108,907,..,..,..,15,16,34,65,..,244,225,227,136,146,978,156,..,..,..,..,..,156,..,38,7,4,0,5,49,156,278,229,232,136,147,1182,..,7069,375,54,15,0,7509,..,..,3709,5060,1961,862,11594,..,1643,1227,482,167,74,3604,..,285,64,10,0,4,365,..,8994,5382,5610,2143,938,23067,..,..,..,164,211,321,697,..,8994,5382,5773,2350,1262,23769,6799,..,..,..,..,..,6799,..,676,95,22,6,4,806,6799,9670,5479,5796,2360,1264,31370
LGA50250,..,53,8,0,0,0,64,..,..,23,35,25,12,90,..,10,9,7,3,0,34,..,10,0,0,0,0,9,..,75,37,45,24,10,197,..,..,..,0,3,0,5,..,75,37,42,27,14,198,57,..,..,..,..,..,57,..,5,0,0,0,0,4,57,75,37,42,28,19,261,..,337,10,0,0,0,350,..,..,150,235,114,35,527,..,39,24,10,0,0,75,..,3,0,0,0,0,3,..,379,182,247,115,34,959,..,..,..,3,0,0,3,..,379,182,250,114,35,966,328,..,..,..,..,..,328,..,17,4,0,4,0,26,328,398,186,250,121,35,1317
LGA50280,..,28,0,0,0,0,22,..,..,14,14,12,5,39,..,9,10,3,0,0,27,..,0,0,0,0,0,0,..,35,30,21,11,5,96,..,..,..,0,3,0,0,..,35,30,21,15,5,101,18,..,..,..,..,..,18,..,3,0,0,0,0,3,18,44,30,21,15,5,118,..,1681,56,16,6,0,1757,..,..,584,792,291,71,1742,..,251,197,77,16,4,539,..,21,7,0,0,0,31,..,1950,841,885,311,70,4065,..,..,..,23,23,23,68,..,1950,841,907,333,98,4132,1406,..,..,..,..,..,1406,..,134,51,26,4,4,223,1406,2088,894,937,339,99,5767
LGA50350,..,22,7,0,0,0,28,..,..,15,20,10,13,53,..,10,16,14,3,9,52,..,7,0,0,0,0,9,..,42,40,33,15,17,138,..,..,..,0,0,0,4,..,42,40,35,15,18,138,26,..,..,..,..,..,26,..,9,0,0,0,0,11,26,48,42,32,16,21,176,..,1492,66,3,0,0,1566,..,..,662,763,223,68,1716,..,333,225,56,18,7,634,..,73,13,0,0,0,89,..,1897,969,822,250,78,4008,..,..,..,31,16,16,65,..,1897,969,849,264,89,4075,1876,..,..,..,..,..,1876,..,155,41,11,8,0,218,1876,2054,1013,861,271,90,6164
LGA50420,..,65,14,0,0,0,82,..,..,51,38,25,10,126,..,54,44,28,9,13,143,..,12,3,0,0,0,20,..,131,106,70,35,27,365,..,..,..,8,0,9,18,..,131,106,75,38,35,384,119,..,..,..,..,..,119,..,32,4,0,0,0,42,119,162,114,77,40,35,544,..,6927,337,58,11,5,7343,..,..,2936,3227,940,311,7407,..,1345,814,264,63,25,2516,..,294,54,10,13,3,374,..,8568,4139,3561,1025,352,17642,..,..,..,107,87,128,319,..,8568,4139,3664,1110,484,17961,8270,..,..,..,..,..,8270,..,925,238,74,24,15,1274,8270,9491,4377,3734,1137,493,27509
LGA50490,..,71,12,3,0,0,87,..,..,38,20,24,16,103,..,37,57,26,14,9,141,..,14,5,4,0,0,22,..,119,118,53,36,24,356,..,..,..,9,3,3,16,..,119,118,65,45,26,370,146,..,..,..,..,..,146,..,22,10,0,0,0,37,146,146,120,65,49,26,549,..,3853,235,64,18,3,4172,..,..,1480,1527,551,264,3818,..,792,450,163,50,19,1470,..,256,54,11,0,6,324,..,4895,2223,1773,619,287,9792,..,..,..,57,54,83,191,..,4895,2223,1827,671,367,9983,5450,..,..,..,..,..,5450,..,687,226,84,29,8,1027,5450,5579,2448,1907,698,379,16465
LGA50560,..,4,0,0,0,0,4,..,..,4,4,0,0,7,..,0,0,0,0,0,3,..,0,0,0,0,0,0,..,11,4,4,0,0,16,..,..,..,0,0,0,0,..,11,4,4,0,0,18,7,..,..,..,..,..,7,..,0,0,0,0,0,0,7,9,4,4,0,0,24,..,242,4,0,0,0,245,..,..,55,45,27,5,141,..,24,6,5,0,0,39,..,3,0,0,0,0,6,..,272,74,46,27,5,424,..,..,..,3,0,4,5,..,272,74,50,27,10,432,208,..,..,..,..,..,208,..,10,0,0,0,0,12,208,282,74,52,27,10,650
LGA50630,..,3,0,0,0,0,3,..,..,6,0,0,0,10,..,0,0,0,0,0,3,..,0,0,0,0,0,4,..,4,10,4,0,0,18,..,..,..,0,0,0,0,..,4,10,4,0,0,18,3,..,..,..,..,..,3,..,0,0,0,0,0,0,3,4,10,6,0,0,25,..,185,4,0,0,0,189,..,..,57,73,35,14,175,..,28,13,8,4,3,56,..,6,0,0,0,0,6,..,215,78,81,36,15,423,..,..,..,0,0,0,0,..,215,78,78,39,15,421,142,..,..,..,..,..,142,..,6,0,0,0,0,6,142,224,78,78,39,15,579
LGA50770,..,9,0,0,0,0,9,..,..,0,3,0,0,4,..,0,0,3,0,0,5,..,0,0,0,0,0,0,..,9,5,5,0,0,14,..,..,..,0,0,0,0,..,9,5,5,0,0,14,5,..,..,..,..,..,5,..,0,0,0,0,0,0,5,9,5,5,0,0,17,..,230,6,0,0,0,240,..,..,49,67,42,7,166,..,36,10,4,0,0,49,..,3,0,0,0,0,3,..,269,69,72,43,6,458,..,..,..,4,0,3,9,..,269,69,73,44,12,465,179,..,..,..,..,..,179,..,12,0,0,0,0,8,179,282,66,73,44,12,654
