CED_CODE_2021,AG_15_19_Nbr_ch_ev_brn_No,AG_15_19_Nbr_ch_ev_brn_1,AG_15_19_Nbr_ch_ev_brn_2,AG_15_19_Nbr_ch_ev_brn_3,AG_15_19_Nbr_ch_ev_brn_4,AG_15_19_Nbr_ch_ev_brn_5,AG_15_19_Nbr_ch_ev_brn_6m,AG_15_19_Nbr_ch_ev_brn_Ns,AG_15_19_Tot,AG_20_24_Nbr_ch_ev_brn_No,AG_20_24_Nbr_ch_ev_brn_1,AG_20_24_Nbr_ch_ev_brn_2,AG_20_24_Nbr_ch_ev_brn_3,AG_20_24_Nbr_ch_ev_brn_4,AG_20_24_Nbr_ch_ev_brn_5,AG_20_24_Nbr_ch_ev_brn_6m,AG_20_24_Nbr_ch_ev_brn_Ns,AG_20_24_Tot,AG_25_29_Nbr_ch_ev_brn_No,AG_25_29_Nbr_ch_ev_brn_1,AG_25_29_Nbr_ch_ev_brn_2,AG_25_29_Nbr_ch_ev_brn_3,AG_25_29_Nbr_ch_ev_brn_4,AG_25_29_Nbr_ch_ev_brn_5,AG_25_29_Nbr_ch_ev_brn_6m,AG_25_29_Nbr_ch_ev_brn_Ns,AG_25_29_Tot,AG_30_34_Nbr_ch_ev_brn_No,AG_30_34_Nbr_ch_ev_brn_1,AG_30_34_Nbr_ch_ev_brn_2,AG_30_34_Nbr_ch_ev_brn_3,AG_30_34_Nbr_ch_ev_brn_4,AG_30_34_Nbr_ch_ev_brn_5,AG_30_34_Nbr_ch_ev_brn_6m,AG_30_34_Nbr_ch_ev_brn_Ns,AG_30_34_Tot,AG_35_39_Nbr_ch_ev_brn_No,AG_35_39_Nbr_ch_ev_brn_1,AG_35_39_Nbr_ch_ev_brn_2,AG_35_39_Nbr_ch_ev_brn_3,AG_35_39_Nbr_ch_ev_brn_4,AG_35_39_Nbr_ch_ev_brn_5,AG_35_39_Nbr_ch_ev_brn_6m,AG_35_39_Nbr_ch_ev_brn_Ns,AG_35_39_Tot,AG_40_44_Nbr_ch_ev_brn_No,AG_40_44_Nbr_ch_ev_brn_1,AG_40_44_Nbr_ch_ev_brn_2,AG_40_44_Nbr_ch_ev_brn_3,AG_40_44_Nbr_ch_ev_brn_4,AG_40_44_Nbr_ch_ev_brn_5,AG_40_44_Nbr_ch_ev_brn_6m,AG_40_44_Nbr_ch_ev_brn_Ns,AG_40_44_Tot,AG_45_49_Nbr_ch_ev_brn_No,AG_45_49_Nbr_ch_ev_brn_1,AG_45_49_Nbr_ch_ev_brn_2,AG_45_49_Nbr_ch_ev_brn_3,AG_45_49_Nbr_ch_ev_brn_4,AG_45_49_Nbr_ch_ev_brn_5,AG_45_49_Nbr_ch_ev_brn_6m,AG_45_49_Nbr_ch_ev_brn_Ns,AG_45_49_Tot,AG_50_54_Nbr_ch_ev_brn_No,AG_50_54_Nbr_ch_ev_brn_1,AG_50_54_Nbr_ch_ev_brn_2,AG_50_54_Nbr_ch_ev_brn_3,AG_50_54_Nbr_ch_ev_brn_4,AG_50_54_Nbr_ch_ev_brn_5,AG_50_54_Nbr_ch_ev_brn_6m,AG_50_54_Nbr_ch_ev_brn_Ns,AG_50_54_Tot,AG_55_59_Nbr_ch_ev_brn_No,AG_55_59_Nbr_ch_ev_brn_1,AG_55_59_Nbr_ch_ev_brn_2,AG_55_59_Nbr_ch_ev_brn_3,AG_55_59_Nbr_ch_ev_brn_4,AG_55_59_Nbr_ch_ev_brn_5,AG_55_59_Nbr_ch_ev_brn_6m,AG_55_59_Nbr_ch_ev_brn_Ns,AG_55_59_Tot,AG_60_64_Nbr_ch_ev_brn_No,AG_60_64_Nbr_ch_ev_brn_1,AG_60_64_Nbr_ch_ev_brn_2,AG_60_64_Nbr_ch_ev_brn_3,AG_60_64_Nbr_ch_ev_brn_4,AG_60_64_Nbr_ch_ev_brn_5,AG_60_64_Nbr_ch_ev_brn_6m,AG_60_64_Nbr_ch_ev_brn_Ns,AG_60_64_Tot,AG_65_69_Nbr_ch_ev_brn_No,AG_65_69_Nbr_ch_ev_brn_1,AG_65_69_Nbr_ch_ev_brn_2,AG_65_69_Nbr_ch_ev_brn_3,AG_65_69_Nbr_ch_ev_brn_4,AG_65_69_Nbr_ch_ev_brn_5,AG_65_69_Nbr_ch_ev_brn_6m,AG_65_69_Nbr_ch_ev_brn_Ns,AG_65_69_Tot,AG_70_74_Nbr_ch_ev_brn_No,AG_70_74_Nbr_ch_ev_brn_1,AG_70_74_Nbr_ch_ev_brn_2,AG_70_74_Nbr_ch_ev_brn_3,AG_70_74_Nbr_ch_ev_brn_4,AG_70_74_Nbr_ch_ev_brn_5,AG_70_74_Nbr_ch_ev_brn_6m,AG_70_74_Nbr_ch_ev_brn_Ns,AG_70_74_Tot,AG_75_79_Nbr_ch_ev_brn_No,AG_75_79_Nbr_ch_ev_brn_1,AG_75_79_Nbr_ch_ev_brn_2,AG_75_79_Nbr_ch_ev_brn_3,AG_75_79_Nbr_ch_ev_brn_4,AG_75_79_Nbr_ch_ev_brn_5,AG_75_79_Nbr_ch_ev_brn_6m,AG_75_79_Nbr_ch_ev_brn_Ns,AG_75_79_Tot,AG_80_84_Nbr_ch_ev_brn_No,AG_80_84_Nbr_ch_ev_brn_1,AG_80_84_Nbr_ch_ev_brn_2,AG_80_84_Nbr_ch_ev_brn_3,AG_80_84_Nbr_ch_ev_brn_4,AG_80_84_Nbr_ch_ev_brn_5,AG_80_84_Nbr_ch_ev_brn_6m,AG_80_84_Nbr_ch_ev_brn_Ns,AG_80_84_Tot,AG_85_over_Nbr_ch_ev_brn_No,AG_85_over_Nbr_ch_ev_brn_1,AG_85_over_Nbr_ch_ev_brn_2,AG_85_over_Nbr_ch_ev_brn_3,AG_85_over_Nbr_ch_ev_brn_4,AG_85_over_Nbr_ch_ev_brn_5,AG_85_over_Nbr_ch_ev_brn_6m,AG_85_over_Nbr_ch_ev_brn_Ns,AG_85_over_Tot,Tot_Num_child_evr_brn_No,Tot_Num_child_evr_brn_1,Tot_Num_child_evr_brn_2,Tot_Num_child_evr_brn_3,Tot_Num_child_evr_brn_4,Tot_Num_child_evr_brn_5,Tot_Num_child_evr_brn_6m,Tot_Num_child_evr_brn_Ns,Tot_Tot
CED501,4963,52,0,0,0,0,0,436,5458,4122,481,182,43,7,3,0,386,5225,3014,1202,975,325,85,28,15,384,6018,1833,1564,1962,868,282,68,39,357,6967,1090,1228,2544,1237,419,133,85,324,7063,743,876,2229,1216,446,157,94,237,6011,727,764,2228,1229,474,159,97,244,5927,655,757,2188,1184,441,168,104,207,5706,544,594,1938,1225,530,152,92,183,5244,371,446,1611,1087,450,170,60,161,4366,289,378,1411,929,430,110,65,161,3778,166,253,1160,853,365,107,63,194,3146,111,164,781,642,271,87,46,189,2289,68,78,418,428,275,81,65,175,1598,50,89,298,301,243,103,101,261,1447,18743,8913,19932,11577,4715,1528,930,3899,70240
CED502,4709,52,5,0,0,0,0,467,5238,4309,508,178,54,5,0,0,437,5493,3379,1238,826,300,81,15,6,433,6276,2161,1794,2065,782,270,58,44,393,7558,1337,1521,2906,1198,437,162,82,393,8034,982,988,2283,1201,418,163,138,301,6474,750,834,1832,1044,425,191,133,239,5442,653,708,1785,950,453,174,126,229,5086,501,540,1650,1025,463,155,123,176,4630,422,495,1516,1032,432,170,123,185,4369,297,384,1415,921,440,137,86,183,3864,205,323,1193,832,367,120,84,189,3302,124,183,660,556,276,99,76,176,2155,83,88,393,361,229,115,74,187,1526,55,74,262,287,230,118,138,277,1446,19976,9730,18964,10539,4522,1673,1236,4263,70910
CED503,4144,28,3,0,0,0,0,370,4542,3069,375,146,37,6,0,0,244,3873,2020,868,761,274,55,12,6,214,4211,1212,941,1541,702,194,50,21,231,4893,813,799,1804,932,347,97,48,236,5082,563,616,1769,929,358,108,83,186,4608,621,619,1810,1018,403,121,82,220,4886,627,639,2000,1118,368,143,86,201,5185,575,541,1941,1157,480,152,67,199,5115,481,503,1914,1289,522,147,85,193,5121,456,402,1877,1257,493,135,83,173,4885,326,325,1814,1183,450,130,72,260,4563,179,201,1171,868,389,118,60,254,3242,122,121,572,623,372,134,85,260,2296,93,96,407,529,335,143,114,381,2094,15301,7066,19521,11919,4774,1491,904,3625,64600
CED504,4425,31,4,0,0,0,5,406,4870,4770,291,94,34,7,0,0,380,5576,4116,914,528,176,42,17,4,438,6233,2759,1645,1516,461,186,48,29,367,7011,1710,1380,2174,829,299,95,91,364,6944,1074,892,2045,863,297,110,98,251,5622,899,847,2027,965,351,137,123,250,5593,855,863,2116,980,319,121,117,202,5577,735,732,2030,1112,376,131,150,212,5472,576,644,2015,1196,455,128,94,200,5296,442,531,1840,1122,406,144,93,189,4761,312,392,1582,1069,419,124,119,230,4253,181,211,1018,739,361,120,108,171,2913,111,149,528,533,325,146,120,174,2078,85,126,438,423,278,158,191,188,1892,23040,9653,19946,10505,4103,1485,1332,4016,74093
CED505,5168,5,0,0,0,0,0,352,5527,5075,45,13,0,0,0,0,338,5469,4812,322,113,27,11,0,0,346,5628,3680,1265,816,160,29,3,5,312,6276,1743,1367,2115,682,101,12,8,279,6311,1012,953,2554,996,195,25,10,210,5960,859,869,2584,1208,237,44,20,184,5994,887,782,2456,1237,247,49,24,169,5847,870,655,2094,1033,263,47,28,157,5134,688,582,1871,1074,251,47,24,149,4678,651,538,1623,990,299,62,29,199,4394,465,434,1656,908,295,75,31,188,4049,351,250,1184,857,290,85,42,204,3259,242,149,736,741,329,88,43,211,2539,292,184,705,790,505,184,142,398,3210,26783,8391,20524,10711,3059,717,399,3688,74273
CED506,4147,101,16,0,0,0,0,965,5231,3996,574,239,41,8,0,8,1160,6031,4305,1008,904,332,94,25,7,1427,8089,3020,1381,1701,908,309,94,41,1489,8950,1684,1048,2323,1380,498,172,118,1243,8465,1140,738,2090,1283,549,170,171,1040,7182,1052,786,2198,1282,487,211,157,1094,7274,1061,820,2327,1417,615,222,185,1140,7781,949,708,2455,1701,696,242,170,1141,8057,750,633,2633,1985,816,228,164,1009,8222,572,477,2513,1901,751,214,123,944,7490,316,324,1865,1393,569,194,107,652,5420,187,177,849,797,432,139,97,466,3154,66,61,286,434,296,130,90,268,1631,42,63,199,269,227,136,144,247,1327,23284,8912,22590,15125,6352,2170,1584,14286,94300
CED507,4092,24,0,0,0,0,3,376,4502,2483,323,102,29,0,0,0,242,3173,2149,750,514,176,57,10,8,332,4003,1489,949,1337,542,146,48,19,301,4826,900,887,2055,970,257,71,38,290,5473,647,684,2061,1093,364,94,49,240,5236,636,676,2133,1151,384,107,62,254,5405,680,701,2077,1127,397,110,68,286,5448,678,505,1927,1219,441,107,61,292,5226,574,456,1952,1354,523,150,77,263,5342,444,358,1730,1267,463,131,77,254,4718,322,316,1556,1122,462,115,59,288,4229,202,143,926,776,374,130,55,220,2820,105,92,444,508,334,146,77,190,1905,85,81,324,475,402,210,154,273,2009,15486,6948,19145,11804,4593,1424,804,4104,64313
CED508,4085,19,0,0,0,0,0,296,4398,4508,176,59,6,0,0,0,370,5121,4277,691,331,80,20,3,3,346,5745,3127,1541,1317,321,79,25,11,333,6759,1657,1315,2403,781,179,48,30,269,6684,1093,1057,2325,937,230,53,37,214,5955,935,916,2303,972,237,56,38,223,5681,889,884,2242,982,292,73,36,196,5600,803,692,2002,991,308,58,47,170,5072,591,637,1823,1036,345,93,35,184,4734,437,450,1570,955,326,82,41,178,4040,302,380,1305,894,339,74,31,192,3504,163,171,804,641,266,60,40,151,2296,93,125,476,470,254,83,59,178,1733,93,106,440,463,285,104,111,321,1927,23048,9154,19415,9532,3159,819,518,3615,69255
CED509,4728,27,0,0,0,0,3,392,5145,3926,286,124,22,6,0,0,363,4725,3048,1043,708,226,62,10,5,341,5435,1958,1587,1865,650,170,50,34,331,6650,1177,1176,2480,964,325,78,43,305,6556,913,877,2311,1078,382,127,73,246,6009,774,799,2209,1158,384,114,90,240,5780,803,773,2168,1207,406,121,85,210,5780,603,661,1939,1145,422,131,92,182,5177,497,465,1733,1092,428,134,69,161,4578,334,388,1400,945,416,118,76,162,3828,257,280,1383,932,369,99,49,171,3539,146,169,831,698,274,90,60,156,2423,85,98,466,454,280,90,68,166,1705,74,103,357,357,249,125,89,295,1647,19332,8720,19975,10931,4168,1280,843,3728,68983
CED510,4778,11,0,0,0,0,0,241,5034,3925,99,23,5,0,0,0,181,4229,2643,406,239,56,3,3,0,169,3513,1710,1100,1163,296,47,15,3,166,4502,949,978,2359,852,155,29,9,143,5475,618,792,2722,1110,243,41,20,125,5668,623,743,2819,1192,263,55,25,147,5878,551,738,2874,1242,301,66,33,117,5929,519,675,2741,1270,389,58,23,108,5777,447,548,2543,1412,393,67,35,115,5555,363,502,2211,1279,360,78,37,106,4934,282,408,1846,1108,363,79,23,116,4215,155,217,1044,701,251,56,21,140,2578,90,114,517,483,228,77,33,132,1671,110,121,463,464,299,128,86,237,1905,17752,7451,23565,11458,3291,747,351,2242,66868
