CED_CODE_2021,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
CED501,39723,22071,25058,24962,22397,18658,13062,7337,2466,175746
CED502,40868,21790,26400,28730,21092,17341,13647,6890,2393,179148
CED503,30369,16766,16768,18020,18967,19354,18252,10854,3626,152970
CED504,32720,21412,26188,24801,21788,20774,16962,9337,3172,177147
CED505,30088,21847,22453,23199,22536,18820,15881,10587,5075,170484
CED506,43022,23728,38203,37832,36529,36616,27821,10430,2409,256586
CED507,30536,15861,16894,20070,20673,20119,17470,9005,3283,153914
CED508,30339,18861,23820,24504,21836,18764,14346,7569,3141,163184
CED509,36158,20530,23166,24586,22374,18892,14217,7882,2742,170549
CED510,30757,19482,15634,21159,22659,21394,17775,8035,3054,159945
CED511,32272,18805,23419,23724,25691,26869,20359,10280,3540,184969
CED512,39936,22686,23831,25736,23468,16997,11416,6129,2076,172278
CED513,25562,19470,36581,29682,22747,19615,14672,8289,4266,180887
CED514,30805,24543,34899,28105,21777,19459,15330,8333,4030,187274
CED515,33576,23792,19144,24971,24249,21557,18592,10327,4811,181017
CED597,3,137,518,957,896,533,176,32,0,3250
