CED_CODE_2021,Neg_Nil_Inc_CF_no_chldren,Neg_Nil_Inc_CFwith_chldren,Neg_Nil_Inc_OnePF,Neg_Nil_Inc_Oth_family,Neg_Nil_Inc_Total,1_149_CF_no_chldren,1_149_CFwith_chldren,1_149_One_PF,1_149_Oth_family,1_149_Total,150_299_CF_no_chldren,150_299_CFwith_chldren,150_299_OnePF,150_299_Oth_family,150_299_Total,300_399_CF_no_chldren,300_399_CFwith_chldren,300_399_OnePF,300_399_Oth_family,300_399_Total,400_499_CF_no_chldren,400_499_CFwith_chldren,400_499_OnePF,400_499_Oth_family,400_499_Total,500_649_CF_no_chldren,500_649_CFwith_chldren,500_649_OnePF,500_649_Oth_family,500_649_Total,650_799_CF_no_chldren,650_799_CFwith_chldren,650_799_OnePF,650_799_Oth_family,650_799_Total,800_999_CF_no_chldren,800_999_CFwith_chldren,800_999_OnePF,800_999_Oth_family,800_999_Total,1000_1249_CF_no_chldren,1000_1249_CFwith_chldren,1000_1249_OnePF,1000_1249_Oth_family,1000_1249_Total,1250_1499_CF_no_chldren,1250_1499_CFwith_chldren,1250_1499_OnePF,1250_1499_Oth_family,1250_1499_Total,1500_1749_CF_no_chldren,1500_1749_CFwith_chldren,1500_1749_OnePF,1500_1749_Oth_family,1500_1749_Total,1750_1999_CF_no_chldren,1750_1999_CFwith_chldren,1750_1999_OnePF,1750_1999_Oth_family,1750_1999_Total,2000_2499_CF_no_chldren,2000_2499_CFwith_chldren,2000_2499_OnePF,2000_2499_Oth_family,2000_2499_Total,2500_2999_CF_no_chldren,2500_2999_CFwith_chldren,2500_2999_OnePF,2500_2999_Oth_family,2500_2999_Total,3000_3499_CF_no_chldren,3000_3499_CFwith_chldren,3000_3499_OnePF,3000_3499_Oth_family,3000_3499_Total,3500_3999_CF_no_chldren,3500_3999_CFwith_chldren,3500_3999_OnePF,3500_3999_Oth_family,3500_3999_Total,4000orMore_CF_no_chldren,4000orMore_CFwith_chldren,4000orMore_OnePF,4000orMore_Oth_family,4000orMore_Total,Part_IncStated_CF_no_chldren,Part_IncStated_CFwith_chldren,Part_IncStated_OnePF,Part_IncStated_Oth_family,Part_IncStated_Total,All_Inc_NS_CF_no_chldren,All_Inc_NS_CFwith_chldren,All_Inc_NS_OnePF,All_Inc_NS_Oth_family,All_Inc_NS_Total,Total_CF_no_chldren,Total_CFwith_chldren,Total_OnePF,Total_Oth_family,Total_Total
CED501,295,50,157,4,509,97,13,50,5,162,90,27,133,9,248,86,20,223,3,332,367,65,383,21,833,320,97,817,17,1253,1744,222,820,32,2815,1195,352,958,89,2597,1160,636,997,53,2837,1281,991,816,68,3153,888,1245,640,50,2816,913,1395,516,48,2864,2090,3322,715,83,6211,1506,2789,346,41,4689,1193,2445,201,20,3863,648,1578,94,11,2340,1157,3360,179,20,4717,1562,3662,648,34,5907,217,159,155,17,538,16806,22422,8843,628,48703
CED502,417,94,169,21,706,108,23,46,8,186,85,44,131,10,270,85,32,240,9,358,350,121,426,33,929,296,181,697,22,1192,1744,411,757,45,2951,1067,636,912,96,2709,1164,1166,978,91,3395,1236,1577,872,91,3778,826,1636,575,62,3097,912,1671,513,50,3152,1968,3840,789,137,6733,1336,2922,347,72,4669,939,2403,218,37,3602,504,1289,82,19,1896,730,2727,139,28,3627,1003,2690,586,39,4314,238,143,143,12,537,15000,23603,8607,883,48092
CED503,390,60,111,12,569,182,9,42,0,241,127,10,87,6,234,107,14,189,10,319,554,46,322,13,937,396,105,663,24,1187,2601,188,666,32,3494,1739,287,759,56,2840,1631,501,758,47,2939,1658,780,630,47,3110,816,846,416,22,2102,948,985,344,28,2298,1969,2359,562,56,4947,1387,2007,265,25,3687,1109,1839,166,19,3134,566,1187,73,10,1832,1415,3116,171,13,4721,1551,3217,554,18,5350,331,144,99,14,594,19480,17714,6871,478,44546
CED504,463,129,169,19,775,127,31,57,9,223,101,69,119,11,296,91,50,242,7,391,528,148,372,24,1083,359,214,638,31,1246,2069,444,718,38,3271,1281,646,929,85,2943,1331,1056,1010,102,3504,1485,1445,904,123,3955,868,1440,666,95,3073,957,1404,546,86,2992,2090,3095,889,135,6209,1478,2476,417,88,4462,1029,2008,264,51,3358,614,1352,107,36,2106,1160,3109,185,20,4482,1063,2121,636,42,3864,246,177,107,20,551,17337,21442,8976,1026,48777
CED505,262,69,125,6,473,123,23,47,10,196,84,29,63,22,193,45,22,97,0,171,271,42,151,16,478,227,55,250,16,555,758,104,255,29,1141,741,145,391,47,1323,999,254,448,64,1768,1185,358,427,71,2042,695,404,379,51,1521,938,527,363,38,1866,1829,1441,658,73,4001,1589,1350,287,54,3280,1430,1644,248,55,3363,991,1376,85,20,2476,4507,10973,640,45,16167,1188,1929,472,18,3601,142,104,33,5,283,18006,20833,5413,634,44895
CED506,322,43,109,16,493,127,25,56,9,213,104,37,241,17,403,88,24,319,13,449,538,198,440,40,1212,327,164,575,41,1107,1757,339,600,67,2767,1093,356,693,87,2226,1088,505,683,70,2354,1250,725,561,59,2589,722,725,475,29,1957,927,874,395,42,2239,2112,2286,595,66,5056,1731,2067,248,29,4077,1562,1996,201,34,3790,970,1373,84,17,2442,2357,3994,185,24,6560,1875,3191,650,55,5772,401,225,251,39,913,19356,19149,7354,754,46617
CED507,301,41,81,4,416,155,15,31,3,201,122,12,80,4,221,90,14,159,0,274,518,50,295,13,878,360,67,562,18,1009,2082,170,667,27,2948,1388,245,754,46,2438,1566,520,842,44,2960,1673,844,608,50,3176,890,920,418,44,2273,1098,1017,325,32,2473,2176,2486,535,53,5251,1497,2194,213,24,3925,1130,1864,123,15,3136,575,1149,44,7,1778,1357,2529,106,15,4002,1407,2906,583,23,4913,251,131,77,11,468,18633,17176,6501,428,42737
CED508,310,54,90,5,462,108,18,41,10,179,98,18,92,14,225,78,21,158,8,264,340,42,281,14,680,251,72,423,26,782,1401,170,483,44,2105,943,236,675,62,1915,1038,463,721,61,2284,1162,714,624,78,2576,808,755,593,45,2190,911,928,463,47,2345,2088,2674,776,93,5636,1684,2533,333,52,4592,1489,2408,268,35,4199,952,1722,102,21,2795,2236,5224,280,32,7765,1201,2236,551,28,4012,158,107,75,9,348,17256,20398,7027,664,45346
CED509,311,54,128,6,497,124,10,40,0,177,121,27,106,8,258,48,31,147,5,231,346,57,265,12,675,292,96,481,17,893,1532,187,548,30,2296,1053,290,688,54,2087,1278,628,770,40,2717,1388,1042,717,66,3220,778,1092,514,61,2443,947,1303,465,57,2764,2203,3309,824,90,6421,1610,2875,356,49,4891,1278,2464,227,32,4003,764,1628,94,13,2497,1604,4351,200,35,6185,1299,3157,553,23,5036,247,154,95,10,498,17226,22735,7223,613,47797
CED510,328,39,63,7,442,162,15,38,10,229,124,22,48,11,201,84,15,96,4,200,416,43,186,17,655,312,46,286,19,657,1476,124,320,26,1942,1259,163,447,44,1922,1479,349,589,51,2466,1528,515,533,34,2608,909,658,449,33,2040,991,716,405,39,2145,1968,2280,743,54,5037,1589,2499,293,35,4414,1339,2797,252,21,4401,825,2081,95,9,3017,2253,7854,303,18,10428,1044,2771,489,18,4327,212,152,50,9,427,18299,23135,5688,449,47569
