CED_CODE_2021,P_400_499_15_19_yr,P_400_499_20_24_yr,P_400_499_25_34_yr,P_400_499_35_44_yr,P_400_499_45_54_yr,P_400_499_55_64_yr,P_400_499_65_74_yr,P_400_499_75_84_yr,P_400_499_85_yr_over,P_400_499_Tot,P_500_649_15_19_yr,P_500_649_20_24_yr,P_500_649_25_34_yr,P_500_649_35_44_yr,P_500_649_45_54_yr,P_500_649_55_64_yr,P_500_649_65_74_yr,P_500_649_75_84_yr,P_500_649_85_yr_over,P_500_649_Tot,P_650_799_15_19_yr,P_650_799_20_24_yr,P_650_799_25_34_yr,P_650_799_35_44_yr,P_650_799_45_54_yr,P_650_799_55_64_yr,P_650_799_65_74_yr,P_650_799_75_84_yr,P_650_799_85_yr_over,P_650_799_Tot,P_800_999_15_19_yr,P_800_999_20_24_yr,P_800_999_25_34_yr,P_800_999_35_44_yr,P_800_999_45_54_yr,P_800_999_55_64_yr,P_800_999_65_74_yr,P_800_999_75_84_yr,P_800_999_85_yr_over,P_800_999_Tot,P_1000_1249_15_19_yr,P_1000_1249_20_24_yr,P_1000_1249_25_34_yr,P_1000_1249_35_44_yr,P_1000_1249_45_54_yr,P_1000_1249_55_64_yr,P_1000_1249_65_74_yr,P_1000_1249_75_84_yr,P_1000_1249_85_yr_over,P_1000_1249_Tot,P_1250_1499_15_19_yr,P_1250_1499_20_24_yr,P_1250_1499_25_34_yr,P_1250_1499_35_44_yr,P_1250_1499_45_54_yr,P_1250_1499_55_64_yr,P_1250_1499_65_74_yr,P_1250_1499_75_84_yr,P_1250_1499_85_yr_over,P_1250_1499_Tot,P_1500_1749_15_19_yr,P_1500_1749_20_24_yr,P_1500_1749_25_34_yr,P_1500_1749_35_44_yr,P_1500_1749_45_54_yr,P_1500_1749_55_64_yr,P_1500_1749_65_74_yr,P_1500_1749_75_84_yr,P_1500_1749_85_yr_over,P_1500_1749_Tot,P_1750_1999_15_19_yr,P_1750_1999_20_24_yr,P_1750_1999_25_34_yr,P_1750_1999_35_44_yr,P_1750_1999_45_54_yr,P_1750_1999_55_64_yr,P_1750_1999_65_74_yr,P_1750_1999_75_84_yr,P_1750_1999_85_yr_over,P_1750_1999_Tot,P_2000_2999_15_19_yr,P_2000_2999_20_24_yr,P_2000_2999_25_34_yr,P_2000_2999_35_44_yr,P_2000_2999_45_54_yr,P_2000_2999_55_64_yr,P_2000_2999_65_74_yr,P_2000_2999_75_84_yr,P_2000_2999_85_yr_over,P_2000_2999_Tot,P_3000_3499_15_19_yr,P_3000_3499_20_24_yr,P_3000_3499_25_34_yr,P_3000_3499_35_44_yr,P_3000_3499_45_54_yr,P_3000_3499_55_64_yr,P_3000_3499_65_74_yr,P_3000_3499_75_84_yr,P_3000_3499_85_yr_over,P_3000_3499_Tot,P_3500_more_15_19_yr,P_3500_more_20_24_yr,P_3500_more_25_34_yr,P_3500_more_35_44_yr,P_3500_more_45_54_yr,P_3500_more_55_64_yr,P_3500_more_65_74_yr,P_3500_more_75_84_yr,P_3500_more_85_yr_over,P_3500_more_Tot,P_Personal_inc_ns_15_19_yr,P_Personal_inc_ns_20_24_yr,P_Personal_inc_ns_25_34_yr,P_Personal_inc_ns_35_44_yr,P_Personal_inc_ns_45_54_yr,P_Personal_inc_ns_55_64_yr,P_Personal_inc_ns_65_74_yr,P_Personal_inc_ns_75_84_yr,P_Personal_inc_ns_85_yr_over,P_Personal_inc_ns_Tot,P_OS_vis_15_19_yr,P_OS_vis_20_24_yr,P_OS_vis_25_34_yr,P_OS_vis_35_44_yr,P_OS_vis_45_54_yr,P_OS_vis_55_64_yr,P_OS_vis_65_74_yr,P_OS_vis_75_84_yr,P_OS_vis_85_yr_over,P_OS_vis_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
CED501,492,708,1033,927,957,1232,2239,1808,747,10154,562,1014,1621,1413,1298,1198,1573,1002,331,10013,354,1181,1805,1551,1400,1134,948,510,149,9025,221,1300,2367,2028,1743,1376,698,275,75,10074,161,1150,2929,2639,2414,1855,650,164,36,11991,75,730,2517,2203,1904,1406,395,76,12,9316,30,421,2170,2177,1984,1380,300,58,45,8572,19,204,1479,1736,1548,1021,153,20,7,6191,9,260,2206,3270,3098,1834,271,23,7,10984,0,31,431,758,717,394,58,7,4,2406,6,29,290,717,744,485,87,25,14,2396,663,875,2004,1625,1193,820,723,652,433,8988,4,17,38,30,31,52,51,18,8,249,11321,10770,25091,24993,22428,18717,13116,7352,2474,136274
CED502,413,830,1220,1116,982,1042,2403,1630,626,10252,442,1137,1754,1682,1227,1147,1455,900,296,10043,291,1251,2067,1849,1452,1075,913,467,133,9504,215,1443,2970,2672,2062,1522,710,233,78,11909,100,1146,3640,3604,2617,1901,644,130,32,13812,38,552,2756,2837,2019,1436,400,61,15,10112,19,305,2071,2580,1766,1195,287,64,22,8310,3,137,1183,1824,1279,857,172,20,8,5485,11,139,1598,3026,2044,1223,213,22,0,8270,0,16,263,618,425,223,48,3,0,1594,8,21,178,563,404,241,68,23,10,1508,649,703,1566,1438,1141,842,733,645,505,8231,6,19,39,36,38,92,115,32,4,379,10629,11185,26444,28768,21128,17435,13758,6918,2401,138659
CED503,425,590,773,780,875,1306,2877,2298,849,10779,498,802,1219,1139,1089,1287,2205,1410,447,10101,310,880,1191,1272,1137,1210,1457,852,238,8544,199,959,1545,1407,1451,1283,1069,479,134,8525,107,782,1885,1698,1860,1760,902,331,63,9387,46,453,1485,1403,1506,1317,543,162,31,6945,22,280,1314,1396,1412,1274,379,137,43,6258,12,160,948,1190,1303,958,279,61,10,4917,16,211,1643,2444,2694,1986,402,66,19,9488,0,32,338,618,645,495,104,24,9,2254,10,20,276,655,952,660,201,85,29,2885,521,450,935,1018,1044,893,972,920,685,7445,4,7,25,28,27,31,36,9,4,167,9111,7664,16788,18049,18995,19380,18291,10862,3632,122770
CED504,388,914,1196,1085,1089,1462,2905,2263,946,12246,396,1266,1698,1463,1448,1354,1735,1035,321,10713,222,1229,1958,1688,1484,1488,1204,642,150,10054,156,1352,3004,2308,2181,1754,1004,364,97,12222,77,1155,3683,2895,2559,2251,886,223,45,13770,39,646,2846,2363,1977,1620,574,100,28,10186,10,309,2214,2097,1626,1367,387,84,22,8115,0,117,1511,1549,1298,962,256,35,13,5743,0,140,1907,2674,2177,1496,375,58,10,8834,0,14,311,599,418,285,82,16,0,1730,3,14,234,658,648,363,133,46,10,2109,537,688,1492,1327,1008,869,770,653,454,7804,5,14,50,28,35,89,59,13,4,289,9961,11467,26238,24825,21823,20858,17019,9354,3175,144725
CED505,367,965,684,551,612,788,1580,1588,970,8104,301,1102,1096,864,796,826,1446,1207,586,8220,163,895,1248,922,780,849,1149,911,404,7312,101,853,1691,1232,1081,1040,1216,766,294,8272,50,891,2297,1609,1428,1334,1191,709,252,9761,19,630,2438,1552,1293,1215,911,431,158,8649,26,413,2561,1755,1527,1362,762,378,113,8892,7,170,1968,1607,1400,1083,556,244,72,7114,5,143,3341,4035,3607,2536,1063,413,130,15273,8,38,730,1371,1406,956,382,131,42,5069,11,28,888,4116,5356,3268,1243,425,110,15458,395,435,1145,983,776,673,817,888,908,7023,30,41,106,57,85,86,77,33,14,518,11279,10636,22561,23257,22619,18912,15957,10616,5087,140914
CED506,392,520,986,955,1052,1630,3516,1921,557,11524,593,778,1381,1342,1291,1740,2699,1148,235,11204,464,988,1618,1372,1413,1690,1977,732,134,10389,355,1243,2304,1865,1898,2213,1608,478,104,12061,242,1233,3006,2432,2514,2810,1615,382,51,14286,124,939,2697,2306,2271,2275,1011,199,21,11849,74,692,2890,2477,2491,2258,830,165,37,11913,46,416,2380,2378,2244,1943,630,76,10,10133,55,784,5190,5900,5662,4166,999,125,17,22892,3,146,1635,2021,1811,1310,272,54,7,7258,12,108,1515,2870,2536,1751,502,142,17,9447,1720,2542,8301,7887,7409,6320,3621,1601,543,39955,3,244,512,198,116,103,78,16,6,1284,11038,12940,38721,38037,36641,36723,27896,10444,2415,214855
CED507,473,395,783,901,920,1322,2676,1859,832,10149,587,683,1138,1321,1312,1437,2100,1216,393,10172,393,892,1375,1451,1511,1433,1439,740,211,9437,251,1083,1847,1791,1805,1614,1104,453,125,10063,107,819,2081,2165,2235,1927,1042,317,70,10748,28,443,1600,1674,1726,1481,555,149,42,7692,20,247,1245,1636,1673,1297,434,133,54,6736,11,126,931,1284,1483,1095,256,64,15,5271,10,171,1492,2477,2604,1881,429,78,19,9161,4,18,276,566,670,443,120,21,13,2132,8,16,230,689,856,618,272,73,25,2790,596,438,1275,1290,1270,1209,1086,794,572,8532,10,23,105,56,29,34,23,14,0,298,9256,6637,17000,20127,20703,20154,17490,9021,3286,123674
CED508,344,794,791,777,851,1039,2065,1608,790,9060,423,1055,1220,1134,1038,1099,1523,815,313,8619,256,1097,1490,1353,1114,1146,1103,541,160,8247,194,1187,2191,1743,1547,1383,978,348,102,9675,78,1012,3091,2316,2129,1835,869,245,46,11628,22,668,2717,2187,1911,1500,572,144,23,9740,19,326,2584,2215,1986,1449,471,93,31,9165,6,140,1855,1983,1620,1114,327,65,10,7114,3,171,2734,4091,3509,2107,513,78,15,13224,0,30,553,1016,836,556,135,27,14,3169,3,19,450,1490,1528,964,280,86,17,4836,374,510,1194,1079,945,758,769,767,768,7160,20,42,116,43,55,76,60,14,4,420,8884,10038,23936,24540,21892,18836,14410,7578,3143,133266
CED509,458,733,860,814,818,918,2059,1558,654,8868,489,927,1326,1246,1097,1144,1603,999,294,9125,361,1101,1546,1506,1210,1046,1079,598,177,8635,221,1252,2349,1981,1811,1460,934,405,126,10544,126,1142,3134,2615,2348,1993,850,263,63,12533,45,630,2520,2431,2015,1580,534,151,29,9941,23,306,2040,2206,1978,1544,479,130,34,8728,12,159,1416,1749,1664,1117,284,52,9,6458,10,161,1919,3254,3171,2032,420,79,21,11064,0,27,403,772,753,457,131,24,7,2583,3,28,308,886,1178,696,188,60,17,3366,531,698,1812,1693,1313,906,734,687,569,8949,13,11,47,30,23,60,49,19,3,252,10767,9787,23212,24616,22396,18955,14265,7899,2747,134645
CED510,467,770,590,661,646,908,2144,1505,690,8384,421,935,807,877,961,1151,2094,1129,404,8770,265,942,1019,1045,1148,1307,1582,703,195,8210,168,1073,1282,1291,1414,1547,1355,484,138,8747,74,943,1937,1899,2015,2061,1284,328,84,10629,32,563,1765,1798,1876,1759,844,186,35,8856,14,297,1785,1966,2025,1713,688,150,33,8665,6,120,1216,1657,1820,1391,414,58,7,6694,6,100,1818,3880,4053,2944,611,90,21,13522,0,24,345,1104,1190,726,172,34,3,3612,0,17,368,1789,2411,1333,302,62,14,6298,286,295,606,634,688,555,545,549,471,4634,3,17,34,25,31,39,31,19,3,204,10498,8998,15670,21184,22691,21434,17801,8057,3058,129394
