CED_CODE_2021,P_PG_Deg_35_44_yr,P_PG_Deg_45_54_yr,P_PG_Deg_55_64_yr,P_PG_Deg_65_74_yr,P_PG_Deg_75_84_yr,P_PG_Deg_85_yr_over,P_PGuate_Deg_Tot,P_Grad_Dip_Cer_15_24_yr,P_Grad_Dip_Cer_25_34_yr,P_Grad_Dip_Cer_35_44_yr,P_Grad_Dip_Cer_45_54_yr,P_Grad_Dip_Cer_55_64_yr,P_Grad_Dip_Cer_65_74_yr,P_Grad_Dip_Cer_75_84_yr,P_Grad_Dip_Cer_85_yr_over,P_Grad_Dip_Cer_Tot,P_B_Deg_15_24_yr,P_B_Deg_25_34_yr,P_B_Deg_35_44_yr,P_B_Deg_45_54_yr,P_B_Deg_55_64_yr,P_B_Deg_65_74_yr,P_B_Deg_75_84_yr,P_B_Deg_85_yr_over,P_B_Deg_Tot,P_Adv_Dip_Dip_15_24,P_Adv_Dip_Dip_25_34,P_Adv_Dip_Dip_35_44,P_Adv_Dip_Dip_45_54,P_Adv_Dip_Dip_55_64,P_Adv_Dip_Dip_65_74,P_Adv_Dip_Dip_75_84,P_Adv_Dip_Dip_85_yr_over,P_Adv_Dip_Dip_Total,P_Cer_III_IV_15_24_yr,P_Cer_III_IV_25_34_yr,P_Cer_III_IV_35_44_yr,P_Cer_III_IV_45_54_yr,P_Cer_III_IV_55_64_yr,P_Cer_III_IV_65_74_yr,P_Cer_III_IV_75_84_yr,P_Cer_III_IV_85_yr_over,P_Cer_III_IV_Tot,P_Cer_I_II_15_24_yr,P_Cer_I_II_25_34_yr,P_Cer_I_II_35_44_yr,P_Cer_I_II_45_54_yr,P_Cer_I_II_55_64_yr,P_Cer_I_II_65_74_yr,P_Cer_I_II_75_84_yr,P_Cer_I_II_85_yr_over,P_Cer_I_II_Tot,P_Cer_nfd_15_24_yr,P_Cer_nfd_25_34_yr,P_Cer_nfd_35_44_yr,P_Cer_nfd_45_54_yr,P_Cer_nfd_55_64_yr,P_Cer_nfd_65_74_yr,P_Cer_nfd_75_84_yr,P_Cer_nfd_85_yr_over,P_Cer_nfd_Tot,P_Cer_Tot_15_24_yr,P_Cer_Tot_25_34_yr,P_Cer_Tot_35_44_yr,P_Cer_Tot_45_54_yr,P_Cer_Tot_55_64_yr,P_Cer_Tot_65_74_yr,P_Cer_Tot_75_84_yr,P_Cer_Tot_85_yr_over,P_Cer_Tot_Tot,P_lvl_educ_inad_desc_15_24,P_lvl_educ_inad_desc_25_34,P_lvl_educ_inad_desc_35_44,P_lvl_educ_inad_desc_45_54,P_lvl_educ_inad_desc_55_64,P_lvl_educ_inad_desc_65_74,P_lvl_educ_inad_desc_75_84,P_lvl_educ_inad_desc_85ov,P_lvl_educ_inad_desc_Tot,P_lvl_educ_ns_15_24,P_lvl_educ_ns_25_34,P_lvl_educ_ns_35_44,P_lvl_educ_ns_45_54,P_lvl_educ_ns_55_64,P_lvl_educ_ns_65_74,P_lvl_educ_ns_75_84,P_lvl_educ_ns_85ov,P_lvl_educ_ns_Tot,P_Tot_15_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
CED501,1080,641,393,189,72,6,3055,59,441,578,496,344,163,43,11,2127,792,3424,4072,2695,1448,872,323,63,13686,711,2420,3138,2946,2119,1074,408,108,12914,3541,7656,6674,5876,4633,2429,1142,273,32226,1270,689,372,293,225,110,42,6,3005,223,328,487,571,467,336,179,29,2618,5033,8674,7538,6743,5323,2881,1362,302,37848,81,133,181,169,171,143,89,33,1004,1384,1646,1547,1282,1062,988,920,513,9339,8100,17364,18137,14965,10852,6307,3214,1035,79983
CED502,2495,968,457,219,71,11,5824,52,456,660,398,278,164,53,4,2068,1057,5250,6305,2934,1562,924,339,74,18441,835,2808,3457,2388,1716,1007,395,94,12707,3124,5808,5561,4348,3590,2424,1005,199,26058,1102,557,380,272,180,107,43,8,2647,200,328,447,491,390,316,150,37,2359,4427,6694,6386,5114,4155,2844,1197,247,31060,68,177,258,187,156,137,78,25,1092,1346,1800,1747,1332,1095,1041,881,586,9828,7860,18726,21303,13322,9416,6338,3022,1043,81024
CED503,615,536,444,311,107,16,2376,29,294,402,447,387,276,85,17,1936,542,2229,2620,2236,1698,1402,586,120,11433,475,1563,2106,2260,2243,1655,785,171,11258,2765,5455,5183,4962,4699,3352,1565,367,28346,952,398,313,233,229,164,58,10,2363,187,240,365,474,501,424,261,65,2533,3900,6094,5857,5674,5432,3940,1888,446,33242,56,94,131,130,173,199,155,46,985,933,986,1076,1125,1074,1374,1360,824,8744,5975,11572,12807,12404,11446,9161,4969,1640,69969
CED504,1812,898,542,321,113,11,5773,64,645,673,537,383,237,92,4,2640,1637,6360,5648,3306,2161,1501,551,100,21263,939,2866,2860,2401,2077,1487,612,122,13368,2567,5050,4403,4064,3873,2565,1128,277,23934,846,416,333,295,227,139,46,3,2307,205,324,415,559,588,397,186,47,2721,3621,5790,5149,4922,4693,3100,1364,332,28959,82,196,218,201,191,192,109,39,1224,1195,1715,1600,1190,1112,1094,967,447,9325,7677,19514,17959,13456,11151,7940,3807,1054,82557
CED505,4579,3979,2746,1814,821,226,18010,77,980,1241,1417,1131,717,318,63,5935,3227,9336,9351,8424,5821,4249,2118,653,43177,596,1676,2094,2401,2338,1963,1351,494,12915,1398,2412,2015,1730,1695,1184,719,301,11455,442,168,137,108,112,89,61,17,1133,116,168,210,375,416,373,279,136,2069,1959,2745,2357,2215,2220,1648,1059,458,14651,73,158,209,197,155,238,192,102,1315,777,1239,1115,865,829,1040,1156,943,7971,7004,19672,20947,19494,15235,11660,7008,2940,103970
CED506,1229,857,852,577,131,6,4951,48,651,744,695,681,505,61,4,3392,1019,5580,4901,3582,2891,2112,595,75,20763,473,2347,3151,3235,3439,2534,649,79,15905,3159,9481,9375,8404,7465,4707,1289,183,44061,1205,813,612,425,401,251,50,6,3769,195,378,499,599,700,611,180,39,3204,4564,10677,10488,9424,8572,5568,1515,227,51035,58,152,154,178,191,213,114,29,1091,4242,8304,8015,7703,6694,4198,1949,591,41695,10490,28921,28689,25669,23326,15709,5014,1011,138825
CED507,700,616,491,445,152,21,2886,28,301,583,605,493,336,103,13,2468,413,2788,3694,3218,2325,1798,676,168,15079,304,1396,2113,2263,2317,1738,730,181,11037,2783,5211,5757,5285,4576,2960,1129,256,27950,1009,488,342,297,252,164,46,15,2608,162,211,377,533,521,428,182,39,2439,3951,5906,6480,6114,5351,3549,1360,306,33004,37,98,139,126,153,201,103,32,889,1008,1260,1306,1372,1419,1444,1133,666,9602,5770,12183,15007,14314,12544,9506,4258,1386,74957
CED508,2556,1716,1243,749,213,42,8505,69,835,1008,872,694,366,102,12,3960,1659,7274,6865,4675,2993,1812,636,121,26051,702,2234,2915,2759,2194,1521,546,106,12976,2362,4870,4519,4091,3470,2125,876,233,22546,792,326,277,243,193,107,45,11,1989,179,247,375,497,512,358,156,49,2372,3332,5446,5167,4832,4169,2593,1071,293,26903,74,155,216,185,194,178,86,38,1122,856,1327,1305,1177,1001,1063,908,760,8398,6780,19176,20029,16215,12485,8284,3569,1370,87909
CED509,1550,997,686,461,197,29,4918,56,494,733,688,521,274,111,11,2894,972,4306,4879,3657,2183,1639,661,153,18457,651,2384,3135,2834,2239,1529,750,164,13680,2914,6204,5554,4913,4074,2485,1100,240,27479,940,475,346,272,166,125,47,4,2381,186,295,457,542,518,389,189,55,2629,4041,6977,6362,5723,4756,2997,1338,304,32489,79,144,213,167,179,156,113,39,1100,955,1241,1285,1165,1026,956,911,656,8196,6810,16503,18161,15231,11590,8008,4071,1357,81729
CED510,1880,1810,1256,698,196,37,7037,62,520,988,1055,853,485,120,19,4096,1675,4696,6510,5634,3777,2527,793,148,25762,658,1533,2661,3292,3156,2316,796,183,14595,2202,3579,4208,4191,4309,2997,1139,260,22877,641,181,196,152,201,175,56,5,1606,154,173,367,598,580,516,247,61,2691,2994,3930,4774,4938,5085,3693,1442,323,27177,51,97,167,219,194,237,150,39,1155,552,671,799,838,766,855,775,617,5874,6081,12497,17774,17785,15090,10817,4271,1375,85694
