CED_CODE_2021,P_55_64_Ud_wk_L_5_hrs,P_55_64_Ud_wk_5_14_hrs,P_55_64_Ud_wk_15_29_hrs,P_55_64_Ud_wk_30h_more,P_55_64_no_Ud_wk,P_55_64_Ud_wk_ns,P_55_64_OS_vis,P_55_64_yr_Tot,P_65_74_Ud_wk_L_5_hrs,P_65_74_Ud_wk_5_14_hrs,P_65_74_Ud_wk_15_29_hrs,P_65_74_Ud_wk_30h_more,P_65_74_no_Ud_wk,P_65_74_Ud_wk_ns,P_65_74_OS_vis,P_65_74_yr_Tot,P_75_84_Ud_wk_L_5_hrs,P_75_84_Ud_wk_5_14_hrs,P_75_84_Ud_wk_15_29_hrs,P_75_84_Ud_wk_30h_more,P_75_84_no_Ud_wk,P_75_84_Ud_wk_ns,P_75_84_OS_vis,P_75_84_yr_Tot,P_85ov_Ud_wk_L_5_h,P_85ov_Ud_wk_5_14_h,P_85ov_Ud_wk_15_29_h,P_85ov_Ud_wk_30h_more,P_85ov_no_Ud_wk,P_85ov_Ud_wk_ns,P_85ov_OS_vis,P_85_yr_over_Tot,P_Tot_Ud_wk_L_5_hrs,P_Tot_Ud_wk_5_14_hrs,P_Tot_Ud_wk_15_29_hrs,P_Tot_Ud_wk_30h_more,P_Tot_no_Ud_wk,P_Tot_Ud_wk_ns,P_Tot_OS_vis,P_Total_Tot
CED501,3042,5859,2562,1817,4626,763,52,18717,1538,3103,2016,1776,4001,627,51,13116,790,1389,954,879,2737,584,18,7352,260,352,166,148,1127,415,8,2474,26737,35854,15359,13035,36394,8646,249,136274
CED502,2929,4956,2192,1600,4883,780,92,17435,1698,3145,2042,1731,4369,652,115,13758,768,1322,867,775,2616,537,32,6918,253,312,149,122,1139,426,4,2401,26556,34059,14443,12652,42615,7955,379,138659
CED503,3139,6053,3050,2161,4169,779,31,19380,2017,4484,3170,2763,4997,819,36,18291,1158,2147,1595,1521,3642,793,9,10862,400,487,276,275,1647,544,4,3632,22773,32690,15646,13969,30823,6708,167,122770
CED504,3566,6086,2679,1890,5753,788,89,20858,2250,4184,2582,1940,5290,700,59,17019,1126,1929,1213,984,3494,585,13,9354,421,519,223,179,1524,308,4,3175,29272,36007,14914,11642,45210,7391,289,144725
CED505,3914,7372,2988,1432,2511,600,86,18912,2416,5132,2936,1588,3080,730,77,15957,1338,2585,1797,1179,2915,772,33,10616,614,792,446,297,2270,667,14,5087,34976,42703,17451,10899,28091,6272,518,140914
CED506,5805,9489,3955,2702,8518,6144,103,36723,3666,6332,3689,3179,7496,3458,78,27896,1180,1950,1256,1264,3328,1457,16,10444,245,322,195,187,1045,416,6,2415,36814,49668,20455,16511,50956,39165,1284,214855
CED507,3462,6672,3233,2095,3511,1146,34,20154,2079,4580,3320,2558,3919,1009,23,17490,1029,1886,1417,1255,2724,694,14,9021,374,494,279,225,1448,469,0,3286,24206,35093,16711,13132,26131,8095,298,123674
CED508,3629,6440,2548,1514,3902,732,76,18836,1931,4036,2295,1586,3822,671,60,14410,888,1687,1004,794,2554,639,14,7578,360,439,210,177,1439,521,4,3143,29944,39043,15235,10923,31135,6559,420,133266
CED509,3273,6203,2752,1781,4028,859,60,18955,1753,3711,2532,2021,3568,627,49,14265,898,1696,1170,1126,2457,533,19,7899,355,386,226,171,1213,393,3,2747,27626,37105,15913,12908,32575,8272,252,134645
CED510,4108,7998,3465,1874,3467,475,39,21434,2287,5319,3506,2285,3946,425,31,17801,911,1857,1287,994,2536,441,19,8057,360,460,241,170,1544,284,3,3058,29803,39313,17629,11336,27224,3883,204,129394
CED511,4387,7730,3700,2438,5439,3186,48,26919,2523,4725,3178,3017,4864,2046,38,20403,1195,1880,1418,1494,3124,1170,9,10295,432,505,296,255,1513,538,4,3551,27537,38192,17767,14628,33706,20871,383,153080
CED512,3055,5448,2276,1476,4197,547,54,17050,1461,2952,1855,1385,3397,377,43,11464,710,1283,843,659,2251,370,18,6150,211,307,144,95,1064,248,6,2081,28804,36374,14861,11525,35544,5240,285,132628
CED513,3954,6605,2461,1305,4117,1163,127,19741,2107,4052,2223,1415,4008,868,69,14745,1020,1745,1072,804,2963,687,30,8317,520,616,308,193,2209,424,4,4271,36334,45369,15260,9817,38231,10318,1114,156439
CED514,3576,6188,2459,1594,4588,1056,107,19568,2031,4126,2442,1652,4278,805,82,15410,993,1704,1081,824,2961,772,30,8359,432,546,242,178,1835,790,4,4031,34162,42192,15509,11126,43146,10337,560,157039
CED515,3963,7570,3574,2127,3703,626,116,21671,2451,5356,3517,2572,4104,582,112,18700,1256,2341,1606,1268,3196,665,33,10366,553,760,417,268,2221,591,20,4830,32865,41256,18805,13579,34323,6615,512,147954
CED597,39,46,15,11,208,218,29,560,20,20,9,7,67,53,0,178,3,11,3,0,7,6,0,32,0,0,0,0,0,0,4,3,221,231,78,61,1268,1385,164,3410
