CED_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Prim_Other_Non_Govt_M,Prim_Other_Non_Govt_F,Prim_Other_Non_Govt_P,Primary_Tot_M,Primary_Tot_F,Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_Ed_Ft_15_24_yr_M,Tert_Voc_Ed_Ft_15_24_yr_F,Tert_Voc_Ed_Ft_15_24_yr_P,Tert_Voc_Ed_Ft_25_yr_over_M,Tert_Voc_Ed_Ft_25_yr_over_F,Tert_Voc_Ed_Ft_25_yr_over_P,Tert_Voc_Ed_Pt_15_24_yr_M,Tert_Voc_Ed_Pt_15_24_yr_F,Tert_Voc_Ed_Pt_15_24_yr_P,Tert_Voc_Ed_Pt_25_yr_over_M,Tert_Voc_Ed_Pt_25_yr_over_F,Tert_Voc_Ed_Pt_25_yr_over_P,Tert_Voc_Ed_Ft_Pt_st_ns_M,Tert_Voc_Ed_Ft_Pt_st_ns_F,Tert_Voc_Ed_Ft_Pt_st_ns_P,Tert_Voc_Ed_Tot_M,Tert_Voc_Ed_Tot_F,Tert_Voc_Ed_Tot_P,Tert_Uni_oth_edu_Ft_15_24_M,Tert_Uni_oth_edu_Ft_15_24_F,Tert_Uni_oth_edu_Ft_15_24_P,Tert_Uni_oth_edu_Ft_25ov_M,Tert_Uni_oth_edu_Ft_25ov_F,Tert_Uni_oth_edu_Ft_25ov_P,Tert_Uni_oth_edu_Pt_15_24_M,Tert_Uni_oth_edu_Pt_15_24_F,Tert_Uni_oth_edu_Pt_15_24_P,Tert_Uni_oth_edu_Pt_25ov_M,Tert_Uni_oth_edu_Pt_25ov_F,Tert_Uni_oth_edu_Pt_25ov_P,Tert_Uni_oth_edu_F_Pt_st_ns_M,Tert_Uni_oth_edu_F_Pt_st_ns_F,Tert_Uni_oth_edu_F_Pt_st_ns_P,Tert_Uni_oth_edu_Tot_M,Tert_Uni_oth_edu_Tot_F,Tert_Uni_oth_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Oth_type_Edu_inst_Ftime_stu_M,Oth_type_Edu_inst_Ftime_stu_F,Oth_type_Edu_inst_Ftime_stu_P,Oth_type_Edu_inst_Ptime_stu_M,Oth_type_Edu_inst_Ptime_stu_F,Oth_type_Edu_inst_Ptime_stu_P,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_M,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_F,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_P,Oth_type_educ_institut_Tot_M,Oth_type_educ_institut_Tot_F,Oth_type_educ_institut_Tot_P,Type_educ_institution_ns_M,Type_educ_institution_ns_F,Type_educ_institution_ns_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
CED501,1748,1642,3388,6697,6182,12875,1115,1088,2206,1185,1223,2410,9004,8508,17515,4289,4047,8336,1002,1076,2074,1353,1316,2668,6649,6454,13104,419,418,842,229,530,756,701,453,1157,586,1174,1761,7,13,24,1949,2588,4536,875,1340,2220,341,749,1088,178,295,477,523,1045,1573,3,11,13,1933,3444,5371,3894,6033,9925,277,287,560,443,736,1177,11,8,18,725,1031,1751,5439,4035,9477,138,134,271,27598,27834,55430
CED502,1900,1764,3669,6530,6125,12652,1136,1086,2222,1547,1511,3063,9241,8741,17982,4296,4019,8315,863,828,1697,1181,1254,2436,6349,6117,12462,497,502,998,410,737,1144,556,386,947,650,1200,1843,12,13,31,2119,2847,4966,1359,1779,3138,556,846,1404,240,346,579,550,904,1448,6,10,16,2705,3878,6586,4842,6728,11571,359,370,724,509,801,1304,10,9,24,876,1178,2054,4435,4507,8942,179,231,411,27812,29276,57088
CED503,1326,1266,2591,4448,4390,8839,1115,1089,2204,1210,1224,2433,6791,6714,13502,3175,2945,6119,858,940,1796,1288,1298,2586,5326,5186,10510,276,318,593,130,355,485,604,354,958,423,904,1323,4,5,14,1438,1936,3371,547,1108,1654,190,516,706,125,221,346,312,760,1071,5,3,11,1183,2606,3790,2632,4543,7176,168,218,385,304,560,867,3,4,9,483,779,1261,3767,3656,7424,78,109,186,20392,22251,42646
CED504,1526,1446,2972,4863,4361,9229,1586,1538,3127,863,816,1684,7331,6745,14078,3360,3162,6523,1490,1407,2902,891,893,1783,5757,5469,11234,487,486,971,495,760,1258,485,289,780,647,1161,1811,8,11,23,2128,2705,4841,1711,2228,3941,709,831,1540,328,389,721,586,942,1522,12,15,23,3344,4399,7748,5497,7130,12624,337,399,734,496,737,1232,9,7,21,841,1144,1986,3962,4023,7989,102,203,309,25031,26167,51194
CED505,1507,1358,2865,4808,4535,9341,1054,1047,2102,1125,1005,2127,6988,6593,13582,2851,2581,5430,1143,1304,2451,2790,2600,5395,6786,6501,13287,255,255,512,252,397,656,244,141,385,448,735,1186,3,3,8,1202,1536,2737,3617,4154,7773,1182,1371,2556,420,464,883,1039,1594,2632,8,10,22,6266,7596,13867,7477,9143,16617,164,204,366,365,584,951,0,8,15,532,800,1330,3095,3404,6505,292,281,571,26678,28088,54764
CED506,1699,1608,3308,6800,6243,13039,1752,1719,3478,744,716,1457,9306,8689,17997,3908,3621,7533,1219,1310,2526,532,611,1142,5670,5547,11218,209,235,445,170,267,439,582,418,1001,834,1393,2229,17,9,24,1814,2326,4140,189,405,589,182,470,650,80,199,281,655,1266,1917,7,4,10,1111,2334,3456,2932,4670,7599,198,211,409,345,559,904,14,11,25,557,779,1334,27407,15374,42783,812,504,1319,48382,37174,85555
CED507,1333,1284,2623,4754,4282,9041,1252,1190,2445,1074,1001,2075,7092,6484,13579,3609,3456,7064,1126,1213,2343,968,996,1962,5706,5662,11371,254,212,466,132,359,487,594,309,905,426,959,1391,9,8,19,1417,1849,3261,151,431,581,137,435,571,53,136,195,327,903,1232,0,3,8,673,1917,2589,2092,3767,5856,149,161,307,287,500,783,6,6,14,439,667,1107,4765,4218,8985,186,142,328,21615,22227,43845
CED508,1587,1426,3022,4846,4757,9602,1199,1287,2483,522,546,1066,6578,6592,13174,2685,2508,5192,1755,1774,3529,850,804,1655,5300,5089,10390,282,287,564,252,396,653,487,281,774,543,920,1464,7,3,18,1569,1893,3467,1513,2238,3758,635,1071,1713,331,426,760,799,1461,2257,8,6,21,3292,5208,8504,4878,7112,11986,169,160,331,422,636,1063,14,0,13,603,807,1407,3423,3287,6714,246,204,455,22615,24522,47138
CED509,1751,1605,3363,5616,5251,10869,1259,1245,2505,1355,1283,2639,8254,7796,16049,3255,3067,6325,1548,1399,2948,1781,1593,3372,6588,6083,12665,327,370,701,221,449,670,598,338,937,570,983,1560,5,3,9,1726,2146,3877,1145,1566,2710,386,674,1062,217,333,550,549,1099,1652,10,4,11,2303,3678,5980,4041,5838,9876,221,272,496,429,702,1129,9,4,13,664,979,1641,5134,3584,8717,120,162,275,26554,26043,52592
CED510,1460,1279,2740,5242,4848,10089,1293,1265,2557,993,988,1979,7535,7117,14649,3606,3262,6863,1299,1343,2642,1639,1619,3259,6546,6235,12781,334,308,640,158,278,437,582,235,816,410,695,1107,0,0,3,1481,1520,3004,1924,2301,4224,527,652,1178,307,372,673,592,1103,1700,11,5,14,3354,4439,7791,4835,5963,10802,152,175,327,388,594,980,0,3,9,538,769,1310,1891,1967,3855,112,116,225,22923,23442,46366
