CED_CODE_2021,Separate_house_NB0_i_sa_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Sd_r_or_t_h_t_1_s_NB0_i_sa_b,Sd_r_or_t_h_t_1_st_NofB_1,Sd_r_or_t_h_t_1_st_NofB_2,Sd_r_or_t_h_t_1_st_NofB_3,Sd_r_or_t_h_t_1_st_NofB_4,Sd_r_or_t_h_t_1_st_NofB_5,Sd_r_or_t_h_t_1_st_NofB_6_m,Sd_r_or_t_h_t_1_st_NofB_NS,Sd_r_or_t_h_t_1_st_Total,Sd_r_or_t_h_t_2m_s_NB0_i_sa_b,Sd_r_or_t_h_t_2m_sts_NofB_1,Sd_r_or_t_h_t_2m_sts_NofB_2m,Sd_r_or_t_h_t_2m_sts_NofB_3,Sd_r_or_t_h_t_2m_sts_NofB_4,Sd_r_or_t_h_t_2m_sts_NofB_5,Sd_r_or_t_h_t_2m_st_NofB_6_m,Sd_r_or_t_h_t_2m_sts_NofB_NS,Sd_r_or_t_h_t_2m_sts_Total,Sd_r_or_t_h_t_T_NB0_i_sa_b,Sd_r_or_t_h_t_Total_NofB_1,Sd_r_or_t_h_t_Total_NofB_2,Sd_r_or_t_h_t_Total_NofB_3,Sd_r_or_t_h_t_Total_NofB_4,Sd_r_or_t_h_t_Total_NofB_5,Sd_r_or_t_h_t_Tot_NofB_6_m,Sd_r_or_t_h_t_Tot_NofB_NS,Sd_r_or_t_h_t_Total_Total,Fl_a_1_or2_st_bl_NB0_i_sa_b,Fl_a_1_or2_st_bl_NofB_1,Fl_a_1_or2_st_bl_NofB_2,Fl_a_1_or2_st_bl_NofB_3,Fl_a_1_or2_st_bl_NofB_4,Fl_a_1_or2_st_bl_NofB_5,Fl_a_1_or2_st_bl_NofB_6_m,Fl_a_1_or2_st_bl_NofB_NS,Fl_a_1_or2_st_bl_Total,Fl_a_3_st_bl_NB0_i_sa_b,Fl_a_In_3_st_bl_NofB_1,Fl_a_In_3_st_bl_NofB_2,Fl_a_In_3_st_bl_NofB_3,Fl_a_In_3_st_bl_NofB_4,Fl_a_In_3_st_bl_NofB_5,Fl_a_In_3_s_bl_NofB_6_m,Fl_a_In_3_st_bl_NofB_NS,Fl_a_In_3_st_bl_Total,Fl_a_4_to_8_s_b_NB0_i_sa_b,Fl_a_4_to_8_s_b_NofB_1,Fl_a_4_to_8_s_b_NofB_2,Fl_a_4_to_8_s_b_NofB_3,Fl_a_4_to_8_s_b_NofB_4,Fl_a_4_to_8_s_b_NofB_5,Fl_a_4_to_8_s_b_NofB_6_m,Fl_a_4_to_8_s_b_NofB_NS,Fl_a_4_to_8_s_b_Total,Fl_a_9_or_m_s_b_NB0_i_sa_b,Fl_a_9_or_m_s_b_NofB_1,Fl_a_9_or_m_s_b_NofB_2,Fl_a_9_or_m_s_b_NofB_3,Fl_a_9_or_m_s_b_NofB_4,Fl_a_9_or_m_s_b_NofB_5,Fl_a_9_or_m_s_b_NofB_6_m,Fl_a_9_or_m_s_b_NofB_NS,Fl_a_9_or_m_s_b_Total,Fl_a_At_to_a_h_NB0_i_sa_b,Fl_a_At_to_a_hse_NofB_1,Fl_a_At_to_a_hse_NofB_2,Fl_a_At_to_a_hse_NofB_3,Fl_a_At_to_a_hse_NofB_4,Fl_a_At_to_a_hse_NofB_5,Fl_a_At_to_a_hse_NofB_6_m,Fl_a_At_to_a_hse_NofB_NS,Fl_a_At_to_a_hse_Total,Fl_a_Total_NB0_i_sa_b,Fl_a_Total_NofB_1,Fl_a_Total_NofB_2,Fl_a_Total_NofB_3,Fl_a_Total_NofB_4,Fl_a_Total_NofB_5,Fl_a_Tot_NofB_6_or_m,Fl_a_Total_NofB_NS,Fl_a_Total_Total,Other_dwelling_NB0_i_sa_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dw_struct_NS_NB0_i_sa_b,Dw_struct_NS_NofB_1,Dw_struct_NS_NofB_2,Dw_struct_NS_NofB_3,Dw_struct_NS_NofB_4,Dw_struct_NS_NofB_5,Dw_struct_NS_NofB_6_or_m,Dw_struct_NS_NofB_NS,Dw_struct_NS_Total,Total_NB0_i_sa_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
CED501,55,337,1983,18547,33231,3287,486,2525,60456,6,271,1111,1113,63,0,3,170,2743,3,64,287,283,35,5,0,52,717,8,334,1400,1400,96,5,3,222,3462,6,167,837,284,24,0,0,155,1476,0,46,289,54,0,0,0,45,431,0,61,178,63,3,0,0,23,330,0,0,15,14,0,0,0,0,34,0,12,9,12,12,4,0,8,51,9,287,1330,423,42,5,0,227,2322,32,144,106,8,6,0,0,131,429,0,12,9,8,25,6,0,31,88,103,1122,4824,20385,33405,3297,492,3137,66760
CED502,54,252,1756,23680,26367,2780,497,2639,58024,11,467,1497,3252,184,17,8,471,5917,0,53,243,194,12,0,0,48,552,11,520,1745,3448,195,21,8,520,6472,3,85,230,191,8,0,4,61,581,0,57,195,50,0,0,0,21,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,31,13,6,3,5,8,82,4,168,457,246,14,10,8,88,991,33,137,27,27,28,3,4,130,376,3,7,17,10,10,0,0,20,81,111,1072,4004,27412,26620,2809,518,3393,65938
CED503,95,566,3155,15995,28003,3437,714,2098,54057,9,447,1692,1629,82,6,8,292,4178,5,48,317,662,70,7,0,58,1161,13,499,2008,2290,156,18,8,349,5340,0,103,238,108,0,0,0,58,515,0,4,59,121,12,4,0,10,203,0,7,65,120,0,0,0,14,212,0,0,48,107,0,0,0,8,170,0,22,35,11,12,0,4,11,80,0,135,446,470,22,3,4,97,1186,63,283,267,93,17,4,3,178,920,3,19,30,17,19,0,0,16,113,174,1501,5907,18861,28223,3473,729,2737,61609
CED504,34,217,1473,24150,22229,3274,529,2123,54035,17,927,2919,7430,427,39,16,830,12612,6,144,428,835,114,8,0,132,1662,22,1067,3348,8261,541,47,18,959,14274,0,178,367,110,4,0,0,43,710,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,19,21,6,6,0,0,3,67,0,192,406,122,11,0,0,52,790,0,0,0,0,5,0,0,47,57,3,3,9,21,3,0,0,23,60,67,1490,5242,32554,22788,3327,555,3204,69220
CED505,30,223,2923,14944,15445,4404,769,861,39598,10,482,2855,4343,409,40,10,385,8538,13,416,1797,3785,795,57,6,246,7123,24,902,4657,8130,1203,95,20,634,15657,26,902,2695,410,21,3,8,291,4356,107,1294,2081,417,24,3,4,253,4181,38,1195,1839,529,14,0,0,272,3885,0,84,597,208,15,0,0,47,963,0,12,5,9,6,0,0,3,34,175,3490,7218,1568,71,10,12,872,13417,4,6,4,4,7,0,0,20,41,0,8,16,17,3,0,0,19,72,235,4628,14816,24664,16730,4510,799,2411,68794
CED506,364,1494,5471,24445,20442,2719,709,6537,62176,43,684,2129,1441,214,19,14,1043,5581,13,120,368,487,199,37,3,182,1415,52,808,2496,1930,416,53,14,1225,6995,26,400,563,228,28,3,10,326,1572,0,69,119,24,0,0,3,29,242,0,44,72,34,0,0,0,58,207,0,83,77,14,0,0,0,18,195,3,8,9,8,0,0,0,5,30,31,605,832,301,24,8,11,434,2252,3483,4845,631,532,477,87,57,2259,12370,330,618,179,175,121,31,83,563,2099,4261,8371,9603,27385,21481,2895,877,11020,85894
CED507,125,647,3274,19126,25268,2717,513,2467,54146,14,523,1764,1751,211,16,11,417,4696,0,69,176,424,109,17,0,64,861,12,594,1941,2171,321,32,10,478,5560,4,145,251,115,10,0,0,67,596,0,10,70,25,0,0,0,12,123,0,4,26,7,0,0,0,6,42,0,0,13,23,0,0,0,6,38,7,16,9,9,11,0,0,0,48,4,169,372,180,22,4,0,91,841,123,422,298,68,49,3,0,448,1413,6,30,37,31,30,11,10,43,194,284,1855,5921,21572,25694,2767,538,3528,62155
CED508,59,394,2627,18324,22873,2596,427,1457,48760,13,586,2721,3316,415,36,8,445,7529,14,286,903,1369,220,17,10,186,3012,32,868,3631,4686,634,59,12,626,10541,8,326,738,145,12,3,3,101,1338,9,398,968,293,8,0,0,143,1818,49,674,1266,316,29,0,4,169,2505,0,96,257,32,0,0,0,21,407,10,26,31,27,17,8,3,6,134,70,1528,3262,806,65,10,15,441,6199,43,148,183,49,10,5,0,236,673,4,21,30,22,10,0,0,23,119,212,2962,9731,23887,23591,2671,456,2780,66286
CED509,85,371,2584,18838,27856,3896,819,1801,56247,11,400,1240,1881,184,4,3,285,4016,0,58,360,310,46,4,3,84,870,11,463,1604,2191,231,9,8,372,4881,0,77,205,49,12,0,0,36,374,0,64,271,19,0,0,0,22,375,0,24,64,8,0,0,0,16,110,0,17,33,3,0,0,0,12,63,0,26,27,13,13,4,3,7,88,3,200,592,97,21,4,3,89,1019,43,116,94,18,11,6,5,452,746,7,11,14,26,11,5,6,48,123,154,1155,4887,21167,28137,3926,839,2763,63019
CED510,36,147,778,14137,30271,5170,706,946,52201,0,183,1093,2367,257,19,4,188,4111,9,98,316,733,271,52,14,68,1560,10,284,1406,3106,530,70,15,253,5671,26,91,175,132,5,0,0,74,505,0,89,330,126,5,0,0,46,602,4,108,342,134,0,0,0,46,635,0,0,0,0,0,0,0,0,0,0,22,30,8,11,8,9,7,89,37,310,875,401,26,8,7,171,1830,35,89,64,21,8,0,0,136,364,3,3,6,10,0,0,0,27,50,123,833,3129,17673,30836,5248,732,1540,60114
