CED_CODE_2021,M_Arthritis_0_14,M_Arthritis_15_24,M_Arthritis_25_34,M_Arthritis_35_44,M_Arthritis_45_54,M_Arthritis_55_64,M_Arthritis_65_74,M_Arthritis_75_84,M_Arthritis_85_over,M_Arthritis_Tot,M_Asthma_0_14,M_Asthma_15_24,M_Asthma_25_34,M_Asthma_35_44,M_Asthma_45_54,M_Asthma_55_64,M_Asthma_65_74,M_Asthma_75_84,M_Asthma_85_over,M_Asthma_Tot,M_Cancer_0_14,M_Cancer_15_24,M_Cancer_25_34,M_Cancer_35_44,M_Cancer_45_54,M_Cancer_55_64,M_Cancer_65_74,M_Cancer_75_84,M_Cancer_85_over,M_Cancer_Tot,M_Dementia_0_14,M_Dementia_15_24,M_Dementia_25_34,M_Dementia_35_44,M_Dementia_45_54,M_Dementia_55_64,M_Dementia_65_74,M_Dementia_75_84,M_Dementia_85_over,M_Dementia_Tot,M_Diabetes_0_14,M_Diabetes_15_24,M_Diabetes_25_34,M_Diabetes_35_44,M_Diabetes_45_54,M_Diabetes_55_64,M_Diabetes_65_74,M_Diabetes_75_84,M_Diabetes_85_over,M_Diabetes_Tot,M_Heart_disease_0_14,M_Heart_disease_15_24,M_Heart_disease_25_34,M_Heart_disease_35_44,M_Heart_disease_45_54,M_Heart_disease_55_64,M_Heart_disease_65_74,M_Heart_disease_75_84,M_Heart_disease_85_over,M_Heart_disease_Tot,M_Kidney_disease_0_14,M_Kidney_disease_15_24,M_Kidney_disease_25_34,M_Kidney_disease_35_44,M_Kidney_disease_45_54,M_Kidney_disease_55_64,M_Kidney_disease_65_74,M_Kidney_disease_75_84,M_Kidney_disease_85_over,M_Kidney_disease_Tot,M_Lung_cond_0_14,M_Lung_cond_15_24,M_Lung_cond_25_34,M_Lung_cond_35_44,M_Lung_cond_45_54,M_Lung_cond_55_64,M_Lung_cond_65_74,M_Lung_cond_75_84,M_Lung_cond_85_over,M_Lung_cond_Tot,M_Mental_health_cond_0_14,M_Mental_health_cond_15_24,M_Mental_health_cond_25_34,M_Mental_health_cond_35_44,M_Mental_health_cond_45_54,M_Mental_health_cond_55_64,M_Mental_health_cond_65_74,M_Mental_health_cond_75_84,M_Mental_health_cond_85_over,M_Mental_health_cond_Tot,M_Stroke_0_14,M_Stroke_15_24,M_Stroke_25_34,M_Stroke_35_44,M_Stroke_45_54,M_Stroke_55_64,M_Stroke_65_74,M_Stroke_75_84,M_Stroke_85_over,M_Stroke_Tot,M_Oth_lt_health_cond_0_14,M_Oth_lt_health_cond_15_24,M_Oth_lt_health_cond_25_34,M_Oth_lt_health_cond_35_44,M_Oth_lt_health_cond_45_54,M_Oth_lt_health_cond_55_64,M_Oth_lt_health_cond_65_74,M_Oth_lt_health_cond_75_84,M_Oth_lt_health_cond_85_over,M_Oth_lt_health_cond_Tot,M_No_lt_health_cond_0_14,M_No_lt_health_cond_15_24,M_No_lt_health_cond_25_34,M_No_lt_health_cond_35_44,M_No_lt_health_cond_45_54,M_No_lt_health_cond_55_64,M_No_lt_health_cond_65_74,M_No_lt_health_cond_75_84,M_No_lt_health_cond_85_over,M_No_lt_health_cond_Tot,M_NS_0_14,M_NS_15_24,M_NS_25_34,M_NS_35_44,M_NS_45_54,M_NS_55_64,M_NS_65_74,M_NS_75_84,M_NS_85_over,M_NS_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_over,M_Tot_Tot,F_Arthritis_0_14,F_Arthritis_15_24,F_Arthritis_25_34,F_Arthritis_35_44,F_Arthritis_45_54,F_Arthritis_55_64,F_Arthritis_65_74,F_Arthritis_75_84,F_Arthritis_85_over,F_Arthritis_Tot,F_Asthma_0_14,F_Asthma_15_24,F_Asthma_25_34,F_Asthma_35_44,F_Asthma_45_54,F_Asthma_55_64,F_Asthma_65_74,F_Asthma_75_84,F_Asthma_85_over,F_Asthma_Tot,F_Cancer_0_14,F_Cancer_15_24,F_Cancer_25_34,F_Cancer_35_44,F_Cancer_45_54,F_Cancer_55_64,F_Cancer_65_74,F_Cancer_75_84,F_Cancer_85_over,F_Cancer_Tot,F_Dementia_0_14,F_Dementia_15_24,F_Dementia_25_34,F_Dementia_35_44,F_Dementia_45_54,F_Dementia_55_64,F_Dementia_65_74,F_Dementia_75_84,F_Dementia_85_over,F_Dementia_Tot,F_Diabetes_0_14,F_Diabetes_15_24,F_Diabetes_25_34,F_Diabetes_35_44,F_Diabetes_45_54,F_Diabetes_55_64,F_Diabetes_65_74,F_Diabetes_75_84,F_Diabetes_85_over,F_Diabetes_Tot,F_Heart_disease_0_14,F_Heart_disease_15_24,F_Heart_disease_25_34,F_Heart_disease_35_44,F_Heart_disease_45_54,F_Heart_disease_55_64,F_Heart_disease_65_74,F_Heart_disease_75_84,F_Heart_disease_85_over,F_Heart_disease_Tot
CED501,15,45,186,361,695,1283,1335,970,302,5194,1681,849,908,866,764,563,396,246,50,6318,22,21,53,77,208,446,619,522,157,2118,0,0,0,9,11,35,78,143,105,379,21,56,131,331,752,1139,1162,715,172,4484,28,17,54,98,326,809,1090,932,279,3633,25,17,36,45,77,126,157,185,86,736,35,11,32,57,135,331,454,420,139,1605,592,947,1270,1189,1072,868,477,230,47,6688,5,3,16,26,54,154,229,227,80,787,1128,550,604,672,897,982,718,412,156,6123,15721,8089,7959,7750,6287,4207,1996,737,168,52911,1662,1169,1473,1302,982,660,380,247,140,8007,20478,11386,12069,11893,10769,9051,6141,3448,1019,86258,21,95,273,657,1388,2083,2356,1704,622,9197,1193,1024,1481,1471,1209,1036,783,396,121,8710,24,21,74,191,399,574,639,402,139,2456,0,0,0,0,5,32,54,202,166,458,43,71,169,296,588,913,980,586,195,3843,28,24,34,88,209,405,618,632,306,2352
CED502,15,38,139,321,580,972,1271,812,254,4405,1362,818,886,894,649,513,418,190,54,5787,17,28,48,76,164,343,587,396,131,1789,4,0,0,0,10,26,78,151,105,368,32,60,154,509,882,1228,1404,706,177,5146,32,19,53,142,363,772,1144,782,277,3585,39,11,28,56,67,106,191,178,69,744,27,13,25,62,140,288,462,333,107,1455,444,834,1080,1079,935,721,433,174,47,5741,3,7,13,23,65,119,223,208,66,726,1044,527,556,828,949,932,725,358,126,6039,16725,8202,9130,10155,6350,3939,2137,779,147,57562,1649,904,1014,992,855,619,399,223,147,6802,20991,11059,12566,14216,10557,8340,6476,3204,946,88369,18,68,254,524,1135,1857,2284,1541,592,8271,991,930,1280,1332,1133,1029,867,407,105,8081,16,22,69,163,276,457,590,379,103,2073,0,4,4,8,3,21,54,165,177,427,33,74,169,470,790,1149,1206,605,217,4706,17,17,43,111,196,469,699,593,294,2453
CED503,14,42,104,249,558,1179,1940,1510,447,6039,1143,650,624,647,634,549,574,345,96,5263,16,16,35,86,168,508,969,855,240,2895,0,0,0,3,9,28,91,200,144,476,23,62,86,204,532,971,1474,994,247,4593,19,19,46,79,285,780,1573,1338,456,4595,12,7,11,23,55,99,207,274,128,814,21,19,19,40,90,282,597,547,169,1787,405,704,832,867,880,842,682,336,87,5636,8,4,7,33,63,133,292,321,124,983,845,441,370,515,712,920,967,572,186,5531,11913,5993,5267,5476,5260,4498,2933,1254,265,42858,1265,707,660,758,794,655,552,371,186,5946,15381,8347,7665,8334,8894,9115,8810,5314,1530,73385,14,74,187,455,1078,2125,3128,2375,943,10381,851,717,967,1060,977,1087,1007,586,159,7425,14,17,48,147,325,592,825,602,195,2762,0,0,0,0,3,18,94,217,238,573,29,60,101,230,421,770,1053,727,245,3653,22,19,26,53,159,394,788,812,449,2720
CED504,13,32,130,264,530,1030,1399,1017,349,4765,1004,765,820,820,685,590,509,283,91,5567,19,15,53,71,141,400,711,555,150,2124,0,0,0,3,14,26,87,249,182,566,27,46,133,360,687,1259,1617,948,227,5296,19,20,31,103,337,801,1332,1046,362,4052,30,5,20,51,74,143,237,193,93,840,20,12,37,49,121,285,470,382,127,1494,306,719,971,969,892,784,508,233,83,5471,0,4,7,25,67,169,252,250,109,892,717,489,525,686,817,1100,951,526,217,6025,13640,8325,9789,8645,6667,5054,2844,1178,242,56388,1371,860,901,912,787,672,446,227,81,6256,16927,10963,12947,12232,10618,10002,7942,4347,1286,87259,14,55,183,369,909,1964,2673,1948,862,8973,681,824,1057,1066,1032,1076,929,500,148,7325,17,14,46,138,292,540,677,456,178,2353,0,0,3,0,8,37,85,277,340,758,11,43,111,256,596,1063,1479,877,278,4730,18,14,38,57,179,454,755,728,386,2628
CED505,10,29,107,177,424,705,1068,1003,461,3983,807,850,756,742,744,544,431,288,103,5269,29,27,46,84,190,430,773,739,327,2644,0,0,0,0,4,23,86,250,247,613,25,48,52,155,275,450,737,647,243,2626,16,18,35,72,238,594,1107,1107,547,3727,8,19,17,34,44,65,100,166,95,558,25,18,16,18,49,122,247,285,159,940,245,798,855,843,813,597,451,253,98,4951,7,11,12,18,46,74,169,259,133,720,604,487,398,506,701,824,856,573,293,5248,13059,8218,7933,8070,7369,5312,3127,1347,321,54757,866,647,713,658,619,519,467,345,206,5039,15513,10852,10552,10934,10695,9011,7440,4783,1862,81636,22,63,150,251,631,1315,2057,1956,1196,7648,561,821,951,875,874,703,696,449,233,6163,25,26,62,150,409,616,768,649,332,3044,3,6,0,4,3,19,90,291,588,1005,21,52,72,104,172,361,535,489,252,2051,15,20,31,37,81,249,532,733,671,2366
CED506,21,49,173,386,874,1913,2609,1253,287,7554,1230,712,1117,1178,983,991,809,305,70,7392,12,27,52,108,254,756,1262,696,138,3313,0,4,8,9,11,37,81,176,121,440,38,85,202,452,984,1749,1937,891,160,6507,49,38,71,174,511,1329,2051,1171,269,5672,23,22,43,59,131,200,303,226,76,1075,31,19,25,38,173,444,737,440,95,2007,337,608,986,1070,1160,1145,813,252,63,6439,0,5,9,33,86,180,332,259,63,965,800,384,528,739,955,1258,1200,454,114,6423,16472,8244,12740,12764,11369,9154,5453,1533,217,77950,3409,2566,5700,5937,5568,4479,2159,806,154,30775,22154,12469,21163,22188,21471,20334,14911,5640,1090,141415,22,61,209,460,1214,2539,3354,1617,477,9947,840,821,1329,1322,1343,1428,1229,399,96,8801,13,10,44,184,389,766,937,471,120,2931,0,0,5,8,20,35,102,177,201,550,28,72,155,368,744,1184,1253,566,163,4539,42,50,67,113,283,626,864,625,276,2947
CED507,14,48,120,319,613,1227,1711,1111,353,5514,1321,621,633,723,657,562,547,270,78,5405,15,9,36,77,156,466,815,558,181,2309,0,0,4,4,3,34,93,205,152,492,30,52,86,188,511,834,1230,718,186,3823,21,21,30,76,264,666,1232,971,386,3672,16,12,24,29,63,109,158,182,79,674,17,11,30,29,89,281,469,391,105,1420,395,668,796,910,966,894,648,274,80,5632,0,0,17,8,59,136,237,213,90,761,742,426,330,504,658,910,863,459,165,5053,12158,5802,5454,6197,5954,4743,3109,1170,237,44825,1317,801,921,943,973,825,638,338,147,6905,15759,8186,8060,9363,9822,9552,8525,4287,1273,74819,25,58,186,504,1195,2155,2748,1816,886,9575,817,696,871,1114,1033,1014,940,435,174,7086,11,4,51,148,346,570,786,512,173,2605,0,0,3,0,6,29,93,236,343,714,25,45,101,193,382,681,931,552,267,3180,17,19,19,51,129,339,646,628,447,2293
CED508,13,48,143,294,536,904,1188,834,284,4249,968,736,873,886,631,466,360,188,67,5186,16,18,54,98,176,425,701,447,154,2088,0,3,0,4,14,19,77,170,174,462,24,44,89,192,477,793,1041,635,185,3480,24,15,40,80,282,714,1021,790,338,3303,5,14,22,47,71,106,155,159,83,660,14,14,10,42,88,202,336,266,99,1079,267,776,1002,1023,973,722,503,200,91,5568,5,0,11,22,61,109,178,183,87,654,727,482,538,630,826,839,747,417,201,5405,12683,6779,8190,8400,6681,4766,2611,947,228,51280,1048,725,817,801,812,595,427,297,146,5667,15554,9344,11317,11864,10555,8958,6799,3534,1214,79137,16,66,200,416,869,1649,2129,1539,779,7666,655,757,1111,1108,979,874,702,371,157,6726,7,11,69,166,316,534,619,381,145,2253,0,0,0,0,7,25,52,219,296,598,13,69,105,203,338,602,777,558,264,2935,21,22,27,46,126,299,564,572,409,2093
CED509,15,48,138,310,589,985,1250,915,272,4518,1321,848,775,848,712,575,429,258,63,5835,23,21,39,89,196,383,594,543,163,2038,0,0,0,4,14,22,65,158,149,409,34,56,117,330,662,965,1121,690,170,4149,29,30,36,77,313,713,1100,910,290,3503,21,11,20,38,60,100,138,158,71,620,36,17,19,28,99,253,403,347,115,1312,387,807,988,1025,953,733,467,212,72,5646,5,5,10,22,61,124,193,227,87,722,968,548,517,650,838,887,786,425,162,5779,14916,7705,7511,7976,6424,4609,2461,971,216,52797,1283,942,1352,1329,1090,745,435,250,114,7536,18694,10655,11081,12028,10812,9136,6846,3753,1096,84103,23,62,198,486,1065,1745,2121,1602,677,7988,912,899,1203,1238,1193,981,759,427,130,7731,11,11,53,166,389,560,665,443,154,2450,0,0,0,0,3,9,69,220,294,592,26,36,133,271,530,743,853,591,208,3392,17,21,28,68,166,335,594,635,367,2225
CED510,9,39,82,229,500,1083,1575,865,302,4692,1055,799,554,788,759,611,495,228,47,5338,18,12,21,88,187,435,880,597,171,2414,0,0,0,4,4,23,71,170,155,424,22,43,54,141,371,765,1159,646,172,3383,30,27,25,66,283,761,1406,957,335,3880,12,15,12,31,45,91,148,145,68,570,19,8,17,28,54,141,358,277,84,998,342,726,675,796,794,650,483,178,80,4728,0,5,8,19,38,94,222,215,90,700,766,488,351,478,701,937,976,432,178,5300,13014,7781,5627,7265,7305,5590,3443,1037,212,51268,802,571,467,566,601,516,362,201,113,4196,15840,10220,7619,10015,10859,10059,8618,3789,1149,78167,27,68,122,331,913,1790,2581,1657,781,8258,673,712,702,1002,1004,935,873,392,155,6460,13,20,40,164,396,617,829,453,172,2713,0,0,0,0,3,25,84,210,355,688,33,58,44,128,257,565,769,490,201,2543,19,13,21,52,125,343,669,565,359,2166
