CED_CODE_2021,P_Yr_8_bel_15_19_yr,P_Yr_8_bel_20_24_yr,P_Yr_8_bel_25_34_yr,P_Yr_8_bel_35_44_yr,P_Yr_8_bel_45_54_yr,P_Yr_8_bel_55_64_yr,P_Yr_8_bel_65_74_yr,P_Yr_8_bel_75_84_yr,P_Yr_8_bel_85_yr_over,P_Yr_8_bel_Tot,P_Did_not_go_to_school_15_19,P_Did_not_go_to_school_20_24,P_Did_not_go_to_school_25_34,P_Did_not_go_to_school_35_44,P_Did_not_go_to_school_45_54,P_Did_not_go_to_school_55_64,P_Did_not_go_to_school_65_74,P_Did_not_go_to_school_75_84,P_Did_not_go_to_school_85ov,P_Did_not_go_to_school_Tot,P_High_yr_sch_ns_15_19_yr,P_High_yr_sch_ns_20_24_yr,P_High_yr_sch_ns_25_34_yr,P_High_yr_sch_ns_35_44_yr,P_High_yr_sch_ns_45_54_yr,P_High_yr_sch_ns_55_64_yr,P_High_yr_sch_ns_65_74_yr,P_High_yr_sch_ns_75_84_yr,P_High_yr_sch_ns_85_yr_over,P_High_yr_sch_ns_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
CED501,61,52,122,190,259,421,741,791,406,3048,7,15,57,108,128,89,90,62,27,588,494,633,1414,1238,955,764,756,766,462,7474,5362,10736,25044,24955,22382,18656,13060,7328,2465,129988
CED502,65,83,290,496,496,658,959,790,431,4271,12,48,307,359,386,346,243,165,82,1948,529,590,1429,1392,1063,818,792,700,512,7815,4906,11127,26359,28690,21075,17317,13631,6886,2390,132378
CED503,58,34,75,146,217,378,886,1264,696,3750,9,11,32,49,65,65,75,61,30,388,383,343,783,811,885,771,951,1066,727,6722,4299,7652,16758,18013,18960,19351,18246,10842,3622,117744
CED504,36,51,362,581,699,929,1532,1704,883,6779,16,33,301,516,571,582,455,344,244,3067,391,569,1298,1243,941,831,843,755,396,7271,4399,11407,26151,24769,21744,20747,16945,9325,3153,138639
CED505,11,10,35,66,83,130,266,521,524,1657,0,8,38,41,44,70,58,53,54,370,302,366,1042,923,673,615,877,924,785,6493,4583,10586,22450,23192,22531,18821,15869,10580,5072,133685
CED506,154,100,286,337,530,855,1486,1417,533,5699,24,35,102,110,163,150,164,166,83,1002,1431,2372,7967,7632,7307,6243,3642,1619,483,38686,6104,12680,38177,37803,36515,36596,27808,10426,2409,208527
CED507,33,48,126,133,178,301,743,1055,686,3308,7,11,72,41,53,72,55,55,50,417,434,360,1111,1065,1168,1156,1138,864,601,7909,3898,6621,16889,20059,20665,20114,17464,9004,3283,118001
CED508,19,31,64,110,232,391,932,1281,680,3744,8,17,47,61,84,122,143,175,144,804,300,435,1077,1010,870,751,836,818,704,6790,3867,9986,23809,24493,21823,18748,14330,7558,3141,127747
CED509,52,38,150,232,294,378,706,837,476,3173,5,19,92,183,184,157,141,92,64,941,359,379,1059,1047,917,741,742,678,533,6460,4703,9761,23153,24572,22362,18881,14205,7881,2739,128250
CED510,23,9,44,67,85,164,435,544,420,1783,8,3,29,29,38,55,45,69,43,317,180,205,507,533,536,461,538,628,523,4110,4267,8981,15631,21155,22656,21383,17760,8029,3051,122919
CED511,66,67,180,244,360,597,1145,1392,772,4821,15,20,68,123,125,118,107,84,59,718,887,1336,3690,3572,3673,3331,2289,1454,666,20896,4835,9194,23417,23713,25675,26858,20356,10277,3535,147864
CED512,49,35,118,197,243,352,529,609,296,2421,6,17,77,134,201,183,133,82,41,871,379,349,812,853,727,559,489,547,384,5093,5275,10844,23823,25717,23452,16987,11409,6124,2074,125698
CED513,30,32,126,173,251,406,738,1209,1015,3983,7,24,111,101,135,166,160,196,209,1107,311,840,2437,1800,1424,1192,1047,857,533,10439,3359,12228,36571,29663,22733,19592,14666,8282,4262,151357
CED514,40,39,208,243,332,432,742,973,653,3662,12,30,187,208,220,227,181,144,82,1281,406,906,2125,1575,1234,1087,959,1049,1088,10432,4634,15069,34860,28092,21761,19437,15321,8329,4030,151533
CED515,39,34,67,144,195,352,695,863,686,3075,6,19,59,115,120,138,194,141,136,921,343,267,708,734,639,627,718,822,777,5632,5119,11371,19135,24956,24225,21532,18564,10320,4807,140024
CED597,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,10,44,223,434,399,218,49,8,0,1387,20,116,521,957,893,533,176,32,0,3245
