CED_CODE_2021,0_299_Separate_house,0_299_Sd_rw_tce_hse_th,0_299_Flat_apartment,0_299_Other_dwelling,0_299_Dwelling_structure_NS,0_299_Tot,300_449_Separate_house,300_449_Sd_rw_tce_hse_th,300_449_Flat_apartment,300_449_Other_dwelling,300_449_Dwg_structure_NS,300_449_Tot,450_599_Separate_house,450_599_Sd_rw_tce_hse_th,450_599_Flat_apartment,450_599_Other_dwelling,450_599_Dwg_structure_NS,450_599_Tot,600_799_Separate_house,600_799_Sd_rw_tce_hse_th,600_799_Flat_apartment,600_799_Other_dwelling,600_799_Dwg_structure_NS,600_799_Tot,800_999_Separate_house,800_999_Sd_rw_tce_hse_th,800_999_Flat_apartment,800_999_Other_dwelling,800_999_Dwg_structure_NS,800_999_Tot,1000_1399_Separate_house,1000_1399_Sd_rw_tce_hse_th,1000_1399_Flat_apartmnt,1000_1399_Other_dwelling,1000_1399_Dwg_structure_NS,1000_1399_Tot,1400_1799_Separate_house,1400_1799_Sd_rw_tce_hse_th,1400_1799_Flat_apartmnt,1400_1799_Other_dwelling,1400_1799_Dwg_structure_NS,1400_1799_Tot,1800_2399_Separate_house,1800_2399_Sd_rw_tce_hse_th,1800_2399_Flat_apartmnt,1800_2399_Other_dwelling,1800_2399_Dwg_structure_NS,1800_2399_Tot,2400_2999_Separate_house,2400_2999_Sd_rw_tce_hse_th,2400_2999_Flat_apartmnt,2400_2999_Other_dwelling,2400_2999_Dwg_structure_NS,2400_2999_Tot,3000_3999_Separate_house,3000_3999_Sd_rw_tce_hse_th,3000_3999_Flat_apartmnt,3000_3999_Other_dwelling,3000_3999_Dwg_structure_NS,3000_3999_Tot,4000_over_Separate_house,4000_over_Sd_rw_tce_hse_th,4000_over_Flat_apartmnt,4000_over_Other_dwelling,4000_over_Dwg_structure_NS,4000_over_Tot,M_rep_NS_Sep_house,M_rep_NS_Sd_rw_tce_hse_th,M_rep_NS_Flat_apart,M_rep_NS_Other_dwelling,M_rep_NS_Dwg_structu_ns,M_rep_NS_Tot,Tot_Sep_hse,Tot_Sd_row_tce_hse_th,Tot_Flat_apartment,Tot_Other_dwelling,Tot_Dwelling_structure_NS,Tot_Tot
CED501,942,39,12,0,0,992,437,15,9,0,0,465,361,18,11,0,0,389,709,36,17,5,0,767,1120,61,45,0,0,1233,4840,136,74,3,0,5065,7112,99,43,0,8,7260,8164,75,34,5,14,8289,2745,14,17,0,0,2780,1595,15,11,0,0,1624,962,5,6,0,0,977,1688,29,10,0,0,1730,30688,543,295,14,34,31566
CED502,1074,54,7,4,0,1142,414,40,5,0,0,460,390,29,4,0,0,432,800,85,8,0,0,898,1227,137,10,0,0,1370,4741,328,47,0,5,5122,6600,279,35,4,9,6919,7420,140,15,0,3,7581,2717,37,0,0,6,2756,1500,23,4,0,0,1535,890,24,0,0,0,917,1587,52,9,0,0,1654,29370,1230,145,13,16,30783
CED503,879,47,13,3,0,948,360,24,10,5,0,393,329,37,6,0,0,363,609,41,8,9,0,666,891,66,20,7,0,976,3361,145,32,4,0,3541,4839,91,18,3,4,4954,6266,67,19,3,6,6359,2578,20,6,5,8,2617,1867,16,16,0,0,1904,1116,8,13,3,0,1146,1390,32,11,5,0,1438,24487,591,174,39,19,25310
CED504,1209,181,0,0,0,1394,386,68,0,0,0,459,369,67,3,0,0,438,627,167,10,0,0,806,895,231,20,0,0,1149,3269,941,50,0,0,4262,4309,1066,27,0,0,5403,5030,801,21,0,5,5853,1968,214,9,0,0,2190,1502,132,3,0,0,1641,946,56,0,0,0,1008,1368,206,14,0,0,1582,21877,4138,161,0,0,26181
CED505,909,175,110,0,4,1199,203,37,33,0,0,269,137,50,40,0,0,224,225,94,91,0,0,413,272,149,115,0,0,538,783,457,340,0,0,1578,839,672,404,0,0,1922,1928,1045,333,0,0,3311,1507,512,135,0,6,2158,2501,529,142,0,0,3172,4502,398,117,0,0,5017,929,256,78,0,0,1258,14730,4375,1935,3,11,21043
CED506,830,35,8,44,11,925,382,14,3,6,4,409,354,21,3,20,7,405,753,44,7,25,5,838,949,53,11,35,0,1051,2732,114,19,57,6,2923,2856,87,15,53,9,3025,3371,101,10,67,10,3562,1528,30,0,31,10,1594,1265,25,0,23,6,1323,830,23,0,37,23,912,1020,19,4,49,8,1102,16871,573,76,444,94,18063
CED507,871,40,8,3,3,919,392,25,0,0,4,434,355,24,3,0,0,383,659,37,7,4,0,708,1020,61,6,4,0,1094,3620,171,20,6,3,3811,4789,121,6,12,0,4937,5024,95,13,4,7,5141,1872,36,3,6,0,1920,1305,34,4,3,0,1347,800,25,4,0,4,832,1132,53,4,0,0,1191,21843,708,80,51,29,22707
CED508,948,130,55,0,0,1139,292,41,12,0,0,346,296,47,23,0,0,360,497,80,41,0,0,624,661,104,90,0,0,861,2225,466,277,0,0,2974,3744,593,271,0,0,4612,6153,578,215,3,4,6950,2998,262,86,0,0,3348,2434,194,81,0,0,2713,1588,111,73,0,0,1771,1256,149,74,4,4,1481,23090,2759,1300,9,12,27170
CED509,1052,32,3,0,0,1096,355,13,0,0,0,373,332,20,3,0,0,353,551,37,6,0,0,597,904,63,5,0,0,975,3381,232,39,0,4,3659,5741,232,23,0,4,5998,8639,239,15,5,8,8902,3826,58,5,0,7,3891,2588,42,6,0,0,2641,1571,13,0,0,4,1586,1614,42,5,3,6,1667,30566,1020,118,15,23,31742
CED510,1177,81,13,0,0,1270,388,40,4,0,0,428,313,21,11,0,0,343,506,47,14,0,0,567,715,53,15,0,0,780,2088,205,71,0,0,2362,2988,315,75,0,0,3378,5852,328,31,0,0,6205,3600,148,22,0,0,3768,3297,98,16,0,0,3417,2286,61,7,0,0,2353,1457,76,16,0,0,1549,24657,1464,289,8,3,26430
CED511,1153,16,3,5,8,1181,624,11,4,3,0,642,592,23,5,0,3,619,1177,40,0,9,4,1231,1454,49,4,8,4,1523,3830,123,9,14,9,3987,3414,62,0,6,3,3490,3169,74,0,10,6,3265,1069,17,0,0,3,1096,819,18,0,7,6,843,516,10,0,5,5,533,1130,28,0,7,5,1164,18945,480,29,69,58,19580
CED512,998,31,6,5,0,1042,314,15,0,0,0,335,314,19,0,0,0,334,569,21,0,0,0,592,924,27,6,0,0,954,3651,165,16,3,3,3837,6429,220,12,0,3,6663,9780,159,11,0,3,9957,4228,37,4,0,0,4272,2500,27,0,0,0,2528,1384,14,5,0,0,1406,1824,55,6,0,0,1879,32913,792,61,10,15,33788
CED513,734,278,173,0,0,1186,225,79,65,0,0,368,165,77,79,0,0,325,308,155,145,0,0,612,445,236,236,0,0,918,1300,865,852,0,4,3021,1850,1094,901,5,0,3851,3375,1145,819,3,4,5348,2035,515,324,4,3,2879,2137,441,280,4,5,2861,1710,235,183,0,3,2134,788,232,179,0,4,1199,15069,5353,4240,15,20,24702
CED514,864,202,67,0,0,1134,275,56,19,0,0,351,237,48,32,0,0,316,457,114,45,0,0,611,567,151,95,0,0,814,2171,710,347,0,3,3230,3288,848,385,0,6,4531,4545,859,325,0,5,5732,2106,334,126,0,0,2569,1810,267,115,0,0,2193,1495,192,75,0,0,1767,1049,202,100,0,0,1352,18863,3981,1736,10,22,24599
CED515,1223,96,22,0,0,1346,323,32,6,0,0,360,323,33,13,0,0,369,437,54,10,0,0,503,613,69,14,0,0,701,1989,286,81,0,0,2353,2593,362,105,0,3,3065,4564,455,113,3,0,5135,2829,191,39,0,0,3068,2877,191,27,0,3,3098,2485,151,20,0,4,2659,1240,109,27,0,0,1375,21503,2040,492,3,5,24036
CED597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
