CED_CODE_2021,Cntd_home_Cen_Nt_0_14_yr,Cntd_home_Cen_Nt_15_24_yr,Cntd_home_Cen_Nt_25_34_yr,Cntd_home_Cen_Nt_35_44_yr,Cntd_home_Cen_Nt_45_54_yr,Cntd_home_Cen_Nt_55_64_yr,Cntd_home_Cen_Nt_65_74_yr,Cntd_home_Cen_Nt_75_84_yr,Cntd_home_Cen_Nt_85_yr_over,Cntd_home_Cen_Night_Tot,Vis_from_Same_SA2_0_14,Vis_from_Same_SA2_15_24,Vis_from_Same_SA2_25_34,Vis_from_Same_SA2_35_44,Vis_from_Same_SA2_45_54,Vis_from_Same_SA2_55_64,Vis_from_Same_SA2_65_74,Vis_from_Same_SA2_75_84,Vis_from_Same_SA2_85_yr_over,Vis_from_Same_SA2_Tot,Vis_fro_Diff_SA2_NSW_0_14,Vis_fr_Diff_SA2_NSW_15_24,Vis_fr_Diff_SA2_NSW_25_34,Vis_fr_Diff_SA2_NSW_35_44,Vis_fr_Diff_SA2_NSW_45_54,Vis_fr_Diff_SA2_NSW_55_64,Vis_fr_Diff_SA2_NSW_65_74,Vis_fr_Diff_SA2_NSW_75_84,Vis_fr_Diff_SA2_NSW_85_over,Vis_fr_Diff_SA2_NSW_Tot,Vis_fro_Diff_SA2_Vic_0_14,Vis_fr_Diff_SA2_Vic_15_24,Vis_fr_Diff_SA2_Vic_25_34,Vis_fr_Diff_SA2_Vic_35_44,Vis_fr_Diff_SA2_Vic_45_54,Vis_fr_Diff_SA2_Vic_55_64,Vis_fr_Diff_SA2_Vic_65_74,Vis_fr_Diff_SA2_Vic_75_84,Vis_fr_Diff_SA2_Vic_85_over,Vis_fr_Diff_SA2_Vic_Tot,Vis_fro_Diff_SA2_Qld_0_14,Vis_fr_Diff_SA2_Qld_15_24,Vis_fr_Diff_SA2_Qld_25_34,Vis_fr_Diff_SA2_Qld_35_44,Vis_fr_Diff_SA2_Qld_45_54,Vis_fr_Diff_SA2_Qld_55_64,Vis_fr_Diff_SA2_Qld_65_74,Vis_fr_Diff_SA2_Qld_75_84,Vis_fr_Diff_SA2_Qld_85_over,Vis_fr_Diff_SA2_Qld_Tot,Vis_fro_Diff_SA2_SA_0_14,Vis_fr_Diff_SA2_SA_15_24,Vis_fr_Diff_SA2_SA_25_34,Vis_fr_Diff_SA2_SA_35_44,Vis_fr_Diff_SA2_SA_45_54,Vis_fr_Diff_SA2_SA_55_64,Vis_fr_Diff_SA2_SA_65_74,Vis_fr_Diff_SA2_SA_75_84,Vis_fr_Diff_SA2_SA_85_over,Vis_fr_Diff_SA2_SA_Tot,Vis_fro_Diff_SA2_WA_0_14,Vis_fr_Diff_SA2_WA_15_24,Vis_fr_Diff_SA2_WA_25_34,Vis_fr_Diff_SA2_WA_35_44,Vis_fr_Diff_SA2_WA_45_54,Vis_fr_Diff_SA2_WA_55_64,Vis_fr_Diff_SA2_WA_65_74,Vis_fr_Diff_SA2_WA_75_84,Vis_fr_Diff_SA2_WA_85_over,Vis_fr_Diff_SA2_WA_Tot,Vis_fro_Diff_SA2_Tas_0_14,Vis_fr_Diff_SA2_Tas_15_24,Vis_fr_Diff_SA2_Tas_25_34,Vis_fr_Diff_SA2_Tas_35_44,Vis_fr_Diff_SA2_Tas_45_54,Vis_fr_Diff_SA2_Tas_55_64,Vis_fr_Diff_SA2_Tas_65_74,Vis_fr_Diff_SA2_Tas_75_84,Vis_fr_Diff_SA2_Tas_85_over,Vis_fr_Diff_SA2_Tas_Tot,Vis_fro_Diff_SA2_NT_0_14,Vis_fr_Diff_SA2_NT_15_24,Vis_fr_Diff_SA2_NT_25_34,Vis_fr_Diff_SA2_NT_35_44,Vis_fr_Diff_SA2_NT_45_54,Vis_fr_Diff_SA2_NT_55_64,Vis_fr_Diff_SA2_NT_65_74,Vis_fr_Diff_SA2_NT_75_84,Vis_fr_Diff_SA2_NT_85_over,Vis_fr_Diff_SA2_NT_Tot,Vis_fro_Diff_SA2_ACT_0_14,Vis_fr_Diff_SA2_ACT_15_24,Vis_fr_Diff_SA2_ACT_25_34,Vis_fr_Diff_SA2_ACT_35_44,Vis_fr_Diff_SA2_ACT_45_54,Vis_fr_Diff_SA2_ACT_55_64,Vis_fr_Diff_SA2_ACT_65_74,Vis_fr_Diff_SA2_ACT_75_84,Vis_fr_Diff_SA2_ACT_85_over,Vis_fr_Diff_SA2_ACT_Tot,Vis_fro_Diff_SA2_OT_0_14,Vis_fr_Diff_SA2_OT_15_24,Vis_fr_Diff_SA2_OT_25_34,Vis_fr_Diff_SA2_OT_35_44,Vis_fr_Diff_SA2_OT_45_54,Vis_fr_Diff_SA2_OT_55_64,Vis_fr_Diff_SA2_OT_65_74,Vis_fr_Diff_SA2_OT_75_84,Vis_fr_Diff_SA2_OT_85_over,Vis_fr_Diff_SA2_OT_Tot,Vis_fro_Diff_SA2_TOT_0_14,Vis_fr_Diff_SA2_TOT_15_24,Vis_fr_Diff_SA2_TOT_25_34,Vis_fr_Diff_SA2_TOT_35_44,Vis_fr_Diff_SA2_TOT_45_54,Vis_fr_Diff_SA2_TOT_55_64,Vis_fr_Diff_SA2_TOT_65_74,Vis_fr_Diff_SA2_TOT_75_84,Vis_fr_Diff_SA2_TOT_85_over,Vis_fr_Diff_SA2_TOT_TTOT,Vis_from_Tot_Viss_0_14_yr,Vis_from_Tot_Viss_15_24_yr,Vis_from_Tot_Viss_25_34_yr,Vis_from_Tot_Viss_35_44_yr,Vis_from_Tot_Viss_45_54_yr,Vis_from_Tot_Viss_55_64_yr,Vis_from_Tot_Viss_65_74_yr,Vis_from_Tot_Viss_75_84_yr,Vis_from_Tot_Viss_85_over,Vis_from_Tot_Viss_Tot,OS_vis_0_14_yr,OS_vis_15_24_yr,OS_vis_25_34_yr,OS_vis_35_44_yr,OS_vis_45_54_yr,OS_vis_55_64_yr,OS_vis_65_74_yr,OS_vis_75_84_yr,OS_vis_85_yr_over,OS_vis_Tot,Tot_pop_pl_en_0_14_yr,Tot_pop_pl_en_15_24_yr,Tot_pop_pl_en_25_34_yr,Tot_pop_pl_en_35_44_yr,Tot_pop_pl_en_45_54_yr,Tot_pop_pl_en_55_64_yr,Tot_pop_pl_en_65_74_yr,Tot_pop_pl_en_75_84_yr,Tot_pop_pl_en_85_yr_over,Tot_pop_pl_en_Tot
CED501,39107,21282,24238,24350,21879,18166,12703,7165,2426,171316,25,33,24,31,25,31,45,34,10,261,3,9,47,30,15,13,23,3,0,148,0,3,5,10,8,17,19,5,0,69,3,12,10,9,22,12,15,5,0,87,0,0,4,5,19,18,9,0,0,58,571,710,704,514,418,389,260,119,37,3719,5,6,9,3,0,13,0,6,0,34,4,7,8,5,7,5,0,0,0,31,0,5,8,5,10,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,587,757,793,582,493,464,318,137,37,4172,615,788,819,614,519,493,359,171,46,4430,23,21,38,30,31,52,51,18,8,271,39747,22094,25091,24993,22428,18717,13116,7352,2474,176018
CED502,40272,21201,25796,28261,20652,16957,13310,6719,2304,175478,51,22,33,45,22,29,38,29,15,275,6,10,10,4,9,4,13,4,0,53,3,7,11,11,7,12,10,0,0,65,3,0,7,3,9,11,3,6,0,50,0,0,7,0,4,7,3,0,0,17,529,535,545,404,387,327,257,119,74,3180,0,0,0,0,0,5,4,0,0,9,0,0,0,0,6,0,0,0,0,7,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,5,0,12,540,563,580,423,420,364,299,141,81,3394,592,588,606,466,441,392,334,166,93,3673,30,23,39,36,38,92,115,32,4,411,40894,21814,26444,28768,21128,17435,13758,6918,2401,179558
CED503,29760,16141,16220,17545,18404,18734,17627,10545,3503,148494,17,35,23,35,27,63,82,56,28,363,12,8,3,14,8,16,26,0,0,89,13,7,9,7,17,16,32,7,0,113,7,0,3,3,5,14,21,0,0,50,3,0,0,5,5,3,6,6,0,27,555,573,492,406,486,493,438,229,96,3769,0,0,0,0,4,0,14,0,0,28,0,3,3,0,10,0,0,3,0,25,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0,0,4,590,591,520,442,530,555,543,252,96,4113,607,620,539,473,560,620,624,311,118,4483,17,9,25,28,27,31,36,9,4,186,30383,16775,16788,18049,18995,19380,18291,10862,3632,153159
CED504,32243,20871,25545,24281,21366,20421,16632,9143,3066,173569,31,29,25,27,32,41,40,25,9,257,6,7,5,16,9,8,9,0,0,68,5,9,14,12,12,4,14,4,0,70,0,6,3,6,5,10,4,0,0,27,6,3,0,0,0,0,0,3,0,12,426,490,584,455,371,274,247,153,95,3101,0,0,0,0,0,0,7,0,0,16,3,4,4,0,4,0,0,0,0,16,0,0,0,0,3,3,0,0,0,7,0,0,0,4,0,0,0,0,0,4,452,512,618,493,394,310,284,169,98,3325,477,541,644,520,426,351,321,197,106,3584,16,20,50,28,35,89,59,13,4,309,32738,21430,26238,24825,21823,20858,17019,9354,3175,177460
CED505,29187,20896,21472,22423,21890,18151,15187,10059,4823,164089,26,23,26,25,27,25,29,26,11,204,15,34,39,33,13,21,19,13,3,186,7,33,46,21,13,25,20,12,4,169,3,3,14,14,14,17,5,3,0,68,3,9,3,4,15,6,9,0,0,41,833,829,835,665,552,567,586,468,230,5567,4,0,8,0,5,14,26,6,5,63,6,8,14,8,5,3,4,0,0,47,8,7,8,4,8,0,0,0,0,37,0,0,0,0,0,0,0,0,0,6,872,928,962,756,620,653,665,500,238,6195,894,950,986,781,640,674,691,520,250,6394,54,69,106,57,85,86,77,33,14,571,30140,21908,22561,23257,22619,18912,15957,10616,5087,171054
CED506,39568,19826,27213,27122,25077,23176,15604,7109,2081,186787,99,98,102,99,127,117,111,75,19,837,293,105,319,384,351,650,770,94,9,2977,511,91,274,459,450,977,1205,163,4,4137,201,91,329,497,509,844,781,95,3,3349,99,58,151,189,252,473,585,109,0,1921,2095,3395,9610,8877,9584,10058,8515,2739,295,55171,53,29,79,76,80,181,162,30,0,684,43,28,112,89,84,105,44,12,0,515,45,7,15,34,16,39,39,0,0,199,0,0,0,0,0,0,0,0,0,0,3351,3805,10891,10612,11322,13325,12105,3238,312,68964,3452,3899,10988,10711,11444,13443,12217,3315,335,69806,28,252,512,198,116,103,78,16,6,1319,43051,23983,38721,38037,36641,36723,27896,10444,2415,257904
CED507,29734,14871,15684,19096,19634,18591,16190,8538,3097,145434,37,18,39,34,53,73,97,65,18,442,10,14,17,11,10,28,20,4,0,100,16,9,27,17,16,29,44,4,5,171,8,3,22,13,17,39,49,3,0,161,13,5,4,5,26,16,0,3,0,81,710,930,1096,873,909,1309,1047,386,156,7423,3,0,0,5,9,24,14,0,0,59,0,3,12,5,5,3,0,0,0,30,0,3,0,0,0,4,6,0,0,15,0,0,0,0,0,3,5,0,0,7,765,970,1174,940,987,1458,1180,405,163,8045,801,991,1209,972,1040,1531,1283,472,185,8480,33,35,105,56,29,34,23,14,0,328,30569,15892,17000,20127,20703,20154,17490,9021,3286,154241
CED508,29883,18137,23025,23858,21273,18134,13833,7293,3023,158450,17,10,23,27,20,31,25,28,13,192,7,53,76,36,30,16,30,3,0,256,9,7,30,23,24,35,34,6,0,167,10,3,12,23,17,34,14,0,0,113,5,3,14,9,4,11,6,0,0,48,407,644,631,498,464,486,385,230,104,3846,4,7,7,3,6,13,13,3,0,52,0,4,5,10,4,3,0,0,0,20,0,0,0,3,0,0,0,0,0,16,0,0,0,0,6,0,0,0,0,0,438,716,775,616,548,599,491,244,104,4534,457,728,797,645,566,636,513,277,122,4732,27,56,116,43,55,76,60,14,4,455,30366,18924,23936,24540,21892,18836,14410,7578,3143,163632
CED509,35509,19795,22446,23941,21819,18356,13787,7597,2604,165848,30,17,28,28,23,38,47,35,16,262,0,10,6,0,11,15,18,4,0,61,11,0,17,19,16,20,18,13,0,109,0,3,3,10,9,15,20,0,0,58,0,0,9,4,12,14,4,0,0,39,604,699,658,575,488,431,318,228,121,4120,0,0,0,3,0,4,8,5,0,21,0,0,0,5,5,6,4,0,0,22,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,622,716,689,619,530,500,382,255,124,4439,651,737,720,645,555,536,429,289,138,4701,23,23,47,30,23,60,49,19,3,275,36184,20548,23212,24616,22396,18955,14265,7899,2747,170828
CED510,30266,18946,15081,20695,22239,20968,17378,7806,2873,156259,24,5,21,18,24,25,33,9,3,164,9,7,8,3,8,13,23,3,0,72,10,8,13,18,10,25,32,3,0,137,8,5,3,5,6,16,15,7,0,60,0,0,0,4,3,4,4,0,0,15,425,505,498,417,368,340,272,199,177,3200,4,0,0,0,0,3,8,3,0,24,3,0,4,6,0,0,3,0,0,13,0,0,4,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,464,527,537,447,392,399,361,219,177,3524,487,536,553,464,419,424,392,231,184,3687,26,19,34,25,31,39,31,19,3,225,30777,19500,15670,21184,22691,21434,17801,8057,3058,160173
