CED_CODE_2021,Philippines_Before_1951,Philippines_1951_1960,Philippines_1961_1970,Philippines_1971_1980,Philippines_1981_1990,Philippines_1991_2000,Philippines_2001_2010,Philippines_2011_2015,Philippines_2016,Philippines_2017,Philippines_2018,Philippines_2019,Philippines_2020,Philippines_2021,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1951,Poland_1951_1960,Poland_1961_1970,Poland_1971_1980,Poland_1981_1990,Poland_1991_2000,Poland_2001_2010,Poland_2011_2015,Poland_2016,Poland_2017,Poland_2018,Poland_2019,Poland_2020,Poland_2021,Poland_Yr_arrival_ns,Poland_Tot,Singapore_Before_1951,Singapore_1951_1960,Singapore_1961_1970,Singapore_1971_1980,Singapore_1981_1990,Singapore_1991_2000,Singapore_2001_2010,Singapore_2011_2015,Singapore_2016,Singapore_2017,Singapore_2018,Singapore_2019,Singapore_2020,Singapore_2021,Singapore_Yr_arrival_ns,Singapore_Tot,South_Africa_Before_1951,South_Africa_1951_1960,South_Africa_1961_1970,South_Africa_1971_1980,South_Africa_1981_1990,South_Africa_1991_2000,South_Africa_2001_2010,South_Africa_2011_2015,South_Africa_2016,South_Africa_2017,South_Africa_2018,South_Africa_2019,South_Africa_2020,South_Africa_2021,South_Africa_yr_arr_ns,South_Africa_Tot,Sri_Lanka_Before_1951,Sri_Lanka_1951_1960,Sri_Lanka_1961_1970,Sri_Lanka_1971_1980,Sri_Lanka_1981_1990,Sri_Lanka_1991_2000,Sri_Lanka_2001_2010,Sri_Lanka_2011_2015,Sri_Lanka_2016,Sri_Lanka_2017,Sri_Lanka_2018,Sri_Lanka_2019,Sri_Lanka_2020,Sri_Lanka_2021,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Taiwan_Before_1951,Taiwan_1951_1960,Taiwan_1961_1970,Taiwan_1971_1980,Taiwan_1981_1990,Taiwan_1991_2000,Taiwan_2001_2010,Taiwan_2011_2015,Taiwan_2016,Taiwan_2017,Taiwan_2018,Taiwan_2019,Taiwan_2020,Taiwan_2021,Taiwan_Yr_arrival_ns,Taiwan_Tot,Thailand_Before_1951,Thailand_1951_1960,Thailand_1961_1970,Thailand_1971_1980,Thailand_1981_1990,Thailand_1991_2000,Thailand_2001_2010,Thailand_2011_2015,Thailand_2016,Thailand_2017,Thailand_2018,Thailand_2019,Thailand_2020,Thailand_2021,Thailand_Yr_arr_ns,Thailand_Tot,United_Kingdom_Before_1951,United_Kingdom_1951_1960,United_Kingdom_1961_1970,United_Kingdom_1971_1980,United_Kingdom_1981_1990,United_Kingdom_1991_2000,United_Kingdom_2001_2010,United_Kingdom_2011_2015,United_Kingdom_2016,United_Kingdom_2017,United_Kingdom_2018,United_Kingdom_2019,United_Kingdom_2020,United_Kingdom_2021,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1951,USA_1951_1960,USA_1961_1970,USA_1971_1980,USA_1981_1990,USA_1991_2000,USA_2001_2010,USA_2011_2015,USA_2016,USA_2017,USA_2018,USA_2019,USA_2020,USA_2021,USA_Yr_arrival_ns,USA_Tot,Vietnam_Before_1951,Vietnam_1951_1960,Vietnam_1961_1970,Vietnam_1971_1980,Vietnam_1981_1990,Vietnam_1991_2000,Vietnam_2001_2010,Vietnam_2011_2015,Vietnam_2016,Vietnam_2017,Vietnam_2018,Vietnam_2019,Vietnam_2020,Vietnam_2021,Vietnam_Yr_arr_ns,Vietnam_Tot,Born_elsewhere_Before_1951,Born_elsewhere_1951_1960,Born_elsewhere_1961_1970,Born_elsewhere_1971_1980,Born_elsewhere_1981_1990,Born_elsewhere_1991_2000,Born_elsewhere_2001_2010,Born_elsewhere_2011_2015,Born_elsewhere_2016,Born_elsewhere_2017,Born_elsewhere_2018,Born_elsewhere_2019,Born_elsewhere_2020,Born_elsewhere_2021,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1951,Tot_1951_1960,Tot_1961_1970,Tot_1971_1980,Tot_1981_1990,Tot_1991_2000,Tot_2001_2010,Tot_2011_2015,Tot_2016,Tot_2017,Tot_2018,Tot_2019,Tot_2020,Tot_2021,Tot_Yr_arrival_ns,Tot_Tot
CED501,0,0,0,21,177,155,1266,1548,251,208,113,182,52,38,45,4053,3,0,5,10,63,18,37,26,0,11,0,7,0,0,7,187,0,3,15,51,50,61,157,63,9,6,10,4,5,0,4,444,0,3,24,91,192,299,1489,638,98,66,79,79,46,13,49,3173,0,5,8,0,8,12,71,54,5,6,3,5,6,0,10,204,0,0,0,0,0,3,25,31,5,7,4,8,0,0,4,84,0,0,0,12,43,51,187,168,35,12,26,36,18,9,27,628,189,655,4741,3291,2736,1719,5109,3213,202,165,173,152,70,15,429,22864,4,6,25,37,75,65,150,80,14,23,16,10,15,4,7,534,3,0,0,12,39,36,99,68,12,11,13,22,13,3,16,343,42,83,458,441,571,654,1991,984,159,136,117,108,57,33,177,6012,372,1283,6026,4881,5564,4716,15841,10976,1204,1024,979,1049,490,230,1223,55857
CED502,0,0,3,33,240,211,1799,2067,324,216,182,203,95,17,76,5467,9,7,8,20,86,35,37,19,0,8,7,0,0,0,0,228,6,10,25,138,251,209,634,258,43,52,44,33,18,0,26,1746,0,4,24,136,166,207,1054,523,30,35,29,67,4,15,22,2319,0,9,13,28,53,88,608,675,38,65,57,74,53,10,21,1780,0,0,0,0,10,27,74,119,10,15,26,23,6,0,5,317,0,0,0,18,93,87,506,233,58,58,40,32,10,5,24,1164,145,476,3491,2556,2159,967,1453,661,59,57,48,55,38,16,295,12483,0,7,32,56,54,58,106,77,15,9,12,10,10,0,6,448,0,0,0,28,123,71,139,121,19,18,14,32,10,3,20,609,35,83,516,536,871,1153,3976,1972,453,300,318,343,112,55,208,10941,364,1341,5036,4771,6628,5800,21799,15101,2233,1814,1956,2435,877,287,1331,71788
CED503,0,0,3,19,103,88,489,524,101,64,87,74,24,6,46,1627,8,0,5,6,48,10,19,14,0,5,0,0,0,0,9,138,5,3,26,37,43,30,88,44,0,6,4,5,3,0,9,309,3,8,33,88,145,251,1196,501,60,27,65,36,20,3,37,2489,10,7,8,8,12,8,35,55,3,0,7,0,0,0,0,159,0,0,0,0,0,8,9,21,0,0,0,3,0,0,0,51,0,0,0,6,36,44,130,103,31,19,34,26,12,3,22,474,271,805,4383,3085,2327,1355,3623,1758,124,105,95,93,53,27,520,18630,4,15,51,61,57,52,112,56,7,7,11,8,6,0,21,473,0,0,0,9,23,18,42,49,14,14,13,16,6,0,13,219,52,108,361,333,397,303,1208,601,65,68,76,82,39,9,92,3789,557,1688,5625,4686,4659,3329,9662,5839,630,491,580,651,295,140,1102,39931
CED504,0,0,7,66,282,250,720,685,160,89,88,109,44,5,42,2566,34,19,28,56,324,88,66,46,8,0,6,5,0,3,10,689,3,14,52,136,224,145,236,74,10,4,5,5,7,0,5,934,0,3,21,95,393,360,706,206,34,15,9,19,15,15,18,1923,6,14,41,80,119,54,150,93,15,15,19,63,16,0,9,683,0,0,0,3,27,21,72,125,14,19,23,35,8,0,10,358,3,0,4,27,108,127,390,257,77,37,50,37,13,4,28,1157,132,450,2338,1458,1351,765,1239,614,65,49,52,56,21,16,177,8785,0,0,26,53,26,75,101,68,14,10,12,19,15,8,12,443,0,0,9,554,2139,1327,1300,843,187,173,128,176,103,15,274,7231,100,129,853,945,1435,2555,4563,2530,714,591,610,723,205,45,328,16333,630,2340,5987,5656,9726,8980,16174,10822,2227,1836,1968,2467,966,210,1709,71686
CED505,5,0,9,21,87,58,144,139,40,35,36,39,13,5,17,651,26,7,12,35,204,38,49,68,10,6,18,4,4,0,13,501,18,26,61,179,226,243,383,148,46,60,46,59,82,15,29,1621,8,22,73,220,456,578,1234,453,63,64,83,100,62,28,38,3469,12,10,20,53,103,66,126,81,14,11,17,38,25,5,6,583,0,0,0,14,78,38,41,50,18,13,11,13,5,0,7,287,0,0,3,19,34,41,119,68,22,21,19,23,13,4,8,408,230,615,2043,1833,2025,1695,2987,1682,185,228,224,265,201,89,296,14595,4,3,68,138,168,159,336,260,51,71,64,91,108,36,41,1605,0,0,3,116,143,61,47,80,19,18,27,44,12,4,15,595,108,132,447,552,883,1067,2018,1675,473,562,705,1013,447,43,138,10260,769,1770,3791,4717,7104,6307,12102,8264,1577,1859,2066,2901,1697,428,1041,56396
CED506,0,0,4,38,157,139,748,1025,203,127,158,171,67,25,60,2915,13,6,0,15,83,12,21,17,9,0,7,4,3,0,3,193,0,3,27,56,69,44,83,19,3,3,9,12,3,0,15,362,0,3,34,92,182,287,1049,420,29,44,33,68,42,25,32,2332,5,0,10,0,20,14,83,56,11,11,16,31,7,5,20,299,0,0,0,0,0,8,36,89,3,6,38,55,14,0,0,247,0,0,0,16,40,70,210,181,44,42,44,60,29,9,32,781,182,701,3195,2175,1837,1149,2331,1061,101,86,104,175,65,17,503,13687,0,7,49,81,63,85,108,101,11,15,40,43,20,10,11,659,0,0,0,25,119,61,75,95,17,18,23,13,15,4,50,523,54,142,469,381,554,520,1435,846,156,168,238,514,225,184,267,6161,510,1594,4591,4295,5139,4114,9997,6690,967,924,1164,1857,790,406,1695,44749
CED507,0,0,0,16,72,81,484,547,124,86,97,114,40,6,41,1698,9,8,13,7,60,12,18,23,0,0,0,0,0,0,3,155,4,8,16,30,23,24,56,26,4,4,5,7,4,0,6,212,0,3,32,97,190,245,1001,456,52,69,43,70,35,10,34,2349,0,0,3,3,12,12,34,38,10,6,3,5,0,8,0,130,0,0,0,0,6,4,30,77,19,20,39,61,19,0,3,274,0,0,4,6,23,28,116,61,17,11,18,25,12,0,10,329,241,609,2892,1971,1536,897,1814,845,91,52,73,121,70,15,374,11600,3,5,45,102,62,42,113,64,19,15,5,21,10,6,8,523,0,0,0,12,19,30,60,50,14,12,6,14,6,0,13,240,47,73,290,279,351,288,867,499,83,105,105,149,85,29,170,3431,532,1378,3910,3390,3628,2632,6750,4385,632,619,660,895,401,139,1039,30989
CED508,0,0,4,35,135,123,836,1126,196,123,133,142,45,23,42,2963,10,0,5,24,222,54,42,47,4,5,10,3,3,0,10,435,3,10,31,58,135,183,397,144,32,45,25,26,11,4,13,1120,0,13,38,127,305,424,954,385,48,30,61,71,38,12,15,2518,5,3,7,16,49,39,106,80,24,5,5,6,5,0,7,374,0,0,0,0,11,24,47,88,7,7,12,13,4,0,4,209,0,0,0,12,48,36,149,111,22,28,17,19,22,5,19,493,190,454,2406,1885,2020,1334,3016,1739,167,148,147,176,97,30,280,14085,0,13,34,59,112,125,172,140,45,25,33,45,19,16,22,856,0,0,0,44,66,39,60,55,8,22,14,12,11,0,3,334,46,132,878,927,1215,1315,2057,1279,192,205,190,249,128,34,172,9026,509,1969,5126,4399,6462,5819,12981,8933,1226,1106,1153,1396,682,228,1073,53066
CED509,0,0,3,28,163,209,1189,1334,168,118,136,137,60,16,48,3616,10,7,22,18,130,42,33,29,4,3,0,0,0,0,9,319,8,5,24,65,80,78,192,71,7,8,13,10,0,0,12,565,0,7,30,97,201,313,1118,447,52,46,49,58,23,20,48,2500,3,0,3,16,43,39,141,107,20,9,9,19,16,0,14,444,0,0,0,0,4,5,11,37,3,4,8,10,0,0,13,95,0,5,5,8,44,58,214,143,17,20,19,28,11,0,23,589,188,532,3386,2487,2312,1408,2832,1171,98,54,70,79,49,18,406,15078,7,9,50,68,82,80,131,97,11,11,15,13,9,6,28,601,0,0,0,38,183,195,186,107,28,14,15,24,10,0,94,906,65,123,518,473,714,924,3092,1361,196,147,134,170,84,41,263,8315,559,1592,5161,4426,6006,5195,14929,8756,1107,842,877,1058,483,198,1508,52713
CED510,0,0,10,36,169,99,97,109,28,10,23,28,7,0,19,646,6,8,15,48,315,83,57,54,6,8,0,10,9,0,9,621,0,11,33,110,145,128,146,46,14,11,15,20,17,6,23,725,0,7,39,166,363,842,2524,1057,177,143,193,157,87,62,39,5852,0,5,14,23,26,32,25,9,0,5,6,45,14,0,5,213,0,0,0,0,12,18,27,32,6,0,6,10,0,0,0,114,0,0,0,16,33,54,93,87,18,16,11,21,13,4,12,376,155,566,2864,3033,4594,3211,7325,3692,370,282,260,251,147,34,359,27138,6,5,29,72,84,92,174,128,25,11,21,32,48,15,10,752,0,0,0,67,129,43,41,32,5,7,9,15,12,0,8,378,48,110,485,606,1014,1005,1949,936,143,126,140,141,91,19,101,6913,429,1447,4447,5547,9620,7481,15775,8678,1042,870,965,1099,613,190,858,59049
