CED_CODE_2021,Num_mot_veh_per_dwg_None_Dwgs,Nu_mo_veh_pe_dw_1_mo_veh_Dwgs,Nu_mo_ve_pe_dw_2_mot_veh_Dwgs,Nu_mo_ve_pe_dw_3_mot_veh_Dwgs,Nu_mo_ve_pe_dw_4_mo_veh_Dwgs,Num_mot_veh_per_dwg_Tot_Dwgs,Num_mot_veh_ns_Dwgs,Total_Dwellings
CED501,2759,22211,25648,8641,4393,63659,3101,66760
CED502,2963,20949,25235,8635,4767,62560,3382,65938
CED503,2290,19977,22359,8651,5610,58882,2728,61609
CED504,3608,23162,25581,8782,4880,66008,3208,69220
CED505,3817,25595,26276,7227,3434,66344,2444,68794
CED506,5046,28084,25643,9949,6257,74975,10926,85894
CED507,2096,19621,23678,8618,4622,58638,3517,62155
CED508,3406,22666,25693,7752,3964,63471,2815,66286
CED509,2008,17404,24939,9651,6270,60271,2747,63019
CED510,1507,16251,26645,9109,5051,58567,1547,60114
CED511,3237,21256,23888,9880,6751,65005,7010,72020
CED512,1781,18887,25638,8826,4792,59922,2180,62103
CED513,7835,36274,24952,5774,2726,77567,4454,82014
CED514,5012,29947,27088,8015,3956,74010,4034,78038
CED515,2306,19732,27880,9233,4965,64115,1671,65791
CED597,11,0,0,0,0,13,0,13
