CED_CODE_2021,Separate_house_Dwellings,Separate_house_Persons,sd_rw_tce_hse_th_wth_1_sty_Dw,sd_row_tce_hse_th_wth_1_sty_P,sd_rw_tce_hs_th_wth_2m_sty_Dw,sd_rw_tce_hs_th_wth_2m_stys_P,sd_row_tce_hse_th_wth_Tot_Dwg,sd_row_tce_hse_th_with_Tot_P,Flt_apart_In_1_2_stry_blck_D,Flt_apart_In_1_2_stry_blck_P,Flt_apart_In_a_3_stry_blck_D,Flt_apart_In_a_3_stry_blck_P,Flt_apart_In_4_8_stry_blck_D,Flt_apart_In_4_8_stry_blck_P,Flt_apart_In_9m_stry_blck_D,Flt_apart_In_9m_stry_blck_P,Flt_apart_Attachd_to_a_hse_D,Flt_apart_Attachd_to_a_hse_P,Flat_apartment_Tot_Dwe,Flat_apartment_Tot_Per,Oth_dwg_Caravan_D,Oth_dwg_Caravan_P,Oth_dwg_Cabin_hboat_D,Oth_dwg_Cabin_hboat_P,Oth_dwg_improv_hme_tnt_so_D,Oth_dwg_improv_hme_tnt_so_P,Oth_dwg_Hse_flt_att_shp_off_D,Oth_dwg_Hse_flt_att_shp_off_P,Other_dwelling_Tot_Dwellings,Other_dwelling_Tot_Persons,Dwelling_structure_ns_Dwgs,Dwelling_structure_ns_Persons,Tot_occupie_private_dwgs_Dwgs,Tot_occupie_private_dwgs_Psns,Unoccupied_private_dwgs_Dwgs,Unoccupied_private_dwgs_Psns,Total_Dwellings,Total_Persons
CED501,60456,162792,2743,4268,717,1187,3462,5455,1476,2112,431,675,330,493,34,54,51,123,2322,3458,184,273,113,167,77,86,60,91,429,608,88,169,66760,172477,5734,..,72489,172477
CED502,58024,163804,5917,11063,552,1076,6472,12140,581,1057,327,559,0,0,0,0,82,180,991,1796,222,289,5,13,68,68,79,168,376,536,81,146,65938,178421,4443,..,70379,178421
CED503,54057,139160,4178,6426,1161,1958,5340,8381,515,749,203,378,212,385,170,321,80,154,1186,1989,368,544,404,563,82,141,61,125,920,1374,113,205,61609,151111,9927,..,71531,151111
CED504,54035,146746,12612,24928,1662,3397,14274,28321,710,1101,0,0,17,20,0,0,67,145,790,1267,0,0,0,0,54,63,5,4,57,62,60,122,69220,176515,4497,..,73717,176515
CED505,39598,109648,8538,16381,7123,14941,15657,31323,4356,7178,4181,6653,3885,6237,963,1645,34,76,13417,21792,0,10,0,0,24,20,17,35,41,63,72,125,68794,162949,7268,..,76057,162949
CED506,62176,163344,5581,10540,1415,2802,6995,13340,1572,2578,242,354,207,336,195,282,30,53,2252,3600,10461,21111,788,1401,859,1517,262,660,12370,24696,2099,3731,85894,208708,17751,..,103646,208708
CED507,54146,136582,4696,7507,861,1618,5560,9117,596,928,123,194,42,67,38,62,48,93,841,1340,573,937,533,883,242,292,66,132,1413,2249,194,366,62155,149660,11690,..,73849,149660
CED508,48760,130361,7529,13744,3012,5838,10541,19585,1338,2004,1818,2770,2505,4046,407,638,134,262,6199,9724,26,34,440,666,173,181,44,75,673,962,119,182,66286,160817,5543,..,71832,160817
CED509,56247,154930,4016,7160,870,1572,4881,8734,374,602,375,582,110,181,63,91,88,176,1019,1636,120,194,176,244,409,435,45,95,746,972,123,253,63019,166527,4475,..,67489,166527
CED510,52201,144292,4111,7273,1560,3172,5671,10445,505,727,602,935,635,1045,0,0,89,168,1830,2872,170,288,40,76,129,143,23,59,364,566,50,89,60114,158263,3459,..,63579,158263
CED511,63332,151465,4616,7595,495,922,5117,8517,635,910,11,17,0,0,0,3,38,84,690,1014,918,1506,808,1207,375,463,119,210,2217,3390,661,1153,72020,165537,15567,..,87582,165537
CED512,57806,164004,3240,5823,503,921,3740,6746,62,104,154,257,3,7,0,0,59,135,285,507,130,157,24,34,55,81,15,40,224,310,45,77,62103,171646,3906,..,66012,171646
CED513,38434,96641,12358,22880,6778,13634,19137,36518,6015,9428,4809,7662,6735,10965,6191,10655,38,59,23787,38771,3,10,0,0,439,441,74,148,525,596,140,237,82014,172760,10670,..,92686,172760
CED514,48936,126845,11390,22955,7248,14619,18636,37575,3022,5182,2285,3630,2476,4018,2135,3648,54,107,9966,16578,87,154,120,170,94,109,34,85,333,526,163,278,78038,181794,8550,..,86586,181794
CED515,54756,155547,6904,13335,1421,3322,8322,16659,1350,2448,314,463,670,1133,186,302,85,194,2607,4530,3,3,0,3,15,15,18,37,30,58,74,153,65791,176945,4640,..,70431,176945
CED597,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,0,0,0,0,5,12,8,23,13,37,0,..,13,37
