CED_CODE_2021,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
CED501,10852,6307,3214,1035,79983
CED502,9416,6338,3022,1043,81024
CED503,11446,9161,4969,1640,69969
CED504,11151,7940,3807,1054,82557
CED505,15235,11660,7008,2940,103970
CED506,23326,15709,5014,1011,138825
CED507,12544,9506,4258,1386,74957
CED508,12485,8284,3569,1370,87909
CED509,11590,8008,4071,1357,81729
CED510,15090,10817,4271,1375,85694
CED511,15653,10459,4640,1452,90246
CED512,10349,5730,2739,941,80179
CED513,13635,8868,4051,1626,110564
CED514,12470,8590,4198,2004,104749
CED515,15219,11608,5713,2256,98566
CED597,465,123,24,0,2853
