CED_CODE_2021,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christian_Assyrian_Apostol_M,Christian_Assyrian_Apostol_F,Christian_Assyrian_Apostol_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christian_Churches_Christ_M,Christian_Churches_Christ_F,Christian_Churches_Christ_P,Christian_Eastern_Orthodox_M,Christian_Eastern_Orthodox_F,Christian_Eastern_Orthodox_P,Christian_Jehovah_Witnesses_M,Christian_Jehovah_Witnesses_F,Christian_Jehovah_Witnesses_P,Christian_Latter_Day_Saints_M,Christian_Latter_Day_Saints_F,Christian_Latter_Day_Saints_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christian_Oriental_Orthodox_M,Christian_Oriental_Orthodox_F,Christian_Oriental_Orthodox_P,Christian_Other_Protestant_M,Christian_Other_Protestant_F,Christian_Other_Protestant_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christian_Presbyt_Reformed_M,Christian_Presbyt_Reformed_F,Christian_Presbyt_Reformed_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christian_Sevnth_day_Advent_M,Christian_Sevnth_day_Advent_F,Christian_Sevnth_day_Advent_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Oth_Rel_Aus_Abor_Trad_Rel_M,Oth_Rel_Aus_Abor_Trad_Rel_F,Oth_Rel_Aus_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Oth_Relig_Oth_Rel_Groups_M,Oth_Relig_Oth_Rel_Groups_F,Oth_Relig_Oth_Rel_Groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_No_Religion_M,SB_OSB_NRA_No_Religion_F,SB_OSB_NRA_No_Religion_P,SB_OSB_NRA_Sec_Beliefs_M,SB_OSB_NRA_Sec_Beliefs_F,SB_OSB_NRA_Sec_Beliefs_P,SB_OSB_NRA_Oth_Sp_Beliefs_M,SB_OSB_NRA_Oth_Sp_Beliefs_F,SB_OSB_NRA_Oth_Sp_Beliefs_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
CED501,628,1209,1842,8508,10690,19201,0,0,0,1191,1400,2589,0,0,0,12853,14829,27680,234,297,525,418,490,911,484,650,1133,346,359,713,203,271,477,46,60,104,501,545,1050,890,1010,1906,1189,1291,2477,138,210,340,199,221,419,953,1326,2278,3139,3668,6807,128,158,281,31419,37466,68886,1068,1055,2118,802,796,1599,39,21,63,6,11,14,702,603,1310,280,442,713,989,1052,2037,43880,42105,85985,269,214,484,121,267,389,44271,42585,86862,7047,5305,12349,138,134,271,86391,89624,176018
CED502,2287,2972,5258,6142,7794,13935,0,0,0,2135,2376,4510,60,55,112,13817,15325,29139,185,214,396,281,327,606,312,420,734,214,241,456,151,162,310,269,250,521,576,686,1262,1571,1786,3357,1486,1682,3168,96,121,214,428,497,925,758,1039,1797,3824,4363,8192,145,193,335,32452,37521,69971,4032,3910,7943,7379,7028,14408,31,28,60,8,5,16,2161,1915,4072,296,471,763,2460,2394,4852,33433,30939,64372,229,159,388,93,150,240,33759,31249,65006,5969,5682,11649,179,231,411,88549,91012,179558
CED503,493,908,1403,9699,12406,22096,0,0,0,1273,1552,2822,73,78,153,10842,12694,23541,130,159,291,195,219,413,457,614,1067,216,245,457,164,240,406,18,16,27,341,407,744,718,898,1622,1388,1520,2911,94,134,231,161,219,382,1072,1605,2678,2473,2839,5312,68,81,153,29382,35935,65312,488,539,1028,412,450,861,36,36,74,4,3,7,353,320,679,206,408,612,563,735,1301,36744,35824,72570,203,171,372,117,237,355,37067,36235,73298,4946,4748,9691,78,109,186,73467,79691,153159
CED504,3952,4987,8946,5290,6682,11975,0,0,0,1828,1952,3779,11,11,22,20195,22439,42632,182,280,467,3081,3153,6234,370,476,842,160,207,369,113,146,257,269,280,549,564,635,1198,873,1109,1982,611,746,1358,101,136,239,176,219,395,769,1115,1883,3195,3674,6863,71,85,159,37853,43359,81207,2287,1970,4255,6019,5638,11653,506,560,1066,3,11,13,892,743,1631,378,529,910,1274,1278,2551,29753,26712,56468,234,197,435,108,187,293,30095,27095,57190,5277,5005,10282,102,203,309,87365,90089,177460
CED505,1844,2475,4317,9477,12193,21668,0,0,3,653,775,1429,0,0,0,15417,18777,34194,271,338,607,1153,1393,2544,154,210,367,40,45,90,191,266,448,74,70,137,345,485,827,366,493,863,867,1122,1986,54,61,113,37,55,87,1498,2154,3660,1604,2124,3735,52,63,118,32258,40614,72875,1423,1415,2843,865,930,1794,304,293,598,4,0,9,147,133,278,369,403,770,520,537,1056,39197,37284,76482,372,271,644,107,213,319,39677,37766,77446,4746,4805,9551,292,281,571,81924,89130,171054
CED506,934,1370,2306,13159,13018,26175,0,0,0,1441,1372,2813,127,131,257,22004,21117,43119,299,301,601,406,317,719,481,544,1024,180,165,342,454,489,944,36,20,56,1003,1066,2072,1005,1078,2081,1446,1175,2627,138,207,345,456,500,957,2415,2753,5169,3224,3321,6544,98,99,194,48366,47669,96037,765,480,1247,1143,856,1994,74,75,147,397,361,754,119,74,197,311,357,668,829,795,1626,58333,45858,104191,350,193,543,155,204,356,58831,46254,105089,30466,17664,48134,812,504,1319,142227,115674,257904
CED507,500,837,1339,8534,11019,19551,0,0,0,1190,1287,2479,0,5,7,11445,13465,24907,226,298,525,200,222,421,433,619,1056,215,264,484,162,207,366,17,17,30,269,349,616,406,479,889,821,954,1779,76,130,207,226,258,488,1251,1813,3061,2180,2533,4712,86,105,192,27740,34020,61758,338,309,649,504,462,963,37,41,82,4,13,23,137,110,250,187,310,501,336,438,771,38817,37226,76036,231,156,386,101,178,286,39150,37556,76712,6208,5430,11637,186,142,328,75007,79226,154241
CED508,1025,1588,2619,6003,7592,13591,0,0,0,955,1159,2114,34,38,74,18895,21727,40625,89,105,196,734,823,1555,225,287,513,63,80,143,126,170,297,56,57,109,384,456,842,722,840,1567,897,985,1878,44,67,109,88,98,188,777,1165,1947,2092,2534,4627,72,77,147,32248,38261,70513,1128,1134,2264,1007,1028,2035,91,124,214,6,3,8,248,203,451,306,396,704,553,605,1159,37743,36306,74050,289,235,526,160,251,412,38197,36795,74991,4880,4507,9390,246,204,455,79387,84247,163632
CED509,968,1474,2444,7995,9826,17816,0,0,0,1371,1558,2929,181,149,328,14805,16590,31394,232,297,530,534,549,1077,346,438,783,183,259,446,167,210,380,110,94,206,512,607,1125,972,1174,2142,874,1007,1883,93,136,224,299,356,657,923,1287,2211,3055,3641,6697,166,165,329,32830,38335,71164,2201,2128,4328,1950,1906,3862,64,74,140,8,6,13,1346,1286,2635,268,395,665,1625,1689,3313,37429,35548,72979,253,211,460,118,213,329,37798,35968,73766,6679,4864,11544,120,162,275,84222,86609,170828
CED510,644,1001,1645,9736,12243,21978,0,0,4,1239,1380,2619,3,4,11,15956,18322,34278,257,299,556,781,876,1658,158,236,394,170,213,384,179,209,389,146,143,281,479,562,1047,807,939,1751,1164,1313,2480,56,71,132,72,81,154,1356,1842,3199,2130,2535,4669,68,67,135,34768,41353,76111,712,680,1392,672,728,1403,101,119,219,4,0,0,95,111,205,235,303,539,330,422,750,37253,33986,71233,248,157,407,97,157,255,37599,34299,71899,3349,3175,6524,112,116,225,78277,81898,160173
