CED_CODE_2021,M_Emp_wrk_Ft_15_19,M_Emp_wrk_Ft_20_24,M_Emp_wrk_Ft_25_34,M_Emp_wrk_Ft_35_44,M_Emp_wrk_Ft_45_54,M_Emp_wrk_Ft_55_64,M_Emp_wrk_Ft_65_74,M_Emp_wrk_Ft_75_84,M_Emp_wrk_Ft_85_yr_over,M_Emp_wrk_Ft_Tot,M_Emp_wrk_Pt_15_19,M_Emp_wrk_Pt_20_24,M_Emp_wrk_Pt_25_34,M_Emp_wrk_Pt_35_44,M_Emp_wrk_Pt_45_54,M_Emp_wrk_Pt_55_64,M_Emp_wrk_Pt_65_74,M_Emp_wrk_Pt_75_84,M_Emp_wrk_Pt_85_yr_over,M_Emp_wrk_Pt_Tot,M_Emp_a_f_wrk_15_19,M_Emp_a_f_wrk_20_24,M_Emp_a_f_wrk_25_34,M_Emp_a_f_wrk_35_44,M_Emp_a_f_wrk_45_54,M_Emp_a_f_wrk_55_64,M_Emp_a_f_wrk_65_74,M_Emp_a_f_wrk_75_84,M_Emp_a_f_wrk_85_yr_over,M_Emp_a_f_wrk_Tot,M_Hr_wrk_ns_15_19,M_Hr_wrk_ns_20_24,M_Hr_wrk_ns_25_34,M_Hr_wrk_ns_35_44,M_Hr_wrk_ns_45_54,M_Hr_wrk_ns_55_64,M_Hr_wrk_ns_65_74,M_Hr_wrk_ns_75_84,M_Hr_wrk_ns_85_yr_over,M_Hr_wrk_ns_Tot,M_Tot_emp_15_19,M_Tot_emp_20_24,M_Tot_emp_25_34,M_Tot_emp_35_44,M_Tot_emp_45_54,M_Tot_emp_55_64,M_Tot_emp_65_74,M_Tot_emp_75_84,M_Tot_emp_85_yr_over,M_Tot_emp_Tot,M_UE_lk_fr_Ft_wrk_15_19,M_UE_lk_fr_Ft_wrk_20_24,M_UE_lk_fr_Ft_wrk_25_34,M_UE_lk_fr_Ft_wrk_35_44,M_UE_lk_fr_Ft_wrk_45_54,M_UE_lk_fr_Ft_wrk_55_64,M_UE_lk_fr_Ft_wrk_65_74,M_UE_lk_fr_Ft_wrk_75_84,M_UE_lk_for_Ft_wrk_85_over,M_UE_looking_for_Ft_wk_Tot,M_UE_lk_for_Pt_wk_15_19,M_UE_lk_for_Pt_wk_20_24,M_UE_lk_for_Pt_wk_25_34,M_UE_lk_for_Pt_wk_35_44,M_UE_lk_for_Pt_wk_45_54,M_UE_lk_for_Pt_wk_55_64,M_UE_lk_for_Pt_wk_65_74,M_UE_lk_for_Pt_wk_75_84,M_UE_looking_for_Pt_wk_85_ov,M_UE_lk_for_Pt_wrk_Tot,M_Tot_unemp_15_19,M_Tot_unemp_20_24,M_Tot_unemp_25_34,M_Tot_unemp_35_44,M_Tot_unemp_45_54,M_Tot_unemp_55_64,M_Tot_unemp_65_74,M_Tot_unemp_75_84,M_Tot_unemp_85_yr_over,M_Tot_unemp_Total,M_Tot_LF_15_19_yr,M_Tot_LF_20_24_yr,M_Tot_LF_25_34_yr,M_Tot_LF_35_44_yr,M_Tot_LF_45_54_yr,M_Tot_LF_55_64_yr,M_Tot_LF_65_74_yr,M_Tot_LF_75_84_yr,M_Tot_LF_85_yr_over,M_Tot_LF_Tot,M_NILF_15_19_yr,M_NILF_20_24_yr,M_NILF_25_34_yr,M_NILF_35_44_yr,M_NILF_45_54_yr,M_NILF_55_64_yr,M_NILF_65_74_yr,M_NILF_75_84_yr,M_NILF_85_yr_over,M_NILF_Tot,M_LF_st_ns_15_19,M_LF_st_ns_20_24,M_LF_st_ns_25_34,M_LF_st_ns_35_44,M_LF_st_ns_45_54,M_LF_st_ns_55_64,M_LF_st_ns_65_74,M_LF_st_ns_75_84,M_LF_st_ns_85_yr_over,M_LF_st_ns_Total,M_Tot_15_19_yr,M_Tot_20_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_Emp_wrk_Ft_15_19,F_Emp_wrk_Ft_20_24,F_Emp_wrk_Ft_25_34,F_Emp_wrk_Ft_35_44,F_Emp_wrk_Ft_45_54,F_Emp_wrk_Ft_55_64,F_Emp_wrk_Ft_65_74,F_Emp_wrk_Ft_75_84,F_Emp_wrk_Ft_85_yr_over,F_Emp_wrk_Ft_Tot,F_Emp_wrk_Pt_15_19,F_Emp_wrk_Pt_20_24,F_Emp_wrk_Pt_25_34,F_Emp_wrk_Pt_35_44,F_Emp_wrk_Pt_45_54,F_Emp_wrk_Pt_55_64,F_Emp_wrk_Pt_65_74,F_Emp_wrk_Pt_75_84,F_Emp_wrk_Pt_85ov,F_Emp_wrk_Pt_Tot,F_Emp_a_f_wrk_15_19,F_Emp_a_f_wrk_20_24,F_Emp_a_f_wrk_25_34,F_Emp_a_f_wrk_35_44,F_Emp_a_f_wrk_45_54,F_Emp_a_f_wrk_55_64,F_Emp_a_f_wrk_65_74,F_Emp_a_f_wrk_75_84,F_Emp_a_f_wrk_85ov,F_Emp_a_f_wrk_Tot,F_Hr_wrk_ns_15_19,F_Hr_wrk_ns_20_24,F_Hr_wrk_ns_25_34,F_Hr_wrk_ns_35_44,F_Hr_wrk_ns_45_54,F_Hr_wrk_ns_55_64,F_Hr_wrk_ns_65_74,F_Hr_wrk_ns_75_84,F_Hr_wrk_ns_85_yr_over,F_Hr_wrk_ns_Tot,F_Tot_emp_15_19_yr,F_Tot_emp_20_24_yr,F_Tot_emp_25_34_yr,F_Tot_emp_35_44_yr,F_Tot_emp_45_54_yr,F_Tot_emp_55_64_yr,F_Tot_emp_65_74_yr,F_Tot_emp_75_84_yr,F_Tot_emp_85_yr_over,F_Tot_emp_Tot,F_UE_lk_fr_Ft_wrk_15_19,F_UE_lk_fr_Ft_wrk_20_24,F_UE_lk_fr_Ft_wrk_25_34,F_UE_lk_fr_Ft_wrk_35_44,F_UE_lk_fr_Ft_wrk_45_54,F_UE_lk_fr_Ft_wrk_55_64,F_UE_lk_fr_Ft_wrk_65_74,F_UE_lk_fr_Ft_wrk_75_84,F_UE_lk_for_Ft_wrk_85_over,F_UE_looking_for_Ft_wk_Tot,F_UE_lk_for_Pt_wk_15_19,F_UE_lk_for_Pt_wk_20_24,F_UE_lk_for_Pt_wk_25_34,F_UE_lk_for_Pt_wk_35_44,F_UE_lk_for_Pt_wk_45_54,F_UE_lk_for_Pt_wk_55_64,F_UE_lk_for_Pt_wk_65_74,F_UE_lk_for_Pt_wk_75_84,F_UE_looking_for_Pt_wk_85_ov,F_UE_lk_for_Pt_wrk_Tot,F_Tot_unemp_15_19,F_Tot_unemp_20_24,F_Tot_unemp_25_34,F_Tot_unemp_35_44,F_Tot_unemp_45_54,F_Tot_unemp_55_64,F_Tot_unemp_65_74,F_Tot_unemp_75_84,F_Tot_unemp_85_yr_over,F_Tot_unemp_Total
CED501,830,2548,7440,8140,7211,4840,726,33,0,31771,1635,1138,1245,949,923,995,500,74,6,7469,71,131,434,380,393,385,100,3,3,1906,60,100,259,207,139,76,19,0,6,865,2599,3914,9383,9674,8662,6299,1342,118,9,42004,224,338,503,350,320,261,35,0,0,2042,487,136,128,54,77,72,48,7,0,1009,710,473,630,411,393,340,86,6,3,3047,3308,4388,10017,10088,9059,6637,1428,123,10,45056,2295,779,1333,1189,1266,2077,4458,3107,860,17369,255,359,725,621,441,340,251,218,152,3362,5864,5524,12069,11893,10769,9051,6141,3448,1019,65780,354,1596,4060,4278,4455,2526,284,7,0,17557,2225,1879,3768,4418,3687,2584,624,39,0,19231,74,153,737,405,314,299,70,5,0,2055,47,81,176,113,96,69,14,5,4,600,2703,3707,8743,9209,8555,5478,990,58,5,39445,138,182,247,229,228,124,5,3,0,1161,483,172,323,326,218,162,30,0,0,1718,620,346,571,562,444,290,40,4,0,2881
CED502,623,2318,7655,9875,6731,4368,853,34,5,32473,1408,1554,1755,1542,1210,1096,627,95,4,9283,71,80,293,305,234,240,84,6,0,1310,44,109,320,219,146,99,19,10,0,965,2148,4067,10022,11941,8318,5804,1582,143,9,44037,170,327,569,439,368,260,48,0,0,2182,365,178,140,91,86,91,46,3,0,1004,538,509,710,534,452,346,96,3,0,3182,2680,4574,10729,12472,8769,6154,1681,148,9,47215,2444,803,1138,1089,1256,1821,4511,2853,795,16700,268,296,689,665,533,366,286,205,150,3458,5388,5670,12566,14216,10557,8340,6476,3204,946,67377,276,1474,4415,4588,3891,2424,378,12,0,17457,1797,1963,3675,4595,3056,2343,684,62,0,18186,70,131,607,429,225,223,56,3,0,1748,41,105,179,143,105,65,22,7,0,661,2188,3667,8874,9756,7281,5058,1133,84,10,38050,122,201,301,293,270,153,20,5,0,1358,448,207,353,365,211,153,19,0,0,1757,573,409,657,653,484,308,40,0,0,3118
CED503,751,1811,4846,5546,5815,4603,935,74,3,24382,1281,845,875,776,845,1127,792,192,12,6730,91,107,306,352,374,416,112,15,5,1772,50,79,182,154,115,105,45,11,4,747,2171,2846,6207,6829,7145,6252,1879,292,19,33634,151,228,333,270,256,209,50,0,0,1510,297,84,82,45,39,93,41,6,0,687,446,308,416,319,300,305,91,6,0,2199,2618,3154,6621,7149,7444,6554,1973,300,19,35828,1759,454,701,814,1053,2222,6482,4703,1317,19506,193,170,337,365,394,339,355,310,192,2668,4567,3781,7665,8334,8894,9115,8810,5314,1530,58008,297,1139,2639,2971,3685,2393,334,19,0,13480,1992,1440,2792,3452,3310,2946,869,71,5,16879,80,129,515,309,286,325,85,5,0,1736,51,59,120,90,97,63,24,18,3,521,2425,2764,6059,6827,7379,5727,1317,115,14,32620,98,131,161,158,177,136,11,4,0,885,295,109,202,199,174,175,33,0,0,1196,386,242,368,361,357,313,46,4,0,2081
CED504,463,2091,7926,8109,6576,5095,1139,69,5,31480,1446,1809,2131,1580,1376,1499,863,152,11,10870,61,90,255,231,217,252,90,11,0,1208,36,148,326,192,142,85,37,9,5,972,2002,4134,10631,10116,8317,6933,2125,243,18,44531,123,308,472,379,373,294,32,3,0,1992,367,190,138,71,92,118,48,5,0,1030,494,497,607,457,469,408,81,10,0,3022,2496,4634,11240,10571,8783,7342,2213,257,18,47551,2414,917,1059,1069,1366,2311,5469,3847,1164,19616,177,326,644,593,472,350,267,237,100,3175,5087,5876,12947,12232,10618,10002,7942,4347,1286,70341,210,1553,4950,4152,4171,2886,493,20,0,18439,1817,2253,3723,4153,3565,3019,1008,86,4,19627,54,140,574,375,223,241,102,4,0,1709,50,106,187,129,133,95,20,6,3,725,2133,4058,9436,8809,8087,6234,1622,119,3,40506,88,126,238,227,215,152,13,0,0,1072,409,178,299,323,205,190,37,0,0,1636,503,306,533,547,424,342,54,0,0,2711
CED505,251,1476,6879,8131,7898,5170,1305,170,10,31289,1919,2111,1648,1223,1112,1441,1363,400,41,11257,111,123,262,259,175,210,82,29,0,1257,27,39,140,103,79,45,22,9,3,465,2295,3755,8934,9717,9265,6858,2778,607,63,44270,38,132,207,165,255,195,48,3,0,1045,410,182,118,41,47,61,50,11,0,931,449,320,331,205,301,259,99,10,0,1975,2744,4072,9260,9916,9571,7120,2876,623,65,46243,2842,900,806,585,803,1618,4255,3856,1592,17250,130,152,486,428,324,270,310,304,211,2626,5727,5125,10552,10934,10695,9011,7440,4783,1862,66121,104,1334,5883,4399,4774,2841,555,42,0,19932,2318,2728,3133,4490,4266,3183,1380,238,15,21750,115,159,622,480,195,278,93,17,0,1963,21,63,125,78,81,49,25,20,7,468,2562,4285,9763,9449,9314,6346,2051,324,24,44111,25,73,141,146,168,95,13,0,0,661,369,152,142,198,149,139,24,0,0,1170,392,230,284,339,314,229,40,5,0,1834
CED506,1030,3062,11274,12090,11496,8937,2080,199,17,50174,1246,665,1409,1328,1376,1719,1062,235,25,9064,107,206,872,1142,1198,1438,531,66,3,5564,68,124,369,309,247,190,83,44,7,1441,2453,4052,13922,14872,14316,12286,3751,542,53,66250,168,271,381,326,333,303,54,3,0,1836,197,73,97,95,99,113,63,4,0,747,366,341,482,423,435,414,116,8,0,2589,2820,4402,14405,15298,14753,12697,3864,547,54,68835,2197,965,1803,1657,1780,3706,9197,4350,866,26511,787,1297,4959,5230,4946,3931,1853,738,167,23914,5803,6666,21163,22188,21471,20334,14911,5640,1090,119264,576,2136,6143,5431,5815,4262,849,68,0,25286,1641,1091,3245,4069,3406,3125,1108,143,9,17846,99,274,1093,872,830,1191,347,25,0,4731,73,103,222,162,158,133,51,24,6,925,2391,3609,10699,10528,10204,8716,2347,265,14,48786,113,134,204,181,194,136,22,0,0,981,171,95,197,193,179,158,36,0,3,1033,284,225,403,379,372,293,54,0,6,2011
CED507,793,1834,5070,6324,6449,4826,1097,102,6,26507,1484,645,1003,966,1060,1399,1056,180,17,7813,123,102,288,351,420,429,131,21,0,1877,63,55,153,138,128,78,21,18,3,659,2465,2639,6518,7783,8060,6731,2307,321,35,36854,108,156,248,195,187,161,23,0,0,1078,190,73,73,47,56,78,36,4,0,555,295,230,321,236,242,241,60,4,0,1630,2764,2861,6841,8023,8303,6975,2367,329,35,38484,1751,394,696,835,955,2065,5703,3672,1096,17171,226,188,524,510,565,507,454,290,146,3403,4743,3445,8060,9363,9822,9552,8525,4287,1273,59062,433,1139,2822,3054,3943,2536,351,25,0,14309,1968,1033,2761,4569,4159,3352,1128,121,6,19094,130,125,480,397,320,399,86,8,0,1940,56,58,82,120,90,61,24,14,3,501,2582,2350,6142,8132,8515,6352,1589,162,13,35842,83,68,112,100,109,100,11,0,0,578,248,76,136,169,145,132,21,6,0,938,329,151,249,265,251,232,31,6,0,1518
CED508,548,1947,7647,8644,7340,4969,997,76,3,32176,1439,1590,1487,1189,1033,1262,868,136,6,9020,63,98,330,344,301,289,93,8,0,1520,31,62,186,159,116,71,23,3,0,650,2083,3699,9654,10332,8785,6586,1986,230,12,43371,93,202,282,249,270,224,39,0,0,1366,347,168,116,61,67,110,51,3,0,927,439,373,396,315,342,330,94,4,0,2290,2523,4071,10051,10645,9128,6919,2079,233,12,45661,1791,589,727,698,995,1710,4441,3057,1049,15052,156,219,539,519,438,328,277,243,151,2871,4468,4877,11317,11864,10555,8958,6799,3534,1214,63584,237,1576,5361,4347,4639,2875,460,12,0,19499,2022,2210,3603,4876,3869,3152,1000,99,4,20843,55,129,747,511,242,264,77,3,0,2033,31,58,127,82,84,68,19,3,6,480,2345,3973,9833,9823,8837,6352,1562,118,9,42847,43,95,185,148,157,105,13,0,0,750,388,177,201,214,168,140,30,0,0,1317,427,272,392,363,327,251,39,0,0,2072
CED509,751,2208,7011,8331,7466,5169,1082,83,4,32102,1709,1322,1229,1110,997,1145,844,195,17,8578,81,93,362,341,323,361,94,8,0,1659,37,115,237,175,124,76,32,12,5,805,2577,3730,8842,9959,8908,6747,2054,296,24,43143,125,262,319,227,237,202,42,0,0,1407,377,130,67,51,47,72,58,6,0,810,504,388,385,281,279,269,100,12,0,2221,3085,4112,9228,10238,9187,7024,2158,308,21,45361,2349,753,1363,1320,1208,1792,4450,3244,938,17416,175,180,491,469,420,322,237,205,131,2631,5606,5050,11081,12028,10812,9136,6846,3753,1096,65411,301,1563,4349,4411,4812,3023,436,21,0,18910,2245,1812,3523,4433,3703,2834,942,115,4,19598,80,116,691,420,281,317,80,14,0,1993,59,84,161,93,90,56,18,7,0,564,2682,3572,8716,9351,8880,6224,1473,152,12,41060,85,138,172,160,171,129,19,0,0,871,352,113,230,222,162,117,24,0,0,1221,437,248,401,387,331,245,38,0,0,2087
CED510,616,1972,5084,7767,8441,6126,1174,59,4,31247,1969,1635,1084,880,1001,1441,1220,176,7,9432,77,94,242,265,276,313,140,15,0,1421,20,53,114,111,93,63,24,6,0,476,2685,3761,6520,9020,9813,7944,2562,262,16,42571,87,179,246,179,206,231,48,0,0,1174,487,140,83,40,32,69,44,5,0,917,579,318,329,223,237,305,94,5,0,2094,3266,4080,6845,9241,10047,8246,2657,266,16,44667,2094,560,527,496,565,1629,5784,3381,1037,16065,106,116,244,281,244,187,176,142,101,1592,5463,4755,7619,10015,10859,10059,8618,3789,1149,62325,218,1291,3295,3663,4868,3227,453,15,0,17025,2545,2115,2475,4738,4631,4047,1239,90,0,21873,85,94,577,489,235,407,99,9,0,1993,29,47,77,105,73,48,21,9,3,405,2874,3543,6423,8981,9804,7735,1813,117,9,41304,35,57,107,122,122,87,8,0,0,538,454,123,112,173,161,116,37,0,5,1180,489,183,218,295,280,202,49,0,7,1721
