CED_CODE_2021,Australia_M,Australia_F,Australia_P,Afghanistan_M,Afghanistan_F,Afghanistan_P,Bangladesh_M,Bangladesh_F,Bangladesh_P,Canada_M,Canada_F,Canada_P,China_excl_SARs_Taiwan_M,China_excl_SARs_Taiwan_F,China_excl_SARs_Taiwan_P,Croatia_M,Croatia_F,Croatia_P,Egypt_M,Egypt_F,Egypt_P,Fiji_M,Fiji_F,Fiji_P,Germany_M,Germany_F,Germany_P,Greece_M,Greece_F,Greece_P,Hong_Kong_SAR_China_M,Hong_Kong_SAR_China_F,Hong_Kong_SAR_China_P,India_M,India_F,India_P,Indonesia_M,Indonesia_F,Indonesia_P,Iran_M,Iran_F,Iran_P,Iraq_M,Iraq_F,Iraq_P,Ireland_M,Ireland_F,Ireland_P,Italy_M,Italy_F,Italy_P,Japan_M,Japan_F,Japan_P,Korea_Republic_South_M,Korea_Republic_South_F,Korea_Republic_South_P,Lebanon_M,Lebanon_F,Lebanon_P,Malaysia_M,Malaysia_F,Malaysia_P,Nepal_M,Nepal_F,Nepal_P,Netherlands_M,Netherlands_F,Netherlands_P,New_Zealand_M,New_Zealand_F,New_Zealand_P,Pakistan_M,Pakistan_F,Pakistan_P,Philippines_M,Philippines_F,Philippines_P,Poland_M,Poland_F,Poland_P,Singapore_M,Singapore_F,Singapore_P,South_Africa_M,South_Africa_F,South_Africad_P,Sri_Lanka_M,Sri_Lanka_F,Sri_Lanka_P,Taiwan_M,Taiwan_F,Taiwan_P,Thailand_M,Thailand_F,Thailand_P,United_Kingdom_CI_IM_M,United_Kingdom_CI_IM_F,United_Kingdom_CI_IM_P,United_States_America_M,United_States_America_F,United_States_America_P,Vietnam_M,Vietnam_F,Vietnam_P,Born_elsewhere_M,Born_elsewhere_F,Born_elsewhere_P,Country_birth_not_stated_M,Country_birth_not_stated_F,Country_birth_not_stated_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
CED501,55611,56484,112097,20,12,28,58,49,108,158,202,364,179,324,503,129,126,254,51,40,88,69,75,139,324,372,695,11,17,30,55,75,128,1447,1322,2767,163,357,523,63,46,106,31,26,54,444,441,888,203,170,378,34,123,149,108,115,223,15,28,49,264,344,607,49,67,118,292,289,584,4146,4174,8325,111,82,198,1722,2329,4053,78,115,187,191,253,444,1574,1604,3173,103,97,204,21,62,84,100,528,628,11124,11737,22864,264,264,534,143,200,343,2867,3184,6060,4032,3765,7796,138,134,271,86391,89624,176018
CED502,49473,49476,98947,1180,883,2059,289,291,584,96,116,215,1126,1450,2572,66,55,123,100,104,207,56,71,125,263,272,534,13,15,29,172,192,363,5485,5155,10638,812,1169,1984,208,165,372,234,231,469,312,286,594,324,284,610,44,143,190,289,341,626,111,89,205,1704,2060,3761,173,175,349,341,413,750,2701,2574,5270,893,751,1637,2425,3037,5467,99,125,228,831,916,1746,1135,1180,2319,912,869,1780,98,216,317,379,790,1164,6114,6364,12483,232,210,448,229,379,609,5276,5688,10960,4172,4242,8412,179,231,411,88549,91012,179558
CED503,51624,54739,106360,33,23,46,21,19,45,152,184,337,77,216,289,51,44,99,27,19,39,53,54,106,259,343,602,21,19,41,38,46,80,752,729,1482,107,281,385,51,50,100,8,7,16,356,346,704,288,189,480,15,75,90,39,59,92,7,3,11,170,263,437,28,29,52,375,408,789,2503,2631,5136,64,59,118,588,1037,1627,65,76,138,140,171,309,1154,1336,2489,85,74,159,14,37,51,99,376,474,8837,9796,18630,236,237,473,79,146,219,1761,2036,3797,3237,3444,6678,78,109,186,73467,79691,153159
CED504,49059,49118,98174,614,410,1023,91,86,177,123,137,262,910,1320,2233,324,350,667,147,130,272,28,39,65,281,347,629,330,341,669,290,325,616,3202,2760,5957,236,465,698,488,480,967,652,607,1261,768,616,1376,1596,1517,3116,68,245,317,120,180,295,93,82,179,1239,1410,2652,142,127,267,206,190,392,1936,1746,3682,654,317,970,1049,1518,2566,300,386,689,422,511,934,936,980,1923,365,326,683,111,250,358,384,774,1157,4392,4392,8785,225,215,443,3231,4000,7231,8586,9584,18175,3654,3635,7292,102,203,309,87365,90089,177460
CED505,52112,55759,107872,18,22,32,65,49,114,397,486,886,1356,1818,3171,117,129,248,78,86,168,24,36,61,406,538,946,83,107,189,371,416,785,1261,1236,2502,318,541,864,320,336,656,44,38,85,871,973,1847,680,578,1259,280,543,819,126,205,326,30,19,55,1069,1490,2561,115,128,239,338,328,663,1586,1471,3057,112,93,206,207,439,651,184,311,501,756,866,1621,1683,1792,3469,273,311,583,112,172,287,111,289,408,7496,7102,14595,748,852,1605,230,360,595,4677,5685,10355,2977,3237,6213,292,281,571,81924,89130,171054
CED506,90806,79382,170184,36,8,48,50,24,73,155,244,399,288,314,603,77,49,131,50,26,79,133,82,211,491,561,1054,48,26,69,62,66,127,869,576,1441,204,345,549,92,22,111,41,7,54,667,428,1092,363,251,614,31,108,141,59,62,124,24,6,30,313,258,575,84,49,128,387,358,750,4730,3197,7925,130,60,188,1405,1506,2915,90,109,193,197,161,362,1291,1041,2332,195,108,299,71,181,247,140,640,781,7339,6343,13687,314,343,659,250,275,523,3537,2697,6236,26405,15255,41660,812,504,1319,142227,115674,257904
CED507,56167,58509,114677,68,28,96,24,27,46,137,221,353,129,204,334,27,13,39,25,16,46,28,24,52,281,425,709,18,16,38,32,63,95,473,395,864,75,194,277,32,23,52,23,21,40,317,314,635,365,312,677,48,106,156,106,105,214,24,22,48,144,186,331,42,45,82,287,304,593,2137,2017,4152,79,53,134,692,1007,1698,60,90,155,79,127,212,1123,1222,2349,62,69,130,84,192,274,61,266,329,5499,6098,11600,257,262,523,92,145,240,1626,1812,3442,4095,4154,8244,186,142,328,75007,79226,154241
CED508,50798,53047,103843,23,18,41,85,78,165,214,340,555,731,951,1685,614,636,1249,72,58,130,30,33,66,393,538,932,30,27,57,183,205,388,1295,1252,2545,323,571,896,236,220,453,38,24,64,594,557,1156,1296,1269,2570,80,254,340,206,244,451,42,38,81,774,963,1737,86,93,178,246,267,509,2175,1933,4113,146,112,264,1302,1661,2963,190,241,435,488,633,1120,1226,1297,2518,179,194,374,68,142,209,107,388,493,7035,7044,14085,422,441,856,120,218,334,4095,4962,9064,3180,3087,6269,246,204,455,79387,84247,163632
CED509,55890,56000,111892,256,191,443,54,50,98,153,159,310,200,361,565,172,180,347,71,51,117,38,45,84,377,423,804,30,27,53,83,108,196,2838,2742,5578,127,284,408,106,93,204,178,151,334,490,452,942,525,474,1000,36,135,170,40,78,113,30,33,66,320,467,793,90,91,181,306,307,619,2962,2867,5828,168,138,309,1542,2070,3616,132,182,319,248,314,565,1230,1271,2500,228,223,444,29,61,95,139,455,589,7433,7644,15078,293,309,601,392,519,906,3940,4494,8431,2972,2981,5952,120,162,275,84222,86609,170828
CED510,48225,49193,97413,37,40,78,26,13,44,232,317,544,383,554,941,97,83,177,128,141,273,25,28,56,420,474,889,74,75,148,117,170,287,649,623,1268,116,286,402,237,230,471,35,22,54,1238,1219,2459,460,385,849,74,192,267,62,91,152,27,24,46,430,618,1049,14,25,41,327,315,637,1985,1922,3903,69,58,123,187,456,646,239,376,621,323,406,725,2805,3043,5852,111,102,213,32,83,114,77,299,376,13465,13674,27138,380,373,752,152,221,378,3200,3869,7067,1711,1780,3487,112,116,225,78277,81898,160173
CED511,68065,61833,129898,130,65,194,19,13,32,139,196,332,204,184,385,36,30,69,29,11,39,106,71,180,330,465,795,25,16,45,34,34,74,475,373,846,113,207,314,67,34,98,8,7,22,263,214,483,266,205,470,20,59,71,45,51,99,9,8,13,163,159,324,26,23,49,326,307,629,3458,2817,6275,64,53,114,1050,1359,2403,63,64,126,79,107,194,1056,1023,2076,98,63,166,35,60,96,157,424,585,5288,5197,10483,217,261,473,88,111,195,2260,1947,4206,13597,8526,22129,250,142,395,98652,86715,185370
CED512,47157,49148,96302,234,225,460,43,45,92,135,174,308,314,488,798,125,140,259,183,185,366,36,44,84,301,400,695,55,40,91,93,140,231,1830,1800,3633,142,321,462,196,188,378,146,145,288,882,929,1804,343,309,654,28,122,150,80,104,182,32,38,74,486,588,1071,54,52,103,199,232,430,3085,3189,6274,143,132,273,929,1289,2216,201,274,480,308,356,666,3087,3380,6466,116,99,217,41,104,140,156,411,565,13979,14930,28905,240,251,487,675,858,1536,4620,5395,10014,2534,2591,5127,160,156,317,83342,89254,172595
CED513,51405,51897,103301,90,43,135,97,61,158,264,372,631,1480,2053,3535,181,235,419,98,83,182,45,43,89,365,481,841,218,257,478,399,461,855,2681,2447,5127,351,661,1012,416,367,786,137,97,236,1089,888,1978,1460,1544,3000,320,608,935,391,559,950,46,38,83,1178,1463,2641,418,403,832,247,257,503,1983,1724,3708,446,211,649,660,1118,1778,324,441,767,577,763,1339,1220,1267,2487,400,349,751,172,368,538,241,630,873,6851,5770,12621,478,528,1005,1220,1633,2856,6241,6924,13167,5334,4338,9667,687,468,1161,90196,91852,182046
