CED_CODE_2021,Num_pns_pres_Cen_Ngt_1_Fam_hh,Nu_pn_pre_Cen_Ngt_1_No_fam_hh,Num_pns_pres_Cen_Ngt_1_Tot,Num_pns_pres_Cen_Ngt_2_Fam_hh,Nu_pn_pre_Cen_Ngt_2_No_fam_hh,Num_pns_pres_Cen_Ngt_2_Tot,Num_pns_pres_Cen_Ngt_3_Fam_hh,Nu_pn_pre_Cen_Ngt_3_No_fam_hh,Num_pns_pres_Cen_Ngt_3_Tot,Num_pns_pres_Cen_Ngt_4_Fam_hh,Nu_pn_pre_Cen_Ngt_4_No_fam_hh,Num_pns_pres_Cen_Ngt_4_Tot,Num_pns_pres_Cen_Ngt_5_Fam_hh,Nu_pn_pre_Cen_Nt_5_Non_fam_hh,Nu_pn_pre_Cen_Ngt_5_Tot,Num_pn_pres_Cen_Ngt_6m_Fam_hh,Nu_pn_pre_Ce_Ngt_6m_No_fam_hh,Num_pns_pres_Cen_Ngt_6m_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
CED501,1837,15477,17317,18408,2420,20820,10670,659,11326,10046,412,10458,4325,206,4531,2212,95,2307,47493,19264,66760
CED502,1174,15117,16291,16577,2495,19069,10651,832,11480,10511,507,11015,4666,259,4920,3007,147,3155,46581,19358,65938
CED503,1673,14931,16605,20146,2247,22389,8565,492,9060,7813,303,8116,3380,160,3536,1821,83,1904,43398,18209,61609
CED504,1213,17476,18687,19142,2776,21928,10767,846,11613,9627,486,10111,4057,222,4285,2488,112,2598,47297,21923,69220
CED505,1498,19662,21163,19215,3161,22377,9012,979,9988,10093,420,10515,3637,137,3776,939,42,980,44395,24393,68794
CED506,2059,22641,24702,19075,13038,32113,8798,2038,10837,8152,1763,9916,4128,822,4952,2901,482,3382,45105,40789,85894
CED507,1656,15648,17299,19507,3122,22633,8297,697,8991,7818,468,8286,3246,197,3437,1402,103,1505,41933,20224,62155
CED508,1522,17450,18970,18665,2921,21587,10098,817,10916,9655,385,10044,3291,165,3454,1251,71,1318,44486,21802,66286
CED509,1473,13485,14956,18149,2043,20196,10193,574,10773,10094,300,10396,4188,137,4324,2290,86,2379,46386,16631,63019
CED510,1334,11118,12452,19163,1534,20697,9860,429,10286,11255,224,11476,3874,82,3957,1201,37,1245,46694,13425,60114
CED511,1634,21900,23534,21075,4642,25720,8126,1089,9219,7133,702,7834,3349,382,3730,1810,169,1980,43120,28894,72020
CED512,1602,11333,12935,16747,1671,18414,11274,494,11767,11589,332,11921,4606,152,4761,2229,81,2303,48043,14061,62103
CED513,1693,29404,31095,22740,4999,27740,9753,1431,11182,8057,559,8616,2338,154,2494,814,65,883,45402,36617,82014
CED514,1620,23655,25277,21024,4351,25372,10459,1641,12097,9049,786,9838,3319,311,3632,1661,168,1831,47131,30905,78038
CED515,1122,13318,14444,18821,1794,20609,10722,625,11340,12220,363,12582,4651,164,4811,1934,59,1998,49478,16313,65791
CED597,0,8,8,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13
