CED_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
CED501,3246,2045,2391,2175,1771,1220,788,578,368,14568,39723,22071,25058,24962,22397,18658,13062,7337,2466,175746
CED502,3297,1788,1978,1960,1581,1180,824,535,364,13507,40868,21790,26400,28730,21092,17341,13647,6890,2393,179148
CED503,2500,1371,1249,1411,1508,1303,1087,816,518,11758,30369,16766,16768,18020,18967,19354,18252,10854,3626,152970
CED504,2660,1624,1786,1774,1523,1322,950,546,194,12382,32720,21412,26188,24801,21788,20774,16962,9337,3172,177147
CED505,1663,1353,1463,1352,1236,1052,1010,787,573,10489,30088,21847,22453,23199,22536,18820,15881,10587,5075,170484
CED506,6657,4516,8705,8455,8021,6870,3856,1501,371,48955,43022,23728,38203,37832,36529,36616,27821,10430,2409,256586
CED507,2610,1481,1653,1704,1801,1620,1286,730,369,13257,30536,15861,16894,20070,20673,20119,17470,9005,3283,153914
CED508,1987,1406,1597,1574,1532,1192,899,597,417,11195,30339,18861,23820,24504,21836,18764,14346,7569,3141,163184
CED509,2415,1667,2195,2173,1863,1303,872,530,291,13319,36158,20530,23166,24586,22374,18892,14217,7882,2742,170549
CED510,1575,1084,937,1138,1268,1070,750,460,290,8569,30757,19482,15634,21159,22659,21394,17775,8035,3054,159945
CED511,4056,2838,4317,4160,4279,3763,2314,1114,388,27233,32272,18805,23419,23724,25691,26869,20359,10280,3540,184969
CED512,2681,1547,1421,1527,1430,965,591,339,142,10641,39936,22686,23831,25736,23468,16997,11416,6129,2076,172278
CED513,1651,1677,2976,2308,1996,1540,1085,652,385,14269,25562,19470,36581,29682,22747,19615,14672,8289,4266,180887
CED514,2248,1989,2668,2087,1731,1442,948,743,687,14539,30805,24543,34899,28105,21777,19459,15330,8333,4030,187274
CED515,1611,1462,1469,1518,1389,1134,912,723,511,10724,33576,23792,19144,24971,24249,21557,18592,10327,4811,181017
CED597,0,51,220,435,397,221,57,6,0,1396,3,137,518,957,896,533,176,32,0,3250
