CED_CODE_2021,M_15_19_Prov_unpaid_assist,M_15_19_No_unpaid_assist_prov,M_15_19_yr_Unpaid_assist_ns,M_15_19_Overseas_visitors,M_15_19_years_Total,M_20_24_Prov_unpaid_assist,M_20_24_No_unpaid_assist_prov,M_20_24_yr_Unpaid_assist_ns,M_20_24_Overseas_visitors,M_20_24_years_Total,M_25_34_Prov_unpaid_assist,M_25_34_No_unpaid_assist_prov,M_25_34_yr_Unpaid_assist_ns,M_25_34_Overseas_visitors,M_25_34_years_Total,M_35_44_Prov_unpaid_assist,M_35_44_No_unpaid_assist_prov,M_35_44_yr_Unpaid_assist_ns,M_35_44_Overseas_visitors,M_35_44_years_Total,M_45_54_Prov_unpaid_assist,M_45_54_No_unpaid_assist_prov,M_45_54_Unpaid_assist_ns,M_45_54_Overseas_visitors,M_45_54_years_Total,M_55_64_Prov_unpaid_assist,M_55_64_No_unpaid_assist_prov,M_55_64_yr_Unpaid_assist_ns,M_55_64_Overseas_visitors,M_55_64_years_Total,M_65_74_Prov_unpaid_assist,M_65_74_No_unpaid_assist_prov,M_65_74_yr_Unpaid_assist_ns,M_65_74_Overseas_visitors,M_65_74_years_Total,M_75_84_Prov_unpaid_assist,M_75_84_No_unpaid_assist_prov,M_75_84_yr_Unpaid_assist_ns,M_75_84_Overseas_visitors,M_75_84_years_Total,M_85_over_Prov_unpaid_assist,M_85ovr_No_unpaid_assist_prov,M_85ovr_over_Unpaid_assist_ns,M_85over_Overseas_visitors,M_85_yr_and_over_Total,M_Tot_Prov_unpaid_assist,M_Tot_No_unpaid_assist_prov,M_Tot_Unpaid_assist_ns,M_Total_Overseas_visitors,M_Total_Total,F_15_19_Prov_unpaid_assist,F_15_19_No_unpaid_assist_prov,F_15_19_yr_Unpaid_assist_ns,F_15_19_Overseas_visitors,F_15_19_years_Total,F_20_24_Prov_unpaid_assist,F_20_24_No_unpaid_assist_prov,F_20_24_yr_Unpaid_assist_ns,F_20_24_Overseas_visitors,F_20_24_years_Total,F_25_34_Prov_unpaid_assist,F_25_34_No_unpaid_assist_prov,F_25_34_yr_Unpaid_assist_ns,F_25_34_Overseas_visitors,F_25_34_years_Total,F_35_44_Prov_unpaid_assist,F_35_44_No_unpaid_assist_prov,F_35_44_yr_Unpaid_assist_ns,F_35_44_Overseas_visitors,F_35_44_years_Total,F_45_54_Prov_unpaid_assist,F_45_54_No_unpaid_assist_prov,F_45_54_Unpaid_assist_ns,F_45_54_Overseas_visitors,F_45_54_years_Total,F_55_64_Prov_unpaid_assist,F_55_64_No_unpaid_assist_prov,F_55_64_yr_Unpaid_assist_ns,F_55_64_Overseas_visitors,F_55_64_years_Total,F_65_74_Prov_unpaid_assist,F_65_74_No_unpaid_assist_prov,F_65_74_yr_Unpaid_assist_ns,F_65_74_Overseas_visitors,F_65_74_years_Total,F_75_84_Prov_unpaid_assist,F_75_84_No_unpaid_assist_prov,F_75_84_yr_Unpaid_assist_ns,F_75_84_Overseas_visitors,F_75_84_years_Total,F_85_over_Prov_unpaid_assist,F_85ovr_No_unpaid_assist_prov,F_85ovr_over_Unpaid_assist_ns,F_85over_Overseas_visitors,F_85_yr_and_over_Total,F_Tot_Prov_unpaid_assist,F_Tot_No_unpaid_assist_prov,F_Tot_Unpaid_assist_ns,F_Total_Overseas_visitors,F_Total_Total,P_15_19_Prov_unpaid_assist,P_15_19_No_unpaid_assist_prov,P_15_19_yr_Unpaid_assist_ns,P_15_19_Overseas_visitors,P_15_19_years_Total,P_20_24_Prov_unpaid_assist,P_20_24_No_unpaid_assist_prov,P_20_24_yr_Unpaid_assist_ns,P_20_24_Overseas_visitors,P_20_24_years_Total,P_25_34_Prov_unpaid_assist,P_25_34_No_unpaid_assist_prov,P_25_34_yr_Unpaid_assist_ns,P_25_34_Overseas_visitors,P_25_34_years_Total,P_35_44_Prov_unpaid_assist,P_35_44_No_unpaid_assist_prov,P_35_44_yr_Unpaid_assist_ns,P_35_44_Overseas_visitors,P_35_44_years_Total,P_45_54_Prov_unpaid_assist,P_45_54_No_unpaid_assist_prov,P_45_54_Unpaid_assist_ns,P_45_54_Overseas_visitors,P_45_54_years_Total,P_55_64_Prov_unpaid_assist,P_55_64_No_unpaid_assist_prov,P_55_64_yr_Unpaid_assist_ns,P_55_64_Overseas_visitors,P_55_64_years_Total,P_65_74_Prov_unpaid_assist,P_65_74_No_unpaid_assist_prov,P_65_74_yr_Unpaid_assist_ns,P_65_74_Overseas_visitors,P_65_74_years_Total,P_75_84_Prov_unpaid_assist,P_75_84_No_unpaid_assist_prov,P_75_84_yr_Unpaid_assist_ns,P_75_84_Overseas_visitors,P_75_84_years_Total,P_85_over_Prov_unpaid_assist,P_85ovr_No_unpaid_assist_prov,P_85ovr_over_Unpaid_assist_ns,P_85over_Overseas_visitors,P_85_yr_and_over_Total,P_Tot_Prov_unpaid_assist,P_Tot_No_unpaid_assist_prov,P_Tot_Unpaid_assist_ns,P_Total_Overseas_visitors,P_Total_Total
CED501,234,5264,361,0,5861,247,4726,552,16,5544,623,10158,1293,22,12094,973,9855,1066,16,11917,1095,9013,660,15,10778,1127,7503,418,22,9071,720,5115,302,25,6166,420,2786,244,11,3459,94,771,156,4,1023,5532,55194,5051,137,65912,259,4889,311,0,5462,314,4622,294,4,5231,1207,11066,713,12,12998,1791,10673,607,12,13080,2054,9104,472,12,11648,1961,7328,329,34,9644,1138,5472,309,29,6954,425,3122,336,9,3895,65,1121,263,5,1453,9211,57403,3630,118,70360,497,10155,673,4,11321,558,9346,850,17,10770,1828,21229,2002,38,25091,2772,20532,1663,30,24993,3148,18117,1133,31,22428,3089,14826,749,52,18717,1861,10588,614,51,13116,851,5907,583,18,7352,157,1900,417,8,2474,14745,112593,8682,249,136274
CED502,233,4815,337,0,5388,244,5053,375,13,5686,778,10911,873,25,12587,1273,12152,796,22,14242,1113,8834,614,21,10576,911,7011,421,25,8370,741,5432,303,47,6520,345,2648,217,15,3221,81,714,153,0,952,5719,57564,4095,163,67539,258,4651,323,5,5244,358,4802,338,3,5501,1311,11708,826,18,13853,1978,11773,756,14,14524,1871,8151,513,19,10552,1736,6892,365,66,9069,1148,5692,335,68,7239,391,2993,295,19,3695,69,1106,268,6,1454,9115,57769,4024,216,71125,492,9470,662,6,10629,597,9851,715,19,11185,2097,22613,1696,39,26444,3253,23926,1554,36,28768,2985,16986,1120,38,21128,2650,13904,791,92,17435,1882,11123,636,115,13758,737,5637,511,32,6918,147,1818,427,4,2401,14834,115334,8117,379,138659
CED503,198,4102,265,0,4568,177,3389,210,0,3782,430,6764,474,8,7674,736,7035,562,14,8346,940,7418,536,11,8910,1207,7493,415,12,9128,1010,7356,439,19,8822,584,4374,351,0,5317,168,1176,185,0,1530,5455,49120,3434,70,58077,213,4070,262,0,4545,265,3416,196,3,3879,904,7740,458,19,9118,1440,7781,478,11,9699,1916,7720,438,13,10083,2234,7641,361,15,10258,1552,7508,381,24,9468,629,4477,442,8,5552,130,1609,351,4,2101,9289,51945,3365,99,64699,409,8172,530,4,9111,446,6806,401,7,7664,1335,14505,929,25,16788,2169,14812,1040,28,18049,2859,15140,970,27,18995,3441,15136,774,31,19380,2566,14869,823,36,18291,1211,8851,795,9,10862,297,2782,544,4,3632,14737,101057,6808,167,122770
CED504,220,4604,261,4,5092,271,5221,387,5,5887,713,11459,781,15,12962,1009,10497,725,9,12241,1340,8731,545,10,10632,1394,8208,399,22,10029,892,6725,324,20,7961,483,3610,249,7,4352,147,1013,120,0,1284,6480,60066,3793,97,70441,265,4324,281,3,4872,366,4914,290,11,5583,1098,11394,751,33,13276,1625,10247,686,15,12583,2117,8585,466,23,11194,2280,8106,386,66,10834,1470,7159,388,37,9051,572,4096,331,5,5003,107,1596,190,0,1893,9898,60417,3772,193,74282,490,8926,543,5,9961,639,10130,679,14,11467,1808,22848,1532,50,26238,2642,20746,1414,28,24825,3457,17319,1013,35,21823,3679,16316,786,89,20858,2357,13887,713,59,17019,1052,7704,578,13,9354,251,2613,313,4,3175,16375,120491,7564,289,144725
CED505,215,5336,174,16,5735,253,4686,189,18,5148,468,9523,564,54,10607,749,9700,482,25,10958,1276,9065,353,55,10749,1570,7144,298,43,9054,1003,6111,325,36,7473,504,3927,351,17,4804,202,1428,233,4,1871,6237,56916,2971,269,66394,229,5086,209,18,5540,335,4901,237,18,5482,754,10587,562,54,11955,1347,10425,495,32,12296,2357,9121,361,32,11872,2681,6838,295,42,9853,1660,6396,392,42,8486,782,4581,433,11,5815,193,2585,436,10,3222,10341,60517,3419,250,74526,441,10419,381,30,11279,586,9589,422,41,10636,1223,20107,1124,106,22561,2096,20130,977,57,23257,3629,18184,710,85,22619,4249,13975,598,86,18912,2662,12503,715,77,15957,1293,8504,785,33,10616,388,4016,667,14,5087,16575,117429,6392,518,140914
CED506,285,4606,915,0,5801,270,4932,1464,144,6813,819,14889,5454,282,21445,1297,15241,5651,156,22341,1454,14801,5222,91,21562,1500,14739,4090,67,20403,1067,11899,1943,36,14948,452,4419,767,10,5652,92,817,183,3,1092,7232,86334,25701,791,120057,254,4188,781,0,5235,343,4626,1063,101,6129,1155,13038,2845,236,17283,1697,11663,2284,48,15693,1987,10885,2172,27,15080,2257,11987,2032,34,16315,1446,10005,1463,38,12945,425,3682,689,4,4795,64,1018,239,0,1323,9635,71091,13573,494,94799,541,8793,1701,3,11038,612,9554,2528,244,12940,1975,27927,8302,512,38721,2994,26900,7936,198,38037,3447,25683,7397,116,36641,3756,26730,6129,103,36723,2517,21901,3407,78,27896,879,8092,1453,16,10444,152,1837,418,6,2415,16868,157423,39275,1284,214855
CED507,180,4242,321,4,4747,139,3062,242,12,3454,403,6886,769,66,8125,762,7847,757,35,9398,1053,8067,706,22,9837,1309,7634,605,11,9565,948,7071,505,8,8532,476,3493,310,6,4295,116,985,172,0,1273,5391,49286,4385,166,59234,236,3977,284,8,4503,172,2805,195,6,3183,742,7515,576,44,8874,1495,8663,551,22,10723,1985,8320,548,12,10862,2338,7703,524,25,10589,1481,6973,498,11,8956,572,3770,386,6,4728,105,1615,285,0,2009,9124,51351,3839,130,64441,420,8220,599,10,9256,312,5871,434,23,6637,1145,14402,1352,105,17000,2255,16505,1309,56,20127,3032,16386,1247,29,20703,3650,15342,1125,34,20154,2426,14041,1001,23,17490,1047,7267,690,14,9021,222,2597,460,0,3286,14516,100635,8222,298,123674
CED508,184,4085,202,17,4485,226,4390,254,19,4895,555,10148,611,60,11377,861,10389,612,24,11893,1210,8839,509,32,10590,1343,7235,379,40,8998,852,5629,319,30,6830,425,2818,292,6,3540,124,907,187,3,1214,5780,54445,3357,233,63815,207,4008,179,0,4405,311,4565,243,22,5143,879,11043,585,53,12560,1579,10560,496,17,12650,2213,8657,407,23,11304,2326,7140,340,35,9842,1335,5869,351,33,7578,427,3259,346,6,4036,92,1490,343,0,1928,9370,56602,3288,191,69450,389,8094,384,20,8884,542,8961,492,42,10038,1439,21186,1194,116,23936,2445,20947,1108,43,24540,3422,17498,916,55,21892,3668,14375,715,76,18836,2182,11499,668,60,14410,849,6075,639,14,7578,220,2396,528,4,3143,15147,111044,6651,420,133266
CED509,236,5112,259,3,5612,233,4413,408,0,5054,622,9250,1204,25,11102,964,9940,1117,14,12036,1262,8764,788,13,10829,1208,7422,509,26,9157,838,5704,304,16,6867,451,3056,241,10,3761,113,835,142,6,1095,5926,54505,4975,108,65512,278,4618,251,4,5157,305,4166,249,7,4732,1099,10344,645,27,12112,1704,10244,618,14,12579,2171,8919,464,11,11572,2238,7196,321,42,9795,1312,5745,310,30,7401,521,3319,287,11,4136,71,1314,261,4,1646,9695,55873,3416,146,69132,517,9731,509,13,10767,542,8578,657,11,9787,1713,19599,1851,47,23212,2665,20185,1736,30,24616,3438,17685,1258,23,22396,3444,14620,830,60,18955,2149,11445,615,49,14265,975,6378,530,19,7899,190,2156,401,3,2747,15627,110380,8387,252,134645
CED510,190,5132,140,0,5465,203,4408,143,3,4761,349,6957,309,22,7637,722,8951,340,11,10025,1193,9360,305,22,10880,1458,8371,231,22,10086,1161,7241,210,15,8630,403,3201,179,4,3791,133,916,106,4,1154,5816,54534,1976,100,62425,196,4704,134,4,5037,237,3886,107,11,4243,521,7198,296,13,8036,1280,9572,291,12,11157,2106,9415,278,12,11813,2545,8561,227,15,11346,1606,7326,219,18,9174,466,3541,244,14,4258,96,1617,191,0,1908,9046,55826,1996,107,66972,384,9833,279,3,10498,443,8293,257,17,8998,875,14157,607,34,15670,1999,18521,639,25,21184,3296,18778,584,31,22691,4006,16928,456,39,21434,2766,14572,437,31,17801,864,6742,431,19,8057,224,2532,295,3,3058,14866,110358,3969,204,129394
