CED_CODE_2021,1_74_RE_agent,1_74_StateTeHAuthority,1_74_Com_house_prov,1_74_Person_not_same_hh,1_74_Oth_type,1_74_Not_stated,1_74_Total,75_99_RE_agent,75_99_StateTeHAuthority,75_99_Com_house_prov,75_99_Person_not_same_hh,75_99_Oth_type,75_99_Not_stated,75_99_Total,100_149_RE_agent,100_149_StateTeHAuthority,100_149_Com_house_prov,100_149_Person_not_same_hh,100_149_Oth_type,100_149_Not_stated,100_149_Total,150_199_RE_agent,150_199_StateTeHAuthority,150_199_Com_house_prov,150_199_Person_not_same_hh,150_199_Oth_type,150_199_Not_stated,150_199_Total,200_224_RE_agent,200_224_StateTeHAuthority,200_224_Com_house_prov,200_224_Person_not_same_hh,200_224_Oth_type,200_224_Not_stated,200_224_Total,225_274_RE_agent,225_274_StateTeHAuthority,225_274_Com_house_prov,225_274_Person_not_same_hh,225_274_Oth_type,225_274_Not_stated,225_274_Total,275_349_RE_agent,275_349_StateTeHAuthority,275_349_Com_house_prov,275_349_Person_not_same_hh,275_349_Oth_type,275_349_Not_stated,275_349_Total,350_449_RE_agent,350_449_StateTeHAuthority,350_449_Com_house_prov,350_449_Person_not_same_hh,350_449_Oth_type,350_449_Not_stated,350_449_Total,450_549_RE_agent,450_549_StateTeHAuthority,450_549_Com_house_prov,450_549_Person_not_same_hh,450_549_Oth_type,450_549_Not_stated,450_549_Total,550_649_RE_agent,550_649_StateTeHAuthority,550_649_Com_house_prov,550_649_Person_not_same_hh,550_649_Oth_type,550_649_Not_stated,550_649_Total,650_749_RE_agent,650_749_StateTeHAuthority,650_749_Com_house_prov,650_749_Person_not_same_hh,650_749_Oth_type,650_749_Not_stated,650_749_Total,750_849_RE_agent,750_849_StateTeHAuthority,750_849_Com_house_prov,750_849_Person_not_same_hh,750_849_Oth_type,750_849_Not_stated,750_849_Total,850_949_RE_agent,850_949_StateTeHAuthority,850_949_Com_house_prov,850_949_Person_not_same_hh,850_949_Oth_type,850_949_Not_stated,850_949_Total,950oveRE_agent,950oveStateTeHAuthority,950oveCom_house_prov,950ovePerson_not_same_hh,950oveOth_type,950oveNot_stated,950oveTotal,Rent_NS_RE_agent,Rent_NS_StateTeRent_Hauth,Rent_NS_Com_house_prov,Rent_NS_Person_not_same_hh,Rent_NS_Oth_type,Rent_NS_Not_stated,Rent_NS_Total,Total_RE_agent,Total_StateTer_HAuthority,Total_Com_house_prov,Total_Person_not_same_hh,Total_Oth_type,Total_NS,Total_Total
CED501,19,36,3,19,4,0,84,4,63,8,9,4,0,90,28,414,57,93,18,3,627,198,290,109,170,31,3,798,333,96,41,263,33,3,767,956,160,40,589,287,4,2032,3114,108,13,1272,160,7,4674,4280,26,10,1174,104,15,5600,805,4,0,187,21,0,1013,147,5,0,33,4,0,189,43,0,0,7,3,0,62,15,0,0,9,0,0,24,0,0,0,8,0,0,12,14,0,0,11,4,0,26,164,86,18,189,71,41,567,10115,1289,298,4042,733,78,16556
CED502,12,53,8,25,6,3,108,5,75,17,20,7,0,118,49,429,69,123,23,5,697,131,323,125,179,56,13,826,332,135,47,274,46,13,850,1173,205,43,639,104,10,2180,3220,139,23,1422,199,18,5027,3017,40,35,1085,169,8,4353,811,11,6,246,33,6,1105,129,0,0,37,7,0,170,20,6,0,15,3,0,45,10,0,0,12,3,0,21,4,4,0,8,0,0,11,5,0,0,18,8,0,28,160,103,26,222,62,43,619,9077,1518,413,4308,725,123,16160
CED503,11,22,5,25,10,0,76,0,33,5,6,11,0,64,20,251,72,123,29,11,507,161,220,149,210,56,6,807,207,90,52,291,46,8,696,848,83,61,614,75,10,1689,2217,28,34,1051,108,18,3451,2370,21,44,819,88,15,3365,649,3,5,205,21,3,881,155,0,0,60,4,7,219,42,0,0,14,6,0,61,21,0,0,8,3,0,32,3,0,0,0,0,0,11,7,0,0,18,11,0,39,101,51,35,188,74,33,490,6811,817,464,3643,548,95,12380
CED504,11,98,15,24,0,0,141,0,177,12,17,0,0,215,33,1132,59,139,34,6,1408,69,449,118,205,18,13,871,85,186,30,206,30,4,539,575,257,55,481,92,4,1458,3200,190,32,1572,282,19,5301,3850,64,35,1583,248,30,5806,1004,12,0,322,35,7,1383,183,0,4,67,4,0,261,68,3,0,22,0,0,98,38,0,3,8,3,0,49,18,0,0,8,0,0,23,10,0,0,6,3,0,26,146,164,34,240,70,59,726,9305,2738,391,4901,823,148,18304
CED505,8,81,9,20,0,0,113,0,131,21,15,0,6,174,33,798,33,104,17,6,996,112,251,90,152,15,7,628,295,82,18,197,19,4,626,1186,117,32,420,164,3,1921,1872,66,23,791,137,4,2884,2938,42,25,1067,75,9,4160,2420,15,18,706,48,3,3206,1428,3,0,393,24,0,1852,925,0,0,235,4,3,1166,612,0,0,140,9,0,764,425,0,0,87,5,0,515,859,4,0,185,19,0,1061,174,89,24,219,57,24,588,13272,1689,289,4724,607,67,20646
CED506,72,544,434,57,2094,10,3218,13,432,303,40,329,8,1124,83,1132,313,304,1405,19,3262,329,836,205,416,661,26,2474,368,460,62,514,494,9,1913,778,667,105,697,668,15,2937,1379,539,122,824,651,7,3524,1436,164,47,692,518,13,2866,935,37,9,293,227,3,1501,618,10,4,132,98,0,862,374,11,0,93,74,0,558,253,6,0,74,62,0,398,168,5,0,40,44,0,259,275,3,0,159,303,0,745,361,413,170,575,1796,55,3369,7443,5266,1773,4920,9428,186,29014
CED507,4,40,5,35,15,0,107,3,66,19,26,14,0,125,31,587,65,145,62,11,897,86,369,183,213,89,7,948,193,146,53,337,78,4,809,569,189,44,595,122,8,1521,1851,119,29,1264,142,14,3417,2887,41,25,1194,122,12,4288,954,3,0,280,31,4,1273,206,0,0,96,10,0,314,50,0,0,28,35,0,115,13,6,0,18,9,0,43,4,0,0,12,3,0,28,24,0,0,62,29,0,123,132,93,33,268,174,37,728,7006,1662,462,4574,955,93,14743
CED508,13,113,10,13,9,0,150,10,143,14,12,10,0,187,25,912,64,103,11,0,1119,67,398,131,189,22,8,813,177,161,39,183,33,0,592,461,178,46,339,91,0,1119,1671,142,27,762,92,9,2704,3999,58,8,1267,111,9,5452,2067,12,0,571,41,0,2687,742,0,0,213,7,0,963,283,9,3,86,8,0,387,147,0,0,40,7,0,193,80,0,0,23,6,0,111,105,11,0,43,31,0,194,137,128,31,204,60,38,592,9979,2257,369,4050,531,75,17264
CED509,4,34,13,32,3,0,83,0,53,0,12,0,0,66,21,348,30,90,17,7,492,88,210,73,131,18,0,524,95,73,8,150,20,0,349,476,111,29,331,60,0,1019,1854,96,30,876,67,5,2933,2548,43,31,980,116,19,3730,929,8,8,276,28,3,1243,227,0,0,63,9,3,304,65,0,0,15,8,0,94,24,3,3,8,0,0,44,6,0,0,7,0,0,16,14,0,0,7,14,0,33,109,69,27,168,62,32,470,6469,1050,262,3141,414,72,11404
CED510,4,14,0,11,0,0,34,0,27,3,9,0,0,36,11,184,19,62,8,4,280,47,79,28,104,7,3,266,28,31,14,104,11,0,188,82,42,10,176,19,0,330,677,28,14,522,38,8,1296,2160,15,6,1037,51,14,3282,1325,0,0,434,17,0,1780,682,0,0,169,14,0,863,337,5,0,84,5,0,436,187,0,0,37,7,0,228,82,0,0,16,9,0,102,94,0,0,22,10,0,133,82,33,6,129,32,21,299,5805,443,106,2927,226,53,9557
