CED_CODE_2021,M_0_cond_0_14,M_0_cond_15_24,M_0_cond_25_34,M_0_cond_35_44,M_0_cond_45_54,M_0_cond_55_64,M_0_cond_65_74,M_0_cond_75_84,M_0_cond_85_over,M_0_cond_Tot,M_1_mo_con_0_14,M_1_mo_con_15_24,M_1_mo_con_25_34,M_1_mo_con_35_44,M_1_mo_con_45_54,M_1_mo_con_55_64,M_1_mo_con_65_74,M_1_mo_con_75_84,M_1_mo_con_85_over,M_1_mo_con_Tot,M_2_mo_con_0_14,M_2_mo_con_15_24,M_2_mo_con_25_34,M_2_mo_con_35_44,M_2_mo_con_45_54,M_2_mo_con_55_64,M_2_mo_con_65_74,M_2_mo_con_75_84,M_2_mo_con_85_over,M_2_mo_con_Tot,M_3_or_mo_cond_0_14,M_3_or_mo_cond_15_24,M_3_or_mo_cond_25_34,M_3_or_mo_cond_35_44,M_3_or_mo_cond_45_54,M_3_or_mo_cond_55_64,M_3_or_mo_cond_65_74,M_3_or_mo_cond_75_84,M_3_or_mo_cond_85_over,M_3_or_mo_cond_Tot,M_OM_Lterm_Health_Tot_0_14,M_OM_Lterm_Health_Tot_15_24,M_OM_Lterm_Health_Tot_25_34,M_OM_Lterm_Health_Tot_35_44,M_OM_Lterm_Health_Tot_45_54,M_OM_Lterm_Health_Tot_55_64,M_OM_Lterm_Health_Tot_65_74,M_OM_Lterm_Health_Tot_75_84,M_OM_Lterm_Health_Tot_85_ov,M_OM_Lterm_Health_Tot_Tot,M_cond_NS_0_14,M_cond_NS_15_24,M_cond_NS_25_34,M_cond_NS_35_44,M_cond_NS_45_54,M_cond_NS_55_64,M_cond_NS_65_74,M_cond_NS_75_84,M_cond_NS_85_over,M_cond_NS_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_over,M_Tot_Tot,F_0_cond_0_14,F_0_cond_15_24,F_0_cond_25_34,F_0_cond_35_44,F_0_cond_45_54,F_0_cond_55_64,F_0_cond_65_74,F_0_cond_75_84,F_0_cond_85_over,F_0_cond_Tot,F_1_mo_con_0_14,F_1_mo_con_15_24,F_1_mo_con_25_34,F_1_mo_con_35_44,F_1_mo_con_45_54,F_1_mo_con_55_64,F_1_mo_con_65_74,F_1_mo_con_75_84,F_1_mo_con_85_over,F_1_mo_con_Tot,F_2_mo_con_0_14,F_2_mo_con_15_24,F_2_mo_con_25_34,F_2_mo_con_35_44,F_2_mo_con_45_54,F_2_mo_con_55_64,F_2_mo_con_65_74,F_2_mo_con_75_84,F_2_mo_con_85_over,F_2_mo_con_Tot,F_3_or_mo_cond_0_14,F_3_or_mo_cond_15_24,F_3_or_mo_cond_25_34,F_3_or_mo_cond_35_44,F_3_or_mo_cond_45_54,F_3_or_mo_cond_55_64,F_3_or_mo_cond_65_74,F_3_or_mo_cond_75_84,F_3_or_mo_cond_85_over,F_3_or_mo_cond_Tot,F_OM_Lterm_Health_Tot_0_14,F_OM_Lterm_Health_Tot_15_24,F_OM_Lterm_Health_Tot_25_34,F_OM_Lterm_Health_Tot_35_44,F_OM_Lterm_Health_Tot_45_54,F_OM_Lterm_Health_Tot_55_64,F_OM_Lterm_Health_Tot_65_74,F_OM_Lterm_Health_Tot_75_84,F_OM_Lterm_Health_Tot_85_ov,F_OM_Lterm_Health_Tot_Tot,F_cond_NS_0_14,F_cond_NS_15_24,F_cond_NS_25_34,F_cond_NS_35_44,F_cond_NS_45_54,F_cond_NS_55_64,F_cond_NS_65_74,F_cond_NS_75_84,F_cond_NS_85_over,F_cond_NS_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_over,F_Tot_Tot,P_0_cond_0_14,P_0_cond_15_24,P_0_cond_25_34,P_0_cond_35_44,P_0_cond_45_54,P_0_cond_55_64,P_0_cond_65_74,P_0_cond_75_84,P_0_cond_85_over,P_0_cond_Tot,P_1_mo_con_0_14,P_1_mo_con_15_24,P_1_mo_con_25_34,P_1_mo_con_35_44,P_1_mo_con_45_54,P_1_mo_con_55_64,P_1_mo_con_65_74,P_1_mo_con_75_84,P_1_mo_con_85_over,P_1_mo_con_Tot,P_2_mo_con_0_14,P_2_mo_con_15_24,P_2_mo_con_25_34,P_2_mo_con_35_44,P_2_mo_con_45_54,P_2_mo_con_55_64,P_2_mo_con_65_74,P_2_mo_con_75_84,P_2_mo_con_85_over,P_2_mo_con_Tot,P_3_or_mo_cond_0_14,P_3_or_mo_cond_15_24,P_3_or_mo_cond_25_34,P_3_or_mo_cond_35_44,P_3_or_mo_cond_45_54,P_3_or_mo_cond_55_64,P_3_or_mo_cond_65_74,P_3_or_mo_cond_75_84,P_3_or_mo_cond_85_over,P_3_or_mo_cond_Tot,P_OM_Lterm_Health_Tot_0_14,P_OM_Lterm_Health_Tot_15_24,P_OM_Lterm_Health_Tot_25_34,P_OM_Lterm_Health_Tot_35_44,P_OM_Lterm_Health_Tot_45_54,P_OM_Lterm_Health_Tot_55_64,P_OM_Lterm_Health_Tot_65_74,P_OM_Lterm_Health_Tot_75_84,P_OM_Lterm_Health_Tot_85_ov,P_OM_Lterm_Health_Tot_Tot,P_cond_NS_0_14,P_cond_NS_15_24,P_cond_NS_25_34,P_cond_NS_35_44,P_cond_NS_45_54,P_cond_NS_55_64,P_cond_NS_65_74,P_cond_NS_75_84,P_cond_NS_85_over,P_cond_NS_Tot
CED501,16540,8459,8327,8134,6779,4652,2255,856,198,56192,2139,1565,1941,1995,2200,2421,1937,1066,276,15536,128,189,292,372,599,831,956,692,211,4276,4,5,44,100,203,484,607,590,198,2237,2273,1761,2271,2462,3005,3739,3503,2347,680,22051,1662,1169,1473,1302,982,660,380,247,140,8007,20478,11386,12069,11893,10769,9051,6141,3448,1019,86258,15948,7225,8363,8444,6850,4742,2540,933,237,55268,1604,2138,2943,2789,2631,2567,2147,1290,436,18546,113,404,673,747,953,1104,1103,732,290,6116,5,39,87,220,421,638,729,609,260,3001,1722,2581,3701,3755,4003,4307,3977,2628,991,27662,1583,875,919,877,783,563,410,327,226,6558,19251,10686,12988,13068,11637,9610,6927,3887,1447,89491,32488,15685,16692,16570,13631,9393,4790,1786,429,111468,3741,3706,4883,4783,4827,4991,4091,2351,711,34078,243,597,965,1117,1548,1939,2060,1420,501,10391,7,47,132,315,623,1123,1333,1197,457,5239,3992,4339,5980,6220,7007,8050,7484,4976,1671,49715,3246,2045,2391,2175,1771,1220,788,578,368,14568
CED502,17507,8541,9463,10661,6889,4370,2427,888,175,60929,1711,1427,1793,2083,2061,2202,2070,1011,253,14609,112,174,267,397,544,777,948,600,207,4024,9,13,29,85,211,383,628,483,164,2004,1829,1615,2091,2558,2814,3358,3651,2093,628,20638,1649,904,1014,992,855,619,399,223,147,6802,20991,11059,12566,14216,10557,8340,6476,3204,946,88369,16870,7555,9793,10151,6248,4301,2658,886,258,58724,1243,1901,2361,2542,2368,2448,2209,1228,437,16733,108,355,617,669,802,1029,1074,734,302,5691,11,30,93,179,385,666,805,529,230,2931,1361,2286,3078,3391,3558,4136,4086,2486,968,25352,1641,884,969,969,728,561,427,310,222,6703,19875,10730,13839,14509,10533,9005,7169,3678,1446,90779,34382,16096,19253,20814,13139,8670,5087,1775,436,119653,2954,3325,4152,4623,4431,4646,4278,2234,693,31341,219,531,891,1069,1346,1802,2025,1332,505,9716,21,46,123,266,593,1046,1431,1018,397,4933,3192,3902,5166,5957,6369,7492,7736,4585,1599,45992,3297,1788,1978,1960,1581,1180,824,535,364,13507
CED503,12542,6287,5498,5775,5670,4912,3309,1412,289,45692,1506,1196,1288,1443,1831,2334,2762,1653,434,14445,73,137,198,276,452,811,1364,1047,328,4686,0,17,26,75,156,409,821,828,286,2616,1581,1353,1511,1795,2435,3552,4944,3527,1052,21754,1265,707,660,758,794,655,552,371,186,5946,15381,8347,7665,8334,8894,9115,8810,5314,1530,73385,12554,5864,5986,6316,6062,5224,3658,1462,343,47468,1114,1575,1995,2043,2293,2654,2987,1832,622,17106,79,289,476,529,715,1154,1432,1027,413,6120,5,26,49,150,275,560,834,782,391,3075,1192,1886,2525,2728,3286,4363,5255,3636,1425,26305,1234,669,591,649,718,651,536,444,326,5811,14983,8418,9097,9688,10069,10234,9447,5539,2094,79586,25091,12152,11478,12087,11731,10134,6968,2869,629,93152,2620,2769,3283,3483,4124,4991,5752,3483,1062,31559,152,426,669,810,1172,1966,2795,2074,741,10812,7,43,79,229,432,966,1659,1611,671,5691,2776,3237,4037,4522,5730,7922,10194,7165,2480,48061,2500,1371,1249,1411,1508,1303,1087,816,518,11758
CED504,14207,8646,10141,9087,7157,5646,3216,1329,303,59735,1266,1299,1649,1851,2002,2499,2483,1373,424,14848,77,143,225,301,501,787,1092,815,258,4205,0,9,32,78,168,407,707,602,215,2218,1352,1452,1905,2231,2670,3694,4279,2787,900,21266,1371,860,901,912,787,672,446,227,81,6256,16927,10963,12947,12232,10618,10002,7942,4347,1286,87259,13514,7711,9788,9027,7158,5705,3624,1400,377,58307,919,1661,2049,2040,2315,2745,2815,1689,663,16895,65,299,446,520,673,1078,1275,928,393,5669,6,16,70,116,286,587,795,665,346,2885,986,1972,2570,2678,3277,4408,4887,3281,1402,25456,1291,762,887,861,733,654,503,318,109,6127,15800,10445,13242,12566,11171,10765,9011,4994,1892,89887,27717,16363,19931,18116,14322,11349,6845,2733,677,118046,2188,2957,3700,3893,4317,5243,5299,3061,1087,31744,147,443,667,820,1173,1864,2370,1744,649,9878,6,27,102,193,450,992,1498,1257,567,5100,2338,3423,4470,4912,5948,8103,9163,6067,2303,46721,2660,1624,1786,1774,1523,1322,950,546,194,12382
CED505,13537,8548,8190,8414,7816,5818,3547,1554,393,57819,1057,1510,1432,1613,1822,1973,2220,1571,603,13805,49,132,203,215,355,511,816,787,362,3423,0,11,14,28,88,186,383,530,302,1550,1106,1655,1653,1860,2260,2672,3425,2885,1266,18784,866,647,713,658,619,519,467,345,206,5039,15513,10852,10552,10934,10695,9011,7440,4783,1862,81636,12906,7993,8657,9267,8504,6032,4055,1972,694,60086,827,2029,2095,1936,2144,2348,2439,1952,1008,16777,44,253,365,307,466,641,988,899,633,4590,3,17,39,57,109,256,420,539,518,1943,870,2300,2493,2305,2717,3245,3841,3383,2151,23308,802,706,752,697,620,535,541,446,363,5450,14572,10993,11898,12268,11843,9810,8441,5801,3210,88847,26443,16540,16846,17684,16318,11853,7604,3526,1087,117902,1887,3540,3528,3549,3966,4325,4656,3520,1609,30582,86,387,562,531,817,1152,1808,1679,991,8016,4,37,46,85,194,441,804,1072,820,3493,1976,3952,4148,4163,4979,5915,7264,6269,3420,42091,1663,1353,1463,1352,1236,1052,1010,787,573,10489
CED506,17081,8511,13107,13271,11981,9782,5962,1701,247,81634,1575,1261,2053,2568,3005,4265,4081,1623,323,20751,76,123,259,345,710,1251,1760,859,193,5580,4,12,40,69,211,562,960,654,169,2672,1661,1398,2352,2985,3921,6080,6798,3137,681,29002,3409,2566,5700,5937,5568,4479,2159,806,154,30775,22154,12469,21163,22188,21471,20334,14911,5640,1090,141415,16418,7461,10963,9812,8479,8132,5168,1383,261,68069,1133,1580,2538,2558,2880,3771,3688,1450,383,19978,67,253,474,613,851,1302,1518,748,248,6068,0,24,59,142,396,679,839,508,225,2875,1203,1850,3077,3314,4123,5754,6044,2707,853,28922,3245,1953,3007,2517,2452,2393,1703,700,214,18180,20869,11262,17040,15646,15054,16276,12908,4788,1327,115171,33501,15973,24071,23085,20458,17910,11122,3087,504,149705,2708,2837,4589,5126,5888,8038,7767,3071,702,40733,143,377,739,958,1558,2555,3279,1608,441,11652,7,31,94,213,602,1243,1795,1167,396,5541,2865,3244,5423,6294,8048,11836,12839,5841,1537,57928,6657,4516,8705,8455,8021,6870,3856,1501,371,48955
CED507,12696,6096,5656,6501,6334,5214,3463,1309,279,47551,1648,1145,1244,1572,1877,2353,2645,1324,366,14174,92,125,205,270,482,790,1155,752,263,4134,0,15,31,70,158,371,618,568,222,2051,1750,1287,1484,1921,2517,3514,4415,2643,848,20366,1317,801,921,943,973,825,638,338,147,6905,15759,8186,8060,9363,9822,9552,8525,4287,1273,74819,12297,5194,5774,7129,6594,5517,3635,1386,349,47878,1109,1520,1892,2097,2390,2676,2707,1562,632,16577,80,254,381,559,764,1051,1214,820,409,5527,5,21,47,159,272,529,747,563,394,2754,1192,1802,2324,2815,3433,4258,4668,2942,1437,24860,1286,679,735,761,835,795,643,392,224,6349,14773,7677,8834,10705,10856,10571,8948,4723,2009,79085,24996,11292,11428,13629,12926,10728,7102,2697,631,95424,2763,2662,3136,3673,4268,5031,5350,2881,992,30757,168,383,591,833,1244,1844,2363,1576,667,9665,5,41,83,227,430,893,1368,1135,621,4808,2936,3086,3810,4736,5951,7769,9090,5585,2284,45228,2610,1481,1653,1704,1801,1620,1286,730,369,13257
CED508,13238,7085,8532,8803,7176,5230,2938,1079,273,54342,1212,1415,1717,1906,2008,2207,2059,1111,358,13996,56,113,224,300,445,647,871,601,228,3479,3,5,24,57,117,285,511,446,207,1651,1271,1536,1967,2259,2573,3138,3436,2160,792,19123,1048,725,817,801,812,595,427,297,146,5667,15554,9344,11317,11864,10555,8958,6799,3534,1214,79137,12878,6659,8794,8950,7397,5500,3272,1155,342,54951,917,1884,2409,2303,2353,2446,2290,1360,552,16521,49,274,484,506,595,886,959,716,420,4886,3,25,48,109,209,375,557,496,343,2162,968,2184,2935,2912,3162,3702,3808,2576,1313,23560,937,678,776,776,724,600,472,299,273,5529,14784,9522,12510,12636,11279,9805,7546,4032,1927,84044,26116,13740,17323,17756,14572,10734,6205,2241,617,109295,2126,3302,4127,4211,4364,4648,4347,2474,909,30515,108,382,709,799,1036,1535,1826,1319,648,8362,9,31,68,157,329,653,1071,942,553,3813,2242,3718,4906,5170,5736,6843,7246,4732,2109,42690,1987,1406,1597,1574,1532,1192,899,597,417,11195
CED509,15647,8080,7846,8397,6924,5052,2803,1094,251,56100,1666,1460,1659,1902,2145,2283,2216,1205,320,14853,100,163,199,342,494,733,881,688,204,3799,0,17,22,59,158,317,511,518,208,1814,1763,1641,1879,2300,2792,3332,3608,2410,732,20466,1283,942,1352,1329,1090,745,435,250,114,7536,18694,10655,11081,12028,10812,9136,6846,3753,1096,84103,15043,6979,8336,8559,7129,5285,3032,1163,320,55843,1198,1819,2346,2398,2569,2536,2295,1371,502,17033,86,330,502,615,798,933,1014,754,326,5356,4,22,64,148,292,435,583,554,320,2431,1287,2171,2912,3161,3660,3910,3894,2677,1147,24821,1136,723,841,845,775,564,441,284,182,5783,17466,9874,12088,12564,11560,9757,7370,4125,1647,86448,30689,15055,16178,16957,14054,10339,5835,2258,569,111944,2863,3280,4004,4300,4711,4820,4511,2578,825,31891,187,491,698,949,1291,1665,1897,1444,527,9160,4,44,85,207,452,756,1093,1073,529,4245,3054,3811,4792,5459,6454,7246,7500,5093,1883,45290,2415,1667,2195,2173,1863,1303,872,530,291,13319
CED510,13604,8127,5860,7580,7782,6114,3897,1175,252,54386,1376,1372,1140,1608,2010,2529,2663,1260,374,14327,61,150,131,229,378,669,1171,679,232,3696,4,5,15,35,84,231,523,468,184,1554,1437,1522,1285,1872,2476,3432,4354,2416,789,19584,802,571,467,566,601,516,362,201,113,4196,15840,10220,7619,10015,10859,10059,8618,3789,1149,78167,13103,6787,5821,7994,8010,6787,4230,1270,342,54340,980,1720,1440,2087,2409,2809,2827,1522,662,16442,54,233,267,420,575,847,1168,726,399,4702,3,13,30,65,147,340,547,469,317,1928,1041,1965,1731,2574,3127,3992,4540,2720,1377,23069,775,515,467,573,663,551,385,262,179,4365,14914,9267,8015,11146,11801,11333,9151,4247,1905,81781,26703,14913,11679,15579,15795,12898,8124,2440,596,108728,2355,3089,2574,3696,4421,5331,5487,2785,1032,30774,109,384,398,654,953,1522,2338,1410,634,8400,10,16,52,100,228,576,1069,939,502,3486,2473,3485,3018,4443,5600,7427,8899,5129,2168,42654,1575,1084,937,1138,1268,1070,750,460,290,8569
