CED_CODE_2021,M_Agr_fstry_fsh_15_19,M_Agr_fstry_fsh_20_24,M_Agr_fstry_fsh_25_34,M_Agr_fstry_fsh_35_44,M_Agr_fstry_fsh_45_54,M_Agr_fstry_fsh_55_64,M_Agr_fstry_fsh_65_74,M_Agr_fstry_fsh_75_84,M_Agr_fstry_fsh_85_yr_over,M_Agr_fstry_fsh_Tot,M_Min_15_19_yr,M_Min_20_24_yr,M_Min_25_34_yr,M_Min_35_44_yr,M_Min_45_54_yr,M_Min_55_64_yr,M_Min_65_74_yr,M_Min_75_84_yr,M_Min_85_yr_over,M_Min_Tot,M_Manf_15_19_yr,M_Manf_20_24_yr,M_Manf_25_34_yr,M_Manf_35_44_yr,M_Manf_45_54_yr,M_Manf_55_64_yr,M_Manf_65_74_yr,M_Manf_75_84_yr,M_Manf_85_yr_over,M_Manf_Tot,M_Elec_gas_wtr_wst_sv_15_19,M_Elec_gas_wtr_wst_sv_20_24,M_Elec_gas_wtr_wst_sv_25_34,M_Elec_gas_wtr_wst_sv_35_44,M_Elec_gas_wtr_wst_sv_45_54,M_Elec_gas_wtr_wst_sv_55_64,M_Elec_gas_wtr_wst_sv_65_74,M_Elec_gas_wtr_wst_sv_75_84,M_Elec_gas_wtr_wst_sv_85_over,M_Elec_gas_wtr_wst_sv_Tot,M_Con_15_19_yr,M_Con_20_24_yr,M_Con_25_34_yr,M_Con_35_44_yr,M_Con_45_54_yr,M_Con_55_64_yr,M_Con_65_74_yr,M_Con_75_84_yr,M_Con_85_yr_over,M_Con_Tot,M_Whl_trd_15_19_yr,M_Whl_trd_20_24_yr,M_Whl_trd_25_34_yr,M_Whl_trd_35_44_yr,M_Whl_trd_45_54_yr,M_Whl_trd_55_64_yr,M_Whl_trd_65_74_yr,M_Whl_trd_75_84_yr,M_Whl_trd_85_yr_over,M_Whl_trd_Tot,M_Re_trd_15_19_yr,M_Re_trd_20_24_yr,M_Re_trd_25_34_yr,M_Re_trd_35_44_yr,M_Re_trd_45_54_yr,M_Re_trd_55_64_yr,M_Re_trd_65_74_yr,M_Re_trd_75_84_yr,M_Re_trd_85_yr_over,M_Re_trd_Tot,M_Acc_food_svc_15_19,M_Acc_food_svc_20_24,M_Acc_food_svc_25_34,M_Acc_food_svc_35_44,M_Acc_food_svc_45_54,M_Acc_food_svc_55_64,M_Acc_food_svc_65_74,M_Acc_food_svc_75_84,M_Acc_food_svc_85_yr_over,M_Acc_food_svc_Tot,M_Trp_pos_wh_15_19,M_Trp_pos_wh_20_24,M_Trp_pos_wh_25_34,M_Trp_pos_wh_35_44,M_Trp_pos_wh_45_54,M_Trp_pos_wh_55_64,M_Trp_pos_wh_65_74,M_Trp_pos_wh_75_84,M_Trp_pos_wh_85_yr_over,M_Trp_pos_wh_Tot,M_In_med_tcom_15_19,M_In_med_tcom_20_24,M_In_med_tcom_25_34,M_In_med_tcom_35_44,M_In_med_tcom_45_54,M_In_med_tcom_55_64,M_In_med_tcom_65_74,M_In_med_tcom_75_84,M_In_med_tcom_85_yr_over,M_In_med_tcom_Tot,M_Fin_in_svc_15_19,M_Fin_in_svc_20_24,M_Fin_in_svc_25_34,M_Fin_in_svc_35_44,M_Fin_in_svc_45_54,M_Fin_in_svc_55_64,M_Fin_in_svc_65_74,M_Fin_in_svc_75_84,M_Fin_in_svc_85_yr_over,M_Fin_in_svc_Tot,M_Rnt_hrg_rea_est_serv_15_19,M_Rnt_hrg_rea_est_serv_20_24,M_Rnt_hrg_rea_est_serv_25_34,M_Rnt_hrg_rea_est_serv_35_44,M_Rnt_hrg_rea_est_serv_45_54,M_Rnt_hrg_rea_est_serv_55_64,M_Rnt_hrg_rea_est_serv_65_74,M_Rnt_hrg_rea_est_serv_75_84,M_Rnt_hrg_rea_est_serv_85_ov,M_Rnt_hrg_rea_est_serv_Tot,M_Prof_sc_tech_serv_15_19,M_Prof_sc_tech_serv_20_24,M_Prof_sc_tech_serv_25_34,M_Prof_sc_tech_serv_35_44,M_Prof_sc_tech_serv_45_54,M_Prof_sc_tech_serv_55_64,M_Prof_sc_tech_serv_65_74,M_Prof_sc_tech_serv_75_84,M_Prof_sc_tech_serv_85_over,M_Prof_sc_tech_serv_Tot,M_Adm_sup_serv_15_19,M_Adm_sup_serv_20_24,M_Adm_sup_serv_25_34,M_Adm_sup_serv_35_44,M_Adm_sup_serv_45_54,M_Adm_sup_serv_55_64,M_Adm_sup_serv_65_74,M_Adm_sup_serv_75_84,M_Adm_sup_serv_85_over,M_Adm_sup_serv_Tot,M_PubAd_saf_15_19,M_PubAd_saf_20_24,M_PubAd_saf_25_34,M_PubAd_saf_35_44,M_PubAd_saf_45_54,M_PubAd_saf_55_64,M_PubAd_saf_65_74,M_PubAd_saf_75_84,M_PubAd_saf_85_over,M_PubAd_saf_Tot,M_Ed_trng_15_19,M_Ed_trng_20_24,M_Ed_trng_25_34,M_Ed_trng_35_44,M_Ed_trng_45_54,M_Ed_trng_55_64,M_Ed_trng_65_74,M_Ed_trng_75_84,M_Ed_trng_85_over,M_Ed_trng_Tot,M_Hlth_cre_socia_assist_15_19,M_Hlth_cre_socia_assist_20_24,M_Hlth_cre_socia_assist_25_34,M_Hlth_cre_socia_assist_35_44,M_Hlth_cre_socia_assist_45_54,M_Hlth_cre_socia_assist_55_64,M_Hlth_cre_socia_assist_65_74,M_Hlth_cre_socia_assist_75_84,M_Hlth_cre_socia_assist_85_ov,M_Hlth_cre_socia_assist_Tot,M_Arts_rec_svc_15_19,M_Arts_rec_svc_20_24,M_Arts_rec_svc_25_34,M_Arts_rec_svc_35_44,M_Arts_rec_svc_45_54,M_Arts_rec_svc_55_64,M_Arts_rec_svc_65_74,M_Arts_rec_svc_75_84,M_Arts_rec_svc_85_yr_over,M_Arts_rec_svc_Tot,M_Oth_svc_15_19_yr,M_Oth_svc_20_24_yr,M_Oth_svc_25_34_yr,M_Oth_svc_35_44_yr,M_Oth_svc_45_54_yr,M_Oth_svc_55_64_yr,M_Oth_svc_65_74_yr,M_Oth_svc_75_84_yr,M_Oth_svc_85_yr_over,M_Oth_svc_Tot,M_Inad_desc_Ns_15_19,M_Inad_desc_Ns_20_24,M_Inad_desc_Ns_25_34,M_Inad_desc_Ns_35_44,M_Inad_desc_Ns_45_54,M_Inad_desc_Ns_55_64,M_Inad_desc_Ns_65_74,M_Inad_desc_Ns_75_84,M_Inad_desc_Ns_85_yr_over,M_Inad_desc_Ns_Tot
CED501,11,30,61,70,58,57,23,3,0,313,44,243,1054,1215,1037,599,86,3,0,4270,176,388,949,1130,1170,924,146,8,0,4894,19,42,167,182,204,135,13,0,0,771,333,684,1711,1637,1407,957,129,8,0,6859,58,106,342,359,315,236,43,5,0,1459,510,528,611,445,411,257,75,0,0,2838,881,328,288,235,152,90,33,5,0,2012,51,133,535,687,628,638,165,11,0,2850,23,29,89,75,54,27,3,6,0,301,0,17,101,113,101,56,15,0,0,398,12,19,67,89,82,79,27,5,0,382,34,115,428,581,444,253,79,9,0,1950,44,127,239,226,221,194,53,4,0,1116,39,403,1093,958,838,613,116,16,0,4076,41,81,235,296,289,276,87,6,0,1306,15,138,317,377,362,247,79,10,0,1544,61,66,104,82,70,57,23,8,0,470,109,181,379,327,285,226,52,6,0,1571,143,262,601,587,546,374,93,8,5,2624
CED502,16,26,74,65,57,46,28,11,4,324,25,145,689,1022,658,348,51,3,0,2935,129,341,886,1259,953,637,153,9,0,4364,5,31,132,208,160,118,25,0,0,683,220,627,1622,1635,1108,732,203,6,0,6157,48,139,458,542,445,263,53,5,0,1958,412,624,838,747,432,285,113,11,0,3471,758,419,484,370,188,109,34,0,0,2359,68,299,1030,1281,888,848,224,12,0,4653,15,21,92,134,68,44,7,0,0,393,0,21,132,214,112,53,10,0,0,547,6,21,111,121,83,69,34,3,0,457,16,166,553,880,466,260,73,8,0,2417,53,143,300,323,261,211,81,4,0,1376,18,125,433,668,548,465,102,11,0,2382,36,95,279,337,322,247,98,10,0,1432,38,209,485,683,483,329,98,3,0,2328,54,67,103,126,74,68,20,4,0,519,101,232,481,477,394,281,85,11,0,2063,126,312,829,842,601,393,91,16,0,3211
CED503,28,45,91,98,144,159,129,49,4,748,71,250,948,1184,1146,813,143,0,0,4562,149,287,700,845,992,885,133,21,0,4004,13,25,131,178,207,140,28,3,0,721,306,587,1293,1246,1195,1006,253,19,3,5908,42,64,171,214,207,189,53,8,0,951,402,404,453,365,309,273,102,18,5,2327,670,248,206,169,140,116,48,7,0,1602,41,100,299,417,523,493,201,30,0,2099,14,26,27,32,41,31,10,0,0,181,0,9,25,65,70,52,21,5,0,263,6,17,57,58,83,82,56,15,0,388,22,96,222,290,297,280,102,16,0,1330,38,66,183,178,195,184,79,7,0,939,18,61,287,342,469,408,112,4,0,1707,18,64,175,208,214,286,100,8,0,1073,23,93,189,256,218,251,96,14,0,1136,49,54,65,59,63,60,28,12,0,388,121,155,295,233,272,246,72,13,4,1405,139,187,390,380,367,295,108,35,9,1911
CED504,4,17,77,53,66,58,35,0,0,317,14,116,607,686,489,292,67,0,0,2274,72,226,687,783,836,738,179,20,0,3556,11,31,132,143,131,142,21,3,0,616,231,629,1913,1787,1297,1018,230,22,3,7121,29,93,317,363,345,264,89,13,0,1509,510,710,932,623,508,412,167,16,0,3879,606,460,625,426,291,274,65,3,0,2756,55,227,819,751,693,673,224,23,0,3457,15,51,129,116,87,66,20,3,0,487,3,66,212,266,199,103,39,9,0,901,3,34,91,97,83,84,35,17,0,443,28,235,825,911,558,383,137,24,0,3105,34,139,317,332,302,267,89,8,0,1490,22,142,526,548,542,542,145,17,3,2484,61,94,343,338,362,338,123,10,0,1670,30,225,623,595,445,446,167,20,0,2552,79,107,187,133,104,95,35,3,0,738,89,197,500,439,401,316,127,18,3,2087,111,336,780,716,578,422,134,21,5,3108
CED505,30,17,46,48,68,65,48,27,4,347,9,124,871,1232,1155,587,171,20,0,4166,51,110,295,357,369,295,126,28,4,1616,5,12,100,147,135,94,23,6,0,512,160,343,1082,1091,884,637,204,22,4,4419,36,60,158,254,254,205,58,19,0,1056,495,541,508,399,376,268,140,31,3,2770,704,549,521,312,202,141,55,12,0,2493,49,110,289,336,338,239,101,15,0,1491,25,53,128,126,109,90,32,10,0,577,10,101,346,466,488,345,114,42,0,1918,23,45,161,217,276,197,132,50,12,1114,50,441,1314,1638,1648,1196,528,120,10,6939,58,104,261,269,195,166,69,15,3,1138,25,98,517,527,525,419,124,19,3,2266,209,336,534,523,497,536,208,32,3,2873,62,244,924,948,981,813,387,77,4,4438,169,184,222,140,147,86,39,4,0,984,45,111,223,196,162,155,91,15,5,993,96,166,435,489,468,333,129,44,8,2164
CED506,149,352,840,837,905,1045,688,229,30,5075,123,785,4324,5176,4441,2840,396,15,0,18102,119,183,446,517,494,446,140,14,0,2351,23,49,185,262,281,257,63,0,0,1129,314,673,2139,2103,1924,1745,441,19,0,9356,66,120,377,406,390,316,80,13,0,1765,544,336,515,392,419,400,179,24,0,2825,473,270,666,462,394,397,147,21,0,2825,77,174,726,906,1103,1123,362,37,5,4510,11,21,65,77,41,47,22,0,0,280,0,9,44,70,78,65,26,7,0,305,12,37,104,111,143,140,60,18,0,622,27,87,432,491,456,397,146,20,0,2057,75,114,395,339,394,324,111,8,0,1756,47,161,644,755,893,905,216,15,0,3637,23,110,370,419,439,429,148,8,0,1942,36,77,437,425,450,464,181,14,0,2085,38,42,87,85,97,84,41,17,0,484,144,244,504,478,377,341,122,7,0,2220,151,219,631,574,598,510,186,45,10,2917
CED507,103,104,341,329,382,429,294,111,18,2095,37,176,722,1107,1033,644,107,6,0,3823,191,349,926,1146,1038,752,185,13,0,4607,12,44,147,206,247,220,31,4,0,909,339,628,1344,1544,1421,1122,312,21,0,6727,37,53,124,173,221,153,47,5,0,816,478,304,468,383,395,371,125,15,0,2540,788,224,397,353,241,199,93,19,0,2311,34,95,217,305,456,508,217,22,0,1854,18,19,47,38,46,23,14,3,0,209,3,14,47,69,111,69,37,10,0,360,9,15,55,63,116,82,47,14,3,391,24,44,226,266,326,249,138,17,5,1308,36,76,142,193,231,223,71,7,0,982,24,65,203,318,424,429,103,6,0,1576,23,34,163,263,317,323,134,14,0,1270,39,78,314,363,390,382,120,10,0,1699,53,22,67,61,63,52,28,0,0,355,97,145,248,266,268,211,81,3,0,1337,117,143,318,343,338,279,108,33,8,1688
CED508,10,23,55,80,78,60,39,9,3,358,21,133,821,978,795,449,88,3,0,3281,128,310,783,931,963,662,154,15,0,3946,15,27,131,169,136,124,29,0,0,636,196,493,1546,1605,1194,921,215,18,0,6188,47,101,301,360,353,268,68,11,0,1506,448,582,565,469,387,332,118,19,0,2929,679,467,506,343,202,148,39,7,0,2385,62,163,509,614,680,635,189,13,0,2855,11,32,92,101,77,52,28,3,0,386,4,27,187,243,208,101,38,8,0,819,10,35,111,122,129,85,60,17,0,560,22,217,878,1167,827,506,184,25,0,3823,37,91,243,212,237,215,61,5,0,1102,26,151,672,673,606,473,133,18,0,2751,52,138,500,530,460,460,157,18,0,2314,26,199,657,614,526,412,156,16,0,2604,96,107,164,186,89,79,28,6,0,764,86,176,345,297,317,266,83,8,0,1576,104,224,595,647,535,341,134,21,0,2589
CED509,28,38,74,74,90,102,70,31,5,519,46,219,971,1226,1042,653,115,7,0,4279,155,298,702,895,896,600,156,20,0,3731,15,34,119,154,144,114,23,5,0,598,293,623,1459,1494,1192,881,201,18,0,6178,76,124,396,427,463,351,70,9,0,1924,597,602,710,577,442,331,111,11,0,3387,746,331,309,286,179,149,47,7,0,2046,70,190,768,1003,815,759,232,22,0,3861,16,33,79,104,87,51,15,4,0,389,7,40,129,152,156,92,30,3,0,608,13,24,92,120,114,93,46,14,0,525,37,136,498,693,589,380,157,17,4,2509,52,113,222,216,230,200,73,8,0,1112,22,113,499,638,733,607,144,14,0,2769,72,120,315,316,359,315,142,18,0,1652,23,120,407,449,427,315,133,19,0,1882,93,70,101,121,68,82,41,10,0,583,111,216,463,417,344,300,114,15,0,1981,131,288,532,600,545,371,126,31,5,2626
CED510,15,23,35,36,66,41,22,10,0,242,23,127,639,1005,1002,580,112,3,0,3501,96,165,316,418,581,571,166,17,0,2325,8,31,95,175,212,172,37,0,0,732,382,654,1457,1942,1769,1282,314,16,3,7826,39,93,185,277,378,306,86,6,0,1376,589,676,432,368,407,362,155,20,0,3012,826,399,254,198,173,117,58,4,0,2032,47,93,231,337,455,468,182,14,0,1830,35,50,55,124,139,102,29,5,0,532,13,58,159,352,384,280,91,12,0,1338,12,32,75,125,136,127,70,12,3,592,44,283,617,1097,1236,763,294,39,4,4379,46,136,158,205,264,266,94,19,0,1184,30,124,394,658,790,713,187,14,0,2909,73,165,329,441,501,555,215,22,0,2296,42,178,354,442,461,449,155,18,0,2108,175,142,112,113,127,87,41,5,0,793,90,161,244,288,293,297,119,14,0,1503,102,190,359,409,441,405,134,15,5,2059
