CED_CODE_2021,M_Yr_12_eq_15_19_yr,M_Yr_12_eq_20_24_yr,M_Yr_12_eq_25_34_yr,M_Yr_12_eq_35_44_yr,M_Yr_12_eq_45_54_yr,M_Yr_12_eq_55_64_yr,M_Yr_12_eq_65_74_yr,M_Yr_12_eq_75_84_yr,M_Yr_12_eq_85_yr_over,M_Yr_12_eq_Tot,M_Yr_11_eq_15_19_yr,M_Yr_11_eq_20_24_yr,M_Yr_11_eq_25_34_yr,M_Yr_11_eq_35_44_yr,M_Yr_11_eq_45_54_yr,M_Yr_11_eq_55_64_yr,M_Yr_11_eq_65_74_yr,M_Yr_11_eq_75_84_yr,M_Yr_11_eq_85_yr_over,M_Yr_11_eq_Tot,M_Yr_10_eq_15_19_yr,M_Yr_10_eq_20_24_yr,M_Yr_10_eq_25_34_yr,M_Yr_10_eq_35_44_yr,M_Yr_10_eq_45_54_yr,M_Yr_10_eq_55_64_yr,M_Yr_10_eq_65_74_yr,M_Yr_10_eq_75_84_yr,M_Yr_10_eq_85_yr_over,M_Yr_10_eq_Tot,M_Yr_9_eq_15_19_yr,M_Yr_9_eq_20_24_yr,M_Yr_9_eq_25_34_yr,M_Yr_9_eq_35_44_yr,M_Yr_9_eq_45_54_yr,M_Yr_9_eq_55_64_yr,M_Yr_9_eq_65_74_yr,M_Yr_9_eq_75_84_yr,M_Yr_9_eq_85_yr_over,M_Yr_9_eq_Tot,M_Yr_8_bel_15_19_yr,M_Yr_8_bel_20_24_yr,M_Yr_8_bel_25_34_yr,M_Yr_8_bel_35_44_yr,M_Yr_8_bel_45_54_yr,M_Yr_8_bel_55_64_yr,M_Yr_8_bel_65_74_yr,M_Yr_8_bel_75_84_yr,M_Yr_8_bel_85_yr_over,M_Yr_8_bel_Tot,M_Did_not_go_to_school_15_19,M_Did_not_go_to_school_20_24,M_Did_not_go_to_school_25_34,M_Did_not_go_to_school_35_44,M_Did_not_go_to_school_45_54,M_Did_not_go_to_school_55_64,M_Did_not_go_to_school_65_74,M_Did_not_go_to_school_75_84,M_Did_not_go_to_school_85ov,M_Did_not_go_to_school_Tot,M_High_yr_sch_ns_15_19_yr,M_High_yr_sch_ns_20_24_yr,M_High_yr_sch_ns_25_34_yr,M_High_yr_sch_ns_35_44_yr,M_High_yr_sch_ns_45_54_yr,M_High_yr_sch_ns_55_64_yr,M_High_yr_sch_ns_65_74_yr,M_High_yr_sch_ns_75_84_yr,M_High_yr_sch_ns_85_yr_over,M_High_yr_sch_ns_Tot,M_Tot_15_19_yr,M_Tot_20_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_Yr_12_eq_15_19_yr,F_Yr_12_eq_20_24_yr,F_Yr_12_eq_25_34_yr,F_Yr_12_eq_35_44_yr,F_Yr_12_eq_45_54_yr,F_Yr_12_eq_55_64_yr,F_Yr_12_eq_65_74_yr,F_Yr_12_eq_75_84_yr,F_Yr_12_eq_85_yr_over,F_Yr_12_eq_Tot,F_Yr_11_eq_15_19_yr,F_Yr_11_eq_20_24_yr,F_Yr_11_eq_25_34_yr,F_Yr_11_eq_35_44_yr,F_Yr_11_eq_45_54_yr,F_Yr_11_eq_55_64_yr,F_Yr_11_eq_65_74_yr,F_Yr_11_eq_75_84_yr,F_Yr_11_eq_85_yr_over,F_Yr_11_eq_Tot,F_Yr_10_eq_15_19_yr,F_Yr_10_eq_20_24_yr,F_Yr_10_eq_25_34_yr,F_Yr_10_eq_35_44_yr,F_Yr_10_eq_45_54_yr,F_Yr_10_eq_55_64_yr,F_Yr_10_eq_65_74_yr,F_Yr_10_eq_75_84_yr,F_Yr_10_eq_85_yr_over,F_Yr_10_eq_Tot,F_Yr_9_eq_15_19_yr,F_Yr_9_eq_20_24_yr,F_Yr_9_eq_25_34_yr,F_Yr_9_eq_35_44_yr,F_Yr_9_eq_45_54_yr,F_Yr_9_eq_55_64_yr,F_Yr_9_eq_65_74_yr,F_Yr_9_eq_75_84_yr,F_Yr_9_eq_85_yr_over,F_Yr_9_eq_Tot,F_Yr_8_bel_15_19_yr,F_Yr_8_bel_20_24_yr,F_Yr_8_bel_25_34_yr,F_Yr_8_bel_35_44_yr,F_Yr_8_bel_45_54_yr,F_Yr_8_bel_55_64_yr,F_Yr_8_bel_65_74_yr,F_Yr_8_bel_75_84_yr,F_Yr_8_bel_85_yr_over,F_Yr_8_bel_Tot,F_Did_not_go_to_school_15_19,F_Did_not_go_to_school_20_24,F_Did_not_go_to_school_25_34,F_Did_not_go_to_school_35_44,F_Did_not_go_to_school_45_54,F_Did_not_go_to_school_55_64,F_Did_not_go_to_school_65_74,F_Did_not_go_to_school_75_84,F_Did_not_go_to_school_85ov,F_Did_not_go_to_school_Tot,F_High_yr_sch_ns_15_19_yr,F_High_yr_sch_ns_20_24_yr,F_High_yr_sch_ns_25_34_yr,F_High_yr_sch_ns_35_44_yr,F_High_yr_sch_ns_45_54_yr,F_High_yr_sch_ns_55_64_yr,F_High_yr_sch_ns_65_74_yr,F_High_yr_sch_ns_75_84_yr,F_High_yr_sch_ns_85_yr_over,F_High_yr_sch_ns_Tot,F_Tot_15_19_yr,F_Tot_20_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Yr_12_eq_15_19_yr,P_Yr_12_eq_20_24_yr,P_Yr_12_eq_25_34_yr,P_Yr_12_eq_35_44_yr,P_Yr_12_eq_45_54_yr,P_Yr_12_eq_55_64_yr,P_Yr_12_eq_65_74_yr,P_Yr_12_eq_75_84_yr,P_Yr_12_eq_85_yr_over,P_Yr_12_eq_Tot,P_Yr_11_eq_15_19_yr,P_Yr_11_eq_20_24_yr,P_Yr_11_eq_25_34_yr,P_Yr_11_eq_35_44_yr,P_Yr_11_eq_45_54_yr,P_Yr_11_eq_55_64_yr,P_Yr_11_eq_65_74_yr,P_Yr_11_eq_75_84_yr,P_Yr_11_eq_85_yr_over,P_Yr_11_eq_Tot,P_Yr_10_eq_15_19_yr,P_Yr_10_eq_20_24_yr,P_Yr_10_eq_25_34_yr,P_Yr_10_eq_35_44_yr,P_Yr_10_eq_45_54_yr,P_Yr_10_eq_55_64_yr,P_Yr_10_eq_65_74_yr,P_Yr_10_eq_75_84_yr,P_Yr_10_eq_85_yr_over,P_Yr_10_eq_Tot,P_Yr_9_eq_15_19_yr,P_Yr_9_eq_20_24_yr,P_Yr_9_eq_25_34_yr,P_Yr_9_eq_35_44_yr,P_Yr_9_eq_45_54_yr,P_Yr_9_eq_55_64_yr,P_Yr_9_eq_65_74_yr,P_Yr_9_eq_75_84_yr,P_Yr_9_eq_85_yr_over,P_Yr_9_eq_Tot
CED501,1490,3660,6636,6717,5025,3249,2088,1062,257,30198,364,571,1585,1526,1507,1097,493,245,50,7431,546,777,2671,2494,3177,3539,2299,1030,244,16780,150,100,283,311,350,502,529,367,114,2703,37,34,75,106,121,209,321,397,175,1468,3,9,36,61,79,41,48,25,7,308,247,366,777,680,501,405,360,318,179,3833,2849,5517,12064,11890,10754,9049,6136,3446,1019,62724,1499,3870,8656,8589,6080,3795,2116,1071,254,35932,222,386,1424,1432,1589,1431,656,303,57,7494,397,586,1981,2105,3024,3268,2651,1274,452,15737,125,75,194,246,298,504,638,359,154,2598,22,22,48,86,145,216,416,391,229,1576,6,3,23,56,49,44,42,36,21,280,246,268,636,559,449,359,398,445,285,3648,2517,5218,12979,13065,11631,9609,6925,3884,1445,67265,2989,7531,15302,15303,11110,7046,4206,2130,511,66136,591,959,3010,2963,3088,2524,1149,551,102,14923,948,1362,4652,4597,6199,6807,4951,2303,690,32518,272,176,484,557,651,1005,1166,728,267,5303
CED502,1403,4003,8055,9201,5323,3273,2261,1060,231,34809,300,533,1263,1287,1159,799,474,204,36,6051,381,617,1908,2198,2653,2902,2258,893,197,14009,125,111,297,353,394,455,554,308,104,2701,38,54,148,271,249,307,459,381,155,2057,11,21,158,182,190,146,96,71,29,906,263,309,723,711,589,437,362,289,191,3870,2514,5647,12542,14198,10550,8329,6469,3207,950,64409,1486,4133,9934,10227,5611,3643,2297,986,252,38569,195,390,1034,1108,1267,1136,612,244,55,6039,318,538,1648,1806,2404,2840,2632,1162,315,13655,88,77,197,266,317,446,555,375,174,2498,33,31,147,230,250,346,500,414,277,2213,10,21,147,180,200,200,148,90,52,1040,268,283,711,676,471,386,426,411,317,3950,2391,5476,13819,14492,10524,8990,7163,3675,1447,67964,2887,8140,17984,19430,10933,6920,4560,2047,485,73379,491,919,2300,2395,2431,1928,1083,451,91,12091,702,1152,3559,4005,5058,5743,4889,2051,515,27667,213,187,496,620,710,907,1101,679,278,5194
CED503,1095,2447,4130,4351,3789,3200,3109,1649,372,24141,311,428,1126,1193,1239,1033,696,356,60,6443,443,599,1748,1985,2881,3683,3230,1590,299,16457,127,94,215,292,375,582,786,572,226,3266,27,27,42,84,113,199,468,663,312,1934,6,10,20,27,36,33,46,31,11,217,193,177,378,400,453,375,465,459,251,3158,2203,3777,7658,8331,8896,9110,8805,5307,1533,55619,1184,2847,5891,6053,5202,3969,2989,1467,396,29991,207,311,1032,1182,1383,1638,941,381,72,7151,377,481,1563,1749,2638,3563,3855,1800,484,16517,112,53,159,207,280,455,730,653,265,2914,28,12,32,62,100,181,423,597,385,1817,0,3,8,23,31,30,29,36,15,173,186,165,403,412,430,396,484,610,476,3568,2099,3876,9098,9686,10068,10237,9442,5536,2094,62129,2279,5292,10022,10403,8987,7170,6094,3115,768,54128,521,739,2160,2373,2626,2676,1632,737,138,13593,813,1078,3315,3734,5522,7247,7087,3387,783,32971,239,153,369,502,659,1040,1513,1219,484,6180
CED504,1463,4586,9313,8238,5762,4504,3428,1483,309,39080,228,408,1083,1037,1130,960,499,215,42,5597,234,434,1356,1540,2320,2975,2287,1020,205,12384,80,70,198,243,323,486,523,409,136,2460,21,25,170,298,309,399,637,745,351,2960,10,17,157,232,250,243,194,136,97,1345,191,319,641,636,504,427,368,337,133,3553,2217,5860,12921,12224,10598,9993,7934,4338,1280,67366,1543,4557,10248,9161,6414,4790,3107,1312,280,41410,151,312,777,776,1120,1267,706,239,63,5417,196,351,1054,1180,2151,2965,2958,1369,403,12632,60,42,158,250,310,459,604,480,185,2555,18,24,190,284,392,529,888,966,526,3822,7,15,140,283,317,339,262,207,146,1723,204,248,656,610,431,406,477,417,262,3714,2182,5549,13230,12542,11147,10757,9006,4984,1881,71276,3001,9145,19558,17396,12175,9296,6535,2792,594,80486,385,717,1858,1814,2249,2229,1209,449,105,11012,432,782,2419,2724,4471,5940,5247,2393,610,25016,142,111,354,489,632,945,1125,878,331,5009
CED505,1924,4673,9020,9416,8879,6907,5365,2854,881,49917,98,146,482,467,517,512,329,231,75,2861,102,112,455,485,794,1074,1042,796,306,5166,36,20,50,59,94,110,170,224,146,912,3,3,21,24,36,61,113,231,174,669,0,4,18,19,18,36,28,22,10,154,134,158,495,452,353,311,397,427,263,3000,2300,5122,10549,10927,10687,9011,7434,4785,1862,62676,1983,5018,10590,10992,10082,7477,5257,2761,1133,55291,52,122,338,339,525,648,585,367,131,3106,54,96,356,364,775,1179,1724,1498,755,6801,19,12,41,44,60,92,206,351,281,1112,3,7,15,40,48,70,154,292,354,984,0,5,16,18,19,37,36,33,39,213,162,202,542,469,325,307,477,493,515,3495,2281,5466,11897,12266,11842,9810,8439,5795,3205,71005,3913,9686,19610,20412,18961,14382,10616,5610,2016,105206,148,269,819,805,1048,1164,911,597,206,5967,160,210,815,847,1568,2256,2760,2297,1057,11965,61,37,93,103,147,198,376,575,430,2021
CED506,1080,3390,9624,9444,7384,5891,4498,1450,172,42932,505,726,2258,2483,2593,2111,1227,338,48,12288,631,956,3384,3976,5228,6551,4923,1470,235,27357,198,158,438,573,710,1022,1224,625,127,5081,84,53,176,200,336,539,912,818,272,3388,16,19,61,76,101,87,75,88,37,550,802,1351,5204,5426,5107,4132,2046,854,201,25124,3317,6657,21139,22170,21463,20329,14907,5640,1090,116713,1174,3635,10370,9093,6852,5917,3933,1123,207,42310,293,537,1504,1578,1941,2430,1334,358,45,10021,453,642,1986,2254,3375,4819,4536,1357,319,19745,160,118,265,329,424,611,843,510,156,3415,68,50,108,141,194,317,576,598,256,2315,10,16,45,33,62,64,85,77,50,452,621,1017,2762,2209,2191,2112,1595,768,284,13565,2784,6019,17040,15634,15049,16271,12904,4785,1327,91810,2253,7031,19985,18537,14238,11806,8428,2575,379,85244,803,1267,3760,4057,4534,4537,2558,695,91,22305,1087,1602,5371,6229,8608,11369,9463,2827,551,47103,361,272,701,897,1134,1632,2074,1139,287,8494
CED507,934,2132,4354,5005,4508,3541,3175,1283,307,25244,352,467,1057,1288,1303,1006,661,263,53,6448,438,555,1750,2162,2898,3669,3026,1320,242,16055,102,59,213,249,321,531,662,489,144,2759,22,27,78,80,107,169,413,513,288,1697,3,8,40,26,37,46,27,27,24,237,239,192,560,562,633,588,558,389,227,3951,2097,3445,8061,9362,9813,9553,8521,4280,1275,56398,1038,2331,5954,7137,6001,4580,3038,1276,373,31729,211,234,896,1162,1372,1492,942,320,90,6725,284,371,1221,1669,2667,3397,3429,1599,491,15121,66,58,133,155,185,373,590,482,253,2291,12,21,50,58,70,137,330,540,402,1604,4,3,32,21,20,22,31,24,28,173,194,168,548,505,536,573,583,481,376,3960,1802,3173,8831,10704,10851,10566,8940,4718,2006,61602,1969,4461,10311,12144,10512,8121,6213,2558,679,56966,565,702,1956,2448,2674,2495,1608,583,140,13173,719,922,2974,3830,5563,7071,6452,2921,733,31179,169,114,344,403,504,904,1253,965,392,5046
CED508,1281,3854,8407,8668,6406,4547,3215,1204,292,37881,202,349,949,1022,1163,906,444,147,34,5209,245,374,1211,1383,2124,2500,1889,787,209,10721,53,41,128,164,231,352,383,345,105,1805,14,18,28,53,115,210,414,589,285,1713,6,14,28,24,43,51,58,81,54,351,163,224,553,552,465,383,390,379,243,3352,1967,4871,11305,11865,10553,8947,6790,3530,1214,61031,1405,4317,10365,10153,7566,5335,3123,1103,380,43751,130,253,666,759,1095,1133,563,230,52,4876,182,274,805,1036,1854,2415,2362,1064,375,10370,42,40,86,130,203,293,438,402,169,1808,5,14,34,60,113,186,522,699,397,2029,8,7,21,38,42,70,89,93,98,454,132,212,524,459,410,366,437,441,456,3440,1902,5116,12502,12633,11274,9794,7539,4032,1927,66718,2683,8173,18770,18820,13976,9886,6344,2314,669,81630,336,595,1614,1775,2255,2036,1006,372,84,10083,425,651,2018,2422,3981,4913,4256,1852,586,21091,93,89,219,294,435,646,812,748,273,3610
CED509,1498,3621,6784,7541,5741,3971,2993,1438,303,33894,285,455,1242,1231,1217,961,479,226,39,6133,372,667,2129,2211,2797,3122,2190,990,236,14710,101,61,208,284,316,394,426,357,115,2269,26,26,90,105,143,189,343,413,199,1524,3,16,50,88,94,85,55,42,15,439,167,195,571,553,499,418,354,293,184,3242,2451,5037,11072,12019,10810,9128,6847,3755,1096,62210,1517,3725,8847,9117,6931,4680,2860,1330,395,39410,202,338,1081,1052,1277,1259,620,250,50,6133,241,395,1416,1504,2438,2889,2580,1288,354,13113,72,46,137,174,237,337,464,383,170,2019,25,16,63,128,160,191,363,425,280,1647,0,6,44,97,88,72,84,56,51,499,186,189,494,487,421,319,386,387,348,3216,2249,4722,12079,12558,11558,9751,7358,4126,1646,66041,3013,7349,15631,16657,12673,8655,5857,2768,694,73309,487,792,2320,2284,2494,2217,1101,473,95,12263,612,1069,3543,3717,5234,6007,4768,2277,592,27820,172,105,350,455,561,728,887,742,281,4284
CED510,1620,4021,5714,7463,7466,5882,4629,1709,369,38870,214,290,702,909,1002,1064,705,261,48,5198,263,291,815,1197,1921,2562,2438,993,261,10728,67,29,89,101,132,233,371,298,115,1443,11,10,24,28,34,68,202,244,159,779,0,5,17,21,13,27,23,25,18,136,108,117,258,294,282,225,246,251,186,1958,2281,4753,7616,10013,10856,10056,8614,3780,1154,59116,1610,3750,6693,9325,8661,6751,4153,1450,452,42847,105,169,456,664,1069,1408,927,310,97,5199,152,193,538,805,1652,2620,3112,1408,498,10974,41,21,52,69,97,186,404,358,217,1443,9,5,19,35,47,101,227,302,264,1012,4,4,17,12,25,31,25,39,32,177,72,90,252,240,248,236,291,373,337,2149,1990,4229,8014,11145,11795,11324,9149,4248,1899,63804,3228,7771,12403,16792,16126,12640,8786,3162,823,81726,320,459,1154,1573,2069,2474,1635,572,146,10398,410,484,1347,1999,3570,5185,5549,2397,760,21703,106,52,137,171,231,414,780,657,335,2884
