CED_CODE_2021,P_Oth_svc_15_19_yr,P_Oth_svc_20_24_yr,P_Oth_svc_25_34_yr,P_Oth_svc_35_44_yr,P_Oth_svc_45_54_yr,P_Oth_svc_55_64_yr,P_Oth_svc_65_74_yr,P_Oth_svc_75_84_yr,P_Oth_svc_85_yr_over,P_Oth_svc_Tot,P_Inad_desc_Ns_15_19,P_Inad_desc_Ns_20_24,P_Inad_desc_Ns_25_34,P_Inad_desc_Ns_35_44,P_Inad_desc_Ns_45_54,P_Inad_desc_Ns_55_64,P_Inad_desc_Ns_65_74,P_Inad_desc_Ns_75_84,P_Inad_desc_Ns_85_yr_over,P_Inad_desc_Ns_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
CED501,201,335,841,679,600,386,88,19,0,3138,227,386,945,920,818,544,129,21,7,4004,5302,7618,18131,18888,17221,11776,2334,172,14,81452
CED502,168,404,897,866,669,450,131,13,0,3595,222,495,1248,1251,873,607,151,29,4,4869,4337,7733,18899,21690,15604,10864,2717,230,18,82087
CED503,213,287,664,535,541,442,124,17,4,2812,218,286,613,642,612,482,167,61,11,3101,4587,5609,12268,13651,14526,11972,3196,401,34,66257
CED504,168,413,1054,917,766,563,203,29,6,4111,188,513,1219,1122,900,659,200,35,7,4830,4135,8186,20063,18929,16405,13172,3745,362,27,85030
CED505,161,293,572,489,444,336,158,36,3,2494,165,301,759,794,810,490,205,82,11,3620,4860,8038,18701,19162,18581,13207,4829,931,84,88387
CED506,245,371,879,832,699,576,178,16,0,3793,256,385,956,912,914,760,293,76,13,4561,4838,7663,24626,25405,24525,21002,6095,802,69,115034
CED507,171,285,575,568,618,432,134,9,0,2795,193,222,496,609,575,443,177,58,13,2793,5045,4988,12662,15915,16575,13081,3894,488,49,72696
CED508,202,381,827,710,660,496,128,12,0,3417,183,372,979,1021,835,532,200,30,7,4156,4430,7670,19485,20153,17624,12942,3552,345,20,86216
CED509,197,425,933,825,723,522,169,18,0,3817,203,418,864,951,859,574,192,39,11,4123,5260,7300,17560,19313,17785,12975,3526,450,30,84202
CED510,179,348,608,679,652,552,184,13,0,3216,184,294,581,715,760,613,192,35,3,3379,5562,7301,12942,17999,19611,15681,4368,378,23,83876
CED511,241,346,660,598,608,497,156,15,4,3117,243,274,551,534,614,605,266,94,23,3195,4549,6249,15986,16867,18492,17022,5635,1025,106,85925
CED512,216,468,1068,907,808,506,102,16,0,4083,220,442,901,1056,853,510,104,25,4,4113,5681,8285,18736,21048,19397,11863,2532,219,13,87779
CED513,108,340,987,801,570,475,157,27,0,3467,106,405,1276,973,679,487,169,40,5,4134,3337,9046,29763,23987,17857,12971,3819,454,31,101262
CED514,159,482,1046,802,600,453,169,26,0,3740,156,522,1448,1054,775,504,181,36,17,4694,4302,10974,27469,22148,16757,12651,3854,417,41,98609
CED515,172,300,579,634,615,499,202,33,0,3027,211,409,785,955,914,638,221,57,11,4199,5580,8542,15117,20122,19898,14709,4650,543,38,89199
CED597,0,0,5,0,5,0,0,0,0,11,0,9,44,78,68,33,0,0,0,242,10,71,297,516,486,267,40,8,0,1697
