CED_CODE_2021,F_Kidney_disease_0_14,F_Kidney_disease_15_24,F_Kidney_disease_25_34,F_Kidney_disease_35_44,F_Kidney_disease_45_54,F_Kidney_disease_55_64,F_Kidney_disease_65_74,F_Kidney_disease_75_84,F_Kidney_disease_85_over,F_Kidney_disease_Tot,F_Lung_cond_0_14,F_Lung_cond_15_24,F_Lung_cond_25_34,F_Lung_cond_35_44,F_Lung_cond_45_54,F_Lung_cond_55_64,F_Lung_cond_65_74,F_Lung_cond_75_84,F_Lung_cond_85_over,F_Lung_cond_Tot,F_Mental_health_cond_0_14,F_Mental_health_cond_15_24,F_Mental_health_cond_25_34,F_Mental_health_cond_35_44,F_Mental_health_cond_45_54,F_Mental_health_cond_55_64,F_Mental_health_cond_65_74,F_Mental_health_cond_75_84,F_Mental_health_cond_85_over,F_Mental_health_cond_Tot,F_Stroke_0_14,F_Stroke_15_24,F_Stroke_25_34,F_Stroke_35_44,F_Stroke_45_54,F_Stroke_55_64,F_Stroke_65_74,F_Stroke_75_84,F_Stroke_85_over,F_Stroke_Tot,F_Oth_lt_health_cond_0_14,F_Oth_lt_health_cond_15_24,F_Oth_lt_health_cond_25_34,F_Oth_lt_health_cond_35_44,F_Oth_lt_health_cond_45_54,F_Oth_lt_health_cond_55_64,F_Oth_lt_health_cond_65_74,F_Oth_lt_health_cond_75_84,F_Oth_lt_health_cond_85_over,F_Oth_lt_health_cond_Tot,F_No_lt_health_cond_0_14,F_No_lt_health_cond_15_24,F_No_lt_health_cond_25_34,F_No_lt_health_cond_35_44,F_No_lt_health_cond_45_54,F_No_lt_health_cond_55_64,F_No_lt_health_cond_65_74,F_No_lt_health_cond_75_84,F_No_lt_health_cond_85_over,F_No_lt_health_cond_Tot,F_NS_0_14,F_NS_15_24,F_NS_25_34,F_NS_35_44,F_NS_45_54,F_NS_55_64,F_NS_65_74,F_NS_75_84,F_NS_85_over,F_NS_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_over,F_Tot_Tot,P_Arthritis_0_14,P_Arthritis_15_24,P_Arthritis_25_34,P_Arthritis_35_44,P_Arthritis_45_54,P_Arthritis_55_64,P_Arthritis_65_74,P_Arthritis_75_84,P_Arthritis_85_over,P_Arthritis_Tot,P_Asthma_0_14,P_Asthma_15_24,P_Asthma_25_34,P_Asthma_35_44,P_Asthma_45_54,P_Asthma_55_64,P_Asthma_65_74,P_Asthma_75_84,P_Asthma_85_over,P_Asthma_Tot,P_Cancer_0_14,P_Cancer_15_24,P_Cancer_25_34,P_Cancer_35_44,P_Cancer_45_54,P_Cancer_55_64,P_Cancer_65_74,P_Cancer_75_84,P_Cancer_85_over,P_Cancer_Tot,P_Dementia_0_14,P_Dementia_15_24,P_Dementia_25_34,P_Dementia_35_44,P_Dementia_45_54,P_Dementia_55_64,P_Dementia_65_74,P_Dementia_75_84,P_Dementia_85_over,P_Dementia_Tot,P_Diabetes_0_14,P_Diabetes_15_24,P_Diabetes_25_34,P_Diabetes_35_44,P_Diabetes_45_54,P_Diabetes_55_64,P_Diabetes_65_74,P_Diabetes_75_84,P_Diabetes_85_over,P_Diabetes_Tot,P_Heart_disease_0_14,P_Heart_disease_15_24,P_Heart_disease_25_34,P_Heart_disease_35_44,P_Heart_disease_45_54,P_Heart_disease_55_64,P_Heart_disease_65_74,P_Heart_disease_75_84,P_Heart_disease_85_over,P_Heart_disease_Tot,P_Kidney_disease_0_14,P_Kidney_disease_15_24,P_Kidney_disease_25_34,P_Kidney_disease_35_44,P_Kidney_disease_45_54,P_Kidney_disease_55_64,P_Kidney_disease_65_74,P_Kidney_disease_75_84,P_Kidney_disease_85_over,P_Kidney_disease_Tot,P_Lung_cond_0_14,P_Lung_cond_15_24,P_Lung_cond_25_34,P_Lung_cond_35_44,P_Lung_cond_45_54,P_Lung_cond_55_64,P_Lung_cond_65_74,P_Lung_cond_75_84,P_Lung_cond_85_over,P_Lung_cond_Tot,P_Mental_health_cond_0_14,P_Mental_health_cond_15_24,P_Mental_health_cond_25_34,P_Mental_health_cond_35_44,P_Mental_health_cond_45_54,P_Mental_health_cond_55_64,P_Mental_health_cond_65_74,P_Mental_health_cond_75_84,P_Mental_health_cond_85_over,P_Mental_health_cond_Tot,P_Stroke_0_14,P_Stroke_15_24,P_Stroke_25_34,P_Stroke_35_44,P_Stroke_45_54,P_Stroke_55_64,P_Stroke_65_74,P_Stroke_75_84,P_Stroke_85_over,P_Stroke_Tot,P_Oth_lt_health_cond_0_14,P_Oth_lt_health_cond_15_24,P_Oth_lt_health_cond_25_34,P_Oth_lt_health_cond_35_44,P_Oth_lt_health_cond_45_54,P_Oth_lt_health_cond_55_64,P_Oth_lt_health_cond_65_74,P_Oth_lt_health_cond_75_84,P_Oth_lt_health_cond_85_over,P_Oth_lt_health_cond_Tot,P_No_lt_health_cond_0_14,P_No_lt_health_cond_15_24,P_No_lt_health_cond_25_34,P_No_lt_health_cond_35_44,P_No_lt_health_cond_45_54,P_No_lt_health_cond_55_64,P_No_lt_health_cond_65_74,P_No_lt_health_cond_75_84,P_No_lt_health_cond_85_over,P_No_lt_health_cond_Tot
CED501,12,11,29,58,71,125,166,156,80,698,25,22,28,58,187,384,494,406,120,1720,501,1800,2461,2139,1811,1339,685,289,147,11166,0,4,9,25,77,126,157,163,82,641,704,697,1034,1223,1343,1338,936,548,238,8062,15426,6877,7866,7869,6254,4197,2183,812,202,51691,1583,875,919,877,783,563,410,327,226,6558,19251,10686,12988,13068,11637,9610,6927,3887,1447,89491,35,142,454,1020,2090,3363,3688,2677,930,14395,2874,1875,2389,2335,1976,1596,1177,640,173,15027,42,40,123,267,603,1018,1264,921,298,4575,0,0,0,9,15,61,136,344,268,833,62,126,304,633,1340,2052,2140,1300,369,8329,55,41,88,187,535,1218,1707,1564,587,5986,31,24,60,97,148,247,321,334,174,1435,54,32,65,112,320,714,948,818,259,3328,1093,2748,3726,3330,2879,2205,1161,517,190,17859,4,7,25,47,131,281,383,385,157,1429,1836,1253,1642,1893,2237,2323,1651,958,388,14182,31147,14969,15828,15615,12539,8406,4183,1555,366,104606
CED502,14,24,34,56,72,121,171,139,75,710,27,6,35,66,181,382,517,323,107,1653,359,1554,2020,1685,1423,1231,679,262,102,9311,9,4,8,52,71,97,186,149,73,646,693,616,949,1212,1163,1237,929,514,205,7524,16338,7239,9359,9520,5713,3807,2324,744,202,55243,1641,884,969,969,728,561,427,310,222,6703,19875,10730,13839,14509,10533,9005,7169,3678,1446,90779,34,104,390,850,1715,2833,3552,2355,848,12676,2353,1746,2164,2221,1785,1548,1286,598,161,13867,33,48,113,238,443,805,1183,773,228,3862,4,6,7,8,10,44,128,319,275,800,67,126,329,977,1667,2379,2608,1311,395,9857,48,40,98,255,564,1242,1844,1377,571,6035,52,33,62,111,140,226,365,320,144,1452,51,24,55,128,318,671,981,659,218,3110,804,2385,3099,2765,2354,1956,1112,437,148,15051,12,6,22,75,135,217,407,364,140,1377,1736,1143,1499,2041,2115,2172,1653,871,335,13563,33062,15438,18487,19675,12066,7748,4460,1524,349,112807
CED503,12,13,18,38,57,82,202,224,98,748,29,11,21,55,135,354,579,512,187,1871,310,1321,1728,1554,1448,1340,888,397,182,9169,3,7,10,19,67,124,198,236,133,801,542,495,706,908,1076,1259,1192,694,329,7192,12153,5583,5633,5891,5542,4724,3258,1288,279,44350,1234,669,591,649,718,651,536,444,326,5811,14983,8418,9097,9688,10069,10234,9447,5539,2094,79586,29,114,292,707,1635,3300,5064,3885,1389,16410,1990,1373,1602,1708,1611,1640,1583,931,256,12688,32,30,85,234,494,1097,1794,1456,434,5656,0,0,3,5,8,45,186,412,378,1050,57,124,184,436,954,1743,2528,1720,497,8241,41,39,72,133,438,1173,2363,2154,905,7318,26,21,26,62,106,185,409,489,228,1554,46,20,38,92,224,636,1176,1058,359,3661,714,2019,2554,2424,2335,2182,1576,732,265,14804,7,11,20,58,132,255,493,558,262,1787,1390,932,1071,1425,1792,2181,2161,1266,511,12728,24062,11575,10900,11365,10801,9226,6193,2540,541,87208
CED504,16,21,29,43,86,112,161,180,105,743,14,6,25,50,130,349,462,373,133,1534,303,1319,1666,1466,1327,1260,767,364,187,8652,3,0,14,19,66,117,169,205,133,736,513,543,785,994,1129,1419,1199,708,386,7675,13124,7401,9359,8451,6552,5090,3173,1211,290,54649,1291,762,887,861,733,654,503,318,109,6127,15800,10445,13242,12566,11171,10765,9011,4994,1892,89887,21,88,311,638,1441,2988,4072,2967,1210,13745,1688,1582,1875,1890,1722,1669,1444,786,237,12891,37,34,103,210,437,934,1392,1009,325,4473,0,3,8,7,22,58,173,526,523,1324,36,88,243,620,1286,2324,3099,1828,504,10020,42,39,66,158,508,1254,2091,1770,742,6676,43,28,47,93,157,249,395,375,192,1585,35,17,62,101,247,630,929,759,257,3026,598,2044,2636,2434,2220,2047,1274,603,273,14126,9,9,20,43,138,289,427,457,239,1621,1231,1031,1310,1676,1948,2517,2150,1237,604,13702,26761,15728,19149,17096,13222,10144,6013,2391,528,111038
CED505,13,8,16,29,51,58,109,99,111,491,19,7,14,24,79,166,320,358,230,1220,247,1591,1624,1260,1094,940,628,379,275,8032,11,4,12,9,36,54,113,177,182,596,461,636,764,818,956,1085,1049,810,601,7178,12526,7625,8249,8753,7934,5446,3576,1702,547,56360,802,706,752,697,620,535,541,446,363,5450,14572,10993,11898,12268,11843,9810,8441,5801,3210,88847,35,93,260,429,1056,2023,3123,2957,1651,11624,1372,1674,1712,1617,1610,1253,1122,738,334,11429,50,50,106,235,604,1050,1542,1390,657,5687,5,5,0,5,8,44,174,541,837,1613,41,100,129,260,447,819,1267,1131,491,4679,32,36,63,113,322,847,1635,1840,1216,6099,27,26,33,60,99,122,208,264,212,1049,42,28,30,47,127,290,571,640,391,2160,491,2389,2475,2107,1911,1539,1074,635,373,12988,12,13,19,28,79,129,280,435,319,1315,1065,1116,1163,1331,1652,1908,1904,1385,897,12426,25585,15839,16187,16823,15301,10751,6708,3049,869,111119
CED506,13,8,30,63,122,159,243,194,75,909,27,12,21,50,172,420,620,310,81,1709,284,1109,1811,1658,1554,1393,834,275,106,9031,4,3,13,35,94,138,214,161,87,750,559,436,812,987,1226,1469,1188,450,183,7317,15980,7201,10502,9250,7855,7493,4722,1239,213,64457,3245,1953,3007,2517,2452,2393,1703,700,214,18180,20869,11262,17040,15646,15054,16276,12908,4788,1327,115171,41,107,385,843,2085,4450,5961,2873,759,17500,2067,1524,2444,2502,2324,2420,2039,710,170,16198,29,38,102,291,638,1519,2202,1169,258,6243,0,3,11,11,32,75,183,356,325,998,67,158,361,813,1728,2933,3187,1456,323,11039,94,87,137,282,790,1961,2921,1796,548,8612,35,28,74,121,247,364,540,418,151,1984,61,26,49,85,343,864,1356,746,173,3716,623,1719,2804,2730,2709,2538,1645,534,167,15470,12,7,20,68,182,317,551,419,144,1714,1355,820,1343,1730,2188,2722,2387,910,295,13738,32446,15453,23242,22010,19228,16641,10170,2775,432,142407
CED507,7,3,11,38,56,89,137,132,103,584,18,13,13,42,107,303,475,340,135,1457,347,1254,1551,1613,1536,1329,796,340,209,8970,0,4,13,29,53,93,183,183,131,687,499,451,625,851,1015,1278,1021,592,339,6665,11917,4950,5471,6685,6107,4963,3246,1228,291,44861,1286,679,735,761,835,795,643,392,224,6349,14773,7677,8834,10705,10856,10571,8948,4723,2009,79085,40,109,305,821,1802,3384,4461,2921,1236,15086,2142,1311,1500,1834,1688,1576,1486,705,251,12495,27,19,84,221,504,1037,1597,1071,349,4915,0,3,0,8,9,60,185,443,495,1206,49,98,189,380,887,1517,2159,1263,457,7003,38,38,50,127,395,1003,1875,1601,830,5964,25,13,33,70,122,199,293,310,186,1255,43,28,38,73,198,580,948,732,240,2879,742,1924,2355,2520,2497,2223,1449,615,287,14606,0,8,28,33,107,232,423,396,223,1453,1240,878,953,1356,1672,2188,1875,1045,503,11717,24076,10760,10924,12883,12053,9703,6360,2395,531,89690
CED508,14,15,32,42,43,91,100,132,114,569,9,19,17,39,93,230,402,291,120,1219,277,1548,1961,1608,1426,1099,665,327,227,9133,5,7,5,24,39,88,134,145,100,545,519,643,918,1051,1125,1202,965,565,420,7419,12465,6296,8308,8334,6762,4918,2884,988,242,51197,937,678,776,776,724,600,472,299,273,5529,14784,9522,12510,12636,11279,9805,7546,4032,1927,84044,31,112,341,704,1410,2558,3319,2378,1068,11914,1625,1496,1989,1991,1618,1345,1067,562,223,11914,22,31,126,268,491,962,1327,830,298,4344,0,6,0,4,12,47,130,382,475,1056,36,115,193,401,813,1395,1816,1193,449,6411,41,36,65,121,412,1016,1586,1361,752,5395,21,26,49,89,111,196,254,285,195,1227,27,32,31,81,180,429,742,562,220,2305,550,2322,2955,2634,2401,1820,1175,527,324,14700,11,8,16,46,104,198,313,329,178,1200,1246,1131,1456,1678,1957,2041,1711,986,626,12824,25149,13071,16502,16734,13438,9684,5498,1929,469,102477
CED509,18,18,28,48,69,91,115,141,92,619,19,6,20,32,137,264,401,328,114,1327,358,1495,1880,1750,1535,1092,611,309,170,9200,5,0,7,34,59,93,133,164,102,608,589,645,837,1106,1148,1201,964,580,351,7413,14597,6616,7921,7975,6540,4712,2649,1003,249,52273,1136,723,841,845,775,564,441,284,182,5783,17466,9874,12088,12564,11560,9757,7370,4125,1647,86448,40,109,342,793,1657,2732,3373,2517,952,12502,2236,1745,1968,2083,1901,1559,1186,681,200,13564,25,29,95,256,581,937,1251,985,318,4491,0,0,4,6,17,29,130,382,441,1005,58,98,253,602,1203,1701,1976,1282,379,7544,47,50,62,145,475,1043,1694,1546,662,5727,35,28,45,91,139,191,253,298,161,1234,51,22,39,66,234,517,805,677,229,2639,747,2303,2864,2775,2489,1823,1083,519,243,14847,7,7,13,56,123,220,325,391,186,1333,1556,1195,1356,1752,1984,2084,1747,1003,508,13194,29518,14325,15435,15951,12969,9326,5114,1980,461,105068
CED510,14,5,12,26,27,73,100,106,67,436,14,10,6,31,66,214,382,294,147,1167,311,1334,1103,1371,1212,1004,599,287,199,7420,0,6,4,34,36,75,142,143,135,577,522,568,592,874,1059,1324,1277,603,357,7171,12680,6444,5483,7444,7397,6096,3664,1098,271,50580,775,515,467,573,663,551,385,262,179,4365,14914,9267,8015,11146,11801,11333,9151,4247,1905,81781,36,103,203,562,1408,2871,4149,2528,1086,12950,1731,1509,1261,1792,1766,1549,1367,615,204,11793,25,40,63,254,588,1053,1708,1053,346,5127,0,0,0,4,3,49,151,384,511,1112,56,103,97,257,632,1334,1931,1138,371,5928,45,38,48,115,410,1100,2080,1521,695,6046,25,22,23,64,73,163,247,251,139,1007,33,23,26,62,120,360,746,572,230,2168,659,2063,1776,2164,2008,1653,1081,466,281,12149,5,8,12,51,74,173,363,358,228,1281,1280,1054,946,1355,1761,2256,2252,1031,532,12475,25693,14226,11112,14709,14706,11688,7105,2137,477,101853
