CED_CODE_2021,F_Inad_desc_Ns_15_19,F_Inad_desc_Ns_20_24,F_Inad_desc_Ns_25_34,F_Inad_desc_Ns_35_44,F_Inad_desc_Ns_45_54,F_Inad_desc_Ns_55_64,F_Inad_desc_Ns_65_74,F_Inad_desc_Ns_75_84,F_Inad_desc_Ns_85_yr_over,F_Inad_desc_Ns_Tot,F_Tot_15_19_yr,F_Tot_20_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Agr_fstry_fsh_15_19,P_Agr_fstry_fsh_20_24,P_Agr_fstry_fsh_25_34,P_Agr_fstry_fsh_35_44,P_Agr_fstry_fsh_45_54,P_Agr_fstry_fsh_55_64,P_Agr_fstry_fsh_65_74,P_Agr_fstry_fsh_75_84,P_Agr_fstry_fsh_85_yr_over,P_Agr_fstry_fsh_Tot,P_Min_15_19_yr,P_Min_20_24_yr,P_Min_25_34_yr,P_Min_35_44_yr,P_Min_45_54_yr,P_Min_55_64_yr,P_Min_65_74_yr,P_Min_75_84_yr,P_Min_85_yr_over,P_Min_Tot,P_Manf_15_19_yr,P_Manf_20_24_yr,P_Manf_25_34_yr,P_Manf_35_44_yr,P_Manf_45_54_yr,P_Manf_55_64_yr,P_Manf_65_74_yr,P_Manf_75_84_yr,P_Manf_85_yr_over,P_Manf_Tot,P_Elec_gas_wtr_wst_sv_15_19,P_Elec_gas_wtr_wst_sv_20_24,P_Elec_gas_wtr_wst_sv_25_34,P_Elec_gas_wtr_wst_sv_35_44,P_Elec_gas_wtr_wst_sv_45_54,P_Elec_gas_wtr_wst_sv_55_64,P_Elec_gas_wtr_wst_sv_65_74,P_Elec_gas_wtr_wst_sv_75_84,P_Elec_gas_wtr_wst_sv_85_ov,P_Elec_gas_wtr_wst_sv_Tot,P_Con_15_19_yr,P_Con_20_24_yr,P_Con_25_34_yr,P_Con_35_44_yr,P_Con_45_54_yr,P_Con_55_64_yr,P_Con_65_74_yr,P_Con_75_84_yr,P_Con_85_yr_over,P_Con_Tot,P_Whl_trd_15_19_yr,P_Whl_trd_20_24_yr,P_Whl_trd_25_34_yr,P_Whl_trd_35_44_yr,P_Whl_trd_45_54_yr,P_Whl_trd_55_64_yr,P_Whl_trd_65_74_yr,P_Whl_trd_75_84_yr,P_Whl_trd_85_yr_over,P_Whl_trd_Tot,P_Re_trd_15_19_yr,P_Re_trd_20_24_yr,P_Re_trd_25_34_yr,P_Re_trd_35_44_yr,P_Re_trd_45_54_yr,P_Re_trd_55_64_yr,P_Re_trd_65_74_yr,P_Re_trd_75_84_yr,P_Re_trd_85_yr_over,P_Re_trd_Tot,P_Acc_food_svc_15_19,P_Acc_food_svc_20_24,P_Acc_food_svc_25_34,P_Acc_food_svc_35_44,P_Acc_food_svc_45_54,P_Acc_food_svc_55_64,P_Acc_food_svc_65_74,P_Acc_food_svc_75_84,P_Acc_food_svc_85_yr_over,P_Acc_food_svc_Tot,P_Trp_pos_wh_15_19,P_Trp_pos_wh_20_24,P_Trp_pos_wh_25_34,P_Trp_pos_wh_35_44,P_Trp_pos_wh_45_54,P_Trp_pos_wh_55_64,P_Trp_pos_wh_65_74,P_Trp_pos_wh_75_84,P_Trp_pos_wh_85_yr_over,P_Trp_pos_wh_Tot,P_In_med_tcom_15_19,P_In_med_tcom_20_24,P_In_med_tcom_25_34,P_In_med_tcom_35_44,P_In_med_tcom_45_54,P_In_med_tcom_55_64,P_In_med_tcom_65_74,P_In_med_tcom_75_84,P_In_med_tcom_85_yr_over,P_In_med_tcom_Tot,P_Fin_in_svc_15_19,P_Fin_in_svc_20_24,P_Fin_in_svc_25_34,P_Fin_in_svc_35_44,P_Fin_in_svc_45_54,P_Fin_in_svc_55_64,P_Fin_in_svc_65_74,P_Fin_in_svc_75_84,P_Fin_in_svc_85_yr_over,P_Fin_in_svc_Tot,P_Rnt_hrg_rea_est_serv_15_19,P_Rnt_hrg_rea_est_serv_20_24,P_Rnt_hrg_rea_est_serv_25_34,P_Rnt_hrg_rea_est_serv_35_44,P_Rnt_hrg_rea_est_serv_45_54,P_Rnt_hrg_rea_est_serv_55_64,P_Rnt_hrg_rea_est_serv_65_74,P_Rnt_hrg_rea_est_serv_75_84,P_Rnt_hrg_rea_est_serv_85_ov,P_Rnt_hrg_rea_est_serv_Tot,P_Prof_sc_tech_serv_15_19,P_Prof_sc_tech_serv_20_24,P_Prof_sc_tech_serv_25_34,P_Prof_sc_tech_serv_35_44,P_Prof_sc_tech_serv_45_54,P_Prof_sc_tech_serv_55_64,P_Prof_sc_tech_serv_65_74,P_Prof_sc_tech_serv_75_84,P_Prof_sc_tech_serv_85_over,P_Prof_sc_tech_serv_Tot,P_Adm_sup_serv_15_19,P_Adm_sup_serv_20_24,P_Adm_sup_serv_25_34,P_Adm_sup_serv_35_44,P_Adm_sup_serv_45_54,P_Adm_sup_serv_55_64,P_Adm_sup_serv_65_74,P_Adm_sup_serv_75_84,P_Adm_sup_serv_85_over,P_Adm_sup_serv_Tot,P_PubAd_saf_15_19,P_PubAd_saf_20_24,P_PubAd_saf_25_34,P_PubAd_saf_35_44,P_PubAd_saf_45_54,P_PubAd_saf_55_64,P_PubAd_saf_65_74,P_PubAd_saf_75_84,P_PubAd_saf_85_yr_over,P_PubAd_saf_Tot,P_Ed_trng_15_19,P_Ed_trng_20_24,P_Ed_trng_25_34,P_Ed_trng_35_44,P_Ed_trng_45_54,P_Ed_trng_55_64,P_Ed_trng_65_74,P_Ed_trng_75_84,P_Ed_trng_85_yr_over,P_Ed_trng_Tot,P_Hlth_cre_socia_assist_15_19,P_Hlth_cre_socia_assist_20_24,P_Hlth_cre_socia_assist_25_34,P_Hlth_cre_socia_assist_35_44,P_Hlth_cre_socia_assist_45_54,P_Hlth_cre_socia_assist_55_64,P_Hlth_cre_socia_assist_65_74,P_Hlth_cre_socia_assist_75_84,P_Hlth_cre_socia_assist_85_ov,P_Hlth_cre_socia_assist_Tot,P_Arts_rec_svc_15_19,P_Arts_rec_svc_20_24,P_Arts_rec_svc_25_34,P_Arts_rec_svc_35_44,P_Arts_rec_svc_45_54,P_Arts_rec_svc_55_64,P_Arts_rec_svc_65_74,P_Arts_rec_svc_75_84,P_Arts_rec_svc_85_yr_over,P_Arts_rec_svc_Tot
CED501,83,125,345,332,276,175,35,7,6,1378,2703,3707,8743,9209,8555,5478,990,58,5,39445,15,48,103,136,145,98,36,6,0,588,54,333,1303,1491,1235,710,100,5,0,5231,252,485,1302,1506,1518,1131,181,11,0,6380,28,64,238,252,280,173,15,0,0,1035,345,759,2016,1924,1667,1144,168,7,0,8034,72,141,483,479,456,320,55,5,0,2017,1254,1275,1679,1378,1344,892,181,4,0,8006,2012,873,755,605,422,219,64,7,0,4953,70,186,747,896,827,779,204,15,0,3725,46,57,145,113,76,39,4,3,0,489,5,68,375,393,286,158,30,0,0,1312,28,54,207,234,214,164,53,13,0,962,53,235,851,1071,761,424,126,9,0,3529,87,257,618,641,582,432,102,4,3,2722,83,629,1693,1600,1450,1048,176,21,0,6707,152,388,1220,1742,1736,1132,247,15,0,6639,175,902,2349,2625,2647,1869,351,19,0,10923,142,148,272,198,147,99,42,8,0,1055
CED502,97,179,416,410,265,214,60,13,0,1659,2188,3667,8874,9756,7281,5058,1133,84,10,38050,22,41,124,112,108,72,37,10,4,530,31,211,904,1271,802,423,63,4,0,3711,174,443,1203,1628,1278,836,198,9,5,5769,5,41,185,284,207,146,30,0,0,893,250,699,1930,1911,1271,860,239,10,0,7175,69,210,645,763,648,388,81,5,0,2813,1007,1388,1802,1611,1177,883,236,25,0,8138,1658,882,1035,788,490,283,63,7,0,5207,86,395,1333,1630,1165,1033,263,9,0,5919,39,47,146,179,98,63,10,0,0,580,14,65,401,534,285,149,27,0,0,1482,6,59,238,257,180,140,53,3,0,931,38,323,1069,1436,758,435,123,13,0,4195,82,275,649,688,591,440,127,8,0,2864,43,226,867,1250,1008,823,173,24,0,4417,126,384,1164,1595,1451,995,262,25,0,6005,167,990,2813,3375,2370,1726,414,22,0,11872,118,155,246,269,174,113,42,7,0,1117
CED503,76,98,223,261,248,186,64,24,6,1190,2425,2764,6059,6827,7379,5727,1317,115,14,32620,39,65,137,183,245,245,194,72,4,1185,86,336,1182,1433,1377,952,159,0,0,5535,235,397,942,1132,1287,1102,178,27,0,5308,10,36,174,229,256,171,27,3,0,905,322,628,1536,1505,1450,1190,297,16,3,6942,61,95,253,332,317,270,75,14,0,1425,1094,994,1212,1079,1159,928,240,25,0,6731,1625,594,552,490,454,325,94,7,0,4153,65,143,420,557,701,671,256,38,0,2862,21,44,48,68,67,50,18,0,0,315,10,36,148,209,221,141,36,12,0,819,25,61,174,195,221,195,97,21,0,989,41,216,534,635,623,500,163,21,0,2742,70,165,391,438,479,396,123,14,0,2072,45,151,580,763,920,781,173,19,0,3420,107,302,894,1231,1491,1225,284,16,0,5553,176,636,1630,1830,1930,1787,416,24,0,8423,114,141,184,170,165,129,57,16,0,969
CED504,78,173,434,405,322,233,64,10,3,1728,2133,4058,9436,8809,8087,6234,1622,119,3,40506,11,28,127,99,123,103,42,4,0,545,7,176,841,929,617,358,82,4,0,3023,136,313,948,1097,1209,1007,250,33,0,4989,10,48,202,221,186,198,30,3,0,897,239,712,2222,2087,1522,1177,274,24,3,8253,31,148,453,511,493,364,123,13,0,2146,1262,1580,1859,1356,1300,1081,326,27,0,8798,1345,1020,1242,894,705,528,114,3,0,5849,65,293,1005,954,919,839,255,25,0,4355,31,82,188,170,122,109,35,4,0,738,13,137,516,576,446,246,74,10,0,2007,13,81,232,226,192,179,65,18,0,1005,56,421,1538,1599,985,659,225,31,0,5518,66,305,706,721,613,550,139,16,0,3126,41,263,1034,1101,1090,938,236,20,3,4720,130,385,1300,1378,1606,1283,387,23,0,6480,162,1055,3046,2707,2398,2140,651,36,0,12193,160,215,348,266,209,181,55,11,0,1440
CED505,72,137,321,307,346,154,75,39,7,1453,2562,4285,9763,9449,9314,6346,2051,324,24,44111,36,25,69,73,103,107,85,32,5,538,18,190,1357,1820,1564,717,190,21,0,5873,135,165,439,532,541,402,172,42,4,2435,5,21,175,252,209,127,26,4,0,820,173,409,1349,1397,1142,792,252,31,4,5538,55,107,282,387,418,303,86,27,4,1668,1254,1257,1076,840,850,665,277,56,3,6278,1568,1295,1086,618,413,258,101,17,0,5352,59,149,418,464,467,316,132,22,0,2020,32,92,250,214,194,143,46,17,0,994,19,166,625,836,826,537,171,53,4,3237,33,94,331,390,487,371,214,79,15,2016,76,852,2563,2922,2761,1808,723,149,14,11878,89,204,624,593,420,318,121,23,3,2399,38,211,973,1120,1092,829,227,31,3,4522,436,755,1623,1768,2166,1905,612,74,3,9338,213,1112,3701,3350,3378,2606,973,135,6,15470,302,337,421,287,297,174,68,13,0,1901
CED506,107,160,326,343,314,253,107,37,6,1643,2391,3609,10699,10528,10204,8716,2347,265,14,48786,235,503,1232,1201,1311,1538,1023,310,42,7397,179,1171,5638,6186,5210,3248,433,16,0,22081,174,235,641,686,651,613,180,21,0,3198,31,63,267,351,347,307,74,0,0,1444,339,769,2502,2477,2265,2067,509,19,0,10946,93,184,521,556,520,437,98,21,0,2436,1213,751,1267,1177,1328,1238,389,53,0,7418,1173,760,1667,1090,1000,996,313,35,0,7032,116,281,1035,1239,1459,1450,460,47,5,6089,21,34,119,117,77,86,35,0,0,490,10,42,184,230,218,180,53,9,0,924,40,110,280,251,294,273,103,29,0,1383,46,198,818,887,812,693,242,30,0,3729,122,266,830,795,819,677,192,13,0,3706,108,323,1303,1552,1737,1550,357,23,0,6943,116,462,1782,2226,2206,1779,436,26,0,9035,250,667,2482,2436,2420,2356,662,36,0,11311,79,105,221,220,230,184,76,15,0,1128
CED507,79,82,181,260,238,166,66,22,4,1104,2582,2350,6142,8132,8515,6352,1589,162,13,35842,142,178,508,495,568,621,447,154,18,3125,47,237,881,1265,1192,722,118,6,0,4465,315,489,1309,1609,1393,976,241,23,0,6358,16,60,192,253,305,260,42,0,0,1129,362,681,1563,1832,1682,1325,350,26,0,7830,62,66,196,257,333,233,82,10,0,1248,1192,716,1204,1286,1342,1157,273,26,0,7186,1815,577,967,1004,807,551,193,17,7,5935,55,128,311,416,618,667,269,29,0,2487,53,43,81,77,76,39,23,3,0,396,4,38,168,215,264,177,62,13,0,932,24,63,168,190,248,190,98,19,3,1001,43,96,458,692,680,476,233,20,5,2698,70,143,381,527,587,465,137,13,0,2330,48,135,489,746,904,742,163,12,0,3236,113,159,788,1468,1843,1408,340,24,0,6139,212,596,1750,2252,2378,2078,471,15,0,9759,132,75,173,165,152,125,46,5,0,858
CED508,78,147,387,380,302,194,70,11,6,1570,2345,3973,9833,9823,8837,6352,1562,118,9,42847,12,39,88,131,117,102,56,14,3,563,34,201,1158,1318,990,545,98,9,0,4347,202,413,1086,1282,1297,904,194,21,0,5402,17,37,202,260,205,169,32,3,0,922,211,556,1855,1929,1468,1088,254,19,0,7383,64,156,424,531,541,401,86,9,0,2216,1117,1283,1349,1103,1041,901,278,33,0,7102,1574,1099,1079,695,473,309,96,7,0,5331,76,235,721,815,919,783,229,12,0,3793,29,55,153,148,132,81,34,3,0,642,8,67,440,585,448,220,67,9,0,1841,12,79,242,276,270,175,98,19,5,1179,45,434,1801,2100,1396,813,282,32,0,6907,62,195,493,505,490,428,115,18,0,2291,40,280,1228,1357,1219,906,220,28,0,5285,173,488,1772,2055,2184,1687,461,29,0,8850,178,1084,3217,2959,2704,2215,552,34,0,12959,196,216,368,371,234,181,59,13,0,1629
CED509,80,135,335,357,319,204,66,8,6,1498,2682,3572,8716,9351,8880,6224,1473,152,12,41060,45,61,121,134,150,174,104,43,3,842,64,296,1290,1585,1290,781,136,12,0,5453,238,415,967,1230,1253,818,203,30,0,5146,15,51,185,214,200,146,30,5,0,850,319,709,1761,1854,1455,1095,250,25,0,7477,105,202,586,686,668,487,101,14,0,2852,1391,1318,1706,1356,1220,957,257,23,0,8237,1820,784,735,621,454,341,79,16,0,4848,97,285,1044,1303,1130,970,279,32,0,5135,28,56,138,171,133,95,22,9,0,651,20,86,387,429,371,211,52,9,0,1553,19,72,249,287,261,208,92,20,0,1211,50,291,1012,1298,1069,653,246,32,4,4654,88,217,540,524,541,400,123,10,0,2445,42,222,1018,1320,1460,1129,237,24,0,5448,181,385,1231,1614,1866,1371,404,37,0,7094,185,840,2510,2643,2477,1894,487,43,0,11073,169,159,282,263,181,159,71,21,0,1300
CED510,84,97,218,307,319,211,66,20,3,1318,2874,3543,6423,8981,9804,7735,1813,117,9,41304,17,35,63,60,115,75,31,10,0,402,28,172,886,1340,1233,696,128,9,0,4499,190,224,426,618,819,779,214,17,0,3290,16,33,159,279,292,198,48,0,0,1020,403,734,1744,2378,2130,1570,370,19,3,9363,52,124,272,403,538,435,124,7,0,1963,1445,1407,958,879,1104,1056,334,33,5,7219,1976,893,503,432,358,300,101,7,0,4582,60,120,333,469,595,573,215,21,0,2381,67,94,117,193,192,142,32,10,0,841,25,126,409,780,801,558,146,12,0,2860,16,75,209,284,315,285,114,13,3,1315,85,509,1153,2019,1988,1195,419,50,3,7422,70,210,350,476,571,469,169,21,0,2343,50,224,758,1315,1492,1247,283,14,0,5394,210,482,1256,2046,2654,2221,525,36,0,9433,194,915,1917,2376,2757,2537,646,47,0,11391,302,268,234,260,260,176,67,5,0,1567
