CED_CODE_2021,F_Mgmt_Cmrce_35_44_yr,F_Mgmt_Cmrce_45_54_yr,F_Mgmt_Cmrce_55_64_yr,F_Mgmt_Cmrce_65_74_yr,F_Mgmt_Cmrce_75_84_yr,F_Mgmt_Cmrce_85_yr_over,F_Mgmt_Cmrce_Tot,F_Scty_Cul_15_24_yr,F_Scty_Cul_25_34_yr,F_Scty_Cul_35_44_yr,F_Scty_Cul_45_54_yr,F_Scty_Cul_55_64_yr,F_Scty_Cul_65_74_yr,F_Scty_Cul_75_84_yr,F_Scty_Cul_85_yr_over,F_Scty_Cul_Tot,F_Crtve_Arts_15_24_yr,F_Crtve_Arts_25_34_yr,F_Crtve_Arts_35_44_yr,F_Crtve_Arts_45_54_yr,F_Crtve_Arts_55_64_yr,F_Crtve_Arts_65_74_yr,F_Crtve_Arts_75_84_yr,F_Crtve_Arts_85_yr_over,F_Crtve_Arts_Tot,F_FoodHos_PsnlSvcs_15_24_yr,F_FoodHos_PsnlSvcs_25_34_yr,F_FoodHos_PsnlSvcs_35_44_yr,F_FoodHos_PsnlSvcs_45_54_yr,F_FoodHos_PsnlSvcs_55_64_yr,F_FoodHos_PsnlSvcs_65_74_yr,F_FoodHos_PsnlSvcs_75_84_ye,F_FoodHos_PsnlSvcs_85_over,F_FoodHos_PsnlSvcs_Tot,F_Mix_Fld_Prog_15_24_yr,F_Mix_Fld_Prog_25_34_yr,F_Mix_Fld_Prog_35_44_yr,F_Mix_Fld_Prog_45_54_yr,F_Mix_Fld_Prog_55_64_yr,F_Mix_Fld_Prog_65_74_yr,F_Mix_Fld_Prog_75_84_yr,F_Mix_Fld_Prog_85_yr_over,F_Mix_Fld_Prog_Tot,F_Fld_stud_inad_desc_15_24,F_Fld_stud_inad_desc_25_34,F_Fld_stud_inad_desc_35_44,F_Fld_stud_inad_desc_45_54,F_Fld_stud_inad_desc_55_64,F_Fld_stud_inad_desc_65_74,F_Fld_stud_inad_desc_75_84,F_Fld_stud_inad_desc_85_over,F_Fld_stud_inad_desc_Tot,F_Fld_stud_ns_15_24_yr,F_Fld_stud_ns_25_34_yr,F_Fld_stud_ns_35_44_yr,F_Fld_stud_ns_45_54_yr,F_Fld_stud_ns_55_64_yr,F_Fld_stud_ns_65_74_yr,F_Fld_stud_ns_75_84_yr,F_Fld_stud_ns_85_yr_over,F_Fld_stud_ns_Tot,F_Tot_15_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Nat_Phy_Sci_15_24_yr,P_Nat_Phy_Sci_25_34_yr,P_Nat_Phy_Sci_35_44_yr,P_Nat_Phy_Sci_45_54_yr,P_Nat_Phy_Sci_55_64_yr,P_Nat_Phy_Sci_65_74_yr,P_Nat_Phy_Sci_75_84_yr,P_Nat_Phy_Sci_85_yr_over,P_Nat_Phy_Sci_Tot,P_IT_15_24_yr,P_IT_25_34_yr,P_IT_35_44_yr,P_IT_45_54_yr,P_IT_55_64_yr,P_IT_65_74_yr,P_IT_75_84_yr,P_IT_85_yr_over,P_IT_Tot,P_Egnr_rel_Tech_15_24_yr,P_Egnr_rel_Tech_25_34_yr,P_Egnr_rel_Tech_35_44_yr,P_Egnr_rel_Tech_45_54_yr,P_Egnr_rel_Tech_55_64_yr,P_Egnr_rel_Tech_65_74_yr,P_Egnr_rel_Tech_75_84_yr,P_Egnr_rel_Tech_85_yr_over,P_Egnr_rel_Tech_Tot,P_Arc_Bld_15_24_yr,P_Arc_Bld_25_34_yr,P_Arc_Bld_35_44_yr,P_Arc_Bld_45_54_yr,P_Arc_Bld_55_64_yr,P_Arc_Bld_65_74_yr,P_Arc_Bld_75_84_yr,P_Arc_Bld_85_yr_over,P_Arc_Bld_Tot,P_Agric_Env_Rel_Stud_15_24,P_Agric_Env_Rel_Stud_25_34,P_Agric_Env_Rel_Stud_35_44,P_Agric_Env_Rel_Stud_45_54,P_Agric_Env_Rel_Stud_55_64,P_Agric_Env_Rel_Stud_65_74,P_Agric_Env_Rel_Stud_75_84,P_Agric_Env_Rel_Stud_85_over,P_Agric_Envir_Rel_Stud_Tot,P_Hlth_15_24_yr,P_Hlth_25_34_yr,P_Hlth_35_44_yr,P_Hlth_45_54_yr,P_Hlth_55_64_yr,P_Hlth_65_74_yr,P_Hlth_75_84_yr,P_Hlth_85_yr_over,P_Hlth_Tot,P_Edu_15_24_yr,P_Edu_25_34_yr,P_Edu_35_44_yr,P_Edu_45_54_yr,P_Edu_55_64_yr,P_Edu_65_74_yr,P_Edu_75_84_yr,P_Edu_85_yr_over,P_Edu_Tot,P_Mgmt_Cmrce_15_24_yr,P_Mgmt_Cmrce_25_34_yr,P_Mgmt_Cmrce_35_44_yr,P_Mgmt_Cmrce_45_54_yr,P_Mgmt_Cmrce_55_64_yr,P_Mgmt_Cmrce_65_74_yr,P_Mgmt_Cmrce_75_84_yr,P_Mgmt_Cmrce_85_yr_over,P_Mgmt_Cmrce_Tot,P_Scty_Cul_15_24_yr,P_Scty_Cul_25_34_yr,P_Scty_Cul_35_44_yr,P_Scty_Cul_45_54_yr,P_Scty_Cul_55_64_yr,P_Scty_Cul_65_74_yr,P_Scty_Cul_75_84_yr,P_Scty_Cul_85_yr_over,P_Scty_Cul_Tot,P_Crtve_Arts_15_24_yr,P_Crtve_Arts_25_34_yr,P_Crtve_Arts_35_44_yr,P_Crtve_Arts_45_54_yr,P_Crtve_Arts_55_64_yr,P_Crtve_Arts_65_74_yr,P_Crtve_Arts_75_84_yr,P_Crtve_Arts_85_yr_over,P_Crtve_Arts_Tot,P_FoodHos_PsnlSvcs_15_24,P_FoodHos_PsnlSvcs_25_34,P_FoodHos_PsnlSvcs_35_44,P_FoodHos_PsnlSvcs_45_54,P_FoodHos_PsnlSvcs_55_64,P_FoodHos_PsnlSvcs_65_74,P_FoodHos_PsnlSvcs_75_84,P_FoodHos_PsnlSvcs_85_over,P_FoodHos_PsnlSvcs_Tot,P_Mix_Fld_Prog_15_24_yr,P_Mix_Fld_Prog_25_34_yr,P_Mix_Fld_Prog_35_44_yr,P_Mix_Fld_Prog_45_54_yr,P_Mix_Fld_Prog_55_64_yr,P_Mix_Fld_Prog_65_74_yr,P_Mix_Fld_Prog_75_84_yr,P_Mix_Fld_Prog_85_yr_over,P_Mix_Fld_Prog_Tot,P_Fld_stud_inad_desc_15_24,P_Fld_stud_inad_desc_25_34,P_Fld_stud_inad_desc_35_44,P_Fld_stud_inad_desc_45_54,P_Fld_stud_inad_desc_55_64,P_Fld_stud_inad_desc_65_74,P_Fld_stud_inad_desc_75_84,P_Fld_stud_inad_desc_85_over,P_Fld_stud_inad_desc_Tot,P_Fld_stud_ns_15_24_yr,P_Fld_stud_ns_25_34_yr,P_Fld_stud_ns_35_44_yr,P_Fld_stud_ns_45_54_yr,P_Fld_stud_ns_55_64_yr,P_Fld_stud_ns_65_74_yr,P_Fld_stud_ns_75_84_yr,P_Fld_stud_ns_85_yr_over,P_Fld_stud_ns_Tot,P_Tot_15_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr
CED501,2279,1749,1109,538,216,55,8551,713,1602,1726,1538,1076,463,122,16,7256,257,323,293,161,81,55,32,10,1212,586,1130,850,582,355,172,78,16,3777,31,22,16,15,11,5,0,4,108,45,112,124,103,64,32,15,5,501,659,861,744,575,444,448,455,290,4489,4247,9412,9691,7612,5141,2754,1344,496,40692,151,384,407,350,239,127,48,6,1714,246,540,666,332,143,57,16,0,1991,1190,3181,3361,3074,2602,1587,820,191,16001,399,968,819,777,603,408,241,77,4299,98,282,327,264,167,103,40,16,1292,688,1777,1787,1507,1159,637,264,62,7878,445,1256,1550,1334,1003,541,212,46,6391,975,2690,3297,2590,1699,850,336,82,12523,1029,2078,2222,1975,1350,632,198,27,9511,463,520,451,260,148,105,47,10,2001,779,1522,1277,912,547,288,142,29,5492,66,36,21,20,18,5,5,4,167,103,256,286,270,179,90,37,11,1242,1468,1885,1676,1307,988,874,809,478,9486,8100,17364,18137,14965
CED502,2767,1648,1017,529,199,45,9197,652,1551,1836,1268,932,449,116,18,6813,285,395,354,179,81,44,27,11,1372,518,903,761,445,244,172,68,6,3125,42,20,7,6,9,11,8,0,97,49,141,172,84,55,37,10,7,558,676,947,874,586,476,479,453,340,4826,4172,10247,10939,6540,4469,2781,1303,541,40989,204,583,680,393,252,143,45,6,2314,271,820,1248,417,162,59,7,4,2986,911,2992,3833,2679,2127,1539,720,159,14951,342,917,744,502,429,386,206,59,3585,106,252,283,201,156,91,32,9,1121,685,2123,2110,1192,873,620,257,66,7939,383,1139,1275,1017,815,525,206,53,5412,1201,3457,4544,2611,1607,900,359,67,14748,951,2052,2487,1694,1236,658,193,32,9303,489,644,558,277,127,95,45,13,2249,723,1457,1326,747,447,284,112,17,5116,66,39,21,15,13,15,13,0,179,111,306,346,223,148,101,53,13,1299,1422,1944,1839,1351,1024,921,769,541,9829,7860,18726,21303,13322
CED503,1615,1540,1229,785,366,58,7417,557,1140,1318,1134,1058,563,155,20,5947,170,220,201,159,116,99,47,19,1038,435,851,642,567,360,303,115,14,3295,27,14,15,7,7,7,0,0,81,29,50,78,60,60,26,19,5,326,491,535,566,553,474,581,667,498,4366,3218,6486,7089,6548,5598,4025,2093,820,35875,98,226,311,281,239,176,75,11,1410,162,257,305,167,123,81,21,0,1127,899,2206,2446,2447,2637,2257,1138,268,14297,295,802,662,701,678,564,345,80,4121,129,247,348,343,238,158,95,21,1577,519,1236,1194,1218,1306,975,456,127,7026,337,950,1193,1272,1164,943,384,97,6348,802,1637,2182,2177,1841,1301,656,113,10700,761,1410,1628,1407,1307,809,266,49,7641,315,326,277,225,170,167,85,30,1593,540,1080,945,809,572,444,187,32,4602,64,17,16,11,18,6,4,0,135,66,128,177,184,159,107,54,19,899,992,1053,1139,1170,998,1158,1205,782,8501,5975,11572,12807,12404
CED504,2449,1717,1224,674,270,63,9399,630,1455,1542,1207,970,533,145,17,6500,251,469,403,193,115,79,29,12,1557,457,932,712,507,353,222,73,14,3268,28,22,8,6,15,15,6,0,97,41,139,124,89,77,48,14,0,533,583,882,799,576,511,519,477,279,4626,3982,10197,9230,6785,5295,3524,1592,523,41124,285,670,658,462,364,221,73,14,2740,237,755,835,479,231,89,16,3,2637,762,2833,2507,2114,2271,1865,884,211,13444,380,1197,961,657,620,474,271,74,4638,81,254,239,179,120,93,28,11,1006,781,2284,1594,1137,954,728,321,84,7879,330,1223,1180,1240,1082,765,345,51,6211,1295,3778,4014,2756,2037,1270,537,102,15790,976,2149,2134,1733,1371,829,248,31,9475,495,809,688,346,237,151,51,20,2785,645,1427,1172,865,595,356,128,28,5208,55,36,17,16,17,19,16,5,177,91,278,267,211,190,118,46,15,1215,1264,1820,1693,1278,1063,964,856,417,9349,7677,19514,17959,13456
CED505,2944,2685,1599,926,481,206,11752,609,1641,1855,1695,1262,967,464,153,8653,329,714,589,467,258,182,136,44,2719,219,444,337,325,219,175,103,43,1869,12,10,11,7,11,15,11,0,76,54,129,141,154,111,91,65,25,770,426,643,603,424,364,468,537,544,4008,3744,10608,11156,10241,7753,5805,3471,1691,54453,724,1238,1147,1097,949,721,380,96,6351,133,384,654,511,338,106,37,5,2165,586,2382,2644,2210,1837,1444,803,321,12232,232,1014,876,757,639,443,243,97,4305,102,285,341,281,224,117,100,36,1481,758,3388,3054,2960,2543,1764,1131,465,16060,265,1083,1228,1469,1611,1670,960,313,8606,1369,4008,5283,5173,3352,2112,1142,392,22844,1004,2545,2788,2687,2058,1687,813,244,13830,599,1127,914,680,413,304,185,52,4273,319,662,552,487,323,258,162,55,2813,28,27,13,16,14,25,12,3,136,94,241,259,269,192,151,109,31,1349,798,1287,1189,890,739,861,941,827,7521,7004,19672,20947,19494
CED506,2294,1816,1695,970,233,47,9990,486,1359,1381,1252,1170,732,127,10,6514,152,412,318,226,190,111,40,8,1451,428,946,755,687,426,293,90,12,3624,27,20,12,7,10,13,0,0,90,46,84,113,113,104,59,17,7,542,1892,2998,2439,2400,2266,1729,838,313,14879,5083,12600,11453,9994,9496,6565,2048,514,57752,204,735,648,461,362,274,60,0,2746,111,277,308,196,158,111,14,0,1178,1488,6178,6021,5191,4578,3179,927,146,27707,372,1522,1388,1103,1143,922,270,35,6759,313,687,825,784,655,442,123,13,3849,626,2307,1941,1795,2113,1532,459,83,10850,357,1581,1858,1846,1920,1599,393,47,9599,1010,2983,3451,2911,2743,1761,443,75,15383,682,1858,1899,1699,1629,1063,244,22,9094,238,611,490,340,275,217,68,8,2236,595,1350,1249,1138,765,454,154,14,5719,44,35,18,14,22,12,3,3,159,101,256,364,339,307,162,53,13,1596,4345,8535,8243,7847,6647,3978,1799,544,41940,10490,28921,28689,25669
CED507,1700,1504,1185,715,241,67,7444,521,928,1334,1309,1027,644,156,18,5931,154,309,313,257,191,130,67,24,1441,347,713,647,556,347,221,84,15,2930,25,13,5,11,6,8,3,5,71,33,65,101,90,79,49,24,7,447,502,639,663,638,641,649,551,383,4661,3066,6582,8186,7517,6319,4374,1929,746,38711,72,264,448,415,308,274,98,13,1891,144,233,270,161,128,82,17,5,1022,797,2097,2501,2477,2272,1841,821,184,12983,326,918,915,823,806,590,260,70,4707,211,345,586,528,406,256,123,39,2500,492,1350,1700,1493,1609,1097,504,155,8388,298,855,1482,1658,1480,1197,459,101,7534,798,1942,2338,2233,1839,1244,462,97,10957,706,1201,1645,1617,1308,915,256,48,7686,256,429,446,360,271,204,95,26,2088,481,1025,1033,869,584,361,127,23,4500,48,24,9,15,17,9,12,5,138,70,129,223,220,189,122,46,18,1016,1076,1371,1420,1444,1330,1304,988,614,9550,5770,12183,15007,14314
CED508,2462,1876,1262,625,207,65,9093,559,1616,1688,1425,1164,709,202,29,7400,308,637,593,383,270,150,57,15,2408,378,777,637,550,322,225,57,12,2956,27,16,7,11,4,4,4,0,66,47,121,134,119,81,53,21,3,580,446,668,603,521,427,485,426,477,4056,3636,10376,10473,8296,6199,3784,1550,752,45073,291,807,880,679,514,282,110,16,3568,196,456,754,403,197,70,20,0,2098,776,3002,3319,2742,2358,1632,714,189,14738,282,1050,980,747,637,428,209,61,4394,119,334,409,322,249,151,58,9,1658,711,2837,2341,1804,1415,847,320,77,10360,389,1395,1502,1521,1305,933,340,76,7459,1027,3150,3934,3137,2173,1208,420,101,15145,896,2369,2308,1993,1621,1056,319,54,10615,541,1018,952,587,417,266,92,17,3891,488,1071,969,841,503,328,92,23,4318,43,25,19,13,12,13,8,0,127,91,252,287,271,176,118,35,12,1245,918,1409,1374,1154,919,947,836,735,8291,6780,19176,20029,16215
CED509,2423,1864,1212,652,264,78,9055,563,1397,1584,1341,1021,572,183,31,6694,236,406,384,256,174,128,54,6,1653,496,944,690,525,322,197,87,15,3280,30,19,10,11,9,5,3,0,87,30,116,142,107,80,55,24,3,556,509,650,667,553,415,409,449,406,4060,3595,8995,9538,7817,5639,3591,1788,752,41725,199,471,586,555,340,270,111,23,2557,174,531,678,382,183,80,13,0,2042,906,2872,3100,2892,2514,1823,929,203,15233,329,879,761,675,547,435,225,55,3894,119,288,322,324,231,156,67,16,1517,632,1823,1774,1464,1266,813,398,118,8285,307,1269,1436,1494,1246,962,448,101,7264,1023,2794,3772,2876,1940,1142,483,120,14161,862,1900,2125,1848,1376,869,308,53,9340,444,660,646,416,271,210,85,18,2746,634,1307,1177,794,524,297,127,22,4888,59,28,12,18,15,13,11,0,157,72,236,328,268,198,122,64,15,1302,1050,1438,1451,1226,946,818,799,607,8344,6810,16503,18161,15231
CED510,2510,2426,1756,1051,359,106,10113,509,982,1418,1324,1052,666,169,31,6146,285,355,444,269,160,120,45,16,1693,345,553,583,549,389,263,97,25,2801,29,8,0,7,14,8,0,4,69,40,68,113,105,74,46,17,7,465,240,343,392,373,317,344,390,347,2738,3047,6578,9483,9131,7275,4640,1808,725,42687,243,481,718,719,526,356,135,23,3204,179,319,630,574,380,142,20,0,2245,626,1949,2673,2757,2920,2502,979,241,14654,288,1060,1258,1117,929,652,227,55,5575,84,195,318,260,201,104,48,13,1234,624,1760,1996,2008,1844,1071,431,105,9842,368,1079,1676,2012,1904,1402,483,109,9022,1126,2049,4000,4186,3159,2143,734,176,17585,840,1439,1954,1846,1502,1052,292,47,8975,576,596,681,443,259,197,75,22,2837,427,705,776,774,598,386,139,28,3828,61,11,3,6,17,14,3,4,116,79,121,216,244,175,126,58,19,1044,572,734,874,831,667,678,643,537,5523,6081,12497,17774,17785
