CED_CODE_2021,Neg_Nil_Inc_Family_hholds,Neg_Nil_Inc_Non_fam_household,Neg_Nil_Inc_Tot,1_149_Family_hholds,1_149_NonFamHholds,1_149_Tot,150_299_Family_hholds,150_299_NonFamHholds,150_299_Tot,300_399_Family_hholds,300_399_NonFamHholds,300_399_Tot,400_499_Family_hholds,400_499_NonFamHholds,400_499_Tot,500_649_Family_hholds,500_649_NonFamHholds,500_649_Tot,650_799_Family_hholds,650_799_NonFamHholds,650_799_Tot,800_999_Family_hholds,800_999_NonFamHholds,800_999_Tot,1000_1249_Family_hholds,1000_1249_NonFamHholds,1000_1249_Tot,1250_1499_Family_hholds,1250_1499_NonFamHholds,1250_1499_Tot,1500_1749_Family_hholds,1500_1749_NonFamHholds,1500_1749_Tot,1750_1999_Family_hholds,1750_1999_NonFamHholds,1750_1999_Tot,2000_2499_Family_hholds,2000_2499_NonFamHholds,2000_2499_Tot,2500_2999_Family_hholds,2500_2999_NonFamHholds,2500_2999_Tot,3000_3499_Family_hholds,3000_3499_NonFamHholds,3000_3499_Tot,3500_3999_Family_hholds,3500_3999_NonFamHholds,3500_3999_Tot,4000orMore_Family_hholds,4000orMore_NonFamHholds,4000orMore_Tot,Part_Inc_st_Family_hholds,Part_Inc_st_NonFamHholds,Part_Inc_stated_Tot,All_Inc_NS_Family_hh,All_Inc_NS_NonFamily_hh,All_Inc_NS_Tot,Tot_Family_hholds,Tot_NonFamHholds,Tot_Tot
CED501,398,502,901,146,182,326,198,518,718,265,1100,1359,710,2571,3279,1050,1729,2783,2595,1027,3624,2398,1328,3728,2644,1566,4207,2980,1314,4295,2700,1180,3881,2773,849,3626,6098,1432,7532,4687,166,4855,3943,320,4263,2426,59,2486,5037,310,5340,5955,388,6339,488,593,1082,47493,17133,64629
CED502,472,596,1068,148,162,308,206,560,764,271,1190,1466,765,2603,3364,978,1626,2607,2675,1090,3757,2439,1452,3897,3106,1726,4829,3548,1334,4884,2987,1089,4077,3057,779,3832,6580,1092,7675,4758,144,4907,3700,240,3944,2013,57,2069,4028,265,4295,4375,353,4730,480,582,1060,46581,16948,63524
CED503,494,590,1077,211,206,415,207,605,815,270,1161,1427,813,3039,3852,1010,2039,3044,3259,1137,4391,2641,1209,3855,2782,1244,4027,2983,844,3825,1996,811,2807,2272,636,2904,4841,1140,5979,3676,106,3782,3162,278,3436,1868,53,1920,4988,393,5381,5379,261,5637,554,694,1251,43398,16426,59820
CED504,575,726,1302,195,223,417,241,733,977,311,1382,1694,938,3358,4300,1038,1614,2656,2971,1165,4137,2710,1581,4285,3216,1842,5060,3709,1551,5261,2939,1215,4156,2867,933,3799,6066,1381,7446,4504,188,4691,3451,331,3787,2202,80,2283,4930,383,5316,3916,409,4325,496,615,1108,47297,19717,67008
CED505,402,701,1104,179,313,490,166,645,820,145,1187,1330,442,2366,2802,508,1860,2367,1088,1395,2476,1261,1534,2798,1711,1748,3453,1996,1600,3591,1457,1466,2925,1801,1171,2972,3886,2459,6351,3255,290,3542,3343,783,4126,2490,172,2662,16372,1744,18112,3623,654,4281,276,528,798,44395,22596,66996
CED506,414,961,1374,180,348,529,276,898,1173,326,1499,1825,902,3025,3923,892,1838,2730,2446,2050,4502,2058,2299,4356,2219,2789,5007,2471,2548,5021,1912,1974,3890,2168,1954,4124,4952,3680,8634,4014,828,4845,3793,1380,5176,2479,443,2924,6938,2356,9296,5837,519,6359,817,2605,3417,45105,33999,79108
CED507,369,490,855,184,216,404,205,590,795,223,1205,1431,791,2876,3668,894,1846,2741,2756,1312,4070,2264,1433,3701,2800,1502,4305,3023,1155,4177,2209,911,3116,2410,739,3151,5153,1263,6414,3953,187,4142,3167,380,3547,1860,102,1963,4282,601,4881,4952,358,5307,440,760,1199,41933,17928,59859
CED508,375,614,990,152,224,382,189,675,869,217,1215,1430,614,2700,3319,681,1571,2250,1962,1118,3081,1753,1403,3155,2145,1687,3828,2449,1517,3967,2091,1311,3398,2237,1111,3357,5497,1888,7385,4524,266,4791,4218,533,4755,2851,89,2940,8131,794,8920,4067,536,4599,324,640,963,44486,19887,64367
CED509,342,523,866,151,189,342,202,492,695,187,890,1074,567,2063,2628,734,1306,2040,2075,874,2956,1899,1150,3049,2543,1431,3977,2994,1205,4198,2311,998,3309,2629,776,3409,6197,1195,7400,4879,144,5018,4003,302,4308,2579,49,2630,6576,340,6914,5076,304,5375,446,760,1210,46386,15001,61392
CED510,374,414,792,193,173,368,183,398,580,175,712,888,597,1769,2367,570,1319,1885,1805,903,2705,1816,959,2775,2303,1038,3345,2466,856,3319,1953,758,2711,2064,628,2690,4953,1081,6036,4335,134,4464,4384,300,4686,3058,60,3119,10709,381,11091,4353,255,4605,396,420,813,46694,12543,59235
