CED_CODE_2021,M_PG_Deg_15_24_yr,M_PG_Deg_25_34_yr,M_PG_Deg_35_44_yr,M_PG_Deg_45_54_yr,M_PG_Deg_55_64_yr,M_PG_Deg_65_74_yr,M_PG_Deg_75_84_yr,M_PG_Deg_85_yr_over,M_PG_Deg_Tot,M_Grad_Dip_Cer_15_24,M_Grad_Dip_Cer_25_34,M_Grad_Dip_Cer_35_44,M_Grad_Dip_Cer_45_54,M_Grad_Dip_Cer_55_64,M_Grad_Dip_Cer_65_74,M_Grad_Dip_Cer_75_84,M_Grad_Dip_Cer_85_over,M_Grad_Dip_Cer_Tot,M_B_Deg_15_24_yr,M_B_Deg_25_34_yr,M_B_Deg_35_44_yr,M_B_Deg_45_54_yr,M_B_Deg_55_64_yr,M_B_Deg_65_74_yr,M_B_Deg_75_84_yr,M_B_Deg_85_yr_over,M_B_Deg_Tot,M_Adv_Dip_Dip_15_24_yr,M_Adv_Dip_Dip_25_34_yr,M_Adv_Dip_Dip_35_44_yr,M_Adv_Dip_Dip_45_54_yr,M_Adv_Dip_Dip_55_64_yr,M_Adv_Dip_Dip_65_74_yr,M_Adv_Dip_Dip_75_84_yr,M_Adv_Dip_Dip_85_yr_over,M_Adv_Dip_Dip_Total,M_Cer_III_IV_15_24_yr,M_Cer_III_IV_25_34_yr,M_Cer_III_IV_35_44_yr,M_Cer_III_IV_45_54_yr,M_Cer_III_IV_55_64_yr,M_Cer_III_IV_65_74_yr,M_Cer_III_IV_75_84_yr,M_Cer_III_IV_85_yr_over,M_Cer_III_IV_Tot,M_Cer_I_II_15_24_yr,M_Cer_I_II_25_34_yr,M_Cer_I_II_35_44_yr,M_Cer_I_II_45_54_yr,M_Cer_I_II_55_64_yr,M_Cer_I_II_65_74_yr,M_Cer_I_II_75_84_yr,M_Cer_I_II_85_yr_over,M_Cer_I_II_Tot,M_Cer_nfd_15_24_yr,M_Cer_nfd_25_34_yr,M_Cer_nfd_35_44_yr,M_Cer_nfd_45_54_yr,M_Cer_nfd_55_64_yr,M_Cer_nfd_65_74_yr,M_Cer_nfd_75_84_yr,M_Cer_nfd_85_yr_over,M_Cer_nfd_Tot,M_Cer_Tot_15_24_yr,M_Cer_Tot_25_34_yr,M_Cer_Tot_35_44_yr,M_Cer_Tot_45_54_yr,M_Cer_Tot_55_64_yr,M_Cer_Tot_65_74_yr,M_Cer_Tot_75_84_yr,M_Cer_Tot_85_yr_over,M_Cer_Tot_Tot,M_lvl_educ_inad_desc_15_24,M_lvl_educ_inad_desc_25_34,M_lvl_educ_inad_desc_35_44,M_lvl_educ_inad_desc_45_54,M_lvl_educ_inad_desc_55_64,M_lvl_educ_inad_desc_65_74,M_lvl_educ_inad_desc_75_84,M_lvl_educ_inad_desc_85ov,M_lvl_educ_inad_desc_Tot,M_lvl_educ_ns_15_24,M_lvl_educ_ns_25_34,M_lvl_educ_ns_35_44,M_lvl_educ_ns_45_54,M_lvl_educ_ns_55_64,M_lvl_educ_ns_65_74,M_lvl_educ_ns_75_84,M_lvl_educ_ns_85_yr_over,M_lvl_educ_ns_Tot,M_Tot_15_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_PG_Deg_15_24_yr,F_PG_Deg_25_34_yr,F_PG_Deg_35_44_yr,F_PG_Deg_45_54_yr,F_PG_Deg_55_64_yr,F_PG_Deg_65_74_yr,F_PG_Deg_75_84_yr,F_PG_Deg_85_yr_over,F_PGuate_Deg_Tot,F_Grad_Dip_Cer_15_24_yr,F_Grad_Dip_Cer_25_34_yr,F_Grad_Dip_Cer_35_44_yr,F_Grad_Dip_Cer_45_54_yr,F_Grad_Dip_Cer_55_64_yr,F_Grad_Dip_Cer_65_74_yr,F_Grad_Dip_Cer_75_84_yr,F_Grad_Dip_Cer_85_yr_over,F_Grad_Dip_Cer_Tot,F_B_Deg_15_24_yr,F_B_Deg_25_34_yr,F_B_Deg_35_44_yr,F_B_Deg_45_54_yr,F_B_Deg_55_64_yr,F_B_Deg_65_74_yr,F_B_Deg_75_84_yr,F_B_Deg_85_yr_over,F_B_Deg_Tot,F_Adv_Dip_Dip_15_24,F_Adv_Dip_Dip_25_34,F_Adv_Dip_Dip_35_44,F_Adv_Dip_Dip_45_54,F_Adv_Dip_Dip_55_64,F_Adv_Dip_Dip_65_74,F_Adv_Dip_Dip_75_84,F_Adv_Dip_Dip_85_over,F_Adv_Dip_Dip_Total,F_Cer_III_IV_15_24_yr,F_Cer_III_IV_25_34_yr,F_Cer_III_IV_35_44_yr,F_Cer_III_IV_45_54_yr,F_Cer_III_IV_55_64_yr,F_Cer_III_IV_65_74_yr,F_Cer_III_IV_75_84_yr,F_Cer_III_IV_85_yr_over,F_Cer_III_IV_Tot,F_Cer_I_II_15_24_yr,F_Cer_I_II_25_34_yr,F_Cer_I_II_35_44_yr,F_Cer_I_II_45_54_yr,F_Cer_I_II_55_64_yr,F_Cer_I_II_65_74_yr,F_Cer_I_II_75_84_yr,F_Cer_I_II_85_yr_over,F_Cer_I_II_Tot,F_Cer_nfd_15_24_yr,F_Cer_nfd_25_34_yr,F_Cer_nfd_35_44_yr,F_Cer_nfd_45_54_yr,F_Cer_nfd_55_64_yr,F_Cer_nfd_65_74_yr,F_Cer_nfd_75_84_yr,F_Cer_nfd_85_yr_over,F_Cer_nfd_Tot,F_Cer_Tot_15_24_yr,F_Cer_Tot_25_34_yr,F_Cer_Tot_35_44_yr,F_Cer_Tot_45_54_yr,F_Cer_Tot_55_64_yr,F_Cer_Tot_65_74_yr,F_Cer_Tot_75_84_yr,F_Cer_Tot_85_yr_over,F_Cer_Tot_Tot,F_lvl_educ_inad_desc_15_24,F_lvl_educ_inad_desc_25_34,F_lvl_educ_inad_desc_35_44,F_lvl_educ_inad_desc_45_54,F_lvl_educ_inad_desc_55_64,F_lvl_educ_inad_desc_65_74,F_lvl_educ_inad_desc_75_84,F_lvl_educ_inad_desc_85ov,F_lvl_educ_inad_desc_Tot,F_lvl_educ_ns_15_24_yr,F_lvl_educ_ns_25_34_yr,F_lvl_educ_ns_35_44_yr,F_lvl_educ_ns_45_54_yr,F_lvl_educ_ns_55_64_yr,F_lvl_educ_ns_65_74_yr,F_lvl_educ_ns_75_84_yr,F_lvl_educ_ns_85_yr_over,F_lvl_educ_ns_Tot,F_Tot_15_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_PG_Deg_15_24_yr,P_PG_Deg_25_34_yr
CED501,19,210,478,303,215,105,66,5,1391,8,99,139,141,116,70,11,8,594,269,1088,1485,1030,543,373,130,24,4944,233,865,1263,1244,960,514,188,51,5323,1796,4390,3925,3654,3111,1863,1003,238,19980,641,280,102,73,55,34,13,0,1203,94,131,166,173,136,137,71,10,927,2529,4796,4201,3904,3305,2037,1086,246,22109,46,61,100,89,78,53,33,10,473,747,835,781,638,498,404,353,188,4448,3847,7956,8453,7356,5713,3555,1873,539,39287,19,425,607,341,177,80,14,0,1667,56,339,438,354,224,94,26,0,1533,525,2334,2585,1662,898,500,193,41,8738,481,1551,1875,1697,1158,558,220,55,7591,1750,3266,2751,2224,1524,569,139,31,12245,623,412,265,216,168,81,27,4,1800,133,193,319,399,325,197,106,20,1696,2504,3873,3341,2835,2024,841,273,56,15743,35,78,85,78,97,88,53,27,532,635,808,761,644,566,582,567,321,4890,4247,9412,9691,7612,5141,2754,1344,496,40692,34,630
CED502,34,544,1246,507,258,138,50,5,2786,14,117,224,155,91,83,23,4,697,421,1877,2634,1304,697,402,159,34,7520,364,1262,1627,1063,728,481,193,39,5750,1540,3314,3315,2682,2407,1828,854,181,16126,524,262,135,85,38,32,12,4,1092,80,134,167,151,133,116,63,20,863,2147,3704,3616,2922,2580,1980,928,202,18079,36,89,132,105,75,50,38,17,545,686,884,883,724,516,432,332,202,4650,3690,8474,10364,6778,4951,3559,1716,502,40035,41,991,1253,461,198,77,16,0,3040,39,342,438,246,189,85,28,0,1370,640,3375,3671,1630,866,522,182,37,10920,473,1547,1828,1329,989,526,205,60,6955,1583,2496,2249,1668,1177,588,150,17,9930,577,299,243,182,143,73,30,4,1555,114,191,275,333,258,204,89,22,1492,2281,2991,2766,2186,1574,866,268,48,12985,38,88,126,86,81,87,41,7,550,656,916,871,609,575,612,555,386,5171,4172,10247,10939,6540,4469,2781,1303,541,40989,73,1538
CED503,15,97,246,255,229,190,80,8,1134,3,56,96,116,122,100,42,3,538,192,643,834,779,681,649,264,61,4095,162,467,745,853,865,737,430,78,4342,1363,3123,3036,3064,3200,2589,1341,323,18039,480,147,83,62,54,34,16,4,883,64,74,112,137,144,162,114,33,844,1904,3345,3232,3259,3401,2785,1477,361,19769,25,42,68,61,66,89,64,22,439,463,438,492,524,484,578,528,280,3783,2756,5082,5716,5855,5854,5136,2878,817,34099,17,207,363,281,212,117,34,5,1243,29,241,309,328,267,172,42,13,1396,349,1590,1787,1460,1020,750,316,63,7335,315,1094,1361,1406,1379,918,350,98,6919,1402,2335,2145,1901,1499,759,226,42,10308,469,254,223,176,176,133,41,10,1485,132,164,254,335,351,265,145,34,1684,1998,2753,2624,2408,2030,1160,413,85,13470,40,49,69,70,110,107,95,17,548,471,552,581,597,585,795,835,543,4960,3218,6486,7089,6548,5598,4025,2093,820,35875,33,308
CED504,58,891,821,477,305,228,83,8,2864,10,176,203,196,132,96,41,6,856,685,2607,2462,1482,1056,705,272,52,9317,419,1269,1332,1057,890,731,330,57,6087,1338,3107,2718,2503,2631,1949,974,239,15453,432,202,122,96,79,42,15,4,988,84,135,149,175,175,149,72,18,951,1851,3448,2989,2770,2882,2134,1056,258,17393,40,95,114,97,82,73,43,17,558,625,839,810,604,511,448,389,145,4363,3698,9315,8728,6675,5855,4414,2215,531,41440,77,1043,992,421,240,99,28,3,2907,54,470,471,347,251,144,52,0,1790,948,3758,3191,1834,1098,794,282,52,11950,519,1595,1533,1346,1180,755,287,64,7283,1234,1942,1687,1564,1244,616,157,36,8479,415,211,211,195,152,95,33,3,1320,121,195,265,383,410,247,117,28,1771,1771,2348,2163,2144,1805,962,299,71,11569,44,103,103,103,116,122,69,23,672,573,881,788,594,600,648,579,307,4965,3982,10197,9230,6785,5295,3524,1592,523,41124,141,1933
CED505,154,1591,2212,2078,1577,1107,592,173,9480,20,330,460,505,413,215,113,26,2080,1472,3995,4068,3892,2909,2239,1038,267,19885,272,751,975,1024,874,809,604,187,5498,685,1578,1314,1087,1131,809,560,232,7392,235,80,55,38,28,22,10,0,471,44,68,78,120,114,109,78,30,643,961,1730,1447,1236,1273,942,649,262,8500,39,84,97,96,61,102,85,29,590,349,591,530,421,384,446,458,304,3486,3269,9066,9796,9251,7481,5859,3540,1251,49516,148,1950,2370,1898,1172,707,232,58,8534,55,647,774,912,714,501,202,41,3855,1749,5342,5282,4534,2912,2004,1077,386,23290,324,920,1121,1382,1463,1150,745,307,7415,716,835,703,649,565,376,154,62,4065,210,82,76,71,80,66,49,19,663,70,97,133,253,299,264,196,107,1428,998,1013,910,978,947,702,407,191,6150,36,74,111,103,89,135,104,69,726,432,653,587,443,450,590,698,638,4485,3744,10608,11156,10241,7753,5805,3471,1691,54453,300,3546
CED506,44,525,569,428,427,321,82,5,2396,7,150,221,230,222,190,22,3,1052,312,2066,1931,1466,1208,964,293,26,8263,156,916,1540,1583,1529,1213,340,35,7312,1861,6749,6850,6187,5648,3792,1110,164,32359,552,317,232,148,152,94,12,5,1516,83,160,224,241,272,288,85,23,1376,2494,7219,7304,6570,6077,4176,1208,182,35247,26,79,76,110,90,90,49,10,525,2366,5361,5593,5288,4284,2190,959,237,26272,5408,16322,17239,15682,13825,9139,2968,497,81074,44,689,660,431,426,256,42,0,2551,37,501,523,465,462,318,36,0,2337,714,3517,2975,2115,1687,1147,302,52,12503,318,1424,1611,1648,1909,1328,306,48,8589,1299,2736,2520,2214,1820,914,182,17,11703,662,501,381,274,247,156,32,0,2261,110,216,273,359,429,321,88,24,1827,2068,3456,3177,2854,2492,1395,305,43,15784,28,77,79,73,96,125,71,23,566,1870,2943,2423,2413,2410,2004,986,354,15416,5083,12600,11453,9994,9496,6565,2048,514,57752,85,1214
CED507,9,156,265,294,232,254,103,21,1340,0,65,152,171,151,117,37,9,704,120,897,1179,1173,945,841,303,75,5520,106,489,809,903,885,770,356,66,4393,1341,3074,3475,3262,3042,2249,945,218,17601,519,183,99,76,48,39,16,6,987,62,73,117,157,171,160,78,15,838,1915,3331,3696,3498,3267,2449,1039,245,19425,19,49,72,56,74,87,47,7,406,530,617,651,703,665,619,447,231,4464,2699,5598,6822,6791,6226,5136,2328,643,36251,15,278,434,324,253,186,48,0,1540,24,236,427,437,339,223,62,8,1760,299,1892,2509,2049,1375,955,374,95,9555,195,904,1302,1357,1432,967,371,118,6649,1446,2133,2284,2023,1536,714,189,32,10350,495,304,246,221,200,119,33,9,1626,96,139,255,375,355,266,104,22,1604,2037,2578,2783,2616,2086,1097,319,67,13580,19,50,75,70,72,116,56,23,489,477,645,655,664,758,825,686,430,5141,3066,6582,8186,7517,6319,4374,1929,746,38711,23,438
CED508,49,746,1198,835,666,429,138,28,4085,12,234,301,281,246,130,51,9,1274,628,2807,2735,1982,1327,845,284,52,10650,272,948,1328,1200,866,749,267,41,5665,1221,3048,2942,2687,2376,1633,755,204,14870,403,134,107,82,62,38,20,0,833,76,121,160,171,174,131,59,9,907,1699,3313,3210,2942,2605,1799,827,215,16611,47,86,100,89,89,80,37,21,552,436,661,691,596,486,468,402,266,4004,3144,8798,9557,7922,6287,4495,2017,622,42834,42,1156,1359,879,572,327,70,13,4419,52,597,707,590,448,238,51,5,2685,1030,4471,4135,2700,1667,977,351,75,15403,424,1285,1584,1563,1327,774,277,69,7311,1141,1824,1578,1404,1094,487,122,37,7677,393,188,174,161,135,70,30,10,1154,102,128,211,322,337,229,99,35,1461,1634,2136,1961,1890,1563,787,245,79,10294,31,75,111,88,104,96,52,15,570,423,664,614,582,513,589,505,497,4393,3636,10376,10473,8296,6199,3784,1550,752,45073,93,1897
CED509,23,326,697,453,318,272,139,21,2248,5,131,215,250,203,108,51,4,960,376,1428,1878,1502,966,786,303,67,7304,249,917,1383,1183,945,714,374,62,5826,1475,3708,3456,3132,2770,1907,934,203,17593,489,210,117,72,45,31,11,4,980,71,115,140,171,160,160,79,14,910,2041,4033,3713,3378,2973,2102,1027,219,19482,44,74,101,83,60,56,50,16,486,466,595,632,569,490,386,341,214,3696,3208,7503,8623,7410,5951,4420,2286,608,40004,31,628,851,542,366,184,55,7,2671,50,361,525,438,323,173,58,9,1928,594,2882,3004,2154,1223,851,357,87,11156,399,1469,1752,1649,1297,819,373,97,7855,1438,2495,2102,1776,1308,577,163,36,9882,449,269,232,198,121,91,40,7,1405,114,180,310,368,361,236,111,41,1723,2003,2938,2643,2344,1783,901,310,87,13008,36,80,112,87,118,94,64,24,609,489,642,656,595,534,567,565,440,4496,3595,8995,9538,7817,5639,3591,1788,752,41725,58,950
CED510,42,456,848,973,764,477,138,34,3731,18,145,308,371,276,216,59,5,1401,732,1798,2487,2494,1799,1285,429,70,11088,284,623,1186,1389,1353,1198,422,91,6543,1238,2366,2783,2693,3029,2360,965,213,15655,341,89,57,42,37,42,12,0,634,65,67,133,180,169,155,88,14,870,1635,2524,2977,2919,3236,2564,1069,229,17156,25,41,78,100,93,102,66,19,536,304,333,405,414,300,333,276,197,2558,3039,5919,8292,8651,7821,6178,2461,650,43004,56,599,1030,836,495,223,55,7,3302,42,371,679,683,574,264,64,9,2698,942,2898,4022,3144,1985,1246,365,84,14675,378,914,1468,1906,1805,1119,371,88,8052,963,1210,1428,1494,1274,634,173,45,7221,303,85,136,106,162,132,45,5,973,90,106,237,414,413,364,158,44,1824,1355,1399,1802,2017,1847,1132,375,95,10017,28,53,82,118,100,133,86,22,616,248,340,395,427,465,522,499,417,3317,3047,6578,9483,9131,7275,4640,1808,725,42687,92,1056
