CED_CODE_2021,Couple_fam_with_no_child_F,Couple_fam_with_no_child_P,Co_f_ch_u_15_de_st_no_de_ch_F,Co_f_ch_u_15_de_st_no_de_ch_P,Co_f_c_u_15_d_st_no_no_d_c_F,Co_f_c_u_15_d_st_no_no_d_c_P,Co_f_c_u_15_no_d_st_no_d_c_F,Co_f_c_u_15_no_d_st_no_d_c_P,Co_f_c_u_15_n_d_st_n_n_d_c_F,Co_f_c_u_15_n_d_st_n_n_d_c_P,Cou_fam_with_child_u_15_Tot_F,Cou_fam_with_child_u_15_Tot_P,Co_f_no_c_u_15_d_st_no_d_c_F,Co_f_no_c_u_15_d_st_no_d_c_P,Co_f_n_c_u_15_d_st_n_n_d_c_F,Co_f_n_c_u_15_d_st_n_n_d_c_P,Co_f_n_c_u_15_n_d_st_n_d_c_F,Co_f_n_c_u_15_n_d_st_n_d_c_P,Cou_fam_no_ch_u_15_Tot_F,Cou_fam_no_ch_u_15_Tot_P,Couple_family_Tot_F,Couple_family_Tot_P,OnePF_CU15_DS_no_de_c_F,OnePF_CU15_DS_no_de_c_P,OnePF_CU15_DS_no_no_d_c_F,OnePF_CU15_DS_no_no_d_c_P,OnePF_CU15_no_DS_no_d_c_F,OnePF_CU15_no_DS_no_d_c_P,OnePF_CU15_no_DS_n_n_d_c_F,OnePF_CU15_no_DS_n_n_d_c_P,OnePF_CU15_Tot_F,OnePF_CU15_Tot_P,OneFP_no_CU15_DS_no_d_c_F,OnePF_no_CU15_DS_no_d_c_P,OnePF_no_CU15_DS_n_n_d_c_F,OnePF_no_CU15_DS_n_n_d_c_P,OnePF_no_CU15_no_DS_n_d_c_F,OnePF_no_CU15_no_DS_n_d_c_P,OnePF_no_CU15_Tot_F,OnePF_no_CU15_Tot_P,OnePF_Tot_F,OnePF_Tot_P,Other_family_F,Other_family_P,Tot_F,Tot_P
CED501,16806,32816,483,2685,2175,9952,876,3917,12857,49014,16390,65566,1016,4165,1389,4559,3633,11290,6033,20017,22422,85589,146,686,649,2317,417,1483,3934,10772,5142,15256,330,1047,654,1449,2714,5833,3697,8329,8843,23587,628,1322,48703,143305
CED502,15000,29843,525,3152,2291,10877,734,3490,13934,54095,17495,71611,1075,4599,1434,4847,3608,11529,6114,20978,23603,92589,131,621,575,2068,360,1365,3446,9530,4513,13591,367,1204,642,1429,3079,6783,4092,9421,8607,23010,883,1875,48092,147318
CED503,19480,38116,349,1960,1657,7554,685,3042,9535,36774,12226,49329,833,3378,1273,4149,3380,10319,5491,17845,17714,67178,121,515,466,1687,315,1141,3009,8219,3911,11555,221,710,504,1123,2227,4724,2960,6561,6871,18114,478,986,44546,124392
CED504,17337,34581,430,2669,1928,9230,499,2325,11231,43138,14083,57361,1247,5342,1636,5665,4471,14381,7358,25389,21442,82754,155,771,543,1970,308,1126,3101,8404,4101,12273,440,1457,834,1890,3594,7946,4871,11298,8976,23569,1026,2192,48777,143097
CED505,18006,35336,174,909,2442,10939,167,712,11692,44665,14481,57219,1067,4408,2831,9973,2453,7638,6358,22017,20833,79238,49,200,466,1440,86,277,1939,4577,2534,6494,245,764,934,2139,1696,3536,2882,6440,5413,12933,634,1325,44895,128833
CED506,19356,37759,345,1891,1700,7539,767,3645,11957,46861,14775,59934,551,2192,956,2808,2863,8814,4373,13817,19149,73752,123,625,493,1750,482,1944,3376,9565,4471,13884,178,562,451,934,2252,5005,2884,6501,7354,20384,754,1680,46617,133579
CED507,18633,36446,302,1625,1806,7946,632,2744,9880,37991,12616,50310,683,2687,1142,3494,2735,8307,4560,14489,17176,64800,86,365,520,1692,286,984,2883,7620,3772,10652,201,607,496,1046,2024,4220,2728,5875,6501,16524,428,891,42737,118662
CED508,17256,33957,264,1412,1789,7964,448,1944,11802,44222,14307,55534,1018,4217,1753,5941,3323,10579,6094,20736,20398,76265,62,292,506,1635,232,793,2691,6660,3492,9374,335,1026,720,1596,2488,5378,3539,8001,7027,17373,664,1391,45346,128988
CED509,17226,33999,466,2604,2174,9948,633,2879,12867,49288,16142,64715,1144,4795,1675,5623,3775,11860,6593,22269,22735,86986,125,561,528,1837,322,1161,2847,7612,3821,11175,310,970,620,1396,2473,5331,3403,7698,7223,18874,613,1282,47797,141149
CED510,18299,36140,323,1686,2310,10278,471,2044,11746,45199,14850,59205,1422,5813,2429,8502,4435,13957,8289,28270,23135,87476,60,251,468,1508,140,449,1951,4858,2612,7074,321,988,665,1530,2090,4458,3074,6977,5688,14043,449,936,47569,138603
