CED_CODE_2021,F_Tot_LF_15_19_yr,F_Tot_LF_20_24_yr,F_Tot_LF_25_34_yr,F_Tot_LF_35_44_yr,F_Tot_LF_45_54_yr,F_Tot_LF_55_64_yr,F_Tot_LF_65_74_yr,F_Tot_LF_75_84_yr,F_Tot_LF_85_yr_over,F_Tot_LF_Tot,F_NILF_15_19_yr,F_NILF_20_24_yr,F_NILF_25_34_yr,F_NILF_35_44_yr,F_NILF_45_54_yr,F_NILF_55_64_yr,F_NILF_65_74_yr,F_NILF_75_84_yr,F_NILF_85_yr_over,F_NILF_Tot,F_LF_st_ns_15_19,F_LF_st_ns_20_24,F_LF_st_ns_25_34,F_LF_st_ns_35_44,F_LF_st_ns_45_54,F_LF_st_ns_55_64,F_LF_st_ns_65_74,F_LF_st_ns_75_84,F_LF_st_ns_85_yr_over,F_LF_st_ns_Total,F_Tot_15_19_yr,F_Tot_20_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Emp_wrk_Ft_15_19,P_Emp_wrk_Ft_20_24,P_Emp_wrk_Ft_25_34,P_Emp_wrk_Ft_35_44,P_Emp_wrk_Ft_45_54,P_Emp_wrk_Ft_55_64,P_Emp_wrk_Ft_65_74,P_Emp_wrk_Ft_75_84,P_Emp_wrk_Ft_85_yr_over,P_Emp_wrk_Ft_Tot,P_Emp_wrk_Pt_15_19,P_Emp_wrk_Pt_20_24,P_Emp_wrk_Pt_25_34,P_Emp_wrk_Pt_35_44,P_Emp_wrk_Pt_45_54,P_Emp_wrk_Pt_55_64,P_Emp_wrk_Pt_65_74,P_Emp_wrk_Pt_75_84,P_Emp_wrk_Pt_85_yr_over,P_Emp_wrk_Pt_Tot,P_Emp_a_f_wrk_15_19,P_Emp_a_f_wrk_20_24,P_Emp_a_f_wrk_25_34,P_Emp_a_f_wrk_35_44,P_Emp_a_f_wrk_45_54,P_Emp_a_f_wrk_55_64,P_Emp_a_f_wrk_65_74,P_Emp_a_f_wrk_75_84,P_Emp_a_f_wrk_85_yr_over,P_Emp_a_f_wrk_Tot,P_Hr_wrk_ns_15_19,P_Hr_wrk_ns_20_24,P_Hr_wrk_ns_25_34,P_Hr_wrk_ns_35_44,P_Hr_wrk_ns_45_54,P_Hr_wrk_ns_55_64,P_Hr_wrk_ns_65_74,P_Hr_wrk_ns_75_84,P_Hr_wrk_ns_85_yr_over,P_Hr_wrk_ns_Tot,P_Tot_emp_15_19,P_Tot_emp_20_24,P_Tot_emp_25_34,P_Tot_emp_35_44,P_Tot_emp_45_54,P_Tot_emp_55_64,P_Tot_emp_65_74,P_Tot_emp_75_84,P_Tot_emp_85_yr_over,P_Tot_emp_Tot,P_UE_lk_fr_Ft_wrk_15_19,P_UE_lk_fr_Ft_wrk_20_24,P_UE_lk_fr_Ft_wrk_25_34,P_UE_lk_fr_Ft_wrk_35_44,P_UE_lk_fr_Ft_wrk_45_54,P_UE_lk_fr_Ft_wrk_55_64,P_UE_lk_fr_Ft_wrk_65_74,P_UE_lk_fr_Ft_wrk_75_84,P_UE_lk_for_Ft_wrk_85_over,P_UE_looking_for_Ft_wk_Tot,P_UE_lk_for_Pt_wk_15_19,P_UE_lk_for_Pt_wk_20_24,P_UE_lk_for_Pt_wk_25_34,P_UE_lk_for_Pt_wk_35_44,P_UE_lk_for_Pt_wk_45_54,P_UE_lk_for_Pt_wk_55_64,P_UE_lk_for_Pt_wk_65_74,P_UE_lk_for_Pt_wk_75_84,P_UE_looking_for_Pt_wk_85ov,P_UE_lk_for_Pt_wrk_Tot,P_Tot_unemp_15_19,P_Tot_unemp_20_24,P_Tot_unemp_25_34,P_Tot_unemp_35_44,P_Tot_unemp_45_54,P_Tot_unemp_55_64,P_Tot_unemp_65_74,P_Tot_unemp_75_84,P_Tot_unemp_85_yr_over,P_Tot_unemp_Total,P_Tot_LF_15_19_yr,P_Tot_LF_20_24_yr,P_Tot_LF_25_34_yr,P_Tot_LF_35_44_yr,P_Tot_LF_45_54_yr,P_Tot_LF_55_64_yr,P_Tot_LF_65_74_yr,P_Tot_LF_75_84_yr,P_Tot_LF_85_yr_over,P_Tot_LF_Tot,P_NILF_15_19_yr,P_NILF_20_24_yr,P_NILF_25_34_yr,P_NILF_35_44_yr,P_NILF_45_54_yr,P_NILF_55_64_yr,P_NILF_65_74_yr,P_NILF_75_84_yr,P_NILF_85_yr_over,P_NILF_Tot,P_LF_st_ns_15_19,P_LF_st_ns_20_24,P_LF_st_ns_25_34,P_LF_st_ns_35_44,P_LF_st_ns_45_54,P_LF_st_ns_55_64,P_LF_st_ns_65_74,P_LF_st_ns_75_84,P_LF_st_ns_85_yr_over,P_LF_st_ns_Total,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
CED501,3322,4052,9320,9770,8997,5767,1026,61,5,42325,1894,912,3039,2772,2226,3557,5612,3518,1193,24718,243,263,625,529,410,288,286,310,250,3197,5458,5225,12988,13068,11637,9610,6927,3887,1447,70240,1186,4144,11501,12415,11667,7367,1011,38,0,49324,3865,3017,5021,5368,4612,3579,1121,119,8,26703,143,284,1174,787,706,686,168,5,3,3962,106,175,435,320,235,141,31,9,8,1463,5302,7618,18131,18888,17221,11776,2334,172,14,81452,365,515,756,586,547,393,40,9,0,3205,968,303,451,386,294,241,79,8,0,2725,1331,819,1201,972,837,628,124,13,3,5927,6633,8439,19331,19856,18057,12408,2454,186,16,87380,4187,1688,4370,3957,3490,5628,10070,6627,2058,42083,496,621,1351,1149,854,630,536,522,394,6558,11317,10751,25058,24962,22397,18658,13062,7337,2466,136023
CED502,2759,4073,9530,10414,7763,5364,1172,85,10,41165,2224,1137,3599,3466,2337,3314,5684,3303,1171,26224,258,283,713,637,432,324,311,296,272,3514,5238,5493,13839,14509,10533,9005,7169,3678,1446,70910,898,3793,12073,14469,10628,6795,1231,45,3,49934,3210,3515,5430,6137,4265,3437,1309,156,3,27469,144,210,895,730,461,465,139,13,0,3060,84,217,495,361,255,171,35,12,0,1632,4337,7733,18899,21690,15604,10864,2717,230,18,82087,286,530,871,730,631,411,66,0,0,3536,815,387,496,456,299,237,68,0,0,2763,1104,914,1366,1187,933,652,135,9,0,6298,5436,8653,20262,22882,16534,11515,2849,233,18,88382,4665,1935,4737,4550,3591,5138,10190,6155,1962,42926,523,580,1405,1295,969,694,600,501,415,6976,10626,11166,26400,28730,21092,17341,13647,6890,2393,138283
CED503,2810,3012,6431,7181,7734,6043,1358,121,14,34697,1545,688,2278,2103,1939,3875,7772,5018,1732,26952,189,176,393,401,392,323,315,407,357,2953,4542,3873,9097,9688,10069,10234,9447,5539,2094,64600,1050,2951,7484,8514,9504,6995,1267,98,3,37865,3275,2290,3664,4231,4148,4072,1659,257,18,23610,169,236,820,664,661,741,201,21,5,3507,97,134,301,245,214,169,68,27,7,1273,4587,5609,12268,13651,14526,11972,3196,401,34,66257,250,362,503,427,434,353,59,4,0,2391,589,190,287,248,217,274,76,12,0,1886,840,552,784,676,652,623,135,14,0,4275,5425,6158,13053,14331,15181,12600,3328,417,35,70531,3300,1150,2987,2918,2992,6099,14250,9721,3046,46462,384,348,729,768,793,658,671,712,547,5614,9108,7651,16768,18020,18967,19354,18252,10854,3626,122603
CED504,2636,4363,9970,9363,8508,6578,1669,117,3,43216,2038,966,2638,2628,2268,3860,7003,4572,1684,27642,199,247,635,579,394,328,343,311,201,3238,4870,5576,13242,12566,11171,10765,9011,4994,1892,74093,673,3648,12876,12262,10747,7986,1633,96,4,49920,3263,4064,5857,5735,4939,4515,1871,239,13,30502,115,229,827,609,443,489,193,16,0,2912,88,251,505,319,274,176,54,13,5,1695,4135,8186,20063,18929,16405,13172,3745,362,27,85030,217,435,704,611,587,450,48,4,0,3059,778,366,435,392,302,310,84,9,0,2671,994,802,1144,1004,891,753,134,11,0,5733,5129,8993,21214,19932,17298,13922,3877,377,27,90763,4448,1882,3698,3696,3632,6170,12471,8421,2845,47251,379,577,1282,1173,858,683,610,548,307,6410,9958,11452,26188,24801,21788,20774,16962,9337,3172,144434
CED505,2952,4514,10050,9788,9628,6575,2087,322,24,45942,2415,763,1339,2023,1909,2981,6002,5106,2773,25303,163,194,514,460,303,262,352,366,418,3023,5527,5469,11898,12268,11843,9810,8441,5801,3210,74273,350,2811,12760,12529,12668,8011,1859,216,13,51227,4233,4846,4787,5712,5379,4616,2739,635,58,33006,231,281,885,737,373,487,170,49,3,3224,46,101,263,184,157,89,47,30,10,933,4860,8038,18701,19162,18581,13207,4829,931,84,88387,61,206,350,308,422,293,62,8,0,1706,781,335,262,241,194,198,79,10,0,2097,837,545,616,547,615,491,140,18,0,3807,5703,8586,19311,19707,19197,13695,4960,948,88,92189,5253,1666,2142,2606,2709,4603,10254,8965,4362,42558,295,351,1002,886,631,528,662,675,630,5651,11252,10595,22453,23199,22536,18820,15881,10587,5075,140397
CED506,2673,3830,11101,10910,10580,9006,2406,272,15,50799,1944,1203,3252,2589,2393,5301,9098,3872,1079,30728,614,995,2692,2148,2076,1965,1409,648,229,12780,5231,6031,17040,15646,15054,16276,12908,4788,1327,94300,1607,5197,17413,17521,17310,13205,2922,272,23,75460,2888,1754,4656,5393,4781,4849,2169,383,31,26907,210,481,1965,2016,2031,2622,876,92,4,10296,137,225,591,476,399,324,131,68,9,2369,4838,7663,24626,25405,24525,21002,6095,802,69,115034,281,398,582,508,526,433,74,4,0,2818,367,167,297,293,276,271,93,10,6,1781,653,570,877,800,805,702,170,13,6,4597,5490,8230,25500,26210,25329,21705,6268,821,76,119633,4141,2166,5054,4247,4177,9009,18292,8222,1943,57242,1407,2299,7652,7380,7022,5900,3266,1390,394,36692,11035,12693,38203,37832,36529,36616,27821,10430,2409,213572
CED507,2912,2498,6396,8406,8766,6579,1620,170,13,37359,1392,505,1914,1836,1599,3494,6873,4221,1754,23587,198,171,518,466,487,496,451,334,243,3365,4502,3173,8834,10705,10856,10571,8948,4723,2009,64313,1226,2970,7892,9383,10394,7359,1447,127,8,40815,3450,1676,3758,5530,5220,4752,2184,304,28,26903,251,226,768,748,739,829,210,30,0,3813,119,112,239,253,218,144,50,28,7,1165,5045,4988,12662,15915,16575,13081,3894,488,49,72696,186,225,356,286,296,261,35,0,0,1655,435,155,219,216,201,209,64,8,0,1495,626,378,574,506,492,474,93,8,0,3147,5669,5361,13232,16426,17074,13557,3988,490,49,75842,3149,895,2614,2674,2554,5557,12578,7891,2844,40761,422,360,1043,974,1047,1007,899,621,386,6771,9243,6621,16894,20070,20673,20119,17470,9005,3283,123376
CED508,2775,4247,10227,10183,9165,6597,1607,121,9,44923,1497,672,1771,2021,1741,2907,5656,3609,1662,21533,132,206,509,440,371,295,289,304,258,2802,4398,5121,12510,12636,11279,9805,7546,4032,1927,69255,783,3521,13009,12997,11976,7842,1465,88,3,51675,3458,3799,5090,6062,4902,4410,1873,234,9,29859,122,227,1071,849,541,552,170,14,0,3552,62,124,312,242,201,134,43,10,6,1132,4430,7670,19485,20153,17624,12942,3552,345,20,86216,136,302,467,400,428,334,49,0,0,2114,731,345,318,277,238,246,80,8,0,2248,870,646,789,675,667,576,134,11,0,4366,5296,8315,20279,20826,18294,13522,3680,354,20,90582,3287,1261,2500,2716,2736,4616,10093,6665,2707,36586,290,423,1050,955,807,624,568,553,410,5672,8866,9996,23820,24504,21836,18764,14346,7569,3141,132844
CED509,3120,3821,9115,9734,9216,6468,1510,156,12,43151,1839,724,2496,2363,1971,3012,5579,3711,1392,23074,189,188,479,464,372,282,275,265,247,2754,5145,4725,12088,12564,11560,9757,7370,4125,1647,68983,1051,3767,11363,12741,12279,8187,1515,101,8,51012,3961,3131,4751,5541,4696,3979,1784,312,19,28172,165,206,1052,761,605,673,175,22,0,3652,93,196,397,267,207,133,54,16,4,1365,5260,7300,17560,19313,17785,12975,3526,450,30,84202,209,394,495,390,408,328,58,0,0,2281,732,241,293,277,206,192,78,6,0,2028,940,634,793,665,617,518,139,10,0,4307,6200,7933,18346,19973,18402,13491,3668,460,32,88513,4195,1475,3852,3678,3175,4796,10038,6954,2331,40494,366,364,965,940,794,599,511,469,381,5391,10761,9775,23166,24586,22374,18892,14217,7882,2742,134391
CED510,3365,3720,6643,9275,10087,7938,1859,123,8,43020,1589,426,1121,1635,1486,3193,7112,3907,1719,22184,79,80,257,235,228,200,185,223,176,1660,5034,4229,8015,11146,11801,11333,9151,4247,1905,66868,839,3266,8379,11430,13307,9355,1626,78,4,48270,4512,3750,3551,5613,5637,5497,2458,266,12,31302,161,193,820,749,505,718,240,26,0,3417,47,97,191,212,163,110,44,16,3,880,5562,7301,12942,17999,19611,15681,4368,378,23,83876,126,232,351,297,330,320,55,0,0,1715,943,265,197,217,195,190,85,4,5,2099,1067,496,543,514,520,510,139,7,7,3808,6629,7802,13489,18514,20139,16187,4512,390,26,87684,3684,990,1651,2130,2053,4823,12898,7279,2754,38253,181,194,497,508,469,387,361,369,273,3252,10495,8983,15634,21159,22659,21394,17775,8035,3054,129196
