CED_CODE_2021,P_Sol_sp_En_Tot_2011_2015,P_Sol_sp_En_Tot_2016,P_Sol_sp_En_Tot_2017,P_Sol_sp_En_Tot_2018,P_Sol_sp_En_Tot_2019,P_Sol_sp_En_Tot_2020,P_Sol_sp_En_Tot_2021,P_Sol_sp_En_Tot_Yr_arr_ns,P_Sol_sp_En_Tot_YoA_Tot,P_LanProf_En_ns_B_2005,P_LanProf_En_ns_2005_2010,P_LanProf_En_ns_2011_2015,P_LanProf_En_ns_2016,P_LanProf_En_ns_2017,P_LanProf_En_ns_2018,P_LanProf_En_ns_2019,P_LanProf_En_ns_2020,P_LanProf_En_ns_2021,P_LanProf_En_ns_Yr_arr_ns,P_LanProf_En_ns_Tot,P_Tot_B_2005,P_Tot_2005_2010,P_Tot_2011_2015,P_Tot_2016,P_Tot_2017,P_Tot_2018,P_Tot_2019,P_Tot_2020,P_Tot_2021,P_Tot_Yr_arrival_ns,P_Tot_YoA_Tot
CED501,4293,674,571,540,632,273,112,260,16079,33,13,10,0,0,0,0,0,0,237,302,25658,13017,10976,1204,1024,979,1049,490,230,1223,55857
CED502,11875,1868,1509,1652,2134,739,214,632,43031,36,14,15,9,4,0,3,0,0,63,139,27626,18124,15101,2233,1814,1956,2435,877,287,1331,71788
CED503,2260,300,246,322,371,157,61,179,8733,26,8,7,0,0,0,0,0,0,158,190,22522,7687,5839,630,491,580,651,295,140,1102,39931
CED504,8150,1908,1555,1650,2151,824,150,1090,46254,34,21,12,5,0,0,0,11,0,80,162,37304,12184,10822,2227,1836,1968,2467,966,210,1709,71686
CED505,4234,1012,1224,1428,2036,990,144,344,22435,30,6,0,0,0,0,6,0,0,53,100,28187,8376,8264,1577,1859,2066,2901,1697,428,1041,56396
CED506,3223,589,575,764,1219,533,272,302,13736,74,21,13,0,0,0,15,7,0,396,533,22499,7747,6690,967,924,1164,1857,790,406,1695,44749
CED507,2171,386,394,440,595,238,83,257,8429,23,3,4,0,4,0,5,0,0,120,158,17034,5186,4385,632,619,660,895,401,139,1039,30989
CED508,4939,733,699,712,884,402,104,410,23339,27,5,9,0,3,0,5,0,0,68,108,27407,9853,8933,1226,1106,1153,1396,682,228,1073,53066
CED509,5208,802,544,603,782,335,113,378,21418,18,5,4,0,0,3,0,3,0,495,533,26039,11830,8756,1107,842,877,1058,483,198,1508,52713
CED510,2352,349,335,428,554,293,83,206,13288,28,4,5,0,0,0,0,0,0,43,82,33472,11270,8678,1042,870,965,1099,613,190,858,59049
CED511,2196,443,426,528,750,327,218,260,9589,61,16,10,0,0,0,3,0,0,179,272,17661,5450,4284,722,668,871,1185,515,321,1274,32950
CED512,5213,796,631,684,829,401,135,335,23515,48,19,11,0,0,5,0,0,0,86,171,30228,19506,13583,1609,1220,1196,1378,727,259,1137,70846
CED513,6733,1737,1895,2433,3223,1396,319,708,35571,30,3,4,0,0,3,7,5,4,123,185,32029,9614,10558,2281,2449,3087,4093,1833,511,1452,67916
CED514,9495,2497,2359,3028,3785,1558,262,780,43175,28,6,9,4,5,3,0,0,3,156,218,29204,13014,13028,3043,2849,3580,4473,1893,410,1607,73110
CED515,9013,1650,1538,1552,1880,949,207,638,43664,27,8,15,0,3,0,0,0,0,203,251,37855,15027,12292,2056,1918,1952,2309,1224,305,1422,76353
CED597,36,9,4,7,8,9,0,19,200,0,0,0,0,0,0,0,0,0,0,5,352,156,115,17,6,18,14,10,3,28,717
