CED_CODE_2021,Tot_Mgr,Tot_Pfn,Tot_Tch_trwk,Tot_Co_Pswk,Tot_Cl_Adwk,Tot_Sal,Tot_MchOp,Tot_Lab,Tot_Inad_ns,Tot_To
CED501,7473,11861,15217,11798,9748,7102,7833,8960,1460,81452
CED502,6684,13223,13729,10756,10517,6836,9000,9725,1610,82087
CED503,7046,9380,12515,8672,7716,5907,6972,6819,1224,66257
CED504,8116,15497,13363,11217,11055,7542,6685,9924,1631,85030
CED505,14838,34820,6586,8983,9348,6095,2046,4392,1274,88387
CED506,15115,18030,22759,11251,11542,6345,14865,12871,2255,115034
CED507,8374,12033,12807,8633,7687,6305,6122,9559,1176,72696
CED508,10825,22817,12785,10061,10707,6380,4632,6649,1369,86216
CED509,9704,15145,13728,10834,11477,7143,7168,7491,1515,84202
CED510,11879,21933,12047,9517,11674,6964,3207,5468,1192,83876
CED511,14421,11820,14657,8210,8030,5498,10856,10937,1492,85925
CED512,9476,15078,15037,11831,12041,8091,6145,8597,1485,87779
CED513,13847,33200,11244,11314,12219,6857,4204,6924,1449,101262
CED514,11255,25138,13174,11825,12310,7364,7211,8545,1785,98609
CED515,11874,27415,10130,9395,11665,7232,4110,6091,1288,89199
CED597,96,324,627,58,45,6,172,344,23,1697
